cell_id Epithelial_cluster inferCNV_annotation
A10_1001000407 Epithelial 14 tumor
A10_B000863 Epithelial 16 nontumor
A11_B000860 Epithelial 16 nontumor
A12_B003103 Epithelial 26 nontumor
A15_B000420 Epithelial 14 nontumor
A15_B003930 Epithelial 26 nontumor
A19_B003112 Epithelial 15 nontumor
A19_B003116 Epithelial 12 nontumor
A1_B000860 Epithelial 16 nontumor
A1_B000883 Epithelial 14 nontumor
A20_B003105 Epithelial 26 nontumor
A22_B002077 Epithelial 14 nontumor
A22_B003067 Epithelial 14 tumor
A22_B003071 Epithelial 14 tumor
A22_B003775 Epithelial 18 tumor
A2_1001000412 Epithelial 14 nontumor
A3_B003187 Epithelial 14 nontumor
A4_B000861 Epithelial 14 nontumor
A8_B000579 Epithelial 14 nontumor
A9_B000863 Epithelial 16 nontumor
A9_B001545 Epithelial 12 nontumor
B10_B000862 Epithelial 16 nontumor
B13_B000579 Epithelial 14 nontumor
B14_B003771 Epithelial 14 tumor
B15_B003103 Epithelial 26 nontumor
B18_B003775 Epithelial 18 nontumor
B1_B000863 Epithelial 16 nontumor
B2_B000901 Epithelial 14 nontumor
B2_B003648 Epithelial 14 nontumor
B3_B000860 Epithelial 16 nontumor
B3_B000861 Epithelial 16 nontumor
B3_B000862 Epithelial 16 nontumor
B4_1001000317 Epithelial 26 nontumor
B4_B000861 Epithelial 16 nontumor
B4_B000862 Epithelial 16 nontumor
B5_1001000327 Epithelial 26 nontumor
B5_B000860 Epithelial 16 nontumor
B5_B000861 Epithelial 16 tumor
B6_1001000408 Epithelial 14 nontumor
B6_B000862 Epithelial 16 nontumor
B7_B003659 Epithelial 22 tumor
B9_B000863 Epithelial 16 tumor
C12_B003930 Epithelial 26 nontumor
C15_B003105 Epithelial 26 nontumor
C15_B003113 Epithelial 14 nontumor
C15_B003120 Epithelial 14 nontumor
C16_B003105 Epithelial 26 nontumor
C16_B003930 Epithelial 26 nontumor
C17_B000577 Epithelial 14 nontumor
C18_B003930 Epithelial 26 nontumor
C1_B000862 Epithelial 16 nontumor
C21_B003105 Epithelial 26 nontumor
C21_B003656 Epithelial 14 nontumor
C2_B000861 Epithelial 16 nontumor
C3_B000860 Epithelial 16 nontumor
C3_B000861 Epithelial 16 nontumor
C4_B000863 Epithelial 16 nontumor
C9_B000860 Epithelial 16 nontumor
D10_1001000327 Epithelial 14 nontumor
D10_B000573 Epithelial 24 tumor
D10_B000860 Epithelial 16 nontumor
D11_B000861 Epithelial 16 nontumor
D11_B000862 Epithelial 16 tumor
D17_B003103 Epithelial 26 nontumor
D19_B003775 Epithelial 18 nontumor
D1_1001000327 Epithelial 16 nontumor
D21_B000575 Epithelial 24 nontumor
D22_B003775 Epithelial 18 tumor
D4_B000863 Epithelial 16 nontumor
D6_B003077 Epithelial 24 tumor
D7_B000863 Epithelial 16 nontumor
D9_B000863 Epithelial 16 nontumor
E10_B000860 Epithelial 16 nontumor
E12_B003103 Epithelial 26 nontumor
E13_B000580 Epithelial 14 nontumor
E13_B003105 Epithelial 26 nontumor
E13_B003125 Epithelial 14 nontumor
E14_B003105 Epithelial 26 nontumor
E15_B002078 Epithelial 14 nontumor
E15_B003120 Epithelial 12 nontumor
E18_B002077 Epithelial 14 nontumor
E19_B003105 Epithelial 26 nontumor
E1_B001608 Epithelial 14 nontumor
E20_B003930 Epithelial 26 nontumor
E21_1001000412 Epithelial 14 tumor
E21_B003067 Epithelial 14 nontumor
E2_B000862 Epithelial 16 nontumor
E2_B000863 Epithelial 16 nontumor
E4_B000860 Epithelial 16 nontumor
E4_B000861 Epithelial 16 nontumor
E5_B003648 Epithelial 14 nontumor
E5_B003659 Epithelial 14 nontumor
E7_B000863 Epithelial 16 nontumor
E7_B003658 Epithelial 14 nontumor
E9_B000861 Epithelial 16 nontumor
F11_B000861 Epithelial 16 nontumor
F12_B000573 Epithelial 24 tumor
F17_B000569 Epithelial 14 nontumor
F17_B001010 Epithelial 8 nontumor
F19_B003093 Epithelial 26 tumor
F19_B003103 Epithelial 26 nontumor
F1_B000861 Epithelial 16 nontumor
F20_B003120 Epithelial 14 nontumor
F21_B003070 Epithelial 16 nontumor
F21_B003775 Epithelial 18 nontumor
F2_1001000407 Epithelial 14 tumor
F2_B003658 Epithelial 14 nontumor
F3_1001000411 Epithelial 14 nontumor
F4_B000863 Epithelial 16 nontumor
F5_B000862 Epithelial 16 nontumor
F5_B000894 Epithelial 14 nontumor
F6_1001000327 Epithelial 14 nontumor
F7_B000861 Epithelial 16 tumor
G10_B000861 Epithelial 16 nontumor
G11_B000860 Epithelial 16 nontumor
G14_B000580 Epithelial 14 nontumor
G17_B003105 Epithelial 26 nontumor
G19_B003120 Epithelial 14 tumor
G19_B003930 Epithelial 26 nontumor
G1_B000861 Epithelial 16 nontumor
G1_B000862 Epithelial 16 nontumor
G1_B003113 Epithelial 14 nontumor
G20_B003071 Epithelial 14 tumor
G22_B003776 Epithelial 18 nontumor
G2_B000579 Epithelial 14 nontumor
G2_B000863 Epithelial 16 nontumor
G3_B000862 Epithelial 16 nontumor
G6_B000860 Epithelial 16 tumor
G7_B000860 Epithelial 16 nontumor
G7_B003659 Epithelial 14 nontumor
G8_B000575 Epithelial 24 tumor
G8_B003080 Epithelial 24 tumor
G9_B000569 Epithelial 14 nontumor
H10_B000862 Epithelial 16 nontumor
H10_B000863 Epithelial 16 nontumor
H12_B003103 Epithelial 26 nontumor
H18_B000575 Epithelial 24 tumor
H19_B003071 Epithelial 14 nontumor
H1_B000860 Epithelial 16 nontumor
H1_B000883 Epithelial 14 nontumor
H2_1001000293 Epithelial 14 nontumor
H3_B000861 Epithelial 16 nontumor
H3_B003080 Epithelial 24 tumor
H3_B003995 Epithelial 14 nontumor
H7_1001000377 Epithelial 14 tumor
H8_B003080 Epithelial 24 tumor
H9_B000861 Epithelial 16 nontumor
I10_B000860 Epithelial 16 nontumor
I10_B003656 Epithelial 24 nontumor
I12_B003105 Epithelial 26 nontumor
I12_B003656 Epithelial 24 nontumor
I13_B003079 Epithelial 24 nontumor
I13_B003656 Epithelial 24 nontumor
I14_B003103 Epithelial 26 nontumor
I15_B003656 Epithelial 24 nontumor
I16_B003656 Epithelial 24 nontumor
I17_B003656 Epithelial 24 nontumor
I18_B003656 Epithelial 24 nontumor
I18_B003775 Epithelial 18 nontumor
I19_B003656 Epithelial 24 nontumor
I1_B001545 Epithelial 14 nontumor
I1_B003656 Epithelial 24 nontumor
I1_B003659 Epithelial 22 tumor
I20_B003079 Epithelial 24 tumor
I20_B003656 Epithelial 24 nontumor
I21_B003103 Epithelial 26 nontumor
I21_B003930 Epithelial 26 nontumor
I22_B003656 Epithelial 24 nontumor
I22_B003930 Epithelial 26 nontumor
I2_B003648 Epithelial 22 tumor
I2_B003656 Epithelial 24 nontumor
I3_B003656 Epithelial 24 nontumor
I4_B000861 Epithelial 16 nontumor
I4_B000863 Epithelial 16 nontumor
I4_B003656 Epithelial 24 nontumor
I5_B000861 Epithelial 16 nontumor
I5_B001470 Epithelial 14 tumor
I5_B003656 Epithelial 24 nontumor
I5_B003659 Epithelial 22 tumor
I6_B003656 Epithelial 24 nontumor
I7_B000862 Epithelial 16 nontumor
I7_B000863 Epithelial 16 tumor
I7_B003079 Epithelial 24 nontumor
I7_B003656 Epithelial 24 nontumor
I8_B003656 Epithelial 24 nontumor
I9_B000860 Epithelial 16 nontumor
I9_B003656 Epithelial 24 nontumor
J11_B000862 Epithelial 16 nontumor
J11_B003656 Epithelial 24 nontumor
J12_B003656 Epithelial 24 nontumor
J12_B003930 Epithelial 26 nontumor
J13_B003656 Epithelial 24 nontumor
J14_B003656 Epithelial 24 nontumor
J14_B003930 Epithelial 26 nontumor
J15_B003656 Epithelial 24 nontumor
J16_B003656 Epithelial 24 nontumor
J17_B003656 Epithelial 24 nontumor
J18_B003656 Epithelial 24 nontumor
J19_B003071 Epithelial 14 tumor
J19_B003105 Epithelial 26 nontumor
J19_B003656 Epithelial 24 nontumor
J1_B003656 Epithelial 24 nontumor
J20_B003656 Epithelial 24 nontumor
J21_B003656 Epithelial 24 nontumor
J22_B003079 Epithelial 24 tumor
J22_B003656 Epithelial 24 nontumor
J2_B000862 Epithelial 16 nontumor
J2_B000863 Epithelial 16 nontumor
J2_B003656 Epithelial 24 nontumor
J3_B000862 Epithelial 16 nontumor
J3_B003656 Epithelial 24 nontumor
J4_B000862 Epithelial 16 nontumor
J4_B003656 Epithelial 24 nontumor
J4_B003995 Epithelial 14 nontumor
J5_B003656 Epithelial 24 nontumor
J6_B003117 Epithelial 24 nontumor
J6_B003656 Epithelial 24 nontumor
J8_B000862 Epithelial 16 tumor
J8_B000863 Epithelial 16 tumor
