"","cnv_score"
"G9_1001000408",6273
"E18_1001000412",6113
"M14_1001000412",6762
"F12_1001000408",7534
"K8_1001000412",6470
"C19_1001000407",7739
"D20_1001000407",8311
"B9_1001000407",7240
"E13_1001000411",7709
"E20_1001000407",6761
"K13_1001000412",6698
"B22_1001000408",6110
"N11_1001000408",6561
"N1_1001000407",7401
"I15_1001000412",5894
"M22_1001000407",6701
"P19_1001000408",6636
"I12_1001000407",6920
"B12_1001000412",7042
"L18_1001000407",6586
"L5_1001000407",7152
"B17_1001000408",6901
"M22_1001000412",6003
"P21_1001000407",6447
"G1_1001000408",6977
"G10_1001000412",6412
"L8_1001000408",5853
"O10_1001000407",6668
"E8_1001000408",5641
"M8_1001000407",6808
"G4_1001000412",6067
"C2_1001000407",6092
"D20_1001000412",6449
"L9_1001000408",7208
"I16_1001000408",7026
"M8_1001000408",6431
"M18_1001000408",6223
"M7_1001000408",7070
"K1_1001000408",7118
"E13_1001000408",7095
"J14_1001000408",6587
"M14_1001000407",6695
"C20_1001000408",6755
"A16_1001000412",6973
"O15_1001000407",6434
"A18_1001000408",7078
"C13_1001000408",6006
"E12_1001000412",6603
"I13_1001000408",6632
"C1_1001000408",6665
"I7_1001000407",6752
"L7_1001000408",6813
"L12_1001000408",6089
"H6_1001000407",6145
"P5_1001000412",6670
"H5_1001000407",6838
"B14_1001000408",6962
"D19_1001000408",6227
"E17_1001000408",6427
"N9_1001000407",6216
"O4_1001000408",5910
"D13_1001000412",6638
"I18_1001000412",7100
"C12_1001000412",7433
"L7_1001000407",6576
"L8_1001000407",6308
"C19_1001000412",6663
"E20_1001000412",6595
"C19_1001000408",7264
"F20_1001000411",7053
"N8_1001000408",6213
"O11_1001000412",7032
"C12_1001000408",6309
"J20_1001000412",6565
"F8_1001000408",6118
"K16_1001000408",6655
"D8_1001000407",6236
"I22_1001000407",6488
"I11_1001000408",7073
"P18_1001000408",6203
"P4_1001000407",6302
"G1_1001000407",6720
"G6_1001000408",6568
"F13_1001000407",6442
"P11_1001000407",7367
"F16_1001000407",6572
"F9_1001000412",7176
"I15_1001000407",6808
"B22_1001000407",6498
"D7_1001000408",6174
"D10_1001000412",6233
"J8_1001000408",5963
"C4_1001000407",6702
"K1_1001000407",7142
"E16_1001000412",6367
"I22_1001000412",6038
"J14_1001000407",6560
"D22_1001000412",6879
"F15_1001000408",7152
"B17_1001000412",6921
"I8_1001000407",6472
"O3_1001000408",6691
"J3_1001000408",5975
"P11_1001000408",6639
"I17_1001000407",6915
"L16_1001000407",6871
"H6_1001000412",6708
"J12_1001000407",6304
"C8_1001000412",6749
"C11_1001000407",6443
"K18_1001000407",6395
"D15_1001000412",6243
"G16_1001000407",6435
"N14_1001000408",6476
"D11_1001000412",7056
"F6_1001000408",7195
"L1_1001000408",6252
"N3_1001000408",5961
"G15_1001000408",5961
"H3_1001000407",5992
"B6_1001000412",6576
"J20_1001000408",6415
"L11_1001000408",5950
"N19_1001000407",5754
"G18_1001000407",5949
"J10_1001000408",6389
"I20_1001000408",6359
"N4_1001000408",5422
"J4_1001000407",6642
"N4_1001000407",6790
"H5_1001000408",7386
"L21_1001000407",6178
"E17_1001000412",6727
"G11_1001000407",6634
"J21_1001000408",6188
"N16_1001000407",6977
"F19_1001000407",5584
"I19_1001000408",6737
"F10_1001000408",7217
"F5_1001000408",7042
"K21_1001000407",6817
"M19_1001000408",6521
"H15_1001000407",6797
"P17_1001000408",5852
"I4_1001000412",6899
"O16_1001000407",6551
"N21_1001000407",6749
"E15_1001000407",6033
"J6_1001000408",6956
"D13_1001000408",6834
"E12_1001000408",6462
"L3_1001000408",6608
"M4_1001000408",6242
"P3_1001000408",6313
"F17_1001000412",6767
"L21_1001000408",6537
"G3_1001000407",6154
"M10_1001000408",5721
"G15_1001000412",7052
"N10_1001000408",6307
"H9_1001000412",6551
"I9_1001000407",5823
"I2_1001000408",6334
"M4_1001000407",6331
"A13_1001000408",6282
"A5_1001000408",6983
"L4_1001000407",6095
"C18_1001000408",6668
"M12_1001000407",6078
"M17_1001000407",5851
"M9_1001000407",6384
"G10_1001000407",6043
"J11_1001000412",5869
"M6_1001000408",6604
"N5_1001000407",6900
"J22_1001000409",6258
"P9_1001000407",6655
"D17_1001000408",6018
"M3_1001000408",6462
"J7_1001000408",6556
"K3_1001000408",6401
"C13_1001000407",6759
"N8_1001000407",6619
"I16_1001000412",6264
"P13_1001000409",6889
"D8_1001000412",5925
"N18_1001000409",6161
"J6_1001000407",6322
"O7_1001000412",5993
"G15_1001000407",6802
"B12_1001000407",6543
"H14_1001000407",5879
"I21_1001000408",7203
"I18_1001000407",6627
"I1_1001000411",6769
"O12_1001000408",6897
"O20_1001000407",6617
"C11_1001000408",5904
"H11_1001000412",6422
"E15_1001000412",6257
"O18_1001000407",6669
"M11_1001000408",6948
"H20_1001000408",6721
"O6_1001000408",6722
"K12_1001000407",6759
"A10_1001000408",7119
"G19_1001000412",6750
"O11_1001000408",6404
"H4_1001000407",7061
"P16_1001000407",6306
"K15_1001000407",7295
"L1_1001000407",7969
"H7_1001000412",6312
"N9_1001000408",6653
"I14_1001000408",6609
"J8_1001000412",6992
"L14_1001000407",6888
"G12_1001000408",6348
"G4_1001000407",6764
"O11_1001000407",6614
"O1_1001000408",6239
"K16_1001000412",6716
"F7_1001000408",6592
"H13_1001000407",6456
"N2_1001000408",6086
"G4_1001000408",6794
"N7_1001000408",6649
"H11_1001000407",6314
"O14_1001000407",6628
"I3_1001000412",6201
"L4_1001000408",6221
"C9_1001000408",6965
"B18_1001000408",6570
"N20_1001000408",7135
"H1_1001000408",6252
"N15_1001000408",6250
"I6_1001000407",6474
"I18_1001000408",7085
"L5_1001000408",6080
"P15_1001000408",7057
"G21_1001000407",6314
"H13_1001000411",6880
"G17_1001000408",6321
"J13_1001000407",5725
"I13_1001000407",6899
"P6_1001000408",6128
"M1_1001000408",6702
"K12_1001000408",6427
"K4_1001000408",6289
"M18_1001000407",10806
"D14_1001000407",7095
"F14_1001000407",6819
"F2_1001000408",6003
"J12_1001000412",7346
"E14_1001000412",6910
"L16_1001000412",6182
"O19_1001000408",7216
"G20_1001000407",6446
"N11_1001000407",6989
"M16_1001000412",6959
"K22_1001000408",6836
"L4_1001000412",7054
"I21_1001000407",7637
"C5_1001000408",7413
"H8_1001000412",7693
"H22_1001000412",8598
"J16_1001000412",6725
"G11_1001000412",6903
"H12_1001000408",6506
"F22_1001000407",7269
"O10_1001000412",6918
"F1_1001000408",7220
"K6_1001000407",7287
"O20_1001000408",6844
"P4_1001000408",6525
"F18_1001000408",7455
"J13_1001000412",7185
"L22_1001000408",6966
"I19_1001000412",8273
"F4_1001000412",7238
"C16_1001000412",7465
"I10_1001000412",6158
"L19_1001000412",6977
"N11_1001000412",6679
"F21_1001000407",6469
"M19_1001000407",6708
"C22_1001000412",7443
"O8_1001000408",7243
"H15_1001000412",7174
"J20_1001000407",6861
"K4_1001000407",7536
"L13_1001000408",6481
"G16_1001000412",7091
"C10_1001000408",6474
"K13_1001000408",6854
"C10_1001000412",6884
"M14_1001000408",6841
"F22_1001000412",7432
"P13_1001000408",7197
"J19_1001000412",7606
"L22_1001000407",7004
"O14_1001000408",7205
"B20_1001000408",7854
"E16_1001000407",6988
"A4_1001000411",8119
"K7_1001000408",6489
"A9_1001000407",6639
"I1_1001000408",7585
"C7_1001000407",7270
"P22_1001000412",6559
"B1_1001000407",7006
"P7_1001000407",6757
"A5_1001000407",5833
"I1_1001000412",7006
"A2_1001000408",7205
"E7_1001000412",6691
"O3_1001000412",7397
"G20_1001000412",8014
"H7_1001000411",7250
"J2_1001000407",7912
"D18_1001000408",7325
"N6_1001000411",6939
"A15_1001000408",6904
"D19_1001000412",6952
"A14_1001000408",7833
"E5_1001000412",6952
"O20_1001000412",8333
"H7_1001000407",7271
"O4_1001000407",6630
"A13_1001000412",6645
"F21_1001000412",7283
"G14_1001000408",7761
"K4_1001000412",7972
"K11_1001000412",6946
"N4_1001000412",6731
"O12_1001000412",7713
"D5_1001000408",6997
"J3_1001000412",6726
"E9_1001000407",7115
"J9_1001000412",6539
"D14_1001000408",6552
"F8_1001000407",6663
"C18_1001000407",7724
"P16_1001000408",6509
"E4_1001000407",6988
"I16_1001000407",7283
"D6_1001000407",6615
"D9_1001000408",6614
"H7_1001000408",6894
"L15_1001000408",6587
"C16_1001000408",6827
"H10_1001000412",6817
"P3_1001000412",7020
"D22_1001000408",6755
"A16_1001000407",6888
"B5_1001000412",6930
"N19_1001000412",6949
"E11_1001000412",7532
"O21_1001000407",6771
"E5_1001000408",7157
"B7_1001000407",6694
"C14_1001000407",6369
"F19_1001000412",7479
"A17_1001000412",6820
"B10_1001000407",6881
"B20_1001000412",7671
"E22_1001000412",7213
"A20_1001000408",6468
"D4_1001000407",6771
"H22_1001000407",6688
"D10_1001000407",6857
"J22_1001000412",7019
"P1_1001000412",5965
"D18_1001000407",6448
"P7_1001000412",6363
