"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","gene","sig"
"ABCA1",2.37930888102072e-07,1.20557336286549,0.286,0.882,0.00630159957138337,"ABCA1","p_val_adj<0.05"
"MIR614",3.99643985826027e-07,1.61034080913849,0.5,0.898,0.0105845709646023,"MIR614","p_val_adj<0.05"
"CYP4B1",4.35865582690761e-07,2.14533477931368,0.571,0.957,0.0115438999575648,"CYP4B1","p_val_adj<0.05"
"CLDN4",5.75272755166182e-07,2.13822762064569,1,1,0.0152360989205763,"CLDN4","p_val_adj<0.05"
"IER2",8.94131292883107e-07,1.43604381911695,1,0.979,0.0236810672920091,"IER2","p_val_adj<0.05"
"UBC",1.48264684770699e-06,1.30304499312527,1,0.995,0.0392679017615197,"UBC","p_val_adj<0.05"
"POLR2A",3.28311765362636e-06,0.765547592881241,0.643,0.909,0.0869533710562941,"POLR2A","NS"
"SFTPB",5.26131486374571e-06,1.74063965173643,0.929,0.963,0.139345924166305,"SFTPB","NS"
"SLC38A2",7.79335267766238e-06,0.957254658864691,0.786,0.968,0.206406945667888,"SLC38A2","NS"
"CLDN3",8.33877197567925e-06,1.20202536634876,1,0.989,0.220852375775865,"CLDN3","NS"
"TACSTD2",9.735935424513e-06,1.498833403796,1,0.984,0.257856249718227,"TACSTD2","NS"
"HLA-C",1.23933415862618e-05,1.60244031589972,1,0.995,0.328237651912145,"HLA-C","NS"
"AQP4",1.29298003737837e-05,1.71251961830189,0.857,0.957,0.342445762899662,"AQP4","NS"
"CD74",1.47464095642666e-05,1.363366399786,1,1,0.390558657309602,"CD74","NS"
"RALY",1.58858001963763e-05,1.04497179784528,0.929,0.952,0.420735418201027,"RALY","NS"
"CD55",2.31202270920054e-05,1.14329716071538,1,0.995,0.612339214531763,"CD55","NS"
"JUNB",3.23574841803344e-05,1.25824781671172,1,0.979,0.856987968516156,"JUNB","NS"
"GPRC5A",3.98088183450098e-05,1.06480538005386,0.929,0.979,1,"GPRC5A","NS"
"CAV2",4.38005333407663e-05,1.02498554019054,0.786,0.914,1,"CAV2","NS"
"RC3H1",4.8698057379943e-05,0.67236133411672,0.429,0.813,1,"RC3H1","NS"
"HLA-E",5.30274232934264e-05,1.5706539185492,1,0.995,1,"HLA-E","NS"
"NDNF",5.84249600592773e-05,1.09972824853472,0.643,0.898,1,"NDNF","NS"
"CIRBP",6.28626318306706e-05,0.790292144202437,0.929,0.941,1,"CIRBP","NS"
"CD24",7.03252310028788e-05,0.821815677345682,1,0.984,1,"CD24","NS"
"JUN",7.92702710188848e-05,1.06293162942134,1,1,1,"JUN","NS"
"ARF4",8.08026702294079e-05,1.16993318531215,1,0.952,1,"ARF4","NS"
"ACP5",8.89447653234719e-05,0.845130183900832,0.214,0.706,1,"ACP5","NS"
"CLDN18",0.000100145941646372,1.22995537475185,0.643,0.947,1,"CLDN18","NS"
"CLIC5",0.000100506893057033,1.07853235585641,0.357,0.84,1,"CLIC5","NS"
"AK1",0.00011963450827752,1.10218316604316,0.857,0.952,1,"AK1","NS"
"AGER",0.000142852372856737,1.51359513659225,0.786,0.909,1,"AGER","NS"
"MIR3654",0.000176742423438028,0.546679000356132,0.929,0.872,1,"MIR3654","NS"
"CYBA",0.000192147521424971,1.10963244483423,0.5,0.898,1,"CYBA","NS"
"MSLN",0.000198873802360636,0.934149169059381,0.929,0.963,1,"MSLN","NS"
"MS4A15",0.000199766325489859,1.00486014437602,0.5,0.759,1,"MS4A15","NS"
"CFL1",0.000224815116981226,0.593300242640166,1,1,1,"CFL1","NS"
"SYNGR2",0.000232930346032101,0.975507254450394,0.929,0.936,1,"SYNGR2","NS"
"FAM46B",0.000253332965120018,1.17209477620502,0.571,0.829,1,"FAM46B","NS"
"HMGN2",0.000270799074140111,0.703516470009096,1,0.979,1,"HMGN2","NS"
"ZFP36L2",0.000280813174065378,0.684814117191937,0.786,0.845,1,"ZFP36L2","NS"
"TMEM230",0.000285491815853496,0.843220090337641,0.714,0.866,1,"TMEM230","NS"
"TP53BP2",0.000289570297520264,0.933802766979213,0.714,0.914,1,"TP53BP2","NS"
"ALDH3A2",0.000315136685167406,0.818457563871854,0.786,0.92,1,"ALDH3A2","NS"
"PNRC1",0.000316437211996772,0.65312843682714,0.929,0.952,1,"PNRC1","NS"
"CDV3",0.000345031904373015,0.592764110006783,0.571,0.893,1,"CDV3","NS"
"PRKCZ",0.000371874345606489,0.727341969153664,0.357,0.754,1,"PRKCZ","NS"
"ATF7IP2",0.000396978157633284,0.618086024646031,0.286,0.754,1,"ATF7IP2","NS"
"CNBP",0.000419065709312824,1.01730212099461,0.857,0.947,1,"CNBP","NS"
"EIF5A",0.000442412986496977,0.809976293794125,0.857,0.952,1,"EIF5A","NS"
"HLA-H",0.000444502130782839,0.487706483127034,0.857,0.872,1,"HLA-H","NS"
"SFPQ",0.000484213774382195,0.718782986586518,0.857,0.979,1,"SFPQ","NS"
"ADRB2",0.000498364970713874,0.957080008716354,0.571,0.786,1,"ADRB2","NS"
"LMO7",0.000510844139939448,0.805153911175882,1,0.995,1,"LMO7","NS"
"TOB1",0.000620077871060093,0.880283975770337,0.929,0.968,1,"TOB1","NS"
"PCMTD1",0.000628153962869021,0.578634896151779,0.643,0.888,1,"PCMTD1","NS"
"AHCYL2",0.000651359800660321,0.570581964089088,0.5,0.775,1,"AHCYL2","NS"
"RAB11B",0.000689821368985526,0.52243360886911,0.786,0.813,1,"RAB11B","NS"
"EIF5AL1",0.000766531747036305,0.34977309603059,0.571,0.775,1,"EIF5AL1","NS"
"F11R",0.00083945239561954,0.858810115029059,0.929,0.952,1,"F11R","NS"
"TAPBP",0.000906790904627529,0.754532155506598,0.857,0.963,1,"TAPBP","NS"
"QKI",0.000932205063066571,0.714442079316842,0.571,0.802,1,"QKI","NS"
"JUND",0.000938689914208834,0.845709586795313,1,0.984,1,"JUND","NS"
"PDE4C",0.00097891462207732,1.30700239664264,0.571,0.824,1,"PDE4C","NS"
"ZC3HAV1",0.000979065843321477,1.03001874355856,0.929,0.963,1,"ZC3HAV1","NS"
"SLC22A31",0.000980493108100188,0.950840280840943,0.643,0.775,1,"SLC22A31","NS"
"EDEM1",0.000984346164517176,0.462837515108794,0.286,0.652,1,"EDEM1","NS"
"GDF15",0.00100544916707195,1.12484050791523,0.643,0.909,1,"GDF15","NS"
"LIMCH1",0.00101117985491635,0.803212657429513,0.786,0.941,1,"LIMCH1","NS"
"SLC35A1",0.00102605367566643,0.70520341938276,0.357,0.701,1,"SLC35A1","NS"
"CYBRD1",0.00105252647166695,0.693483850560789,0.643,0.888,1,"CYBRD1","NS"
"BASP1",0.00111547144758528,0.681852631585324,0.214,0.642,1,"BASP1","NS"
"DDOST",0.00119705228983851,0.881443440035858,0.857,0.882,1,"DDOST","NS"
"CYP4Z2P",0.00122400361909271,0.396623767425931,0,0.471,1,"CYP4Z2P","NS"
"ELF3",0.00124964110763114,0.583828308680804,1,0.995,1,"ELF3","NS"
"NUDT19",0.00125124147358941,1.06711070947849,0.643,0.765,1,"NUDT19","NS"
"CRLS1",0.00128366993642577,0.708322269556073,0.857,0.898,1,"CRLS1","NS"
"IRF1",0.00131047963002617,0.923177629314595,0.786,0.936,1,"IRF1","NS"
"SCPEP1",0.00131236178647977,0.675291719817045,0.571,0.786,1,"SCPEP1","NS"
"HLA-B",0.00133547023446084,0.978741433347186,1,1,1,"HLA-B","NS"
"SRP9",0.00136359706486751,0.719984568046348,0.786,0.92,1,"SRP9","NS"
"SCAMP2",0.00139601005637023,0.647876271780285,0.214,0.626,1,"SCAMP2","NS"
"SDC4",0.00140337037391491,0.811012257482321,1,0.989,1,"SDC4","NS"
"TOB2",0.00142508393158541,0.711453143767784,0.929,0.877,1,"TOB2","NS"
"IRX2",0.00144910376998806,0.89977852085546,0.857,0.952,1,"IRX2","NS"
"CLDN7",0.00145007026774779,0.937898968162604,1,0.963,1,"CLDN7","NS"
"POR",0.00152231444355059,0.877261356461369,0.857,0.952,1,"POR","NS"
"KLF5",0.00157334513066325,0.797687089627895,0.714,0.968,1,"KLF5","NS"
"NCOR1",0.0015753670114503,0.436900428020634,0.357,0.759,1,"NCOR1","NS"
"STARD10",0.00159049415871818,0.853926455212635,0.714,0.909,1,"STARD10","NS"
"CHP1",0.00163553784167541,0.987686268933459,0.929,0.92,1,"CHP1","NS"
"PMP22",0.00178723053466685,0.588629080107389,0,0.449,1,"PMP22","NS"
"MALL",0.00193068974018371,0.590433881751468,0.714,0.786,1,"MALL","NS"
"MUC21",0.00196070871283004,1.15877454971596,0,0.444,1,"MUC21","NS"
"ATP6V0C",0.00196923025333232,0.277986123795376,0.786,0.85,1,"ATP6V0C","NS"
"CITED4",0.00206503182904131,0.403946805748424,0.214,0.588,1,"CITED4","NS"
"VAPA",0.00223328985296066,0.68444758013337,0.857,0.904,1,"VAPA","NS"
"NXF1",0.00224048638066071,0.714332996400412,0.5,0.786,1,"NXF1","NS"
"HSD17B11",0.00224306786127513,0.571275838810446,0.357,0.684,1,"HSD17B11","NS"
"CAPN2",0.00228039564087664,0.629939568193313,0.929,0.989,1,"CAPN2","NS"
"SELENBP1",0.00231670040808724,0.772681056650123,0.929,0.979,1,"SELENBP1","NS"
"CALR",0.00242939372425276,0.811982407142046,1,0.984,1,"CALR","NS"
"CTSA",0.00253410776690544,0.812125136701385,0.643,0.834,1,"CTSA","NS"
"SNRNP70",0.0025722626197989,0.705047505520792,0.429,0.679,1,"SNRNP70","NS"
"DDX6",0.00260792094413332,0.546340359063094,0.571,0.818,1,"DDX6","NS"
"DTX3L",0.00262167143448818,0.805116042723272,0.786,0.85,1,"DTX3L","NS"
"FXR1",0.00265759007796916,0.557002839479168,0.643,0.781,1,"FXR1","NS"
