"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","gene","sig"
"PTGES3",3.98837389011033e-07,1.15504649002763,1,1,0.0105632082479572,"PTGES3","p_val_adj<0.05"
"SAA1",2.21720415650278e-06,1.90987004394689,0,1,0.0587226520849762,"SAA1","NS"
"CFL1",4.48692062637412e-06,1.23846865753184,1,1,0.118836092789519,"CFL1","NS"
"LY6E",6.6805262659348e-06,1.40601524855348,1,1,0.176933738153283,"LY6E","NS"
"PITX1",8.58316158096041e-06,1.09180695509108,0,0.923,0.227325034471736,"PITX1","NS"
"KRT14",8.58316158096041e-06,5.17759315426728,0,0.923,0.227325034471736,"KRT14","NS"
"ZFX",8.72966390507814e-06,0.540638181277112,0.214,1,0.231205148525995,"ZFX","NS"
"KRT17",8.81073764688464e-06,3.52682527202832,0.143,1,0.23335238657774,"KRT17","NS"
"TYMP",1.11129802278058e-05,2.77611061862362,0.786,1,0.294327281333437,"TYMP","NS"
"G3BP1",1.12164096535301e-05,1.86536480064611,0.857,1,0.297066609673744,"G3BP1","NS"
"YWHAE",1.38595992681334e-05,0.92557960951469,1,1,0.367071486616513,"YWHAE","NS"
"AKR1C2",1.80245893636028e-05,1.78108487326869,0.071,0.923,0.477381249295021,"AKR1C2","NS"
"NDFIP2",2.11506312219943e-05,1.23183890192568,0.429,1,0.56017446791452,"NDFIP2","NS"
"CCNC",2.6313997577077e-05,0.892730192887533,0.429,1,0.696926225828885,"CCNC","NS"
"MIR205HG",2.87097313257245e-05,1.67295491857978,0.071,0.923,0.760377234161813,"MIR205HG","NS"
"PAFAH1B2",3.02828081149744e-05,1.27781579894103,0.571,1,0.802040172925098,"PAFAH1B2","NS"
"SERPINB5",3.04331578660779e-05,1.20342639557756,0,0.846,0.806022186083072,"SERPINB5","NS"
"HNRNPA1",3.71915865252788e-05,0.995879615116966,1,1,0.985019169122009,"HNRNPA1","NS"
"RPL4",3.71915865252788e-05,1.06137455799759,1,1,0.985019169122009,"RPL4","NS"
"SELT",3.90491706711085e-05,1.35477023902996,0.643,1,1,"SELT","NS"
"ZNF529",4.83384670654343e-05,0.636454334337946,0.214,0.923,1,"ZNF529","NS"
"LARP1",5.05526390571484e-05,0.670840751590514,0.929,1,1,"LARP1","NS"
"ACTN4",5.05526390571484e-05,1.09610812718377,1,1,1,"ACTN4","NS"
"EEF1A1",5.05526390571484e-05,1.21305084636768,1,1,1,"EEF1A1","NS"
"RPL7",5.05526390571484e-05,1.23161331304671,1,1,1,"RPL7","NS"
"SLC16A3",5.72811119028938e-05,1.1356412219041,0.071,0.846,1,"SLC16A3","NS"
"KRT6A",7.1738335644911e-05,3.36759903563874,0.071,0.846,1,"KRT6A","NS"
"YBX3",7.58021520472628e-05,1.20357764900034,0.786,1,1,"YBX3","NS"
"FABP5",8.47735717485645e-05,0.926628031479539,0.357,1,1,"FABP5","NS"
"SPTSSA",9.02369592637462e-05,0.71020177675006,0.929,1,1,"SPTSSA","NS"
"RPL23",9.02369592637462e-05,0.739646031221334,1,1,1,"RPL23","NS"
"TMED2",9.02369592637462e-05,1.2585671794417,1,1,1,"TMED2","NS"
"EIF3E",9.34676687565876e-05,1.45780562679531,0.857,1,1,"EIF3E","NS"
"DGKH",9.78536262285697e-05,0.326513318526298,0.143,0.846,1,"DGKH","NS"
"KRT16",9.78536262285697e-05,3.86336027732041,0.143,0.846,1,"KRT16","NS"
"TRIM47",9.94496087625472e-05,0.799587433486686,0,0.769,1,"TRIM47","NS"
"IL20RB",9.94496087625472e-05,1.29242297410133,0,0.769,1,"IL20RB","NS"
"SFRP1",9.94496087625472e-05,1.43816287725674,0,0.769,1,"SFRP1","NS"
"SNAI2",9.94496087625472e-05,1.64363436928102,0,0.769,1,"SNAI2","NS"
"KRT5",9.94496087625472e-05,2.70663081610449,0,0.769,1,"KRT5","NS"
"PDCD4",0.000102887029692085,0.575733393636922,0.5,0.923,1,"PDCD4","NS"
"SLC38A2",0.000113300296729317,1.76814890172699,0.786,1,1,"SLC38A2","NS"
"CAPZA1",0.000114123089246521,1.60414498237527,0.857,1,1,"CAPZA1","NS"
"GRN",0.000118753832578035,1.68820963209819,1,0.923,1,"GRN","NS"
"SCPEP1",0.000121894153193379,2.19520903018994,0.571,0.923,1,"SCPEP1","NS"
"TINAGL1",0.000149880967940305,1.51796702598766,0.143,0.846,1,"TINAGL1","NS"
"SRP9",0.000150144363539234,1.33485168188108,0.786,0.923,1,"SRP9","NS"
"TRIM29",0.000154932206003997,1.31032641279618,0.143,0.923,1,"TRIM29","NS"
"PPHLN1",0.000169384794327829,0.935579991157163,0.429,1,1,"PPHLN1","NS"
"EGLN3",0.000169384794327829,1.03472727934186,0.429,1,1,"EGLN3","NS"
"LDHA",0.000201014044061561,1.12808122831557,1,1,1,"LDHA","NS"
"ACTG1",0.000201014044061561,1.93492295358449,1,1,1,"ACTG1","NS"
"ANXA8",0.000209857277856624,0.487118450983665,0.071,0.769,1,"ANXA8","NS"
"TAPBP",0.000246408849065909,1.17575925295729,0.857,0.923,1,"TAPBP","NS"
"FNTA",0.000249806404389331,0.9022375540703,0.429,1,1,"FNTA","NS"
"EEF2",0.000258646046773655,0.690727194129436,1,1,1,"EEF2","NS"
"UBC",0.000258646046773655,1.6506463213237,1,1,1,"UBC","NS"
"HGS",0.0002792259021668,0.61722758398528,0.429,0.923,1,"HGS","NS"
"MAT2B",0.000281484212560992,0.956490555278231,0.286,0.846,1,"MAT2B","NS"
"DTX3L",0.000297568139090481,0.805845699231396,0.786,1,1,"DTX3L","NS"
"CASC9",0.000301354835995122,0.265475061868491,0,0.692,1,"CASC9","NS"
"HDGFRP3",0.000301354835995122,0.485407330101503,0,0.692,1,"HDGFRP3","NS"
"TRPS1",0.000301354835995122,0.491398103522811,0,0.692,1,"TRPS1","NS"
