"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","gene","sig"
"SAA1",1.64328002274221e-36,-1.85468192787125,0.016,1,4.35222714023274e-32,"SAA1","p_val_adj<0.05"
"MIR205HG",2.05126532379747e-35,-1.6779348345409,0.011,0.923,5.43277621007761e-31,"MIR205HG","p_val_adj<0.05"
"SERPINB5",6.34160696880207e-35,-1.19737726873074,0.005,0.846,1.67957460568723e-30,"SERPINB5","p_val_adj<0.05"
"AIM2",1.44035867756998e-34,-0.912906643471055,0,0.769,3.81478995754409e-30,"AIM2","p_val_adj<0.05"
"SFRP1",1.44035867756998e-34,-1.43816287725674,0,0.769,3.81478995754409e-30,"SFRP1","p_val_adj<0.05"
"CASC9",3.9784578630693e-31,-0.265475061868491,0,0.692,1.0536945650339e-26,"CASC9","p_val_adj<0.05"
"PKP1",3.9784578630693e-31,-0.706925935258075,0,0.692,1.0536945650339e-26,"PKP1","p_val_adj<0.05"
"CLCA2",3.9784578630693e-31,-1.75884690266358,0,0.692,1.0536945650339e-26,"CLCA2","p_val_adj<0.05"
"ANXA8",3.43887338182991e-29,-0.487691076353948,0.011,0.769,9.10785615177651e-25,"ANXA8","p_val_adj<0.05"
"S100A8",3.43887338182991e-29,-2.40189166960272,0.011,0.769,9.10785615177651e-25,"S100A8","p_val_adj<0.05"
"KRT5",3.93990422584415e-29,-2.69956118585646,0.011,0.769,1.04348363421482e-24,"KRT5","p_val_adj<0.05"
"KRT14",1.05096535961543e-28,-5.17486469639993,0.032,0.923,2.78348175494146e-24,"KRT14","p_val_adj<0.05"
"FST",3.44572783455754e-28,-1.88050709304837,0.005,0.692,9.12601016982564e-24,"FST","p_val_adj<0.05"
"KRT16",4.99427657973639e-27,-3.90130531973323,0.027,0.846,1.32273415214318e-22,"KRT16","p_val_adj<0.05"
"SSPN",1.41743018989305e-26,-0.48126537948292,0.016,0.769,3.75406385793174e-22,"SSPN","p_val_adj<0.05"
"LGALS7B",1.14283796368315e-25,-0.986787713755814,0.011,0.692,3.02680634681481e-21,"LGALS7B","p_val_adj<0.05"
"KRT6A",1.80491076894054e-25,-4.09412081905947,0.032,0.846,4.78030617153902e-21,"KRT6A","p_val_adj<0.05"
"BCL11B",1.17206613414541e-24,-0.388241204603713,0.005,0.615,3.10421715628412e-20,"BCL11B","p_val_adj<0.05"
"GPR87",1.35178245852039e-24,-0.681995122210211,0.005,0.615,3.58019584139127e-20,"GPR87","p_val_adj<0.05"
"DSG3",8.88993485611139e-24,-1.92974245931375,0.016,0.692,2.3544992466411e-19,"DSG3","p_val_adj<0.05"
"STEAP1B",1.00448684797708e-23,-0.446352751885515,0.016,0.692,2.6603834168673e-19,"STEAP1B","p_val_adj<0.05"
"MDFI",1.28188337980289e-23,-0.714877893067431,0.016,0.692,3.39506813140796e-19,"MDFI","p_val_adj<0.05"
"CD109",2.08405279338747e-23,-0.867915455998519,0.016,0.692,5.5196138232867e-19,"CD109","p_val_adj<0.05"
"DGKH",6.02406997786199e-23,-0.322288982131519,0.037,0.846,1.59547493363675e-18,"DGKH","p_val_adj<0.05"
"UGT1A6",2.55659347290837e-22,-0.453616134616851,0.011,0.615,6.77113781299783e-18,"UGT1A6","p_val_adj<0.05"
"CX3CL1",4.27429644070362e-22,-0.673780597443841,0.011,0.615,1.13204741232035e-17,"CX3CL1","p_val_adj<0.05"
"FYB",6.98277953987475e-22,-0.927365466547266,0.021,0.692,1.84938916113583e-17,"FYB","p_val_adj<0.05"
"SNAI2",7.09504272543822e-22,-1.62283383689414,0.032,0.769,1.87912206583231e-17,"SNAI2","p_val_adj<0.05"
"FABP5",8.15042222543616e-22,-1.03651776410507,0.086,1,2.15863932640677e-17,"FABP5","p_val_adj<0.05"
"PLAU",8.74541809975669e-22,-1.23294596421981,0.021,0.692,2.31622398372056e-17,"PLAU","p_val_adj<0.05"
"TM4SF18",2.36082050967936e-21,-0.365415557485032,0.005,0.538,6.25263311988579e-17,"TM4SF18","p_val_adj<0.05"
"ADH7",2.36082050967936e-21,-0.506234324507186,0.005,0.538,6.25263311988579e-17,"ADH7","p_val_adj<0.05"
"SAA2",3.12231922620841e-21,-1.17578076618032,0.005,0.538,8.26946247061297e-17,"SAA2","p_val_adj<0.05"
"GALNT14",4.12596366415947e-21,-0.261397330290881,0.005,0.538,1.09276147645263e-16,"GALNT14","p_val_adj<0.05"
"GJB7",4.74146025614151e-21,-0.30428947670613,0.005,0.538,1.25577574883908e-16,"GJB7","p_val_adj<0.05"
"HOXD11",5.49003167804782e-21,-0.353392309449406,0,0.462,1.45403488993097e-16,"HOXD11","p_val_adj<0.05"
"BBOX1-AS1",5.49003167804782e-21,-0.373777241944053,0,0.462,1.45403488993097e-16,"BBOX1-AS1","p_val_adj<0.05"
"TNFRSF6B",5.49003167804782e-21,-0.490481828411784,0,0.462,1.45403488993097e-16,"TNFRSF6B","p_val_adj<0.05"
"IGFL1",5.49003167804782e-21,-2.54301938422783,0,0.462,1.45403488993097e-16,"IGFL1","p_val_adj<0.05"
"ANXA8L1",1.57315829110902e-20,-0.941693035490851,0.027,0.692,4.16650973400225e-16,"ANXA8L1","p_val_adj<0.05"
"MARK1",2.6619698374646e-20,-0.326816228384838,0.016,0.615,7.050227114525e-16,"MARK1","p_val_adj<0.05"
"AKR1C2",3.19744067411612e-20,-1.62333482504714,0.07,0.923,8.46842162539654e-16,"AKR1C2","p_val_adj<0.05"
"SLC1A3",3.40679715724197e-20,-0.515972776485652,0.048,0.846,9.02290227095536e-16,"SLC1A3","p_val_adj<0.05"
"KRT17",2.76718618643326e-19,-2.95125433519142,0.107,1,7.32889261476849e-15,"KRT17","p_val_adj<0.05"
"GJA1",3.88296333767943e-19,-0.841277795020236,0.011,0.538,1.0284028399844e-14,"GJA1","p_val_adj<0.05"
"MFAP5",3.88296333767943e-19,-1.22275107751126,0.011,0.538,1.0284028399844e-14,"MFAP5","p_val_adj<0.05"
"STON2",4.94266577814432e-19,-2.09915728681079,0.048,0.769,1.30906503134152e-14,"STON2","p_val_adj<0.05"
"LRRN1",5.64240121198654e-19,-0.44809439910282,0.011,0.538,1.49438996099464e-14,"LRRN1","p_val_adj<0.05"
"LTB4R2",6.38852788823763e-19,-0.258472046387583,0.011,0.538,1.69200161119974e-14,"LTB4R2","p_val_adj<0.05"
"P3H2",6.38852788823763e-19,-0.507301664000775,0.011,0.538,1.69200161119974e-14,"P3H2","p_val_adj<0.05"
"HS3ST3B1",8.18520164486276e-19,-0.263851035842516,0.011,0.538,2.1678506556419e-14,"HS3ST3B1","p_val_adj<0.05"
"MMP13",8.34774210786676e-19,-1.80782992038958,0.021,0.615,2.21089949726851e-14,"MMP13","p_val_adj<0.05"
"TRPS1",1.23460402793113e-18,-0.485999243044632,0.032,0.692,3.2698487679756e-14,"TRPS1","p_val_adj<0.05"
"PODNL1",1.28406538674987e-18,-0.542640555916476,0.021,0.615,3.40084717680704e-14,"PODNL1","p_val_adj<0.05"
"HDGFRP3",1.64985879426676e-18,-0.468020152865309,0.032,0.692,4.36965101661551e-14,"HDGFRP3","p_val_adj<0.05"
"TMEM40",1.97065259035946e-18,-0.370292054076513,0.021,0.615,5.21927338556704e-14,"TMEM40","p_val_adj<0.05"
"CALD1",2.01654152928012e-18,-0.885243644470057,0.091,0.923,5.3408102402984e-14,"CALD1","p_val_adj<0.05"
"COL6A2",3.73060063329738e-18,-0.386851378976853,0.021,0.615,9.88049577728811e-14,"COL6A2","p_val_adj<0.05"
"TP63",4.33449200164196e-18,-0.544742216340277,0.005,0.462,1.14799020663487e-13,"TP63","p_val_adj<0.05"
"ANO1",4.33449200164196e-18,-0.762639737594595,0.005,0.462,1.14799020663487e-13,"ANO1","p_val_adj<0.05"
"IGFBP6",4.9687957171563e-18,-0.453791089818366,0.005,0.462,1.31598554568885e-13,"IGFBP6","p_val_adj<0.05"
"GJB5",7.47423069401765e-18,-0.491605501306017,0.005,0.462,1.97954999931058e-13,"GJB5","p_val_adj<0.05"
"CASP14",1.15594283479414e-17,-0.303574191255838,0,0.385,3.06151459795229e-13,"CASP14","p_val_adj<0.05"
"BBOX1",1.15594283479414e-17,-0.392209870613614,0,0.385,3.06151459795229e-13,"BBOX1","p_val_adj<0.05"
"S100A7",1.15594283479414e-17,-1.5853940587332,0,0.385,3.06151459795229e-13,"S100A7","p_val_adj<0.05"
"CDK6",1.30678659937595e-17,-1.29500464828815,0.037,0.692,3.46102430844719e-13,"CDK6","p_val_adj<0.05"
"CA9",2.59102965999223e-17,-0.748163954512807,0.016,0.538,6.86234205448941e-13,"CA9","p_val_adj<0.05"
"MFAP2",3.24415495617506e-17,-0.519010073121662,0.016,0.538,8.59214440142965e-13,"MFAP2","p_val_adj<0.05"
"CLEC2B",3.78282357323747e-17,-0.27001032261101,0.027,0.615,1.00188082337194e-12,"CLEC2B","p_val_adj<0.05"
"TPBG",4.40647878730306e-17,-1.37807374431427,0.043,0.692,1.16705590681722e-12,"TPBG","p_val_adj<0.05"
"MME",4.53933089898785e-17,-0.633669299144742,0.016,0.538,1.20224178859693e-12,"MME","p_val_adj<0.05"
"GJB3",4.53933089898785e-17,-0.734157786289654,0.016,0.538,1.20224178859693e-12,"GJB3","p_val_adj<0.05"
"SERPINE2",4.60972546426298e-17,-0.424611627999214,0.027,0.615,1.22088578921005e-12,"SERPINE2","p_val_adj<0.05"
"MMP2",5.06910674146346e-17,-0.668629587018361,0.037,0.692,1.3425529204766e-12,"MMP2","p_val_adj<0.05"
"PITX1",8.92501984040635e-17,-1.05012853333393,0.112,0.923,2.36379150473162e-12,"PITX1","p_val_adj<0.05"
"FBLN1",3.12440401501218e-16,-1.16776552271596,0.075,0.846,8.27498403375977e-12,"FBLN1","p_val_adj<0.05"
"SLC38A5",3.46539276619243e-16,-1.94529498167356,0.048,0.692,9.17809274126064e-12,"SLC38A5","p_val_adj<0.05"
"SLCO1B3",6.52030491471386e-16,-0.352323682033939,0.011,0.462,1.72690275666197e-11,"SLCO1B3","p_val_adj<0.05"
"LY6D",6.52030491471386e-16,-0.656489845605584,0.011,0.462,1.72690275666197e-11,"LY6D","p_val_adj<0.05"
"HCAR2",8.28020232512201e-16,-0.523066357089346,0.011,0.462,2.19301158580856e-11,"HCAR2","p_val_adj<0.05"
"HTRA3",8.97146819618028e-16,-0.804007071763772,0.021,0.538,2.37609335175835e-11,"HTRA3","p_val_adj<0.05"
