"","GPR87","KYNU","LY6K","UBD","FHL2","IGFBP3","DKK1","ARNTL2","CRABP2","FAM83A","GJB3","RGS10","IDO1","COMTD1","CBLC","UCK2","GJB2","PLAU","PROM2","GPC1","SUSD2","MS4A15","SFTPB","AQP4","SFTPD","NAPSA","RGS16","C16orf89","TNS1","CYP4B1","C4BPA","NKX2-1","DLC1","SCGB3A1","FLRT3","ADGRF5","SFTA3","RNASE1","NFIX","AQP1","CHL1","TFF3","DMKN","VIM","IQGAP2","RRAD","LOC100506844","C5orf49","TNC","FOXJ1","SLC27A2","MUC5B","DTX3","TEX9","IGFBP5","ABCA13","METTL7A","WDR86-AS1","CTGF","TUBA1A","analysis","patient_id","sample_name"
"A10_1001000407",0,0,0,7.31793441417363,0.919926492588358,0,0,0,7.06265330435996,0,0,6.04151927515583,4.35625235340565,4.65518160625292,5.84376513331643,0,0,0,0,0,0,0,0,0,0,0,5.37200009650461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28296928709378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"grouped_pd","TH185","LT_S21"
"A22_B003067",0,0,4.99801026442893,0,0,0,0,0,4.28007552844418,0,0,4.93350537741444,0,0,0,0,0,0,4.01802152530433,0,7.10398516176753,0,8.72306059528141,2.23296085497297,0,8.3148866854365,0,5.03480600171077,1.04750941972488,6.5932004796425,6.63173462964228,0,0,4.44499786306328,0,6.45478364727138,0,9.07579286045278,4.61442036353774,9.10982114249423,0,5.59593256973457,4.59591515503029,7.39601477157378,0,0,0,0,5.93624440509257,0,0,0,0,0,0,0,4.68519578880622,0,0,0,"naive","TH205","LT_S34"
"A22_B003071",0,0,6.34753296783583,0,0,0,0,0,4.83231123042601,0,0,0,0,0,0,0,0,0,0,0,7.82569228294076,0,0,0,0,9.37227182523529,0,8.27472075967199,0,5.2245913278632,8.72846398951158,0,0,5.44524446394307,0,7.4178071643352,3.95337237891881,10.6766577739437,0,6.87541157094058,4.74507488655755,6.0838573022626,0,5.39892998835388,0,0,0,0,2.02190084152407,0,0,0,0,0,0,2.64655312610425,6.60684059921846,0,0,0,"naive","TH205","LT_S34"
"B14_B003771",0,0,0,0,0,0,0,0,2.83059508668682,0,0,0,0,0,0,0,0,0,0,0,0,1.09675839809558,9.07619624519433,0,0,8.25693555555411,0,7.77165455508746,6.76456420494905,0,0,0,6.99755487363051,0,0,0,7.00843437322525,7.93065726025624,6.43816885770914,0,0,0,0,6.66798772559651,0,0,0,0,0,0,0,0,0,0,0,0,0,6.52371681233033,0,0,"grouped_pr","TH236","LT_S71"
"E1_B001608",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.47074605866635,6.14501544600563,0,0,0,0,0,0,0,0,"grouped_pd","TH185","LT_S28"
"E21_1001000412",6.73336076259004,5.73853557145288,5.0630382236964,0,5.44705711769468,8.26051730866275,0,0,0,4.95731894978423,0,0,0,4.42257749559347,5.13669421446897,0,6.15742405376371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"grouped_pd","TH185","LT_S21"
"F2_1001000407",0,0,0,7.0818072120447,6.5190348061868,0,6.53484310214818,0,6.93018852584939,0,0,6.27173785021204,7.52582269320701,0,6.50701239466788,6.58455950599115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"grouped_pd","TH185","LT_S21"
"G20_B003071",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33161484807424,5.01816717981345,0,7.16073974480066,0,6.94814307737622,8.0217737497964,0,7.94877348093411,0,0,6.95838977732275,0,0,3.11118910256062,0,5.59507010612654,0,9.25500432790839,0,7.91017254608675,0,0,6.0125083215409,8.27808712343156,7.19350451956983,0,0,0,8.63604708632506,0,0,0,0,6.71748694855676,0,0,0,0,0,0,"naive","TH205","LT_S34"
"I5_B001470",0,0,0,0,0,0,0,0,0,0,0,2.99207694336663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.16819564709126,0,0,6.57956646817766,0,0,0,0,7.72015827453104,0,0,0,0,0,0,0,0,"naive","TH248","LT_S74"
"J19_B003071",0,0,0,0,0,0,0,0,5.37155986549435,0,0,0,0,0,0,0,0,0,0,0,6.55790608600471,5.08015340652811,9.790187667032,0,6.34352089258573,10.8761808633189,0,7.22838045741112,0,0,6.66312470623992,0,0,0,0,0,0,9.90787985741085,0,0,0,5.70444094588026,6.44571183211599,6.47757957056572,0,0,0,0,5.46212748576529,0,0,0,0,0,0,0,0,0,0,0,"naive","TH205","LT_S34"
"M19_B003070",0,0,4.46789516922214,0,0,0,0,0,5.46804594413257,0,0,5.21024259913493,0,0,0,0,0,0,0,0,6.90365385681412,0,7.79665459241628,0,0,10.3451730961818,0,6.3692968529555,0,0,6.17142645873843,0,0,0,0,5.41719209731109,0,7.47123547464984,2.17859808814499,8.33440549456819,0,0,5.86518353575795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"naive","TH205","LT_S34"
"M20_1001000412",0,0,4.17282994060472,6.00909006655661,6.74707550879071,6.32114597189243,5.30438096628072,2.81058991021375,7.60106449248369,0,0,4.90139766281309,6.69399941814314,0,0,5.6915570323117,0,0,0,4.1507072187432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"grouped_pd","TH185","LT_S21"
"N20_B003067",0,0,4.56021880175051,0,0,0,0,0,4.71287411120044,0,0,0,0,0,0,0,0,0,4.56021880175051,0,7.6587407605086,0,1.83350899746417,0,6.0311855731346,8.05657890085534,0,6.77846466716048,0,0,2.81943648480825,0,0,7.92499505567333,0,0,0,9.42243438706277,2.44335518354775,0,0,5.77332031048849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"naive","TH205","LT_S34"
"O10_B000894",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.46471498846851,0,0,0,0,0,0,5.66628360595533,0,0,0,0,0,5.11030078113283,0,0,0,0,0,7.95532675857393,0,0,0,6.53260106064753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"naive","TH218","LT_S45"
"O1_B001617",0,6.15090662278306,0,0,0,0,8.3974455897928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.24066719997478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.81109167978716,0,0,0,5.90426321456179,0,0,0,0,0,0,0,0,0,0,0,0,0.910742070404266,"grouped_pd","TH185","LT_S28"
"O23_1001000377",0,5.60443557769158,0,0,0,0,0,0,5.00763290136729,0,0,0,0,0,0,0,0,5.81301808286249,5.12437698889073,0,0,0,11.0307211551965,0,6.49390116797639,9.15104846962971,4.73908877410483,7.36096942194012,0,0,0,4.79981266355212,0,0,4.52430767382421,5.7879205208714,6.15236711143579,0,0,6.94352897057228,0,0,3.33160887165362,0.0552521021322246,0,6.507301728148,4.82474926858988,4.59790503459728,0,4.55762181062255,6.60503993513713,0,0,0,0,0,0,0,0,0,"grouped_pd","TH146","LT_S16"
