"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","grouped_pd pt.occupancy","grouped_pd n.nonzero.pts","grouped_pr pt.occupancy","grouped_pr n.nonzero.pts","naive pt.occupancy","naive n.nonzero.pts"
"1",0,4.75925239854469,0.494,0.009,0,"grouped_pr","PGC",0.6,3,0.37890625,5,0.333333333333333,5
"2",0,4.72601228651282,0.736,0.014,0,"grouped_pr","MS4A15",0.857142857142857,4,0.372703412073491,5,0.571428571428571,5
"3",0,4.29167376884456,0.792,0.079,0,"grouped_pr","AQP4",0.886792452830189,5,0.436585365853659,5,0.471014492753623,8
"4",0,3.42204851191944,0.89,0.131,0,"grouped_pr","SUSD2",0.885813148788927,7,0.379609544468547,5,0.444444444444444,9
"5",2.43246359916193e-298,3.23074704525346,0.793,0.113,6.44237984238038e-294,"grouped_pr","SFTPD",0.571428571428571,8,0.416058394160584,5,0.668421052631579,8
"6",5.17708664522604e-279,3.18393774555211,0.878,0.215,1.37115139798812e-274,"grouped_pr","RGS16",0.420245398773006,9,0.389010989010989,5,0.524926686217009,10
"7",3.61089953269554e-274,3.85854229136987,0.469,0.015,9.56346741234414e-270,"grouped_pr","PEBP4",0.464285714285714,4,0.333333333333333,4,0.473684210526316,5
"8",1.61870184565308e-268,5.23060838166402,0.467,0.017,4.28713183821217e-264,"grouped_pr","CLDN18",0.64,2,0.735537190082645,5,0.392857142857143,6
"9",5.15950962194651e-258,1.80512917404125,0.927,0.208,1.36649612337253e-253,"grouped_pr","SFTPB",0.428571428571429,9,0.377083333333333,5,0.458937198067633,9
"10",1.54411227256589e-238,3.14999305327681,0.691,0.101,4.08958135389076e-234,"grouped_pr","DLC1",0.683544303797468,8,0.418994413407821,5,0.595744680851064,8
"11",1.14026090967677e-236,2.54206753902618,0.838,0.202,3.01998101927892e-232,"grouped_pr","TNS1",0.386627906976744,9,0.414746543778802,5,0.455516014234875,10
"12",3.10925990298454e-231,3.05833852392578,0.708,0.128,8.23487485305455e-227,"grouped_pr","FLRT3",0.777448071216617,10,0.400544959128065,5,0.288135593220339,7
"13",6.58561780897306e-212,2.58241751934264,0.533,0.054,1.74420087670651e-207,"grouped_pr","ADGRD1",0.631578947368421,8,0.438405797101449,5,0.660550458715596,7
"14",1.0916625751473e-211,1.89706225846347,0.658,0.105,2.89126833027762e-207,"grouped_pr","AQP1",0.553672316384181,8,0.495601173020528,4,0.466216216216216,8
"15",5.09522073010632e-208,4.37943467841908,0.504,0.052,1.34946921036866e-203,"grouped_pr","AGER",0.591836734693878,9,0.647509578544061,5,0.46031746031746,10
"16",2.51324334850321e-207,1.6726546178741,0.876,0.235,6.65632500851076e-203,"grouped_pr","C16orf89",0.417040358744395,10,0.370044052863436,5,0.425742574257426,9
"17",2.74208810407101e-207,2.48756484875543,0.799,0.215,7.26242034363208e-203,"grouped_pr","SCGB3A1",0.612820512820513,8,0.410628019323671,5,0.581818181818182,10
"18",2.52403656015587e-198,1.76955016066488,0.807,0.178,6.68491082957283e-194,"grouped_pr","CYP4B1",0.31404958677686,10,0.437799043062201,5,0.727906976744186,11
"19",6.67499913090959e-198,1.80968472759407,0.772,0.173,1.7678735198214e-193,"grouped_pr","C4BPA",0.502439024390244,7,0.445,5,0.557228915662651,7
"20",9.4461778987614e-193,1.75929516924063,0.902,0.311,2.50182021648696e-188,"grouped_pr","NKX2-1",0.260204081632653,11,0.370449678800857,5,0.506129597197898,10
"21",3.29984437298197e-185,2.14314026051549,0.911,0.404,8.73963782184276e-181,"grouped_pr","ATP13A4",0.759407069555302,10,0.379237288135593,5,0.434666666666667,9
"22",1.3876665731331e-183,2.86250916919554,0.548,0.078,3.67523491894302e-179,"grouped_pr","PDE4C",0.6,8,0.545774647887324,5,0.313725490196078,10
"23",1.89908090961034e-183,2.87959678155898,0.6,0.102,5.02971578910299e-179,"grouped_pr","CACNA2D2",0.841628959276018,7,0.37620578778135,5,0.442105263157895,9
"24",2.35647702769441e-183,1.86902045981949,0.851,0.276,6.24112940784864e-179,"grouped_pr","SFTA3",0.295652173913043,11,0.394557823129252,5,0.38160469667319,10
"25",5.00965049019443e-181,2.70770041907857,0.471,0.05,1.326805932328e-176,"grouped_pr","GGTLC1",0.826086956521739,4,0.491803278688525,5,0.595419847328244,8
"26",2.8352598717184e-180,2.28360175619044,0.776,0.223,7.50918577024618e-176,"grouped_pr","CYP2B7P",0.458333333333333,9,0.417910447761194,5,0.495468277945619,9
"27",1.05120938303935e-174,1.96177421505126,0.78,0.215,2.78412805097971e-170,"grouped_pr","NFIX",0.429508196721311,10,0.386138613861386,5,0.394444444444444,10
"28",3.30654763062843e-174,2.17360372387328,0.678,0.148,8.7573913997194e-170,"grouped_pr","CYBRD1",0.369565217391304,8,0.475783475783476,5,0.558394160583942,9
"29",3.05244905630205e-172,-1.70823036007164,0.664,0.963,8.08441132561598e-168,"grouped_pr","PERP",0.482517482517482,11,0.40406976744186,6,0.353061224489796,11
"30",2.22948984071075e-162,2.54160312430183,0.324,0.017,5.90480384312243e-158,"grouped_pr","AARD",0.586206896551724,6,0.44047619047619,4,0.217391304347826,8
"31",3.39986764630761e-162,2.40076281972472,0.737,0.22,9.00454946124571e-158,"grouped_pr","SCNN1B",0.314855875831486,10,0.429319371727749,6,0.567099567099567,8
