"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","grouped_pr pt.occupancy","grouped_pr n.nonzero.pts","grouped_pd pt.occupancy","grouped_pd n.nonzero.pts","gene"
"CLDN18",5.87851454093466e-204,5.83702378169362,0.47,0.014,1.55692457616654e-199,0.731404958677686,5,0.6,4,"CLDN18"
"PGC",9.61119977723801e-245,4.95403497707518,0.503,0.003,2.54552626100149e-240,0.378378378378378,5,0.571428571428571,4,"PGC"
"MS4A15",0,4.6048221460267,0.742,0.014,0,0.371727748691099,5,0.862068965517241,4,"MS4A15"
"AQP4",0,4.33834641609066,0.802,0.057,0,0.433414043583535,5,0.906779661016949,5,"AQP4"
"AGER",2.73787798940837e-168,4.30242035397414,0.513,0.052,7.25126985494806e-164,0.643939393939394,5,0.611111111111111,9,"AGER"
"SUSD2",0,4.29065801272474,0.901,0.141,0,0.379310344827586,5,0.873720136518771,7,"SUSD2"
"DLC1",9.11579666439283e-286,4.23068689367518,0.703,0.041,2.41431874656444e-281,0.414364640883978,5,0.694117647058824,9,"DLC1"
"PDE4C",3.76609974777349e-199,4.1540951775861,0.553,0.043,9.97451518197808e-195,0.540350877192982,5,0.606741573033708,8,"PDE4C"
"GGTLC1",7.5419942534382e-214,4.07419436493416,0.478,0.011,1.99749717802311e-209,0.495934959349593,5,0.826086956521739,4,"GGTLC1"
"PEBP4",1.65963598918984e-204,4.03009643400707,0.476,0.015,4.3955459173693e-200,0.330612244897959,4,0.483870967741935,5,"PEBP4"
"SFTPC",4.94048438397077e-91,3.95164912139395,0.299,0.029,1.30848728909466e-86,0.5,4,0.688524590163934,4,"SFTPC"
"LRRC36",7.26553234412739e-132,3.81071230503235,0.367,0.024,1.92427624134214e-127,0.555555555555556,4,0.448979591836735,7,"LRRC36"
"CRTAC1",1.76688979757068e-117,3.76211222361977,0.32,0.018,4.67960762886596e-113,0.76969696969697,5,0.447368421052632,6,"CRTAC1"
"RGS16",3.41917783529345e-285,3.74994548359959,0.885,0.162,9.05569249677471e-281,0.385964912280702,5,0.406528189910979,9,"RGS16"
"SCGB3A2",3.19349470000426e-168,3.68560502831626,0.571,0.073,8.45797071296128e-164,0.537414965986395,5,0.592105263157895,10,"SCGB3A2"
"CYP4B1",0,3.67760555388993,0.8,0.057,0,0.434466019417476,5,0.322033898305085,10,"CYP4B1"
"RNASE1",1.72137828831477e-264,3.6708716814829,0.903,0.188,4.55907039660166e-260,0.365591397849462,5,0.317135549872123,9,"RNASE1"
"KIAA1683",8.17632013064889e-186,3.59942507053652,0.596,0.069,2.16549838660236e-181,0.397394136807818,5,0.405594405594406,7,"KIAA1683"
"NPTX1",7.23037168435015e-68,3.59728998086509,0.194,0.012,1.91496394060014e-63,0.53,4,0.44,5,"NPTX1"
"C16orf89",4.28130629196414e-307,3.58487130659157,0.876,0.113,1.1339039714267e-302,0.372505543237251,5,0.438297872340426,10,"C16orf89"
"PTCSC3",8.8909486190982e-136,3.46894933424907,0.326,0.01,2.35476774176816e-131,0.642857142857143,4,0.619047619047619,5,"PTCSC3"
"CES3",7.76314583710716e-76,3.45081318932845,0.206,0.011,2.05606917495783e-71,0.877358490566038,4,0.363636363636364,4,"CES3"
"PEG10",6.57858413176889e-124,3.43705795616575,0.384,0.035,1.74233800729899e-119,0.717171717171717,5,0.291666666666667,9,"PEG10"
"TMEM130",1.908084847777e-100,3.38909151111729,0.338,0.036,5.05356271933739e-96,0.568965517241379,5,0.6,6,"TMEM130"
"ADGRD1",1.50712415480347e-213,3.35304665872607,0.54,0.028,3.99161832399699e-209,0.442446043165468,5,0.620689655172414,8,"ADGRD1"
"AFF3",6.68665705651571e-94,3.33267959360256,0.239,0.009,1.77096112141819e-89,0.552845528455285,4,0.421052631578947,6,"AFF3"
"SCGB3A1",5.45390285285631e-202,3.22945656348206,0.806,0.196,1.44446617057899e-197,0.407228915662651,5,0.58578431372549,8,"SCGB3A1"
"SFTPD",9.0154018932092e-275,3.22807603506054,0.798,0.085,2.38772919141646e-270,0.413625304136253,5,0.585227272727273,8,"SFTPD"
"SOD3",2.21496910300977e-99,3.17880643830051,0.46,0.099,5.86634566932139e-95,0.573839662447257,5,0.282926829268293,10,"SOD3"
"PID1",1.47776686301249e-161,3.17845967114294,0.46,0.035,3.91386553668858e-157,0.59915611814346,5,0.333333333333333,10,"PID1"
"CFTR",8.13041599279672e-90,3.17829553921972,0.291,0.027,2.15334067569221e-85,0.68,5,0.357142857142857,9,"CFTR"
"GFRA3",3.86961252189618e-71,3.15879853530206,0.173,0.005,1.0248668764242e-66,0.426966292134831,5,0.4,4,"GFRA3"
"ZDHHC11",1.01616985553258e-123,3.14624618008727,0.478,0.071,2.69132586237803e-119,0.544715447154472,5,0.459459459459459,9,"ZDHHC11"
"BCAT1",9.55003008266556e-115,3.1282578052655,0.355,0.031,2.52932546739397e-110,0.595628415300546,4,0.21875,10,"BCAT1"
"FMO2",1.72351262240476e-65,3.11281969344054,0.161,0.005,4.56472318043901e-61,0.493975903614458,4,0.3,4,"FMO2"
"LRRN4",2.05215835737295e-133,3.1098827439329,0.482,0.064,5.43514140950224e-129,0.576612903225806,5,0.350746268656716,7,"LRRN4"
"AARD",2.27704544691103e-129,3.10862931387202,0.33,0.014,6.03075486614388e-125,0.447058823529412,4,0.620689655172414,6,"AARD"
"FAM184A",1.57802468800759e-191,3.08039011271462,0.602,0.068,4.17939838618811e-187,0.467741935483871,5,0.439716312056738,9,"FAM184A"
"HSD17B6",3.49173222916516e-107,3.07325051041403,0.538,0.133,9.24785280894392e-103,0.447653429602888,5,0.51985559566787,9,"HSD17B6"
"COL4A3",2.35136169564191e-98,3.04835607755088,0.476,0.101,6.22758145090759e-94,0.497959183673469,5,0.80952380952381,8,"COL4A3"
"FLRT3",8.76070527431554e-172,3.04610020567227,0.713,0.163,2.32027279190247e-167,0.400544959128065,5,0.775147928994083,10,"FLRT3"
"CACNA2D2",4.32760059678848e-153,3.0264332509595,0.606,0.107,1.14616501805943e-148,0.381410256410256,5,0.837837837837838,7,"CACNA2D2"
"PRF1",2.74148384582552e-75,3.02541373078411,0.196,0.008,7.26081996566889e-71,0.554455445544555,4,0.470588235294118,5,"PRF1"
"SNAI1",2.29335977701117e-82,3.02104162616721,0.402,0.085,6.07396336941408e-78,0.502415458937198,4,0.409090909090909,9,"SNAI1"
"ANKRD29",6.33751780214676e-114,3.01667097926365,0.536,0.124,1.67849158989857e-109,0.594202898550725,5,0.523255813953488,7,"ANKRD29"
"CH25H",7.63631821402814e-35,3.01200532426577,0.122,0.013,2.02247887898535e-30,0.476190476190476,5,0.307692307692308,6,"CH25H"
"TNS1",9.46862313148793e-233,3.00469185985769,0.841,0.171,2.50776483637458e-228,0.413394919168591,5,0.379213483146067,9,"TNS1"
"FBLN5",1.19068803013009e-111,3.00093118137812,0.518,0.109,3.15353724779954e-107,0.561797752808989,5,0.726872246696035,7,"FBLN5"
"FZD2",7.3100925635891e-73,2.99954065798282,0.227,0.018,1.93607801546657e-68,0.52991452991453,4,0.315789473684211,8,"FZD2"
"ITPR2",1.00619253383198e-126,2.98266129240334,0.583,0.13,2.66490092585399e-122,0.53,5,0.362962962962963,11,"ITPR2"
"ICAM4",1.12062807385733e-187,2.98009631639554,0.685,0.113,2.96798345361114e-183,0.424929178470255,5,0.311965811965812,9,"ICAM4"
"NINJ2",6.31387790552073e-55,2.97118627041417,0.437,0.172,1.67223056327717e-50,0.582222222222222,4,0.547486033519553,9,"NINJ2"
"LOC643441",7.49300780917231e-117,2.95023795909732,0.355,0.028,1.98452311825929e-112,0.442622950819672,5,0.864406779661017,4,"LOC643441"
"RCN3",6.24309755876241e-131,2.94295800644337,0.398,0.035,1.65348438843822e-126,0.580487804878049,4,0.305555555555556,9,"RCN3"
"C4BPA",6.62408217119487e-239,2.92479795231052,0.777,0.11,1.75438816304096e-234,0.4425,5,0.543859649122807,7,"C4BPA"
"IRX2",2.89981785972205e-116,2.91101212057416,0.75,0.334,7.68016760147386e-112,0.461139896373057,5,0.488472622478386,9,"IRX2"
"NHS",1.1023850957726e-59,2.90981951043733,0.291,0.055,2.91966692615372e-55,0.8,4,0.391304347826087,6,"NHS"
"BRDT",1.98543210909249e-78,2.90367194392152,0.192,0.006,5.25841694093146e-74,0.494949494949495,4,0.416666666666667,4,"BRDT"
"PLXNA2",3.77033808983126e-165,2.89603236555512,0.717,0.164,9.98574043091809e-161,0.436314363143631,5,0.55425219941349,9,"PLXNA2"
"PTGS2",2.3798166865711e-113,2.88929090388116,0.557,0.133,6.30294449438355e-109,0.425087108013937,5,0.592057761732852,9,"PTGS2"
"LRIG2",1.04581200289885e-103,2.87753003581122,0.509,0.11,2.76983308967761e-99,0.484732824427481,4,0.406113537117904,9,"LRIG2"
"PLEKHG2",2.58155758808997e-26,2.87061808926022,0.536,0.381,6.8372552720563e-22,0.452898550724638,5,0.735777496839444,10,"PLEKHG2"
"KCNJ15",2.75632199432405e-154,2.86740567606987,0.497,0.051,7.30011880196724e-150,0.62109375,5,0.752380952380952,7,"KCNJ15"
"CYP2B7P",2.29836537391463e-195,2.86517293436665,0.779,0.177,6.08722069281291e-191,0.41645885286783,5,0.448369565217391,10,"CYP2B7P"
"SLC47A1",3.82870151033902e-75,2.84834544569624,0.249,0.024,1.01403159501329e-70,0.7578125,4,0.714285714285714,4,"SLC47A1"
"KHDRBS2",1.18296027224429e-97,2.84673717365254,0.214,0.002,3.133070281039e-93,0.609090909090909,5,0.5,3,"KHDRBS2"
"NFIX",9.59029815124034e-210,2.81568377005332,0.783,0.148,2.539990465356e-205,0.382133995037221,5,0.42671009771987,10,"NFIX"
"CLIC6",1.68927301027151e-172,2.80441363078115,0.796,0.236,4.4740395677041e-168,0.392682926829268,5,0.657142857142857,10,"CLIC6"
"ATP11A-AS1",2.24188788588515e-34,2.80344325217207,0.258,0.079,5.93764006576682e-30,0.503759398496241,4,0.74390243902439,8,"ATP11A-AS1"
"PRDM16",3.06291086963922e-146,2.79880880077204,0.482,0.052,8.11211943823948e-142,0.423387096774194,5,0.203703703703704,11,"PRDM16"
"LOC101928093",1.44677527019183e-79,2.77785366037202,0.32,0.047,3.83178430310305e-75,0.454545454545455,4,0.377551020408163,8,"LOC101928093"
"WIF1",1.44858312072669e-42,2.75812121401793,0.13,0.01,3.83657239524463e-38,0.656716417910448,4,0.55,5,"WIF1"
"ABCC6",2.41234584251895e-156,2.75776443511969,0.594,0.095,6.38909796391143e-152,0.437908496732026,5,0.338383838383838,9,"ABCC6"
"CADM1",1.04159144763927e-122,2.75751621401586,0.792,0.349,2.75865494907262e-118,0.406862745098039,5,0.775482093663912,8,"CADM1"
"MGP",4.56390115758219e-38,2.75060309740996,0.206,0.043,1.20874922158564e-33,0.443396226415094,5,0.471910112359551,9,"MGP"
"CITED2",5.23358762875912e-100,2.7455496631912,0.744,0.386,1.38611568347685e-95,0.352480417754569,5,0.728179551122195,11,"CITED2"
"BMP4",5.31909587269446e-92,2.74439690160154,0.454,0.099,1.40876254188313e-87,0.658119658119658,4,0.663414634146341,9,"BMP4"
"NUP210L",6.20375205028037e-115,2.74396741109287,0.41,0.05,1.64306373051676e-110,0.398104265402844,5,0.466019417475728,8,"NUP210L"
"ATHL1",6.54642181430552e-92,2.73759810081896,0.544,0.155,1.73381981751882e-87,0.446428571428571,4,0.605590062111801,8,"ATHL1"
"GLCCI1",7.48049577328647e-131,2.73636901639886,0.769,0.319,1.98120930555492e-126,0.436868686868687,5,0.742081447963801,11,"GLCCI1"
"FREM2",2.77299674349428e-49,2.7335104255159,0.169,0.016,7.3442818751446e-45,0.574712643678161,5,0.705882352941177,5,"FREM2"
"CYBRD1",2.3548915026135e-204,2.71993836160952,0.683,0.092,6.23693014467184e-200,0.471590909090909,5,0.387434554973822,9,"CYBRD1"
"P3H2",2.75727240915617e-102,2.70931801909923,0.464,0.089,7.30263597565011e-98,0.623430962343096,4,0.402173913043478,6,"P3H2"
"SCNN1B",1.28733621645404e-150,2.70304963969789,0.746,0.222,3.40950996927853e-146,0.427083333333333,6,0.311688311688312,9,"SCNN1B"
"PTCH2",4.09710747178386e-43,2.67999440276718,0.219,0.043,1.08511891390196e-38,0.469026548672566,5,0.325842696629214,7,"PTCH2"
"NOD1",3.2423963835384e-68,2.67065394672905,0.577,0.248,8.58748682180146e-64,0.535353535353535,5,0.537864077669903,10,"NOD1"
"PLEKHG4B",1.97753687110144e-80,2.65778758422209,0.348,0.057,5.23750640311217e-76,0.664804469273743,5,0.823529411764706,7,"PLEKHG4B"
"IRX3",2.80327313117838e-151,2.65775430805689,0.72,0.209,7.42446888792593e-147,0.442048517520216,6,0.532258064516129,11,"IRX3"
"PPARGC1A",1.18448572204937e-49,2.65714205862382,0.155,0.012,3.13711043484777e-45,0.5875,4,0.32,7,"PPARGC1A"
"GNMT",5.56602348937383e-56,2.63054056127875,0.173,0.013,1.47416132116066e-51,0.449438202247191,4,0.444444444444444,7,"GNMT"
"LL22NC03-75H12.2",2.12475422975197e-73,2.61838097156685,0.229,0.018,5.6274115774981e-69,0.796610169491525,4,0.447368421052632,4,"LL22NC03-75H12.2"
"AXIN2",1.07029174367518e-63,2.6150615499997,0.262,0.038,2.83466768312372e-59,0.42962962962963,4,0.683544303797468,5,"AXIN2"
"NKX2-1",4.58814618143195e-255,2.61162965631199,0.907,0.195,1.21517051615225e-250,0.370449678800857,5,0.28641975308642,11,"NKX2-1"
"DAND5",3.50074610971728e-30,2.6067773233274,0.134,0.021,9.27172607158622e-26,0.63768115942029,5,0.511627906976744,7,"DAND5"
"SFTA3",1.46018414439982e-239,2.59868256288375,0.862,0.173,3.86729770644292e-235,0.396396396396396,5,0.323119777158774,11,"SFTA3"
"LHFPL3-AS2",4.35501968252601e-60,2.5979051326907,0.179,0.012,1.15342696291701e-55,0.543478260869565,4,0.8,4,"LHFPL3-AS2"
"LIPE",4.49775717130139e-25,2.58759629305096,0.161,0.04,1.19123098681917e-20,0.566265060240964,4,0.626506024096386,7,"LIPE"
"SCTR",4.07190507900707e-112,2.58331741208524,0.386,0.041,1.07844406017502e-107,0.597989949748744,5,0.895348837209302,5,"SCTR"
"PRX",2.48709869453859e-24,2.57681253714954,0.233,0.085,6.58708089248545e-20,0.4,5,0.774011299435028,6,"PRX"
"FABP3",4.83928918553706e-30,2.56919176997783,0.266,0.091,1.28168574078949e-25,0.430656934306569,5,0.721052631578947,8,"FABP3"
"ICAM5",1.30184721671403e-81,2.56709299947795,0.25,0.019,3.44794235346711e-77,0.426356589147287,4,0.487179487179487,7,"ICAM5"
"PHACTR1",4.97098783862797e-113,2.56392384810149,0.348,0.029,1.31656612906062e-108,0.41340782122905,4,0.716666666666667,7,"PHACTR1"
"GATA6",7.16951164619167e-104,2.56150107991628,0.652,0.244,1.89884515949386e-99,0.505952380952381,5,0.631163708086785,9,"GATA6"
"MST1P2",1.635881953475e-97,2.56049498974375,0.419,0.07,4.33263335377855e-93,0.555555555555556,4,0.452054794520548,7,"MST1P2"
"PRICKLE1",1.11858547909368e-115,2.55594555469431,0.39,0.041,2.9625736413796e-111,0.552238805970149,4,0.317647058823529,8,"PRICKLE1"
"RIMKLA",2.60763594029278e-125,2.54970619727725,0.39,0.034,6.90632378786542e-121,0.507462686567164,5,0.408450704225352,7,"RIMKLA"
"SLC1A2",1.21349696628426e-45,2.4996310246974,0.132,0.008,3.21394671520387e-41,0.426470588235294,5,0.235294117647059,6,"SLC1A2"
"FLJ37453",6.64158912272207e-96,2.48446412128451,0.685,0.302,1.75902487915294e-91,0.41643059490085,5,0.473684210526316,9,"FLJ37453"
"ARHGAP31",1.97712826464792e-71,2.46789582289183,0.295,0.043,5.23642420892001e-67,0.447368421052632,4,0.555555555555556,7,"ARHGAP31"
"SEMA4A",1.05263952780186e-74,2.46777216263728,0.464,0.126,2.78791578938322e-70,0.334728033472803,5,0.478927203065134,8,"SEMA4A"
"SFTPB",0,2.4674144697029,0.936,0.122,0,0.37344398340249,5,0.462450592885375,9,"SFTPB"
"FOXA2",4.90620611636902e-198,2.46657039888292,0.707,0.11,1.29940868992034e-193,0.434065934065934,5,0.460526315789474,9,"FOXA2"
"CFAP221",6.52025630492804e-127,2.46601781560728,0.452,0.055,1.72688988236019e-122,0.476394849785408,5,0.608695652173913,6,"CFAP221"
"CD302",3.48633480639007e-150,2.46429623783408,0.559,0.088,9.23355773472411e-146,0.402777777777778,5,0.247252747252747,11,"CD302"
"POMC",7.51311163997552e-67,2.46065259918633,0.252,0.032,1.98984761784752e-62,0.907692307692308,4,0.552238805970149,6,"POMC"
"CDH15",1.77919794361835e-81,2.45351893409806,0.274,0.027,4.71220575367319e-77,0.482269503546099,4,0.578947368421053,8,"CDH15"
"RGL3",3.3246088571304e-27,2.44720168747761,0.313,0.131,8.80522655810986e-23,0.37888198757764,5,0.703296703296703,9,"RGL3"
"TPPP",4.51525202639018e-28,2.44242059808465,0.305,0.121,1.19586449918944e-23,0.464968152866242,4,0.733067729083665,8,"TPPP"
"LOC101927132",7.84969615857575e-89,2.42246633431857,0.247,0.014,2.07899202759879e-84,0.47244094488189,5,0.689655172413793,6,"LOC101927132"
"WNT3A",1.69580849230387e-24,2.42182713623236,0.184,0.055,4.49134879186679e-20,0.747368421052632,4,0.868421052631579,7,"WNT3A"
"MARC1",8.7799556473378e-88,2.42110249301286,0.505,0.134,2.32537125319742e-83,0.542307692307692,5,0.494623655913978,9,"MARC1"
"DEGS2",3.55361770201534e-105,2.42028547365226,0.526,0.125,9.41175648378763e-101,0.483394833948339,5,0.548262548262548,6,"DEGS2"
"ATP1B2",1.03108451947365e-45,2.40114873510169,0.153,0.014,2.73082734982596e-41,0.468354430379747,5,0.3,6,"ATP1B2"
"RASL11A",1.12734035552874e-93,2.40027908450543,0.371,0.053,2.98576093161786e-89,0.554973821989529,5,0.459459459459459,7,"RASL11A"
