"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","grouped_pr pt.occupancy","grouped_pr n.nonzero.pts","grouped_pd pt.occupancy","grouped_pd n.nonzero.pts","gene"
"LILRB3",1.1635126492303e-33,2.3992224934497,0.204,0.048,3.08156325148645e-29,0.40952380952381,4,0.31,8,"LILRB3"
"MAGI3",5.03360619255855e-104,2.38235332197655,0.746,0.351,1.33315060009913e-99,0.447916666666667,5,0.536986301369863,10,"MAGI3"
"SCUBE3",7.29784205228389e-62,2.37722802527692,0.32,0.065,1.93283346754739e-57,0.375757575757576,5,0.308823529411765,9,"SCUBE3"
"CACHD1",1.98378176467622e-78,2.37700414603132,0.52,0.159,5.25404600374496e-74,0.41044776119403,5,0.633333333333333,9,"CACHD1"
"SYT2",4.54122505055233e-49,2.3767568587555,0.217,0.034,1.20274345463878e-44,0.571428571428571,4,0.422535211267606,6,"SYT2"
"ESYT3",6.06786209546941e-89,2.36938607136109,0.313,0.034,1.60707327598507e-84,0.366459627329193,5,0.442857142857143,6,"ESYT3"
"PALM3",3.76748512797581e-49,2.36473232735678,0.39,0.131,9.97818436144394e-45,0.427860696517413,4,0.82051282051282,6,"PALM3"
"ARC",5.05362071313968e-40,2.36386994240512,0.202,0.038,1.33845144587504e-35,0.701923076923077,4,0.58974358974359,5,"ARC"
"AQP5",2.4793395021127e-188,2.36314980886664,0.594,0.061,6.56653067134549e-184,0.5,4,0.785714285714286,5,"AQP5"
"CXCL14",1.59739604715837e-65,2.35002399561795,0.454,0.135,4.23070343089894e-61,0.44017094017094,5,0.323843416370107,8,"CXCL14"
"VIM",3.4757026276235e-91,2.34606564551028,0.581,0.181,9.20539840926083e-87,0.391304347826087,6,0.271276595744681,11,"VIM"
"ADGRF5",4.29047317964056e-225,2.33914146278469,0.858,0.17,1.1363318216278e-220,0.373303167420814,5,0.28328611898017,10,"ADGRF5"
"FGFR1",6.11018050036468e-63,2.33868877798213,0.427,0.127,1.61828130552159e-58,0.377272727272727,5,0.494296577946768,10,"FGFR1"
"ARHGAP24",5.84134481947537e-83,2.33043035694683,0.388,0.073,1.54708017543805e-78,0.525,5,0.269736842105263,9,"ARHGAP24"
"HIST1H2BN",4.63617562143308e-16,2.323529534,0.235,0.11,1.22789111333655e-11,0.59504132231405,5,0.48471615720524,8,"HIST1H2BN"
"ALS2CR11",8.47646736137256e-30,2.32215557869846,0.169,0.037,2.24499238065952e-25,0.517241379310345,4,0.753246753246753,5,"ALS2CR11"
"ANOS1",2.75502961882562e-68,2.31857544396026,0.25,0.029,7.29669594545965e-64,0.395348837209302,5,0.333333333333333,7,"ANOS1"
"SBK1",5.99185535089288e-55,2.31782897586288,0.235,0.035,1.58694288968398e-50,0.454545454545455,4,0.356164383561644,8,"SBK1"
"ADAMTS1",2.41745431280256e-95,2.31026464060395,0.39,0.059,6.40262774745757e-91,0.398009950248756,4,0.573770491803279,7,"ADAMTS1"
"NDNF",1.07634101596445e-49,2.30866879140958,0.501,0.239,2.85068918078184e-45,0.651162790697674,5,0.716297786720322,9,"NDNF"
"CLUHP3",3.39289377940934e-63,2.30077406717045,0.406,0.109,8.98607917476563e-59,0.516746411483254,5,0.480176211453745,9,"CLUHP3"
"NECAB3",5.64180576486423e-71,2.2989239806145,0.629,0.296,1.49423225682429e-66,0.509259259259259,5,0.390243902439024,10,"NECAB3"
"GSTA4",1.42735550327061e-112,2.29721317689395,0.6,0.159,3.78035105041221e-108,0.381877022653722,5,0.433333333333333,10,"GSTA4"
"RPPH1",7.45249169900159e-46,2.29197393101188,0.25,0.053,1.97379242648057e-41,0.333333333333333,5,0.272727272727273,8,"RPPH1"
"FHOD1",6.73756953665102e-69,2.28502722287684,0.515,0.177,1.78444529178202e-64,0.392452830188679,5,0.482288828337875,11,"FHOD1"
"KCNQ1OT1",5.99702024992248e-89,2.28259176492215,0.816,0.491,1.58831081319197e-84,0.366666666666667,6,0.516160626836435,10,"KCNQ1OT1"
"CREB3L1",3.97399839184358e-90,2.2797455834975,0.559,0.172,1.05251347407977e-85,0.447916666666667,5,0.582633053221289,9,"CREB3L1"
"ESAM",5.435321441908e-102,2.26641324944505,0.452,0.082,1.43954488388933e-97,0.360515021459227,5,0.576470588235294,6,"ESAM"
"MAP1LC3A",3.72554024054375e-61,2.25959342703546,0.685,0.497,9.86709332708011e-57,0.419263456090652,5,0.790697674418605,11,"MAP1LC3A"
"FAM46C",1.66225892313715e-121,2.25632180944537,0.602,0.144,4.40249275792873e-117,0.454838709677419,5,0.367892976588629,10,"FAM46C"
"SLC9A5",1.6388277647282e-47,2.25490619225129,0.256,0.054,4.34043533488264e-43,0.568181818181818,4,0.303571428571429,8,"SLC9A5"
"ALPL",3.5336895434579e-128,2.24885953549406,0.41,0.038,9.35897675584826e-124,0.37914691943128,5,0.5125,10,"ALPL"
"SYDE2",4.8976048438914e-78,2.2450357672559,0.456,0.12,1.29713064290464e-73,0.553191489361702,5,0.485943775100402,8,"SYDE2"
"HIST1H2AM",9.68356074347134e-22,2.23847053692151,0.363,0.207,2.56469106290838e-17,0.46524064171123,5,0.5,9,"HIST1H2AM"
"TIMP3",1.82862896869239e-123,2.2378758177354,0.672,0.194,4.8431238235818e-119,0.511560693641618,6,0.381188118811881,10,"TIMP3"
"ATP13A4",1.12739055723872e-173,2.23007546244351,0.92,0.429,2.98589389084674e-169,0.377637130801688,5,0.747474747474748,10,"ATP13A4"
"POU3F1",7.46616747486128e-51,2.22840751820982,0.25,0.046,1.97741445571701e-46,0.496124031007752,4,0.652631578947368,6,"POU3F1"
"GJA1",5.58275171159407e-49,2.22660812645222,0.25,0.049,1.47859179081569e-44,0.534883720930233,5,0.455445544554455,8,"GJA1"
"GBAP1",3.91183751363037e-11,2.22279416083591,0.144,0.062,1.036050165485e-06,0.459459459459459,4,0.59375,9,"GBAP1"
"GSTM1",6.87984708239771e-64,2.22265035878889,0.348,0.077,1.82212749977303e-59,0.513966480446927,4,0.5625,7,"GSTM1"
"AQP4-AS1",1.98146584726815e-75,2.22176240434693,0.2,0.009,5.24791229648971e-71,0.70873786407767,4,0.368421052631579,5,"AQP4-AS1"
"TRIM46",2.35762122906459e-23,2.22095157351362,0.25,0.096,6.24415982517756e-19,0.418604651162791,4,0.778894472361809,6,"TRIM46"
"SLC43A1",2.7555083426845e-36,2.22019957891401,0.153,0.022,7.29796384559991e-32,0.556962025316456,4,0.391304347826087,6,"SLC43A1"
"ZSWIM5",1.13655719731089e-32,2.21626546949481,0.163,0.03,3.01017173707789e-28,0.55952380952381,5,0.451612903225806,9,"ZSWIM5"
"ETV1",4.22869786029321e-51,2.21333316661847,0.231,0.038,1.11997062829866e-46,0.445378151260504,4,0.525641025641026,6,"ETV1"
"ABCC6P1",3.65744743712155e-98,2.20944898134202,0.291,0.021,9.68674953721642e-94,0.56,5,0.534883720930233,7,"ABCC6P1"
"AQP1",6.68538477919043e-183,2.20887463211474,0.66,0.094,1.77062415876859e-178,0.491176470588235,4,0.584615384615385,8,"AQP1"
"SLC16A10",5.13731782139771e-62,2.20806396440793,0.223,0.025,1.36061862499718e-57,0.478260869565217,4,0.784313725490196,5,"SLC16A10"
"FLT4",6.52078707622631e-38,2.20475549912712,0.12,0.01,1.72703045713854e-33,0.435483870967742,4,0.55,3,"FLT4"
"LOC344967",6.57461622521524e-31,2.20423032892953,0.142,0.023,1.74128710724826e-26,0.452054794520548,4,0.4375,6,"LOC344967"
"AK1",6.4963572397765e-142,2.20208818077697,0.907,0.597,1.72056021495481e-137,0.381156316916488,6,0.475806451612903,11,"AK1"
"TET1",5.96044693443554e-27,2.20035724548998,0.14,0.026,1.57862437058525e-22,0.388888888888889,4,0.527272727272727,7,"TET1"
"GNG7",4.05778420656959e-76,2.19950234246772,0.247,0.022,1.07470414710996e-71,0.425196850393701,4,0.355555555555556,6,"GNG7"
"ABCC4",7.79957003943096e-21,2.19584925848861,0.19,0.061,2.06571612494329e-16,0.551020408163265,6,0.21259842519685,8,"ABCC4"
"GAS6",3.24063814252129e-102,2.19337112089971,0.693,0.256,8.58283012046763e-98,0.456582633053221,5,0.580037664783427,10,"GAS6"
"JDP2",3.30749580948591e-48,2.19212615746227,0.569,0.298,8.75990265142342e-44,0.453924914675768,5,0.618739903069467,10,"JDP2"
"ST3GAL6",3.27023230909538e-47,2.18773271081478,0.219,0.037,8.66121027063911e-43,0.619469026548673,4,0.368421052631579,9,"ST3GAL6"
"MZF1-AS1",5.1404454808998e-51,2.18759086591573,0.33,0.089,1.36144698561631e-46,0.611764705882353,4,0.456521739130435,10,"MZF1-AS1"
"ROR1",5.41951534195772e-57,2.16903728329448,0.334,0.077,1.4353586383175e-52,0.406976744186047,4,0.578616352201258,8,"ROR1"
"ERICH2",8.59311417698935e-122,2.16561417718871,0.569,0.124,2.27588628977563e-117,0.37542662116041,5,0.575875486381323,8,"ERICH2"
"LDHD",4.74978619297486e-60,2.16443281629527,0.301,0.058,1.25798087320939e-55,0.606451612903226,4,0.35,7,"LDHD"
"FCGR1B",8.73365598749911e-30,2.16166710812023,0.138,0.023,2.31310878828914e-25,0.549295774647887,5,0.361702127659574,6,"FCGR1B"
"AASS",4.75428768232553e-150,2.16013018136216,0.621,0.115,1.25917309266392e-145,0.440625,5,0.382352941176471,10,"AASS"
"CYP1B1",1.6423053992054e-113,2.15960689361961,0.487,0.083,4.3496458497955e-109,0.50597609561753,5,0.358381502890173,9,"CYP1B1"
"SLC22A31",1.10745087841092e-149,2.15841502336988,0.744,0.199,2.93308365147131e-145,0.446475195822454,5,0.283292978208232,9,"SLC22A31"
"KIAA1324",4.19057170231603e-66,2.15752026626209,0.305,0.053,1.1098729153584e-61,0.707006369426752,4,0.381818181818182,9,"KIAA1324"
"CDR1",6.85821482187693e-32,2.15711627716018,0.134,0.019,1.8163981955741e-27,0.710144927536232,4,0.425,4,"CDR1"
