"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","naive pt.occupancy","naive n.nonzero.pts","grouped_pr pt.occupancy","grouped_pr n.nonzero.pts","gene","sig"
"MS4A15",3.36933747377572e-208,5.00813758968536,0.013,0.742,8.923690299295e-204,0.538461538461538,5,0.371727748691099,5,"MS4A15","p_val_adj<0.05"
"CLDN18",3.15605343795861e-106,4.49477692041443,0.026,0.47,8.35880753043337e-102,0.37037037037037,6,0.731404958677686,5,"CLDN18","p_val_adj<0.05"
"AGER",5.28092107745813e-97,4.20881593714255,0.068,0.513,1.39865194736479e-92,0.514285714285714,10,0.643939393939394,5,"AGER","p_val_adj<0.05"
"AQP4",1.04944349494282e-163,3.97101442123646,0.143,0.802,2.77945109635605e-159,0.496598639455782,8,0.433414043583535,5,"AQP4","p_val_adj<0.05"
"PGC",2.30186917560401e-117,3.79200754378225,0.022,0.503,6.09650051158722e-113,0.347826086956522,5,0.378378378378378,5,"PGC","p_val_adj<0.05"
"PEBP4",1.21533556980412e-107,3.32814448294668,0.023,0.476,3.21881625662622e-103,0.458333333333333,5,0.330612244897959,4,"PEBP4","p_val_adj<0.05"
"CAV1",1.8515676843041e-100,3.23237794463907,0.12,0.604,4.9038770118794e-96,0.471544715447154,10,0.52411575562701,6,"CAV1","p_val_adj<0.05"
"HOXC10",1.01887293342151e-93,3.18392109027458,0,0.363,2.69848496416688e-89,NA,0,0.631016042780749,4,"HOXC10","p_val_adj<0.05"
"ANKRD29",3.19704379543962e-97,3.13980114311996,0.077,0.536,8.46737049222184e-93,0.683544303797468,8,0.594202898550725,5,"ANKRD29","p_val_adj<0.05"
"CADM1",3.20217210211653e-143,3.07687793759889,0.17,0.792,8.48095281245562e-139,0.445714285714286,10,0.406862745098039,5,"CADM1","p_val_adj<0.05"
"FLRT3",4.16612742475605e-165,3.05093037849054,0.057,0.713,1.10339884844664e-160,0.288135593220339,7,0.400544959128065,5,"FLRT3","p_val_adj<0.05"
"NPTX1",5.63489956272133e-39,2.9582676639233,0.012,0.194,1.49240314918674e-34,0.5,5,0.53,4,"NPTX1","p_val_adj<0.05"
