"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","grouped_pr.pt.occupancy","grouped_pr.n.nonzero.pts","grouped_pd.pt.occupancy","grouped_pd.n.nonzero.pts","gene"
"CLDN18",5.87851454093466e-204,5.83702378169362,0.47,0.014,1.55692457616654e-199,0.731404958677686,5,0.6,4,"CLDN18"
"PGC",9.61119977723801e-245,4.95403497707518,0.503,0.003,2.54552626100149e-240,0.378378378378378,5,0.571428571428571,4,"PGC"
"MS4A15",0,4.6048221460267,0.742,0.014,0,0.371727748691099,5,0.862068965517241,4,"MS4A15"
"AQP4",0,4.33834641609066,0.802,0.057,0,0.433414043583535,5,0.906779661016949,5,"AQP4"
"AGER",2.73787798940837e-168,4.30242035397414,0.513,0.052,7.25126985494806e-164,0.643939393939394,5,0.611111111111111,9,"AGER"
"SUSD2",0,4.29065801272474,0.901,0.141,0,0.379310344827586,5,0.873720136518771,7,"SUSD2"
"DLC1",9.11579666439283e-286,4.23068689367518,0.703,0.041,2.41431874656444e-281,0.414364640883978,5,0.694117647058824,9,"DLC1"
"PDE4C",3.76609974777349e-199,4.1540951775861,0.553,0.043,9.97451518197808e-195,0.540350877192982,5,0.606741573033708,8,"PDE4C"
"GGTLC1",7.5419942534382e-214,4.07419436493416,0.478,0.011,1.99749717802311e-209,0.495934959349593,5,0.826086956521739,4,"GGTLC1"
"PEBP4",1.65963598918984e-204,4.03009643400707,0.476,0.015,4.3955459173693e-200,0.330612244897959,4,0.483870967741935,5,"PEBP4"
"SFTPC",4.94048438397077e-91,3.95164912139395,0.299,0.029,1.30848728909466e-86,0.5,4,0.688524590163934,4,"SFTPC"
"LRRC36",7.26553234412739e-132,3.81071230503235,0.367,0.024,1.92427624134214e-127,0.555555555555556,4,0.448979591836735,7,"LRRC36"
"CRTAC1",1.76688979757068e-117,3.76211222361977,0.32,0.018,4.67960762886596e-113,0.76969696969697,5,0.447368421052632,6,"CRTAC1"
"RGS16",3.41917783529345e-285,3.74994548359959,0.885,0.162,9.05569249677471e-281,0.385964912280702,5,0.406528189910979,9,"RGS16"
"SCGB3A2",3.19349470000426e-168,3.68560502831626,0.571,0.073,8.45797071296128e-164,0.537414965986395,5,0.592105263157895,10,"SCGB3A2"
"CYP4B1",0,3.67760555388993,0.8,0.057,0,0.434466019417476,5,0.322033898305085,10,"CYP4B1"
"RNASE1",1.72137828831477e-264,3.6708716814829,0.903,0.188,4.55907039660166e-260,0.365591397849462,5,0.317135549872123,9,"RNASE1"
"KIAA1683",8.17632013064889e-186,3.59942507053652,0.596,0.069,2.16549838660236e-181,0.397394136807818,5,0.405594405594406,7,"KIAA1683"
"NPTX1",7.23037168435015e-68,3.59728998086509,0.194,0.012,1.91496394060014e-63,0.53,4,0.44,5,"NPTX1"
"C16orf89",4.28130629196414e-307,3.58487130659157,0.876,0.113,1.1339039714267e-302,0.372505543237251,5,0.438297872340426,10,"C16orf89"
"MS4A151",0,4.6048221460267,0.742,0.014,0,0.371727748691099,5,0.862068965517241,4,"MS4A15"
"AQP41",0,4.33834641609066,0.802,0.057,0,0.433414043583535,5,0.906779661016949,5,"AQP4"
"SUSD21",0,4.29065801272474,0.901,0.141,0,0.379310344827586,5,0.873720136518771,7,"SUSD2"
"CYP4B11",0,3.67760555388993,0.8,0.057,0,0.434466019417476,5,0.322033898305085,10,"CYP4B1"
"SFTPB",0,2.4674144697029,0.936,0.122,0,0.37344398340249,5,0.462450592885375,9,"SFTPB"
"C16orf891",4.28130629196414e-307,3.58487130659157,0.876,0.113,1.1339039714267e-302,0.372505543237251,5,0.438297872340426,10,"C16orf89"
"DLC11",9.11579666439283e-286,4.23068689367518,0.703,0.041,2.41431874656444e-281,0.414364640883978,5,0.694117647058824,9,"DLC1"
"RGS161",3.41917783529345e-285,3.74994548359959,0.885,0.162,9.05569249677471e-281,0.385964912280702,5,0.406528189910979,9,"RGS16"
"SFTPD",9.0154018932092e-275,3.22807603506054,0.798,0.085,2.38772919141646e-270,0.413625304136253,5,0.585227272727273,8,"SFTPD"
"RNASE11",1.72137828831477e-264,3.6708716814829,0.903,0.188,4.55907039660166e-260,0.365591397849462,5,0.317135549872123,9,"RNASE1"
"NKX2-1",4.58814618143195e-255,2.61162965631199,0.907,0.195,1.21517051615225e-250,0.370449678800857,5,0.28641975308642,11,"NKX2-1"
"PGC1",9.61119977723801e-245,4.95403497707518,0.503,0.003,2.54552626100149e-240,0.378378378378378,5,0.571428571428571,4,"PGC"
"SFTA3",1.46018414439982e-239,2.59868256288375,0.862,0.173,3.86729770644292e-235,0.396396396396396,5,0.323119777158774,11,"SFTA3"
"C4BPA",6.62408217119487e-239,2.92479795231052,0.777,0.11,1.75438816304096e-234,0.4425,5,0.543859649122807,7,"C4BPA"
"TNS1",9.46862313148793e-233,3.00469185985769,0.841,0.171,2.50776483637458e-228,0.413394919168591,5,0.379213483146067,9,"TNS1"
"ADGRF5",4.29047317964056e-225,2.33914146278469,0.858,0.17,1.1363318216278e-220,0.373303167420814,5,0.28328611898017,10,"ADGRF5"
"GGTLC11",7.5419942534382e-214,4.07419436493416,0.478,0.011,1.99749717802311e-209,0.495934959349593,5,0.826086956521739,4,"GGTLC1"
"ADGRD1",1.50712415480347e-213,3.35304665872607,0.54,0.028,3.99161832399699e-209,0.442446043165468,5,0.620689655172414,8,"ADGRD1"
"NFIX",9.59029815124034e-210,2.81568377005332,0.783,0.148,2.539990465356e-205,0.382133995037221,5,0.42671009771987,10,"NFIX"
"PEBP41",1.65963598918984e-204,4.03009643400707,0.476,0.015,4.3955459173693e-200,0.330612244897959,4,0.483870967741935,5,"PEBP4"
"KRT6A",7.76359062938264e-51,-7.18993279654635,0.016,0.349,2.05618697819199e-46,0.75,3,0.853793103448276,9,"KRT6A"
"AKR1B10",3.91880308733135e-47,-6.34451438115056,0.012,0.326,1.03789499767971e-42,0.5,2,0.85672082717873,7,"AKR1B10"
"LY6D",2.53860108327853e-104,-6.00028341827929,0.004,0.566,6.72348496906319e-100,1,1,0.480883602378929,7,"LY6D"
"DKK1",3.27797360504341e-139,-5.94183167946135,0.002,0.681,8.68171309295747e-135,1,1,0.581625441696113,7,"DKK1"
"ALOX5",1.70532066730301e-105,-5.52745731881043,0.016,0.579,4.51654178735201e-101,0.5,4,0.793848711554447,8,"ALOX5"
"S100A8",4.42737321534738e-62,-5.0967030609157,0.004,0.392,1.17258979608475e-57,1,1,0.64004914004914,8,"S100A8"
"KRT13",1.22328537625086e-40,-5.00140267439914,0.045,0.331,3.2398713190004e-36,0.782608695652174,4,0.86046511627907,7,"KRT13"
"GPX2",7.77113313584477e-62,-4.98963371496881,0.019,0.41,2.05818461102849e-57,0.5,3,0.714453584018801,9,"GPX2"
"S100A9",5.33078068452605e-207,-4.78853740689482,0.117,0.923,1.41185726429672e-202,0.466666666666667,5,0.478895257946847,9,"S100A9"
"KRT16",2.52219930271412e-77,-4.67892598127146,0.019,0.478,6.68004485323835e-73,0.5,2,0.678751258811682,8,"KRT16"
"VMO1",2.63201742041236e-68,-4.65641629446704,0.033,0.448,6.97089813796213e-64,0.470588235294118,3,0.974193548387097,7,"VMO1"
"GJB3",1.6776252221043e-133,-4.64597457427258,0.006,0.667,4.44319040074325e-129,1,1,0.525974025974026,8,"GJB3"
"AKR1C2",3.26213155996885e-43,-4.59891340448362,0.045,0.343,8.63975543657749e-39,0.565217391304348,3,0.875175315568022,9,"AKR1C2"
"TMEM176B",9.49598612353054e-96,-4.5712405893978,0.045,0.564,2.51501192481706e-91,0.391304347826087,5,0.806479113384484,8,"TMEM176B"
"AKR1C1",1.13820996844311e-37,-4.50934702034697,0.072,0.344,3.01454910142158e-33,0.648648648648649,4,0.876923076923077,9,"AKR1C1"
"AIM2",1.62999806483322e-52,-4.48451741413553,0.002,0.342,4.31704987471077e-48,1,1,0.758087201125176,7,"AIM2"
"LYPD3",8.02957600103245e-95,-4.46426242296522,0.08,0.607,2.12663320387344e-90,0.536585365853659,3,0.47898493259318,8,"LYPD3"
"CXCL5",6.59460180634019e-52,-4.37826986933439,0.023,0.365,1.7465802884092e-47,0.833333333333333,3,0.981554677206851,7,"CXCL5"
"HTR3A",5.01879782743237e-65,-4.29665612205248,0.004,0.406,1.32922860459546e-60,0.5,2,0.801897983392645,8,"HTR3A"
"PLAT",5.1019741845228e-72,-4.23922012604534,0.06,0.497,1.35125786277086e-67,0.354838709677419,4,0.487899322362052,8,"PLAT"
"S100A91",5.33078068452605e-207,-4.78853740689482,0.117,0.923,1.41185726429672e-202,0.466666666666667,5,0.478895257946847,9,"S100A9"
"IGFBP3",1.40487794170204e-182,-3.7164742699165,0.033,0.818,3.72081922859784e-178,0.411764705882353,4,0.564117647058824,8,"IGFBP3"
"ALDOA",1.16883467640408e-181,-1.52248462079581,0.963,0.997,3.0956586404562e-177,0.366935483870968,6,0.465958474167069,11,"ALDOA"
"PERP",8.58588842553435e-178,-1.87639150909025,0.658,0.971,2.27397254950277e-173,0.40117994100295,6,0.477700693756194,11,"PERP"
"KYNU",4.43970231303881e-177,-3.6470376316526,0.033,0.815,1.17585515760833e-172,0.823529411764706,2,0.562906083874778,9,"KYNU"
"PLAU",1.15436915959225e-174,-3.50455711469333,0.045,0.83,3.05734671918006e-170,0.652173913043478,3,0.473623188405797,9,"PLAU"
"CD99",2.77400182004493e-173,-1.67969974337285,0.454,0.949,7.34694382038899e-169,0.354700854700855,6,0.487062404870624,10,"CD99"
"PITX1",7.23251805641268e-173,-2.00397638233156,0.082,0.863,1.9155324072409e-168,0.5,4,0.494983277591973,9,"PITX1"
"B2M",5.09681455108148e-172,-0.998902053527853,0.986,0.998,1.34989133385393e-167,0.368110236220472,6,0.46502653159672,11,"B2M"
"GAPDH",2.50308875313828e-171,-1.28739699871256,0.94,0.999,6.62943056268672e-167,0.384297520661157,6,0.465060240963855,11,"GAPDH"
"TXN",4.03875541294261e-171,-1.51350202081767,0.833,0.994,1.06966437111785e-166,0.370629370629371,6,0.466602129719264,11,"TXN"
"TMSB10",2.05447875742618e-168,-1.1714737967546,0.977,0.999,5.44128698904324e-164,0.36779324055666,6,0.465060240963855,11,"TMSB10"
"ANXA2",1.74072984939597e-167,-1.21347542596957,0.93,0.997,4.61032300612523e-163,0.386221294363257,6,0.46450989859971,11,"ANXA2"
"UBD",3.74452391495145e-167,-4.17154963863862,0.043,0.79,9.91737158874891e-163,0.636363636363636,4,0.570993296770262,7,"UBD"
"GPR87",3.91276329762522e-167,-3.83833705595878,0.023,0.778,1.03629535937604e-162,0.666666666666667,4,0.550123762376238,7,"GPR87"
"PKM",4.05224845645623e-165,-1.43482166349998,0.841,0.993,1.07323800369243e-160,0.369515011547344,6,0.466311197285507,11,"PKM"
"DSP",8.61596889279427e-165,-2.0588464084704,0.256,0.906,2.28193936125656e-160,0.522727272727273,6,0.505045140732873,11,"DSP"
"CAPG",2.00192695764221e-163,-1.75479756429987,0.602,0.942,5.30210354731539e-159,0.42258064516129,6,0.491317671092952,10,"CAPG"
"FHL2",2.57860059434121e-161,-2.51647113620258,0.128,0.843,6.8294236741127e-157,0.378787878787879,6,0.541404911479155,8,"FHL2"
"SLC2A1",1.46134384712948e-159,-2.33196187938886,0.336,0.894,3.87036917912242e-155,0.375722543352601,5,0.515347334410339,11,"SLC2A1"
