"","x"
"1","MUC16"
"2","LDHB"
"3","TIMP1"
"4","MUC5B"
"5","PLP2"
"6","CIB1"
"7","TSPAN3"
"8","SAT1"
"9","YBX3"
"10","AGR2"
"11","HS3ST1"
"12","ABCA13"
"13","MIF-AS1"
"14","PGM2L1"
"15","TFF3"
"16","TUSC3"
"17","CAPS"
"18","ANKRD36C"
"19","GALNT6"
"20","CALM2"
"21","VCAN"
"22","CHI3L1"
"23","PPP1R32"
"24","C9orf116"
"25","CFAP126"
"26","LRRC6"
"27","HYDIN"
"28","RSPH1"
"29","LOXL4"
"30","C5orf49"
"31","SPAG8"
"32","TUBA4B"
"33","FBXO15"
"34","C12orf75"
"35","CXCL8"
"36","TNFAIP8L1"
"37","C9orf117"
"38","MGP"
"39","CRLF1"
"40","PIFO"
"41","IQGAP2"
"42","CFAP45"
"43","LRIG3"
"44","NWD1"
"45","COL1A1"
"46","SPAG17"
"47","C11orf70"
"48","CCDC65"
"49","LRRC46"
