"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","gene","sig"
"SAA1",8.33246948874286e-36,-1.85660504067968,0.021,1,2.20685454409355e-31,"SAA1","p_val_adj<0.05"
"AIM2",9.54502688376386e-36,-0.912906643471055,0,0.769,2.52800037016486e-31,"AIM2","p_val_adj<0.05"
"SFRP1",9.54502688376386e-36,-1.43816287725674,0,0.769,2.52800037016486e-31,"SFRP1","p_val_adj<0.05"
"MIR205HG",3.7789415090895e-34,-1.67065556635264,0.015,0.923,1.00085265868235e-29,"MIR205HG","p_val_adj<0.05"
"SERPINB5",2.52976027262568e-33,-1.18869439572521,0.01,0.846,6.70007008204911e-29,"SERPINB5","p_val_adj<0.05"
"CASC9",3.45272790334801e-32,-0.265475061868491,0,0.692,9.1445498520172e-28,"CASC9","p_val_adj<0.05"
"PKP1",3.45272790334801e-32,-0.706925935258075,0,0.692,9.1445498520172e-28,"PKP1","p_val_adj<0.05"
"ANXA8",3.56960304620528e-30,-0.487691962880088,0.01,0.769,9.45409366787469e-26,"ANXA8","p_val_adj<0.05"
"KRT14",1.19388269195028e-29,-5.17496301655827,0.031,0.923,3.16199830963032e-25,"KRT14","p_val_adj<0.05"
"FST",3.80975700700992e-29,-1.88053961214715,0.005,0.692,1.00901414330658e-24,"FST","p_val_adj<0.05"
"CLCA2",4.4055722894461e-29,-1.75585387962423,0.005,0.692,1.1668158208598e-24,"CLCA2","p_val_adj<0.05"
"S100A8",4.98631807316862e-28,-2.40155696375252,0.015,0.769,1.32062634167871e-23,"S100A8","p_val_adj<0.05"
"KRT16",6.38253325446312e-28,-3.90176843375007,0.026,0.846,1.69041393244456e-23,"KRT16","p_val_adj<0.05"
"KRT5",6.4119515082196e-28,-2.68121062937609,0.015,0.769,1.69820535695196e-23,"KRT5","p_val_adj<0.05"
"SSPN",1.74422208606438e-27,-0.481438509420716,0.015,0.769,4.61957219494151e-23,"SSPN","p_val_adj<0.05"
"KRT6A",2.59847467891571e-26,-4.09469169543306,0.031,0.846,6.88206018710826e-22,"KRT6A","p_val_adj<0.05"
"BCL11B",1.69117803909837e-25,-0.388291995525999,0.005,0.615,4.47908503655204e-21,"BCL11B","p_val_adj<0.05"
"GPR87",1.95009401945565e-25,-0.682077037551234,0.005,0.615,5.16482401052828e-21,"GPR87","p_val_adj<0.05"
"STEAP1B",1.59663863059361e-24,-0.446354988089587,0.015,0.692,4.22869741312717e-20,"STEAP1B","p_val_adj<0.05"
"LGALS7B",1.80339228721165e-24,-0.985600981606617,0.015,0.692,4.77628447268005e-20,"LGALS7B","p_val_adj<0.05"
