"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","gene","sig"
"MDFI",2.03663764004791e-24,-0.715001476401213,0.015,0.692,5.39403478966689e-20,"MDFI","p_val_adj<0.05"
"CD109",3.30832258779551e-24,-0.868010090466891,0.015,0.692,8.76209237377641e-20,"CD109","p_val_adj<0.05"
"UGT1A6",4.46631468503168e-23,-0.453687278956665,0.01,0.615,1.18290344433064e-18,"UGT1A6","p_val_adj<0.05"
"DSG3",9.09704772544959e-23,-1.91664828941901,0.021,0.692,2.40935309008533e-18,"DSG3","p_val_adj<0.05"
"FYB",1.27548398667432e-22,-0.927398554130917,0.021,0.692,3.37811933870694e-18,"FYB","p_val_adj<0.05"
"PLAU",1.59678535654202e-22,-1.23385303799596,0.021,0.692,4.22908601680155e-18,"PLAU","p_val_adj<0.05"
"DGKH",3.40238382230318e-22,-0.298604003198963,0.041,0.846,9.01121355336997e-18,"DGKH","p_val_adj<0.05"
"TM4SF18",4.44540775040012e-22,-0.365437669559355,0.005,0.538,1.17736624269347e-17,"TM4SF18","p_val_adj<0.05"
"ADH7",4.44540775040012e-22,-0.506340743279782,0.005,0.538,1.17736624269347e-17,"ADH7","p_val_adj<0.05"
"SAA2",5.87721689249599e-22,-1.17583814529304,0.005,0.538,1.55658089397756e-17,"SAA2","p_val_adj<0.05"
"GJB7",8.92073295429889e-22,-0.304571641726448,0.005,0.538,2.36265612294606e-17,"GJB7","p_val_adj<0.05"
"HOXD11",1.07035349212994e-21,-0.353392309449406,0,0.462,2.83483122390615e-17,"HOXD11","p_val_adj<0.05"
"BBOX1-AS1",1.07035349212994e-21,-0.373777241944053,0,0.462,2.83483122390615e-17,"BBOX1-AS1","p_val_adj<0.05"
"TNFRSF6B",1.07035349212994e-21,-0.490481828411784,0,0.462,2.83483122390615e-17,"TNFRSF6B","p_val_adj<0.05"
"IGFL1",1.07035349212994e-21,-2.54301938422783,0,0.462,2.83483122390615e-17,"IGFL1","p_val_adj<0.05"
"SNAI2",2.04322551403893e-21,-1.62347680132828,0.036,0.769,5.41148277393212e-17,"SNAI2","p_val_adj<0.05"
"ANXA8L1",3.24050430743292e-21,-0.941811215291641,0.026,0.692,8.5824756582361e-17,"ANXA8L1","p_val_adj<0.05"
"FABP5",6.1058122880642e-21,-1.02495382133245,0.093,1,1.6171243844938e-16,"FABP5","p_val_adj<0.05"
"SLC1A3",6.47715441390449e-21,-0.516584100308697,0.046,0.846,1.71547434652261e-16,"SLC1A3","p_val_adj<0.05"
"AKR1C2",6.58387517820276e-21,-1.62883956580474,0.067,0.923,1.743739340947e-16,"AKR1C2","p_val_adj<0.05"
"MFAP5",8.78072655564367e-20,-1.22278689730281,0.01,0.538,2.32557542826223e-15,"MFAP5","p_val_adj<0.05"
"MMP13",1.94271161060316e-19,-1.80789352222121,0.021,0.615,5.14527170068246e-15,"MMP13","p_val_adj<0.05"
"MARK1",2.98623720111861e-19,-0.326277984198495,0.021,0.615,7.90904922716263e-15,"MARK1","p_val_adj<0.05"
"PODNL1",2.98623720111861e-19,-0.542880896715522,0.021,0.615,7.90904922716263e-15,"PODNL1","p_val_adj<0.05"
"GALNT14",3.42269587999799e-19,-0.254987720844328,0.01,0.538,9.06501003817467e-15,"GALNT14","p_val_adj<0.05"
"KRT17",3.50827397637771e-19,-2.90153005111507,0.108,1,9.29166362643636e-15,"KRT17","p_val_adj<0.05"
"TMEM40",4.5801786831817e-19,-0.370748236766382,0.021,0.615,1.21306032424067e-14,"TMEM40","p_val_adj<0.05"
"CX3CL1",8.66410852589248e-19,-0.649924839505985,0.021,0.615,2.29468914308262e-14,"CX3CL1","p_val_adj<0.05"
"TP63",1.06396598092685e-18,-0.544778018577552,0.005,0.462,2.81791390048476e-14,"TP63","p_val_adj<0.05"
"ANO1",1.06396598092685e-18,-0.762640338185545,0.005,0.462,2.81791390048476e-14,"ANO1","p_val_adj<0.05"
"GJB5",1.83357391994234e-18,-0.492024835539862,0.005,0.462,4.85622052696729e-14,"GJB5","p_val_adj<0.05"
"CASP14",2.95156764488854e-18,-0.303574191255838,0,0.385,7.81722690748729e-14,"CASP14","p_val_adj<0.05"
"S100A7",2.95156764488854e-18,-1.5853940587332,0,0.385,7.81722690748729e-14,"S100A7","p_val_adj<0.05"
"CDK6",3.26150098771492e-18,-1.29541924185757,0.036,0.692,8.63808536596297e-14,"CDK6","p_val_adj<0.05"
"CA9",6.78228485511403e-18,-0.748240636603603,0.015,0.538,1.79628814387695e-13,"CA9","p_val_adj<0.05"
"GJA1",6.78228485511403e-18,-0.840893355805912,0.015,0.538,1.79628814387695e-13,"GJA1","p_val_adj<0.05"
"CLEC2B",9.81874504062241e-18,-0.270186596333542,0.026,0.615,2.60049462400885e-13,"CLEC2B","p_val_adj<0.05"
"LTB4R2",1.06186951511316e-17,-0.258523169632764,0.015,0.538,2.81236141077721e-13,"LTB4R2","p_val_adj<0.05"
"LRRN1",1.06186951511316e-17,-0.447568519772182,0.015,0.538,2.81236141077721e-13,"LRRN1","p_val_adj<0.05"
"P3H2",1.18731861139638e-17,-0.507043773783768,0.015,0.538,3.14461334228331e-13,"P3H2","p_val_adj<0.05"
"STON2",3.04797886251118e-17,-2.09612055210293,0.062,0.769,8.07257201736087e-13,"STON2","p_val_adj<0.05"
"CALD1",3.30942169028413e-17,-0.867985760984879,0.103,0.923,8.76500334671752e-13,"CALD1","p_val_adj<0.05"
"HDGFRP3",4.74698889292525e-17,-0.468393323299783,0.041,0.692,1.25724000829125e-12,"HDGFRP3","p_val_adj<0.05"
"TRPS1",7.91337932434772e-17,-0.478836506868069,0.041,0.692,2.09585851405349e-12,"TRPS1","p_val_adj<0.05"
"TPBG",1.520195323826e-16,-1.34717744775077,0.046,0.692,4.02623731515317e-12,"TPBG","p_val_adj<0.05"
"SLCO1B3",1.90226347282794e-16,-0.352335379662796,0.01,0.462,5.03814480778479e-12,"SLCO1B3","p_val_adj<0.05"
"LY6D",1.90226347282794e-16,-0.656507074475809,0.01,0.462,5.03814480778479e-12,"LY6D","p_val_adj<0.05"
"SERPINE2",2.15567932601833e-16,-0.424326815147589,0.031,0.615,5.70931669495954e-12,"SERPINE2","p_val_adj<0.05"
"PLEKHG3",3.0635452486733e-16,-0.508432209259075,0.01,0.462,8.11379959111123e-12,"PLEKHG3","p_val_adj<0.05"
"PITX1",3.14633911422574e-16,-1.02693480971236,0.119,0.923,8.33307914402688e-12,"PITX1","p_val_adj<0.05"
"IGFBP6",3.88305870677115e-16,-0.4389260438806,0.01,0.462,1.02842809848834e-11,"IGFBP6","p_val_adj<0.05"
"MME",3.97846843301043e-16,-0.633740340923726,0.021,0.538,1.05369736448281e-11,"MME","p_val_adj<0.05"
"MFAP2",4.87358343086324e-16,-0.511832618694007,0.021,0.538,1.29076857166413e-11,"MFAP2","p_val_adj<0.05"
"GJB2",4.97762801010627e-16,-1.83717883835404,0.052,0.692,1.31832477847665e-11,"GJB2","p_val_adj<0.05"
"COL6A2",5.85829112617046e-16,-0.380545240132938,0.031,0.615,1.55156840476625e-11,"COL6A2","p_val_adj<0.05"
"SLC38A5",6.81184779314067e-16,-1.93607899052371,0.052,0.692,1.80411788801331e-11,"SLC38A5","p_val_adj<0.05"
"COL17A1",7.96437890990806e-16,-2.06096070764319,0.052,0.692,2.10936575428915e-11,"COL17A1","p_val_adj<0.05"
"GJB3",8.07318899120887e-16,-0.711673874334758,0.021,0.538,2.13818410432167e-11,"GJB3","p_val_adj<0.05"
"MMP2",2.15725205289473e-15,-0.631375308328601,0.046,0.692,5.71348206209168e-11,"MMP2","p_val_adj<0.05"
"FBLN1",2.1640343020933e-15,-1.11398062475221,0.082,0.846,5.73144484909412e-11,"FBLN1","p_val_adj<0.05"
"RIN1",2.62197746650599e-15,-0.395077380407763,0.005,0.385,6.94430732004111e-11,"RIN1","p_val_adj<0.05"
"KRT6B",2.99203401344765e-15,-0.694105863998684,0.005,0.385,7.9244020846161e-11,"KRT6B","p_val_adj<0.05"
"FJX1",2.99203401344765e-15,-0.825430253631031,0.005,0.385,7.9244020846161e-11,"FJX1","p_val_adj<0.05"
"BBOX1",3.41340799224209e-15,-0.389676729982618,0.005,0.385,9.04041106745318e-11,"BBOX1","p_val_adj<0.05"
"FLRT2",4.80694304633618e-15,-0.358915907233539,0.036,0.615,1.27311886582214e-10,"FLRT2","p_val_adj<0.05"
"HTRA3",6.79265235867062e-15,-0.796851063390037,0.026,0.538,1.79903397719391e-10,"HTRA3","p_val_adj<0.05"
"LPAR6",7.69716949134106e-15,-0.293598889150507,0,0.308,2.03859533978168e-10,"LPAR6","p_val_adj<0.05"
"THSD1",7.69716949134106e-15,-0.528325848467951,0,0.308,2.03859533978168e-10,"THSD1","p_val_adj<0.05"
"WTAPP1",9.25614746229928e-15,-0.380822458356403,0.057,0.692,2.45149065538996e-10,"WTAPP1","p_val_adj<0.05"
"DSE",2.20423896936977e-14,-0.698389441678666,0.041,0.615,5.83792691037584e-10,"DSE","p_val_adj<0.05"
"FOXF2",2.51977774019131e-14,-0.302253604148053,0.015,0.462,6.67363134489669e-10,"FOXF2","p_val_adj<0.05"
"HCAR2",2.51977774019131e-14,-0.502136303399423,0.015,0.462,6.67363134489669e-10,"HCAR2","p_val_adj<0.05"
"PYCARD",2.83630763216114e-14,-0.379662441414148,0.077,0.769,7.51196076377879e-10,"PYCARD","p_val_adj<0.05"
"IL20RB",5.19125187820097e-14,-1.2528759820448,0.088,0.769,1.37490305994153e-09,"IL20RB","p_val_adj<0.05"
"EGLN3",5.58151337801815e-14,-1.22694191096296,0.206,1,1.47826381816811e-09,"EGLN3","p_val_adj<0.05"
"AK4",6.32363891874126e-14,-0.458951649624273,0.031,0.538,1.67481576762862e-09,"AK4","p_val_adj<0.05"
"PRSS23",1.49672483840659e-13,-2.102205949924,0.124,0.846,3.96407573451986e-09,"PRSS23","p_val_adj<0.05"
"MARCKS",1.68889979700409e-13,-1.24958403294341,0.186,1,4.47305111236532e-09,"MARCKS","p_val_adj<0.05"
"AMIGO2",2.84724274555946e-13,-0.948101934876569,0.093,0.769,7.54092241161424e-09,"AMIGO2","p_val_adj<0.05"
"ALDH3B2",3.39058083342469e-13,-0.522680639320415,0.01,0.385,8.97995333732529e-09,"ALDH3B2","p_val_adj<0.05"
"ADGRE1",3.39058083342469e-13,-0.530049733059173,0.01,0.385,8.97995333732529e-09,"ADGRE1","p_val_adj<0.05"
"PTGS1",3.39058083342469e-13,-0.785400516756826,0.01,0.385,8.97995333732529e-09,"PTGS1","p_val_adj<0.05"
"GJB6",3.96690849319889e-13,-1.16209963078921,0.052,0.615,1.05063571442373e-08,"GJB6","p_val_adj<0.05"
"ZFPM2-AS1",4.24998281303239e-13,-0.368221131561085,0.01,0.385,1.12560794803163e-08,"ZFPM2-AS1","p_val_adj<0.05"
"S1PR5",4.24998281303239e-13,-0.45660863217218,0.01,0.385,1.12560794803163e-08,"S1PR5","p_val_adj<0.05"
"NNMT",4.27262157236302e-13,-0.911940375687709,0.113,0.846,1.13160382344035e-08,"NNMT","p_val_adj<0.05"
"KLK10",4.75657491820775e-13,-0.609893701344111,0.01,0.385,1.25977886708732e-08,"KLK10","p_val_adj<0.05"
"LYPD5",5.32233172661401e-13,-0.25954978591668,0.01,0.385,1.40961955779372e-08,"LYPD5","p_val_adj<0.05"
"FGFBP1",5.32233172661401e-13,-0.3723033190437,0.01,0.385,1.40961955779372e-08,"FGFBP1","p_val_adj<0.05"
"PI3",5.32233172661401e-13,-1.34036338915107,0.01,0.385,1.40961955779372e-08,"PI3","p_val_adj<0.05"
"CCDC3",5.95401568536141e-13,-0.434744995089712,0.01,0.385,1.57692105426797e-08,"CCDC3","p_val_adj<0.05"
"NRG1",7.44607458587997e-13,-0.27284204813718,0.01,0.385,1.97209285407031e-08,"NRG1","p_val_adj<0.05"
"PGF",8.3240900249803e-13,-0.467314234661316,0.01,0.385,2.20463524311603e-08,"PGF","p_val_adj<0.05"
"PLEKHF1",9.29802808410861e-13,-0.834420524599328,0.093,0.769,2.46258273807617e-08,"PLEKHF1","p_val_adj<0.05"
"AKR1C1",1.43605709708843e-12,-0.626376462787797,0.052,0.615,3.80339722163871e-08,"AKR1C1","p_val_adj<0.05"
"ZNF702P",2.03529829942208e-12,-0.276803901789976,0.067,0.692,5.39048754601938e-08,"ZNF702P","p_val_adj<0.05"
"PALMD",2.29190156128966e-12,-0.344972281755701,0.036,0.538,6.07010128507565e-08,"PALMD","p_val_adj<0.05"
"EFNA5",3.18165906817445e-12,-0.521820327604684,0.067,0.692,8.42662404206003e-08,"EFNA5","p_val_adj<0.05"
"JAG2",3.36995030838182e-12,-0.778402376209148,0.057,0.615,8.92531339174925e-08,"JAG2","p_val_adj<0.05"
"VSNL1",4.29088316862374e-12,-0.877693171407714,0.026,0.462,1.13644040721e-07,"VSNL1","p_val_adj<0.05"
"S100A9",4.29410796349151e-12,-3.64016551815002,0.16,0.846,1.13729449413073e-07,"S100A9","p_val_adj<0.05"
"FBXO32",4.36616261252706e-12,-1.22222506731591,0.201,0.923,1.15637816792779e-07,"FBXO32","p_val_adj<0.05"
"BDKRB1",5.66170848065672e-12,-0.51485599927539,0.005,0.308,1.49950349110193e-07,"BDKRB1","p_val_adj<0.05"
"PENK",5.66170848065672e-12,-0.629649973170235,0.005,0.308,1.49950349110193e-07,"PENK","p_val_adj<0.05"
"UCK2",5.77997478679764e-12,-0.452546324879537,0.057,0.615,1.53082632228336e-07,"UCK2","p_val_adj<0.05"
"TENM2",6.06828694155741e-12,-0.648024416804139,0.026,0.462,1.60718579647148e-07,"TENM2","p_val_adj<0.05"
"SLC16A3",6.70712656553571e-12,-1.03059161051081,0.134,0.846,1.77638247088213e-07,"SLC16A3","p_val_adj<0.05"
"MAF",6.97333804604364e-12,-0.560579163625563,0.041,0.538,1.84688858149466e-07,"MAF","p_val_adj<0.05"
"NGFR",7.2853019701601e-12,-0.316209852698488,0.005,0.308,1.9295122267969e-07,"NGFR","p_val_adj<0.05"
"TSPAN5",7.85645838393723e-12,-0.758317651481097,0.088,0.692,2.08078300298578e-07,"TSPAN5","p_val_adj<0.05"
"GRIN2A",7.85738990529642e-12,-0.334555878615334,0.026,0.462,2.08102971641776e-07,"GRIN2A","p_val_adj<0.05"
"MARVELD1",8.56156915069943e-12,-0.354069526450971,0.026,0.462,2.26753158956274e-07,"MARVELD1","p_val_adj<0.05"
"FAT2",1.31275038723574e-11,-0.390219972267066,0.015,0.385,3.47681940059386e-07,"FAT2","p_val_adj<0.05"
"GLI3",1.31275038723574e-11,-0.454986636924104,0.015,0.385,3.47681940059386e-07,"GLI3","p_val_adj<0.05"
"DST",1.42818447250472e-11,-2.40576798601328,0.119,0.769,3.78254657542876e-07,"DST","p_val_adj<0.05"
"MT1E",1.50402331973148e-11,-0.628864401088456,0.119,0.769,3.98340576230884e-07,"MT1E","p_val_adj<0.05"
"B3GNT4",1.92059518389258e-11,-0.299306660692484,0,0.231,5.0866963445395e-07,"B3GNT4","p_val_adj<0.05"
"RNF152",1.92059518389258e-11,-0.342031371759279,0,0.231,5.0866963445395e-07,"RNF152","p_val_adj<0.05"
"LYPD3",2.11525409687706e-11,-1.22099051793007,0.124,0.769,5.6022504755789e-07,"LYPD3","p_val_adj<0.05"
"DLK2",2.14766423771222e-11,-0.661437530997556,0.015,0.385,5.68808873358081e-07,"DLK2","p_val_adj<0.05"
"CA12",2.60707527443785e-11,-1.30261066684363,0.046,0.538,6.90483886434865e-07,"CA12","p_val_adj<0.05"
"CLEC7A",3.21815850741366e-11,-0.423433330347781,0.046,0.538,8.52329280688507e-07,"CLEC7A","p_val_adj<0.05"
"PKP3",4.29417157204786e-11,-0.794436753550513,0.16,0.846,1.13731134085688e-06,"PKP3","p_val_adj<0.05"
"CCL2",4.56165613035379e-11,-0.908735057857568,0.046,0.538,1.2081546261242e-06,"CCL2","p_val_adj<0.05"
"PLEK2",6.29800804912823e-11,-0.564683988038166,0.031,0.462,1.66802743181161e-06,"PLEK2","p_val_adj<0.05"
"HES2",6.81473746910177e-11,-0.268518965168711,0.031,0.462,1.8048832186916e-06,"HES2","p_val_adj<0.05"
"CDH11",1.01894415616981e-10,-0.600601390241828,0.052,0.538,2.69867359761575e-06,"CDH11","p_val_adj<0.05"
"ANKH",1.04278114882031e-10,-0.646327575387044,0.124,0.769,2.76180587265058e-06,"ANKH","p_val_adj<0.05"
"SOX15",1.17898970675624e-10,-0.49156555334646,0.031,0.462,3.12255423834391e-06,"SOX15","p_val_adj<0.05"
"MAN1A1",1.2299365249627e-10,-0.307455669043425,0.067,0.615,3.25748688636371e-06,"MAN1A1","p_val_adj<0.05"
"VWA5A",1.27432892081501e-10,-0.408768717081479,0.031,0.462,3.37506014677855e-06,"VWA5A","p_val_adj<0.05"
"PRDM1",1.31202206375831e-10,-0.533040402065179,0.088,0.692,3.47489043586389e-06,"PRDM1","p_val_adj<0.05"
"TRIM29",1.33510397508424e-10,-1.37427813487595,0.211,0.923,3.5360228780106e-06,"TRIM29","p_val_adj<0.05"
"SLC7A11",1.56583871378415e-10,-1.13338354145013,0.186,0.846,4.14712383345731e-06,"SLC7A11","p_val_adj<0.05"
"TSKU",1.88307007363131e-10,-0.403296061217904,0.093,0.692,4.98731109001253e-06,"TSKU","p_val_adj<0.05"
"KYNU",2.27246078284442e-10,-1.0201302577594,0.021,0.385,6.01861238336345e-06,"KYNU","p_val_adj<0.05"
"DIO2",2.27246078284442e-10,-1.29801704189457,0.021,0.385,6.01861238336345e-06,"DIO2","p_val_adj<0.05"
"COL4A5",2.91205732689439e-10,-0.36153775350424,0.052,0.538,7.71258383027979e-06,"COL4A5","p_val_adj<0.05"
"FAP",3.17750127918523e-10,-0.436864980681689,0.036,0.462,8.41561213792207e-06,"FAP","p_val_adj<0.05"
"SERPINE1",3.53579761792315e-10,-0.723166177514264,0.052,0.538,9.36455999106946e-06,"SERPINE1","p_val_adj<0.05"
"ZNF662",3.77135591230517e-10,-0.506944927328286,0.052,0.538,9.98843613374024e-06,"ZNF662","p_val_adj<0.05"
"NOV",4.69246336426811e-10,-0.370787154773513,0.01,0.308,1.24279892202641e-05,"NOV","p_val_adj<0.05"
"CDKN2D",4.86765268025901e-10,-0.467078136751867,0.098,0.692,1.2891978123666e-05,"CDKN2D","p_val_adj<0.05"
"TRIM47",5.08179832070880e-10,-0.687061050725209,0.134,0.769,1.34591428523972e-05,"TRIM47","p_val_adj<0.05"
"ABRACL",5.09321495878658e-10,-0.405783726966501,0.165,0.846,1.34893798183463e-05,"ABRACL","p_val_adj<0.05"
"PRKCQ",5.78631441635141e-10,-0.265662225232387,0.01,0.308,1.53250537317067e-05,"PRKCQ","p_val_adj<0.05"
"KLC3",7.58524742613676e-10,-0.322600883941036,0.036,0.462,2.00895278081232e-05,"KLC3","p_val_adj<0.05"
"FERMT1",8.19906372889673e-10,-0.371777696390977,0.057,0.538,2.1715220285983e-05,"FERMT1","p_val_adj<0.05"
"TGFBR1",9.20544150845601e-10,-0.41603162959208,0.103,0.692,2.43806118351457e-05,"TGFBR1","p_val_adj<0.05"
"SKP2",9.30307237276285e-10,-0.449062350428264,0.17,0.846,2.46391871792624e-05,"SKP2","p_val_adj<0.05"
"SH3PXD2A",1.06845237694653e-09,-0.445601842786235,0.103,0.692,2.82979612034288e-05,"SH3PXD2A","p_val_adj<0.05"
"CCDC34",1.5094333411966e-09,-0.261483983052302,0.103,0.692,3.9977342041592e-05,"CCDC34","p_val_adj<0.05"
"MT1X",1.78039351106967e-09,-1.11818546940617,0.392,1,4.71537221406803e-05,"MT1X","p_val_adj<0.05"
"NDFIP2",1.78039351106967e-09,-1.15685020544486,0.392,1,4.71537221406803e-05,"NDFIP2","p_val_adj<0.05"
"COL5A1",1.81223344999472e-09,-0.392183417949452,0.057,0.538,4.79970029231102e-05,"COL5A1","p_val_adj<0.05"
"IFITM10",1.86222840763226e-09,-0.429816805213023,0.082,0.615,4.93211193761403e-05,"IFITM10","p_val_adj<0.05"
"TUSC1",2.17134048905734e-09,-0.346524225939481,0.057,0.538,5.75079528526836e-05,"TUSC1","p_val_adj<0.05"
"PGAP1",2.2502517280931e-09,-0.263339936584476,0.077,0.615,5.95979170185457e-05,"PGAP1","p_val_adj<0.05"
"SMAGP",2.44831610429803e-09,-0.254576643254559,0.057,0.538,6.48436520223334e-05,"SMAGP","p_val_adj<0.05"
"EFNB1",2.98549729400046e-09,-0.587587464767028,0.103,0.692,7.90708958316021e-05,"EFNB1","p_val_adj<0.05"
"TFPT",3.21250446755823e-09,-0.383110722454488,0.17,0.846,8.50831808232796e-05,"TFPT","p_val_adj<0.05"
"SIRPA",3.31516969863791e-09,-0.257680032909668,0.026,0.385,8.78022694684251e-05,"SIRPA","p_val_adj<0.05"
"FAM212A",3.31516969863791e-09,-0.582843471711641,0.026,0.385,8.78022694684251e-05,"FAM212A","p_val_adj<0.05"
"ZNF234",3.45242737832618e-09,-0.250943761000446,0.077,0.615,9.14375391149688e-05,"ZNF234","p_val_adj<0.05"
"COL7A1",3.5845796022179e-09,-0.604624929029508,0.026,0.385,9.49375907647412e-05,"COL7A1","p_val_adj<0.05"
"AFAP1L2",3.8752569230713e-09,-0.312248088376419,0.026,0.385,0.000102636179607543,"AFAP1L2","p_val_adj<0.05"
"SLC2A9",3.8752569230713e-09,-0.369502948010969,0.026,0.385,0.000102636179607543,"SLC2A9","p_val_adj<0.05"
"PHLDA1",4.47726626742811e-09,-0.727251263481943,0.206,0.846,0.000118580397092834,"PHLDA1","p_val_adj<0.05"
"RHOV",4.52704166121368e-09,-0.766317213101991,0.026,0.385,0.000119898698397244,"RHOV","p_val_adj<0.05"
"LMO7",4.76709061044599e-09,2.33370240439521,0.985,0.154,0.000126256394817662,"LMO7","p_val_adj<0.05"
"PHLDA3",5.08843735109123e-09,-0.890673090613953,0.093,0.615,0.000134767263243651,"PHLDA3","p_val_adj<0.05"
"TGFBI",5.46448113338435e-09,-2.85309540888055,0.284,0.846,0.000144726782817685,"TGFBI","p_val_adj<0.05"
"ITGA2",6.01986380701899e-09,-0.515913521037244,0.108,0.692,0.000159436092928898,"ITGA2","p_val_adj<0.05"
"S100A2",6.1648309726134e-09,-1.30798612118082,0.227,0.846,0.000163275548309666,"S100A2","p_val_adj<0.05"
"TMEM45A",6.24540672488625e-09,-0.900007521970085,0.046,0.462,0.000165409597108612,"TMEM45A","p_val_adj<0.05"
"RECQL4",6.65842573871888e-09,-0.269651468912681,0.026,0.385,0.00017634840568997,"RECQL4","p_val_adj<0.05"
"CLDN3",7.02406348606966e-09,2.71920009538244,0.985,0.231,0.000186032321428555,"CLDN3","p_val_adj<0.05"
"RRM1",7.05407542076234e-09,-0.496466180718424,0.206,0.846,0.000186827187518891,"RRM1","p_val_adj<0.05"
"SELENBP1",7.30354707011627e-09,2.61054592439223,0.974,0.154,0.000193434444152029,"SELENBP1","p_val_adj<0.05"
"C16orf74",7.73288542471297e-09,-0.283110178093638,0.119,0.692,0.000204805470473523,"C16orf74","p_val_adj<0.05"
"TMC5",7.87733803432046e-09,1.81127967894468,0.99,0.231,0.000208631297838977,"TMC5","p_val_adj<0.05"
"DKK3",9.62198676135923e-09,-1.27213488534107,0.072,0.538,0.000254838319374599,"DKK3","p_val_adj<0.05"
"MICALL2",9.8183796594713e-09,-0.399632801686958,0.186,0.846,0.000260039785281097,"MICALL2","p_val_adj<0.05"
"FIBIN",1.02491419888912e-08,-1.25507479622636,0.005,0.231,0.000271448525575783,"FIBIN","p_val_adj<0.05"
"SFTPB",1.05394482001152e-08,5.57697829353285,0.948,0,0.000279137285580052,"SFTPB","p_val_adj<0.05"
"TNFAIP2",1.19283490453969e-08,-1.95318145556673,0.072,0.538,0.000315922324467337,"TNFAIP2","p_val_adj<0.05"
"PAFAH1B2",1.20649362526324e-08,-1.18266557545289,0.536,1,0.000319539836650969,"PAFAH1B2","p_val_adj<0.05"
"SFTA2",1.26125038925707e-08,1.74393938826623,0.943,0,0.000334042165594735,"SFTA2","p_val_adj<0.05"
"SLC34A2",1.26836090421583e-08,2.40314723494374,0.979,0.154,0.000335925385481564,"SLC34A2","p_val_adj<0.05"
"DSP",1.3008358427009e-08,-1.73335460249578,0.376,1,0.000344526372939334,"DSP","p_val_adj<0.05"
"PTHLH",1.33283053239002e-08,-0.843319309736297,0.015,0.308,0.000353000166503497,"PTHLH","p_val_adj<0.05"
"AKR1B10",1.4571989513735e-08,-0.437651380143376,0.015,0.308,0.000385939142271273,"AKR1B10","p_val_adj<0.05"
"AQP4",1.50760372651214e-08,3.72447033527689,0.938,0,0.000399288846966741,"AQP4","p_val_adj<0.05"
"PLP2",1.51722827722247e-08,-0.864303908691989,0.175,0.769,0.000401837909222371,"PLP2","p_val_adj<0.05"
"CYP4B1",1.70522337168969e-08,2.83293585947145,0.954,0.077,0.000451628409992015,"CYP4B1","p_val_adj<0.05"
"APOBEC3C",1.7319124228946e-08,-0.51107483904911,0.072,0.538,0.000458697005203635,"APOBEC3C","p_val_adj<0.05"
"CLDN18",1.80000706656707e-08,3.15285367421298,0.933,0,0.000476731871580288,"CLDN18","p_val_adj<0.05"
