"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","naive pt.occupancy","naive n.nonzero.pts","grouped_pr pt.occupancy","grouped_pr n.nonzero.pts"
"MS4A15",3.36933747377572e-208,-5.00813758968536,0.013,0.742,8.923690299295e-204,0.538461538461538,5,0.371727748691099,5
"SUSD2",3.30922559782469e-206,-2.61265579093306,0.117,0.901,8.7644839958387e-202,0.458333333333333,9,0.379310344827586,5
"C1orf116",4.26057312042629e-166,-2.58427626703602,0.394,0.944,1.1284127909449e-161,0.380246913580247,10,0.378600823045267,6
"FLRT3",4.16612742475605e-165,-3.05093037849054,0.057,0.713,1.10339884844664e-160,0.288135593220339,7,0.400544959128065,5
"AQP4",1.04944349494282e-163,-3.97101442123646,0.143,0.802,2.77945109635605e-159,0.496598639455782,8,0.433414043583535,5
"CADM1",3.20217210211653e-143,-3.07687793759889,0.17,0.792,8.48095281245562e-139,0.445714285714286,10,0.406862745098039,5
"CPM",1.15504383647593e-141,-2.46963137584114,0.302,0.876,3.05913360090651e-137,0.567741935483871,10,0.385809312638581,6
"RGS16",7.71589685965214e-141,-2.46457257940528,0.349,0.885,2.04355528327887e-136,0.5,10,0.385964912280702,5
"SFTPD",5.46149629323591e-131,-2.82745276309126,0.206,0.798,1.44647729326353e-126,0.702830188679245,8,0.413625304136253,5
"MUC1",3.21334832658578e-125,-1.46913491560643,0.813,0.984,8.51055304296244e-121,0.361676646706587,11,0.362919132149901,6
"MUC16",8.62136010093017e-125,4.82162883961227,0.705,0.031,2.28336722273135e-120,0.465469613259669,10,0.6875,4
"ATP13A4",1.06898431107057e-121,-1.82988791667638,0.395,0.92,2.8312049478704e-117,0.477832512315271,9,0.377637130801688,5
"LDHB",3.83982192779245e-119,1.87151671541494,0.944,0.703,1.01697683757583e-114,0.363261093911249,11,0.38121546961326,6
"PGC",2.30186917560401e-117,-3.79200754378225,0.022,0.503,6.09650051158722e-113,0.347826086956522,5,0.378378378378378,5
"TGM2",4.61982263961675e-115,4.00401986024401,0.692,0.049,1.2235600261025e-110,0.471167369901547,10,0.64,4
"CLIC3",1.14084251988845e-113,-2.55897774667112,0.12,0.652,3.02152141392457e-109,0.390243902439024,11,0.43452380952381,5
"TNS1",3.24450013241398e-113,-1.62252740885672,0.287,0.841,8.59305860069842e-109,0.43728813559322,10,0.413394919168591,5
"PERP",1.76181740931904e-108,1.57817449454006,0.936,0.658,4.66617340858149e-104,0.359001040582726,11,0.40117994100295,6
"TIMP1",1.91126525165371e-108,2.45162259274244,0.819,0.289,5.06198601900485e-104,0.373365041617122,11,0.557046979865772,6
"PEBP4",1.21533556980412e-107,-3.32814448294668,0.023,0.476,3.21881625662622e-103,0.458333333333333,5,0.330612244897959,4
"TSPAN1",1.70168933353456e-106,3.10384922022641,0.847,0.338,4.50692419986629e-102,0.36551724137931,10,0.522988505747126,6
"CLDN18",3.15605343795861e-106,-4.49477692041443,0.026,0.47,8.35880753043337e-102,0.37037037037037,6,0.731404958677686,5
"MUC5B",5.84387822997483e-106,5.76225814578561,0.64,0.047,1.54775114920883e-101,0.552511415525114,9,0.541666666666667,4
"QPRT",3.6602631262447e-105,-1.8794991933031,0.045,0.518,9.6942068898591e-101,0.239130434782609,10,0.404494382022472,6
"EMP2",1.13685350098913e-104,-1.51975869217227,0.835,0.984,3.0109564973697e-100,0.322843822843823,11,0.364891518737673,6
"MSLN",5.81103219081039e-103,-2.17708140230425,0.163,0.682,1.53905187573613e-98,0.592814371257485,8,0.512820512820513,5
"AQP1",1.11522446714954e-100,-1.37983186767163,0.151,0.66,2.95367200124557e-96,0.509677419354839,8,0.491176470588235,4
"CAV1",1.8515676843041e-100,-3.23237794463907,0.12,0.604,4.9038770118794e-96,0.471544715447154,10,0.52411575562701,6
"CACNA2D2",1.48508158797348e-99,-2.39148138119618,0.101,0.606,3.93323858574775e-95,0.5,9,0.381410256410256,5
"HLA-DPB1",7.57406683617887e-98,-1.86023392365543,0.484,0.866,2.00599160156197e-93,0.382293762575453,11,0.376681614349776,5
"PLP2",1.18898255880919e-97,1.99112143621206,0.837,0.39,3.14902030700613e-93,0.362790697674419,11,0.462686567164179,6
"PDGFA",1.38839754016213e-97,-1.86636666385243,0.357,0.833,3.6771708851194e-93,0.359673024523161,9,0.403263403263403,6
"ANKRD29",3.19704379543962e-97,-3.13980114311996,0.077,0.536,8.46737049222184e-93,0.683544303797468,8,0.594202898550725,5
"AGER",5.28092107745813e-97,-4.20881593714255,0.068,0.513,1.39865194736479e-92,0.514285714285714,10,0.643939393939394,5
