"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"CRABP2",0,-3.97077614723836,0.115,0.859,0
"TMSB10",1.11704979688862e-298,-1.28727512902562,0.986,0.999,2.95850638705951e-294
"ALDOA",1.78069169983648e-296,-1.52052095023942,0.945,0.997,4.71616196701693e-292
"LY6K",1.19800656243463e-287,-2.3176692966738,0.101,0.853,3.17292038060813e-283
"CAPG",1.64179698080004e-284,-1.83042526251146,0.441,0.942,4.34829930364889e-280
"ASS1",1.30128180825134e-279,-2.78264672348659,0.396,0.92,3.44644486915367e-275
"GPR87",1.44868355711824e-276,-3.20544586388402,0.047,0.778,3.83683840102767e-272
"UBD",1.51272522326587e-270,-3.70548051593666,0.107,0.79,4.00645275381967e-266
"PGD",2.61103586131819e-261,-1.97700565207011,0.678,0.956,6.91532847870123e-257
"CHL1",5.01216086724105e-258,3.1056284997365,0.555,0.029,1.32747080568879e-253
"DMKN",9.50424894102369e-258,2.33182166700595,0.813,0.252,2.51720033203012e-253
"FXYD3",1.95742164575342e-249,-1.61186719792479,0.754,0.976,5.18423122877793e-245
"FXYD5",3.56096167726877e-245,-1.84762167278952,0.346,0.91,9.43120700224634e-241
"KYNU",1.09262766743932e-244,-1.60816114990173,0.136,0.815,2.89382437721303e-240
"TAP1",5.15941051157103e-241,-1.86144377254654,0.493,0.922,1.36646987398959e-236
"VIM",2.1043623363046e-239,2.67758824892629,0.74,0.181,5.57340364770272e-235
"IGFBP3",3.32901613007256e-239,-2.56445035414782,0.236,0.818,8.81689922049718e-235
"IDO1",3.50393105563305e-232,-3.6737687261886,0.107,0.74,9.28016140084414e-228
"PPIA",5.01327157857866e-231,-0.923724369302201,0.969,0.997,1.32776497758656e-226
"ARPC2",2.56786110962981e-230,-1.10489750472452,0.801,0.989,6.80098014885455e-226
"HLA-F",3.17124039302797e-227,-1.4517545493719,0.615,0.948,8.39903018093458e-223
"PSMB9",2.61345463414694e-226,-1.46278021505857,0.601,0.955,6.92173459853818e-222
"DKK1",1.59942848406488e-218,-3.76495938884743,0.049,0.681,4.23608634004584e-214
"IQGAP2",8.48324603661503e-216,3.57278106455229,0.505,0.04,2.24678771279749e-211
"TFF3",6.88865266472553e-215,2.79552107392019,0.627,0.133,1.82445965825256e-210
"FHL2",6.89159120809136e-210,-1.53590673101412,0.225,0.843,1.825237931463e-205
"CAV2",4.73260881934815e-208,-1.0706530913961,0.33,0.891,1.25343144580436e-203
"ZFP36L1",7.30643932983824e-206,1.72643805786704,0.971,0.922,1.93511045650766e-201
"RGS10",4.2244670499078e-203,-2.45366210127609,0.143,0.717,1.11885009816808e-198
"AVPI1",5.3997459731232e-203,-1.95341923819931,0.297,0.849,1.43012272098168e-198
"TYMP",1.28859960266791e-202,-1.35534055975633,0.769,0.947,3.41285604766595e-198
"TMBIM1",1.25163009568555e-199,-1.48110666386959,0.508,0.917,3.31494230842317e-195
"NENF",6.42486089921246e-199,-1.17697145190569,0.764,0.955,1.70162440915642e-194
"PSMB10",7.67536549971704e-197,-1.18734118861276,0.653,0.949,2.03282055260006e-192
"NCK1",6.31033875665384e-196,-1.44246221080488,0.3,0.84,1.67129321969977e-191
"PLIN2",2.0730103116508e-192,-1.93216984443731,0.198,0.781,5.49036781040715e-188
"UQCRFS1",2.59197855034759e-192,-1.0294572994376,0.71,0.958,6.86485519059559e-188
"TACSTD2",2.41569066111926e-191,-1.3945455562033,0.942,0.98,6.39795671597436e-187
"ARNTL2",1.22988863210691e-190,-1.92448148016804,0.16,0.732,3.25736004213515e-186
"LDHB",1.2976956961364e-190,1.46520785080435,0.944,0.562,3.43694705121726e-186
"KRT19",3.10238958594652e-190,-1.05606554582294,0.962,0.989,8.21667881837936e-186
"BLVRB",4.29776931341398e-190,-1.04587987229439,0.805,0.964,1.13826420265769e-185
"PSMB8",1.17386912444521e-189,-1.02412725304683,0.713,0.958,3.10899237609313e-185
"HTATIP2",1.44904181086318e-188,-1.47820573639471,0.524,0.892,3.83778723607114e-184
"RRAD",2.17902447828883e-186,2.75954469809503,0.612,0.14,5.77114633074797e-182
