"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"TLE4",2.12941887856373e-17,0.61786596277753,0.46,0.241,5.63976589987605e-13
"TANGO6",2.21632601470081e-17,-1.77828501525386,0.11,0.272,5.86993944993508e-13
"RPS6KA1",2.23297760213519e-17,-0.823620433410903,0.328,0.53,5.91404117925506e-13
"DGKH",2.2454812630465e-17,1.60038892452971,0.252,0.074,5.94715712517866e-13
"MOBP",2.25452986325349e-17,2.37839510748667,0.144,0.008,5.97112234282687e-13
"LOC101928118",2.31196606407822e-17,2.23635358295941,0.188,0.033,6.12324212071116e-13
"CEP192",2.31951026372472e-17,-1.63489843254771,0.093,0.252,6.14322293347492e-13
"ZNF708",2.3983409516636e-17,-1.15955995545836,0.126,0.297,6.35200601048105e-13
"CST6",2.44223271948001e-17,1.20259630147653,0.379,0.179,6.4682533575428e-13
"ARHGAP24",2.49188640185027e-17,-0.788405801653734,0.195,0.388,6.59976113530044e-13
"AP1G1",2.50964753170953e-17,-0.705210849051835,0.567,0.767,6.64680148773268e-13
"CCDC115",2.51720701011032e-17,-0.737905824820869,0.363,0.579,6.66682276627719e-13
"CFAP70",2.55764209769451e-17,0.907190568943951,0.313,0.118,6.77391509574391e-13
"CA13",2.5741452772886e-17,-1.12724114592365,0.112,0.274,6.81762376689885e-13
"ZNF429",2.74786992401177e-17,-0.802255877757438,0.271,0.478,7.27773349374517e-13
"RAB3GAP2",2.79518889027648e-17,-0.52864438285343,0.381,0.594,7.40305777589725e-13
"TARBP1",2.90786829311736e-17,-0.789539534238771,0.184,0.377,7.70148917432133e-13
"PNKP",2.93342776542824e-17,0.625666530977605,0.447,0.241,7.7691834367367e-13
"NSUN5P1",2.99227551764663e-17,-0.524762227978201,0.213,0.414,7.9250417084871e-13
"LOC100506178",3.04649025343096e-17,2.98929117677623,0.131,0.002,8.06862943621189e-13
"WNT7B",3.09579755980286e-17,1.15098403107676,0.372,0.165,8.19921983713787e-13
"TEKT3",3.12805994594482e-17,2.5786401311739,0.143,0.008,8.28466676683485e-13
"MBOAT7",3.31119354648539e-17,0.775096909175384,0.641,0.456,8.76969610786655e-13
"CCDC151",3.52609957883895e-17,2.66099868973155,0.223,0.06,9.33887473455495e-13
"CSMD1",3.54026831858939e-17,2.23690045620568,0.147,0.01,9.376400641784e-13
"FAM50A",3.56385720900312e-17,-0.476486893705709,0.6,0.792,9.43887581804475e-13
"ZNF672",3.59888100114364e-17,-0.739423824252826,0.287,0.495,9.53163633152892e-13
"H2AFV",3.8724489165787e-17,-0.425239562582124,0.814,0.882,1.02561809555587e-12
"DPYSL3",4.05799642183554e-17,1.09081462044976,0.228,0.056,1.07476035232314e-12
