"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","naive.pt.occupancy","naive.n.nonzero.pts","grouped_pd.pt.occupancy","grouped_pd.n.nonzero.pts","gene","sig"
"CRABP2",0,-3.97077614723836,0.115,0.859,0,0.338983050847458,10,0.522982062780269,9,"CRABP2","p_val_adj<0.05"
"TMSB10",1.11704979688862e-298,-1.28727512902562,0.986,0.999,2.95850638705951e-294,0.36426456071076,12,0.465060240963855,11,"TMSB10","p_val_adj<0.05"
"ALDOA",1.78069169983648e-296,-1.52052095023942,0.945,0.997,4.71616196701693e-292,0.338825952626159,12,0.465958474167069,11,"ALDOA","p_val_adj<0.05"
"LY6K",1.19800656243463e-287,-2.3176692966738,0.101,0.853,3.17292038060813e-283,0.480769230769231,8,0.535553047404063,8,"LY6K","p_val_adj<0.05"
"CAPG",1.64179698080004e-284,-1.83042526251146,0.441,0.942,4.34829930364889e-280,0.465783664459161,9,0.491317671092952,10,"CAPG","p_val_adj<0.05"
"ASS1",1.30128180825134e-279,-2.78264672348659,0.396,0.92,3.44644486915367e-275,0.390663390663391,10,0.503401360544218,11,"ASS1","p_val_adj<0.05"
"GPR87",1.44868355711824e-276,-3.20544586388402,0.047,0.778,3.83683840102767e-272,0.333333333333333,8,0.550123762376238,7,"GPR87","p_val_adj<0.05"
"UBD",1.51272522326587e-270,-3.70548051593666,0.107,0.79,4.00645275381967e-266,0.536363636363636,7,0.570993296770262,7,"UBD","p_val_adj<0.05"
"PGD",2.61103586131819e-261,-1.97700565207011,0.678,0.956,6.91532847870123e-257,0.307471264367816,11,0.483140412682436,11,"PGD","p_val_adj<0.05"
"CHL1",5.01216086724105e-258,3.1056284997365,0.555,0.029,1.32747080568879e-253,0.396491228070175,8,0.6,9,"CHL1","p_val_adj<0.05"
"DMKN",9.50424894102369e-258,2.33182166700595,0.813,0.252,2.51720033203012e-253,0.335329341317365,11,0.442748091603053,11,"DMKN","p_val_adj<0.05"
"FXYD3",1.95742164575342e-249,-1.61186719792479,0.754,0.976,5.18423122877793e-245,0.377260981912145,11,0.475110892065057,11,"FXYD3","p_val_adj<0.05"
"FXYD5",3.56096167726877e-245,-1.84762167278952,0.346,0.91,9.43120700224634e-241,0.388732394366197,11,0.507936507936508,11,"FXYD5","p_val_adj<0.05"
"KYNU",1.09262766743932e-244,-1.60816114990173,0.136,0.815,2.89382437721303e-240,0.592857142857143,7,0.562906083874778,9,"KYNU","p_val_adj<0.05"
"TAP1",5.15941051157103e-241,-1.86144377254654,0.493,0.922,1.36646987398959e-236,0.345849802371542,10,0.497390396659708,11,"TAP1","p_val_adj<0.05"
"VIM",2.1043623363046e-239,2.67758824892629,0.74,0.181,5.57340364770272e-235,0.436842105263158,11,0.271276595744681,11,"VIM","p_val_adj<0.05"
"IGFBP3",3.32901613007256e-239,-2.56445035414782,0.236,0.818,8.81689922049718e-235,0.574380165289256,9,0.564117647058824,8,"IGFBP3","p_val_adj<0.05"
"PPIA",5.01327157857866e-231,-0.923724369302201,0.969,0.997,1.32776497758656e-226,0.350753768844221,12,0.465250965250965,11,"PPIA","p_val_adj<0.05"
"ARPC2",2.56786110962981e-230,-1.10489750472452,0.801,0.989,6.80098014885455e-226,0.319562575941677,12,0.468871595330739,11,"ARPC2","p_val_adj<0.05"
"HLA-F",3.17124039302797e-227,-1.4517545493719,0.615,0.948,8.39903018093458e-223,0.365506329113924,11,0.482986287455561,11,"HLA-F","p_val_adj<0.05"
"PSMB9",2.61345463414694e-226,-1.46278021505857,0.601,0.955,6.92173459853818e-222,0.39708265802269,11,0.482115869017632,11,"PSMB9","p_val_adj<0.05"
"IQGAP2",8.48324603661503e-216,3.57278106455229,0.505,0.04,2.24678771279749e-211,0.533718689788054,11,0.421686746987952,8,"IQGAP2","p_val_adj<0.05"
"TFF3",6.88865266472553e-215,2.79552107392019,0.627,0.133,1.82445965825256e-210,0.462732919254658,10,0.530685920577617,8,"TFF3","p_val_adj<0.05"
"FHL2",6.89159120809136e-210,-1.53590673101412,0.225,0.843,1.825237931463e-205,0.627705627705628,10,0.541404911479155,8,"FHL2","p_val_adj<0.05"
"CAV2",4.73260881934815e-208,-1.0706530913961,0.33,0.891,1.25343144580436e-203,0.584070796460177,11,0.519178822258239,9,"CAV2","p_val_adj<0.05"
"ZFP36L1",7.30643932983824e-206,1.72643805786704,0.971,0.922,1.93511045650766e-201,0.372116349047141,12,0.486161879895561,11,"ZFP36L1","p_val_adj<0.05"
"RGS10",4.2244670499078e-203,-2.45366210127609,0.143,0.717,1.11885009816808e-198,0.462585034013605,9,0.638012088650101,9,"RGS10","p_val_adj<0.05"
"AVPI1",5.3997459731232e-203,-1.95341923819931,0.297,0.849,1.43012272098168e-198,0.462295081967213,9,0.540249433106576,9,"AVPI1","p_val_adj<0.05"
