"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","gene","sig"
"SFTPB",6.6903260528461e-09,10.1938708498436,0.963,0,0.000177193285509629,"SFTPB","p_val_adj<0.05"
"AQP4",8.08169483201828e-09,8.33870936876725,0.957,0,0.000214043687626004,"AQP4","p_val_adj<0.05"
"SFTPC",0.00467641286499217,8.11985533461292,0.412,0,1,"SFTPC","NS"
"SFTPD",4.18743550093824e-08,8.07741784642241,0.909,0,0.00110904229242349,"SFTPD","p_val_adj<0.05"
"NAPSA",2.93054139829553e-08,7.86358117697408,0.92,0,0.000776153889338571,"NAPSA","p_val_adj<0.05"
"CLDN18",1.17495163585045e-08,7.74785343813927,0.947,0,0.000311185940754991,"CLDN18","p_val_adj<0.05"
"GDF15",4.18743550093824e-08,7.73867266809121,0.909,0,0.00110904229242349,"GDF15","p_val_adj<0.05"
"C4BPA",1.17495163585045e-08,7.49605872389966,0.947,0,0.000311185940754991,"C4BPA","p_val_adj<0.05"
"RGS16",1.41409571964674e-08,7.33947429716253,0.941,0,0.00037452325134844,"RGS16","p_val_adj<0.05"
"SFTPA2",0.0840632244029646,6.96006361120991,0.193,0,1,"SFTPA2","NS"
"SUSD2",1.41409571964674e-08,6.76385357820389,0.941,0,0.00037452325134844,"SUSD2","p_val_adj<0.05"
"AQP1",7.08584159308325e-08,6.713366435129,0.893,0,0.0018766851459281,"AQP1","p_val_adj<0.05"
"SFTPA1",0.107127735941354,6.71070021661373,0.171,0,1,"SFTPA1","NS"
"AGER",5.48852457295947e-08,6.65093532500873,0.909,0.077,0.00145363573314832,"AGER","p_val_adj<0.05"
"SCGB3A1",8.26981974408765e-08,6.56789649051036,0.904,0.077,0.00219026175922161,"SCGB3A1","p_val_adj<0.05"
"C16orf89",1.96184575099545e-07,6.36743082668486,0.861,0,0.00519594847151145,"C16orf89","p_val_adj<0.05"
"CTSE",5.63083721979657e-06,6.16930810656023,0.743,0,0.149132723766312,"CTSE","NS"
"SFTA2",6.6903260528461e-09,6.13465614351246,0.963,0,0.000177193285509629,"SFTA2","p_val_adj<0.05"
"DEGS2",1.65793982233411e-05,5.98707757988905,0.701,0,0.43910536194519,"DEGS2","NS"
"NDNF",5.95367400455027e-08,5.91223341289667,0.898,0,0.00157683056010514,"NDNF","p_val_adj<0.05"
"CLIC5",3.77334108475082e-07,5.90626281690652,0.84,0,0.00999369386296254,"CLIC5","p_val_adj<0.05"
"TPPP3",0.0128893441218193,5.7782676680956,0.342,0,1,"TPPP3","NS"
"CADM1",8.42279641163172e-08,5.6936636948142,0.888,0,0.00223077762962066,"CADM1","p_val_adj<0.05"
"KIAA1683",5.13785530934048e-05,5.40179104004019,0.652,0,1,"KIAA1683","NS"
"CYP2B7P",1.13609239646131e-07,5.39333579989545,0.893,0.077,0.00300894071202778,"CYP2B7P","p_val_adj<0.05"
"MUC21",0.00281978352364955,5.391819806878,0.444,0,1,"MUC21","NS"
"FOXA2",3.21008299350603e-07,5.3314607766028,0.845,0,0.00850190480830073,"FOXA2","p_val_adj<0.05"
"VSIG2",3.14118821673842e-05,5.31284589671514,0.674,0,0.831943699203171,"VSIG2","NS"
"ATP13A4",3.7583158176567e-08,5.31269657550853,0.925,0.077,0.000995389944306376,"ATP13A4","p_val_adj<0.05"
"SLC22A31",2.38743781773614e-06,5.29271004506829,0.775,0,0.0632312906027418,"SLC22A31","NS"
"MS4A15",3.68581699023994e-06,5.25666253463961,0.759,0,0.0976188629865048,"MS4A15","NS"
"SLC44A4",1.07778749463778e-05,5.21030675335808,0.743,0.077,0.285452017954816,"SLC44A4","NS"
"PGC",0.024706139098481,5.09931389660301,0.369,0.077,1,"PGC","NS"
"DPP4",3.77334108475082e-07,5.0797384788199,0.84,0,0.00999369386296254,"DPP4","p_val_adj<0.05"
"MS4A18",0.00818023894257536,5.06157954961282,0.374,0,1,"MS4A18","NS"
"RRAD",0.107127735941354,5.05037725394124,0.171,0,1,"RRAD","NS"
