"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","grouped_pr pt.occupancy","grouped_pr n.nonzero.pts","grouped_pd pt.occupancy","grouped_pd n.nonzero.pts"
"MS4A15",0,4.6048221460267,0.742,0.014,0,0.371727748691099,5,0.862068965517241,4
"AQP4",0,4.33834641609066,0.802,0.057,0,0.433414043583535,5,0.906779661016949,5
"SUSD2",0,4.29065801272474,0.901,0.141,0,0.379310344827586,5,0.873720136518771,7
"CYP4B1",0,3.67760555388993,0.8,0.057,0,0.434466019417476,5,0.322033898305085,10
"SFTPB",0,2.4674144697029,0.936,0.122,0,0.37344398340249,5,0.462450592885375,9
"C16orf89",4.28130629196414e-307,3.58487130659157,0.876,0.113,1.1339039714267e-302,0.372505543237251,5,0.438297872340426,10
"DLC1",9.11579666439283e-286,4.23068689367518,0.703,0.041,2.41431874656444e-281,0.414364640883978,5,0.694117647058824,9
"RGS16",3.41917783529345e-285,3.74994548359959,0.885,0.162,9.05569249677471e-281,0.385964912280702,5,0.406528189910979,9
"SFTPD",9.0154018932092e-275,3.22807603506054,0.798,0.085,2.38772919141646e-270,0.413625304136253,5,0.585227272727273,8
"RNASE1",1.72137828831477e-264,3.6708716814829,0.903,0.188,4.55907039660166e-260,0.365591397849462,5,0.317135549872123,9
"NKX2-1",4.58814618143195e-255,2.61162965631199,0.907,0.195,1.21517051615225e-250,0.370449678800857,5,0.28641975308642,11
"PGC",9.61119977723801e-245,4.95403497707518,0.503,0.003,2.54552626100149e-240,0.378378378378378,5,0.571428571428571,4
"SFTA3",1.46018414439982e-239,2.59868256288375,0.862,0.173,3.86729770644292e-235,0.396396396396396,5,0.323119777158774,11
"C4BPA",6.62408217119487e-239,2.92479795231052,0.777,0.11,1.75438816304096e-234,0.4425,5,0.543859649122807,7
"TNS1",9.46862313148793e-233,3.00469185985769,0.841,0.171,2.50776483637458e-228,0.413394919168591,5,0.379213483146067,9
"ADGRF5",4.29047317964056e-225,2.33914146278469,0.858,0.17,1.1363318216278e-220,0.373303167420814,5,0.28328611898017,10
"GGTLC1",7.5419942534382e-214,4.07419436493416,0.478,0.011,1.99749717802311e-209,0.495934959349593,5,0.826086956521739,4
"ADGRD1",1.50712415480347e-213,3.35304665872607,0.54,0.028,3.99161832399699e-209,0.442446043165468,5,0.620689655172414,8
"NFIX",9.59029815124034e-210,2.81568377005332,0.783,0.148,2.539990465356e-205,0.382133995037221,5,0.42671009771987,10
"S100A9",5.33078068452605e-207,-4.78853740689482,0.117,0.923,1.41185726429672e-202,0.466666666666667,5,0.478895257946847,9
"PEBP4",1.65963598918984e-204,4.03009643400707,0.476,0.015,4.3955459173693e-200,0.330612244897959,4,0.483870967741935,5
"CYBRD1",2.3548915026135e-204,2.71993836160952,0.683,0.092,6.23693014467184e-200,0.471590909090909,5,0.387434554973822,9
