"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","grouped_pr pt.occupancy","grouped_pr n.nonzero.pts","grouped_pd pt.occupancy","grouped_pd n.nonzero.pts"
"CLDN18",5.87851454093466e-204,5.83702378169362,0.47,0.014,1.55692457616654e-199,0.731404958677686,5,0.6,4
"SCGB3A1",5.45390285285631e-202,3.22945656348206,0.806,0.196,1.44446617057899e-197,0.407228915662651,5,0.58578431372549,8
"PDE4C",3.76609974777349e-199,4.1540951775861,0.553,0.043,9.97451518197808e-195,0.540350877192982,5,0.606741573033708,8
"FOXA2",4.90620611636902e-198,2.46657039888292,0.707,0.11,1.29940868992034e-193,0.434065934065934,5,0.460526315789474,9
"CYP2B7P",2.29836537391463e-195,2.86517293436665,0.779,0.177,6.08722069281291e-191,0.41645885286783,5,0.448369565217391,10
"FAM184A",1.57802468800759e-191,3.08039011271462,0.602,0.068,4.17939838618811e-187,0.467741935483871,5,0.439716312056738,9
"AQP5",2.4793395021127e-188,2.36314980886664,0.594,0.061,6.56653067134549e-184,0.5,4,0.785714285714286,5
"ICAM4",1.12062807385733e-187,2.98009631639554,0.685,0.113,2.96798345361114e-183,0.424929178470255,5,0.311965811965812,9
"KIAA1683",8.17632013064889e-186,3.59942507053652,0.596,0.069,2.16549838660236e-181,0.397394136807818,5,0.405594405594406,7
"AQP1",6.68538477919043e-183,2.20887463211474,0.66,0.094,1.77062415876859e-178,0.491176470588235,4,0.584615384615385,8
"IGFBP3",1.40487794170204e-182,-3.7164742699165,0.033,0.818,3.72081922859784e-178,0.411764705882353,4,0.564117647058824,8
"ALDOA",1.16883467640408e-181,-1.52248462079581,0.963,0.997,3.0956586404562e-177,0.366935483870968,6,0.465958474167069,11
"NAPSA",2.07263358857132e-178,1.00237007821763,0.961,0.217,5.48937005933113e-174,0.351515151515152,6,0.288248337028825,9
"PERP",8.58588842553435e-178,-1.87639150909025,0.658,0.971,2.27397254950277e-173,0.40117994100295,6,0.477700693756194,11
"KYNU",4.43970231303881e-177,-3.6470376316526,0.033,0.815,1.17585515760833e-172,0.823529411764706,2,0.562906083874778,9
"PLAU",1.15436915959225e-174,-3.50455711469333,0.045,0.83,3.05734671918006e-170,0.652173913043478,3,0.473623188405797,9
"JUN",4.43240585093299e-174,1.93328367760346,0.988,0.899,1.1739226896196e-169,0.367387033398821,6,0.490364025695931,11
"ATP13A4",1.12739055723872e-173,2.23007546244351,0.92,0.429,2.98589389084674e-169,0.377637130801688,5,0.747474747474748,10
"CD99",2.77400182004493e-173,-1.67969974337285,0.454,0.949,7.34694382038899e-169,0.354700854700855,6,0.487062404870624,10
"PITX1",7.23251805641268e-173,-2.00397638233156,0.082,0.863,1.9155324072409e-168,0.5,4,0.494983277591973,9
"CLIC6",1.68927301027151e-172,2.80441363078115,0.796,0.236,4.4740395677041e-168,0.392682926829268,5,0.657142857142857,10
"B2M",5.09681455108148e-172,-0.998902053527853,0.986,0.998,1.34989133385393e-167,0.368110236220472,6,0.46502653159672,11
"FLRT3",8.76070527431554e-172,3.04610020567227,0.713,0.163,2.32027279190247e-167,0.400544959128065,5,0.775147928994083,10
"GAPDH",2.50308875313828e-171,-1.28739699871256,0.94,0.999,6.62943056268672e-167,0.384297520661157,6,0.465060240963855,11
"TXN",4.03875541294261e-171,-1.51350202081767,0.833,0.994,1.06966437111785e-166,0.370629370629371,6,0.466602129719264,11
"TMSB10",2.05447875742618e-168,-1.1714737967546,0.977,0.999,5.44128698904324e-164,0.36779324055666,6,0.465060240963855,11
"AGER",2.73787798940837e-168,4.30242035397414,0.513,0.052,7.25126985494806e-164,0.643939393939394,5,0.611111111111111,9
"SCGB3A2",3.19349470000426e-168,3.68560502831626,0.571,0.073,8.45797071296128e-164,0.537414965986395,5,0.592105263157895,10
"ANXA2",1.74072984939597e-167,-1.21347542596957,0.93,0.997,4.61032300612523e-163,0.386221294363257,6,0.46450989859971,11
"UBD",3.74452391495145e-167,-4.17154963863862,0.043,0.79,9.91737158874891e-163,0.636363636363636,4,0.570993296770262,7
"GPR87",3.91276329762522e-167,-3.83833705595878,0.023,0.778,1.03629535937604e-162,0.666666666666667,4,0.550123762376238,7
"ZFP36L1",8.77605895773974e-166,1.79845118859401,0.979,0.922,2.32433921495737e-161,0.363095238095238,6,0.486161879895561,11
"PLXNA2",3.77033808983126e-165,2.89603236555512,0.717,0.164,9.98574043091809e-161,0.436314363143631,5,0.55425219941349,9
"PKM",4.05224845645623e-165,-1.43482166349998,0.841,0.993,1.07323800369243e-160,0.369515011547344,6,0.466311197285507,11
"DSP",8.61596889279427e-165,-2.0588464084704,0.256,0.906,2.28193936125656e-160,0.522727272727273,6,0.505045140732873,11
"CAPG",2.00192695764221e-163,-1.75479756429987,0.602,0.942,5.30210354731539e-159,0.42258064516129,6,0.491317671092952,10
"PID1",1.47776686301249e-161,3.17845967114294,0.46,0.035,3.91386553668858e-157,0.59915611814346,5,0.333333333333333,10
"FHL2",2.57860059434121e-161,-2.51647113620258,0.128,0.843,6.8294236741127e-157,0.378787878787879,6,0.541404911479155,8
"SLC2A1",1.46134384712948e-159,-2.33196187938886,0.336,0.894,3.87036917912242e-155,0.375722543352601,5,0.515347334410339,11
"PGD",3.38746546746301e-159,-2.01422564326102,0.691,0.956,8.97170229057578e-155,0.362359550561798,6,0.483140412682436,11
"SELENBP1",6.20067820371391e-159,2.01381502003899,0.932,0.59,1.64224962225363e-154,0.38125,5,0.706938775510204,11
"MUC16",4.03456883447802e-158,-3.56506908918011,0.031,0.761,1.0685555558115e-153,0.6875,4,0.601518026565465,9
"ABCC6",2.41234584251895e-156,2.75776443511969,0.594,0.095,6.38909796391143e-152,0.437908496732026,5,0.338383838383838,9
"PDLIM5",2.93565614738964e-156,-1.77157802464074,0.334,0.931,7.77508530636146e-152,0.406976744186047,6,0.492761116856256,11
"SLC16A3",6.51628168484271e-156,-2.63317459189631,0.212,0.843,1.72583720423059e-151,0.568807339449541,5,0.548258138206739,11
"PFKP",6.90697130616661e-156,-3.38915350597071,0.229,0.86,1.82931135043823e-151,0.313559322033898,6,0.538031319910515,11
"PLAUR",1.72367792890074e-155,-2.94324805319904,0.19,0.858,4.56516099469361e-151,0.520408163265306,4,0.509539842873176,10
"KCNJ15",2.75632199432405e-154,2.86740567606987,0.497,0.051,7.30011880196724e-150,0.62109375,5,0.752380952380952,7
"ALDH1A1",4.86484661435278e-154,1.96245136855227,0.621,0.104,1.28845462581133e-149,0.478125,5,0.671296296296296,8
"CACNA2D2",4.32760059678848e-153,3.0264332509595,0.606,0.107,1.14616501805943e-148,0.381410256410256,5,0.837837837837838,7
"MARCKS",1.88836212530519e-152,-1.70159247100078,0.136,0.87,5.00132708887079e-148,0.457142857142857,6,0.529314159292035,10
"IRX3",2.80327313117838e-151,2.65775430805689,0.72,0.209,7.42446888792593e-147,0.442048517520216,6,0.532258064516129,11
"SCNN1B",1.28733621645404e-150,2.70304963969789,0.746,0.222,3.40950996927853e-146,0.427083333333333,6,0.311688311688312,9
"CD302",3.48633480639007e-150,2.46429623783408,0.559,0.088,9.23355773472411e-146,0.402777777777778,5,0.247252747252747,11
"MUC20",4.70312773037092e-150,-3.08142100695472,0.47,0.892,1.24562337938874e-145,0.471074380165289,5,0.520237452779277,10
"AASS",4.75428768232553e-150,2.16013018136216,0.621,0.115,1.25917309266392e-145,0.440625,5,0.382352941176471,10
"SLC22A31",1.10745087841092e-149,2.15841502336988,0.744,0.199,2.93308365147131e-145,0.446475195822454,5,0.283292978208232,9
"DAPP1",2.51475717507959e-149,-3.00914493817956,0.049,0.749,6.6603343781983e-145,0.52,4,0.592164418754014,9
"PYCARD",1.5906941074818e-148,-1.70858104631478,0.289,0.905,4.21295334366555e-144,0.684563758389262,5,0.507177033492823,10
"TGM2",2.27532572290804e-147,-3.13093276214699,0.049,0.752,6.02620017712194e-143,0.64,4,0.580665813060179,10
"CAMK2N1",2.94804825792681e-146,-3.9614808753614,0.006,0.703,7.80790581111916e-142,0.666666666666667,2,0.647501711156742,9
"PRDM16",3.06291086963922e-146,2.79880880077204,0.482,0.052,8.11211943823948e-142,0.423387096774194,5,0.203703703703704,11
"FOS",1.96024249715168e-145,1.52251044818612,0.955,0.595,5.19170225370622e-141,0.376016260162602,5,0.41552142279709,10
"MALAT1",3.79165343543652e-145,1.36588064439742,0.996,0.98,1.00421941237536e-140,0.364522417153996,6,0.471281296023564,11
"TRIM29",1.05596638727852e-144,-2.51766813523359,0.138,0.802,2.79672697670717e-140,0.535211267605634,4,0.558488302339532,9
"LAMC2",7.90797831065358e-144,-2.16007064338259,0.239,0.852,2.0944280555766e-139,0.463414634146341,5,0.531638418079096,11
"TXNRD1",3.67325034882482e-143,-1.47322527204972,0.464,0.944,9.72860354886253e-139,0.531380753138075,5,0.486996430392657,11
"HN1",1.21166129454848e-142,-1.42002349909067,0.666,0.97,3.20908493861164e-138,0.381924198250729,6,0.474441687344913,11
"CTSB",1.4632667733008e-142,-1.72338951173523,0.783,0.976,3.87546204908718e-138,0.406947890818859,6,0.474618038442583,11
"AK1",6.4963572397765e-142,2.20208818077697,0.907,0.597,1.72056021495481e-137,0.381156316916488,6,0.475806451612903,11
"INPP4B",1.46708492742976e-141,-3.38688093629762,0.023,0.71,3.88557443029771e-137,0.666666666666667,3,0.55728813559322,9
"SFTA2",2.74685457091976e-141,1.72162213193608,0.922,0.64,7.27504433108098e-137,0.378947368421053,5,0.704511278195489,9
"FOSB",5.57725038206982e-141,1.76498927334407,0.961,0.434,1.47713476369119e-136,0.36969696969697,6,0.667405764966741,10
"LAD1",1.50790705413759e-140,-1.88903409971027,0.282,0.878,3.9936918328834e-136,0.379310344827586,6,0.512876712328767,9
"IER2",1.83325769547108e-140,1.75578859244233,0.955,0.866,4.85538300645515e-136,0.371951219512195,6,0.50639244024458,11
"TNFRSF21",3.34251398615555e-140,-1.79799179090235,0.198,0.839,8.85264829233297e-136,0.382352941176471,4,0.541594951233505,11
"DKK1",3.27797360504341e-139,-5.94183167946135,0.002,0.681,8.68171309295747e-135,1,1,0.581625441696113,7
"FAM3C",4.48572382289034e-139,-1.4909193602811,0.458,0.929,1.18804395449251e-134,0.402542372881356,6,0.494300518134715,10
"FAM83A",5.18892359528858e-139,-2.43203294269113,0.153,0.802,1.37428641421218e-134,0.417721518987342,5,0.494901019796041,9
"FXYD3",1.03284496551584e-138,-1.4957549415866,0.821,0.976,2.73548989116871e-134,0.434988179669031,6,0.475110892065057,11
"ADGRF1",1.19251779229603e-138,-3.30357837213415,0.128,0.754,3.15838337289603e-134,0.348484848484849,6,0.608806636885769,10
"TPI1",3.40365110715672e-137,-0.930720928088522,0.951,0.992,9.01456995730457e-133,0.369387755102041,6,0.467992240543162,11
"ERO1A",1.52222005885542e-136,-3.13931586535221,0.561,0.918,4.03159982587857e-132,0.349480968858132,6,0.5041928721174,11
"SAA1",1.93859293534675e-136,-2.99873569122726,0.035,0.721,5.13436338926588e-132,0.833333333333333,2,0.636424282855237,9
"GLS",4.43587491949393e-136,1.88348667804087,0.88,0.429,1.17484147242797e-131,0.384105960264901,5,0.356902356902357,11
"GSTP1",4.78166764940009e-136,-0.850760603666674,0.946,0.993,1.26642467694361e-131,0.375770020533881,6,0.467538759689922,11
"PTCSC3",8.8909486190982e-136,3.46894933424907,0.326,0.01,2.35476774176816e-131,0.642857142857143,4,0.619047619047619,5
"RHOV",1.90725668881176e-134,-2.90647723288882,0.047,0.705,5.05136934031794e-130,0.708333333333333,3,0.651639344262295,10
"GJB3",1.6776252221043e-133,-4.64597457427258,0.006,0.667,4.44319040074325e-129,1,1,0.525974025974026,8
"LRRN4",2.05215835737295e-133,3.1098827439329,0.482,0.064,5.43514140950224e-129,0.576612903225806,5,0.350746268656716,7
"S100A11",2.1101111311587e-133,-0.945935477782265,0.961,0.994,5.58862933087382e-129,0.371717171717172,6,0.467086156824782,11
"ARNTL2",4.03353833273574e-132,-2.77608021295773,0.095,0.732,1.06828262742506e-127,0.448979591836735,5,0.577251808021039,8
"LRRC36",7.26553234412739e-132,3.81071230503235,0.367,0.024,1.92427624134214e-127,0.555555555555556,4,0.448979591836735,7
"CSTB",8.5710156982692e-132,-1.01232181705697,0.93,0.996,2.2700335076866e-127,0.37160751565762,6,0.466183574879227,11
"RCN3",6.24309755876241e-131,2.94295800644337,0.398,0.035,1.65348438843822e-126,0.580487804878049,4,0.305555555555556,9
"GLCCI1",7.48049577328647e-131,2.73636901639886,0.769,0.319,1.98120930555492e-126,0.436868686868687,5,0.742081447963801,11
"SERPINE1",1.12973121255591e-130,-4.2295359160037,0.023,0.67,2.99209311645432e-126,0.666666666666667,3,0.612787356321839,8
"SLC34A2",1.21661624530905e-130,1.48506604474266,0.95,0.618,3.22220812570101e-126,0.378323108384458,6,0.670038910505837,10
"TSPAN1",1.23512342794649e-130,-2.21823872591619,0.338,0.842,3.27122439891627e-126,0.522988505747126,6,0.546598056032018,10
"ST14",1.31128235401788e-129,-2.01160391905738,0.606,0.957,3.47293131461635e-125,0.439102564102564,6,0.483400402414487,11
"AARD",2.27704544691103e-129,3.10862931387202,0.33,0.014,6.03075486614388e-125,0.447058823529412,4,0.620689655172414,6
"RGS10",2.34156077796684e-129,-2.9585801860707,0.095,0.717,6.20162372044516e-125,0.36734693877551,5,0.638012088650101,9
"ABCA3",8.08644920014365e-129,2.00540973654418,0.544,0.09,2.14169607065805e-124,0.353571428571429,5,0.518716577540107,11
"LY6K",1.6771912686737e-128,-1.62279815684261,0.214,0.853,4.44204107508231e-124,0.518181818181818,5,0.535553047404063,8
"ALPL",3.5336895434579e-128,2.24885953549406,0.41,0.038,9.35897675584826e-124,0.37914691943128,5,0.5125,10
"BIRC3",3.68719343149949e-128,-2.03075819577237,0.287,0.844,9.7655318033264e-124,0.304054054054054,6,0.547062179121506,10
"UCK2",3.84692331735978e-128,-3.2024294310104,0.029,0.676,1.01885764060274e-123,0.733333333333333,2,0.643416370106762,10
"LINC01420",5.87874411760128e-128,-1.41448697550668,0.404,0.885,1.5569853795467e-123,0.360576923076923,5,0.520652173913044,11
"ICAM1",6.70689040913702e-128,1.94312243252532,0.907,0.587,1.77631992485994e-123,0.39186295503212,6,0.500410172272354,10
"VDAC2",9.37250802906639e-128,-1.14464106438682,0.728,0.967,2.48230875149823e-123,0.370666666666667,6,0.477351916376307,11
"TSKU",1.24113661511988e-127,-2.05159514085715,0.099,0.762,3.28715032514499e-123,0.333333333333333,4,0.536616161616162,10
"TYMP",1.26455912838266e-127,-1.53764125005427,0.753,0.947,3.34918485152148e-123,0.420103092783505,6,0.488313008130081,11
"BID",1.79223498211439e-127,-1.74971421413574,0.301,0.832,4.74673435012995e-123,0.509677419354839,5,0.555234239444766,10
"TPPP3",4.4150688423243e-127,1.49203117493212,0.563,0.113,1.16933098288959e-122,0.5,5,0.587234042553191,7
"CFAP221",6.52025630492804e-127,2.46601781560728,0.452,0.055,1.72688988236019e-122,0.476394849785408,5,0.608695652173913,6
"ITPR2",1.00619253383198e-126,2.98266129240334,0.583,0.13,2.66490092585399e-122,0.53,5,0.362962962962963,11
"LAMB3",1.27759112871335e-126,-1.64289282625018,0.357,0.901,3.3837001043973e-122,0.804347826086957,5,0.510683760683761,9
"ABRACL",4.03402213093518e-126,-1.50343285068818,0.212,0.827,1.06841076137818e-121,0.394495412844037,6,0.553810354857475,11
"RIMKLA",2.60763594029278e-125,2.54970619727725,0.39,0.034,6.90632378786542e-121,0.507462686567164,5,0.408450704225352,7
"HOPX",6.5221259991541e-125,1.72544562842155,0.887,0.52,1.72738507087596e-120,0.385120350109409,5,0.620721554116559,10
"MDFI",1.47787768099146e-124,-2.64993493176223,0.019,0.658,3.91415903810588e-120,0.5,3,0.585223116313094,7
"RAP2B",5.03616995416215e-124,-1.92897495566552,0.557,0.936,1.33382961235985e-119,0.418118466898955,6,0.485097636176773,11
"NME2",5.75732595183468e-124,-1.2805394823343,0.683,0.971,1.52482777834341e-119,0.372159090909091,6,0.474727452923687,11
"PEG10",6.57858413176889e-124,3.43705795616575,0.384,0.035,1.74233800729899e-119,0.717171717171717,5,0.291666666666667,9
"ZDHHC11",1.01616985553258e-123,3.14624618008727,0.478,0.071,2.69132586237803e-119,0.544715447154472,5,0.459459459459459,9
"COMTD1",1.56945348465199e-123,-1.2158469306394,0.233,0.842,4.1566975541008e-119,0.341666666666667,6,0.526586620926244,9
"TIMP3",1.82862896869239e-123,2.2378758177354,0.672,0.194,4.8431238235818e-119,0.511560693641618,6,0.381188118811881,10
"TNFAIP2",8.80072690789544e-123,-2.18265834035195,0.198,0.801,2.33087252155611e-118,0.764705882352941,4,0.505705705705706,10
"CADM1",1.04159144763927e-122,2.75751621401586,0.792,0.349,2.75865494907262e-118,0.406862745098039,5,0.775482093663912,8
"GCLC",1.07146328459791e-122,-2.73645003955679,0.095,0.72,2.83777050925757e-118,0.346938775510204,5,0.459585838343353,11
"ITGA2",1.58247911759493e-122,-1.578630830204,0.153,0.791,4.19119594295016e-118,0.278481012658228,5,0.559002433090024,9
"ERICH2",8.59311417698935e-122,2.16561417718871,0.569,0.124,2.27588628977563e-117,0.37542662116041,5,0.575875486381323,8
"JUND",9.50897375796439e-122,1.89068297498287,0.936,0.868,2.51845169979687e-117,0.381742738589212,6,0.512749445676275,10
"GOLM1",1.11361846933683e-121,-2.52472543535154,0.417,0.848,2.9494185160386e-117,0.330232558139535,6,0.546795235394214,11
"FAM46C",1.66225892313715e-121,2.25632180944537,0.602,0.144,4.40249275792873e-117,0.454838709677419,5,0.367892976588629,10
"TRIM16",2.93474457499243e-121,-1.97955575442366,0.223,0.809,7.77267100686744e-117,0.434782608695652,5,0.529726516052319,9
"GJB2",6.62042486995345e-121,-3.91746588900238,0.031,0.644,1.75341952680717e-116,0.625,3,0.695814648729447,8
"GDF15",1.34819802265956e-120,1.76236523188431,0.887,0.451,3.57070246301385e-116,0.37199124726477,6,0.380597014925373,9
"TFPI2",1.80890585539227e-120,-2.99367523631014,0.085,0.689,4.79088715800644e-116,0.568181818181818,4,0.661312849162011,10
"TAP1",6.27379724500102e-120,-1.63205434283766,0.631,0.922,1.66161520033852e-115,0.436923076923077,6,0.497390396659708,11
"SLC22A3",1.15565374962293e-119,1.8497713120977,0.445,0.059,3.06074895587634e-115,0.506550218340611,5,0.455284552845528,10
"TIMP1",2.29574728170727e-119,-1.33681066593269,0.289,0.9,6.08028667560169e-115,0.557046979865772,6,0.477819347942277,9
"ADRB2",5.57049507516116e-119,2.09011707124156,0.623,0.161,1.47534562065643e-114,0.457943925233645,5,0.296407185628743,9
"PLP2",2.39446658332838e-118,-1.48854673204983,0.39,0.922,6.3417447459452e-114,0.462686567164179,6,0.490083507306889,11
"G6PD",3.40027295944128e-118,-1.8643403805123,0.412,0.888,9.00562293308024e-114,0.400943396226415,5,0.510027100271003,10
"TRIM16L",7.58413887218734e-118,-2.2481589642008,0.134,0.738,2.00865918029882e-113,0.420289855072464,5,0.582517938682322,10
"GPX1",9.28900271984027e-118,-1.06608617547268,0.817,0.98,2.4601923703497e-113,0.38479809976247,6,0.472263132056946,11
"CRTAC1",1.76688979757068e-117,3.76211222361977,0.32,0.018,4.67960762886596e-113,0.76969696969697,5,0.447368421052632,6
"LOC643441",7.49300780917231e-117,2.95023795909732,0.355,0.028,1.98452311825929e-112,0.442622950819672,5,0.864406779661017,4
"SQRDL",1.12776028181875e-116,-1.30812539857657,0.548,0.922,2.98687310639697e-112,0.411347517730496,6,0.499738903394256,11
"PEG3",1.90266731129317e-116,2.75009870632807,0.264,0.004,5.03921437395997e-112,0.830882352941177,3,0.444444444444444,4
"LCN2",2.00668185857915e-116,-4.10293067759297,0.186,0.723,5.31469690244689e-112,0.322916666666667,5,0.641810918774967,9
"IRX2",2.89981785972205e-116,2.91101212057416,0.75,0.334,7.68016760147386e-112,0.461139896373057,5,0.488472622478386,9
"UQCRFS1",8.43692294871655e-116,-1.04221500204884,0.72,0.958,2.23451904296758e-111,0.38544474393531,6,0.481667503766951,11
"PLBD1",8.48114654747189e-116,-3.47055504956029,0.179,0.715,2.24623166309793e-111,0.489130434782609,5,0.646029609690444,10
"PRICKLE1",1.11858547909368e-115,2.55594555469431,0.39,0.041,2.9625736413796e-111,0.552238805970149,4,0.317647058823529,8
"RRBP1",2.40490418239685e-115,1.78475657410818,0.924,0.839,6.36938872707805e-111,0.376050420168067,5,0.528096330275229,10
"SRRM2",5.26598822284987e-115,1.66167448892903,0.977,0.964,1.39469698082179e-110,0.36182902584493,6,0.476285571642536,11
"NUP210L",6.20375205028037e-115,2.74396741109287,0.41,0.05,1.64306373051676e-110,0.398104265402844,5,0.466019417475728,8
"BCAT1",9.55003008266556e-115,3.1282578052655,0.355,0.031,2.52932546739397e-110,0.595628415300546,4,0.21875,10
"RAB11A",1.4976513018706e-114,-1.21002164937355,0.672,0.929,3.96652947300427e-110,0.384393063583815,6,0.496116002071466,11
"CPE",1.57980441363243e-114,-3.87929408509344,0.035,0.628,4.18411198950549e-110,0.5,3,0.703675344563553,8
"C20orf24",2.68922791891112e-114,-1.03021427522599,0.627,0.945,7.12242014323611e-110,0.439628482972136,6,0.486500254712175,11
"NCK1",2.8685557862903e-114,-1.66591761307627,0.336,0.84,7.59736999998985e-110,0.502890173410405,5,0.533218785796105,11
"ANKRD29",6.33751780214676e-114,3.01667097926365,0.536,0.124,1.67849158989857e-109,0.594202898550725,5,0.523255813953488,7
"CYP1B1",1.6423053992054e-113,2.15960689361961,0.487,0.083,4.3496458497955e-109,0.50597609561753,5,0.358381502890173,9
"PTGS2",2.3798166865711e-113,2.88929090388116,0.557,0.133,6.30294449438355e-109,0.425087108013937,5,0.592057761732852,9
"PHACTR1",4.97098783862797e-113,2.56392384810149,0.348,0.029,1.31656612906062e-108,0.41340782122905,4,0.716666666666667,7
"ARPC3",6.7008259762078e-113,-0.791062452970534,0.87,0.983,1.77471375979864e-108,0.388392857142857,6,0.470386686245717,11
"CDCP1",8.47428264755662e-113,-1.5972591985511,0.375,0.854,2.24441375920537e-108,0.430051813471503,6,0.537464788732394,10
"ITGB8",1.20315936590514e-112,-1.39311074479469,0.2,0.792,3.18656758059975e-108,0.359223300970874,6,0.547720364741641,10
"GSTA4",1.42735550327061e-112,2.29721317689395,0.6,0.159,3.78035105041221e-108,0.381877022653722,5,0.433333333333333,10
"CTSL",2.4171707759597e-112,-1.55176346301939,0.495,0.873,6.40187680012926e-108,0.388235294117647,6,0.526721763085399,11
"SCTR",4.07190507900707e-112,2.58331741208524,0.386,0.041,1.07844406017502e-107,0.597989949748744,5,0.895348837209302,5
"SMAGP",8.07766877150778e-112,-1.48332883742623,0.169,0.769,2.13937057413383e-107,0.413793103448276,5,0.58223889931207,8
"NQO1",1.10537947492108e-111,-1.45739189178257,0.722,0.95,2.92759753932848e-107,0.397849462365591,6,0.48253164556962,11
"FBLN5",1.19068803013009e-111,3.00093118137812,0.518,0.109,3.15353724779954e-107,0.561797752808989,5,0.726872246696035,7
"GBP2",1.26996189614347e-111,-1.74719912863863,0.159,0.744,3.36349408193599e-107,0.451219512195122,6,0.55627425614489,9
"PGAM1",1.70850253675038e-111,-1.34211495673172,0.633,0.955,4.52496896858339e-107,0.358895705521472,6,0.482358870967742,11
"C16orf54",5.72790852932889e-111,3.00599353886381,0.299,0.016,1.51703657399276e-106,0.87012987012987,3,0.424242424242424,7
"KRT19",6.35460961126482e-111,-1.01604498602437,0.92,0.989,1.68301835554349e-106,0.392405063291139,6,0.468126520681265,11
"LDHA",7.98561379446398e-111,-1.78685768352825,0.932,0.986,2.11498981346379e-106,0.35625,6,0.468521229868228,11
"PPIA",8.33308805250781e-111,-0.766590889446228,0.963,0.997,2.20701837070669e-106,0.375,6,0.465250965250965,11
"AP3S1",8.50747772977081e-111,-1.31612384539823,0.419,0.885,2.2532054767298e-106,0.407407407407407,6,0.519021739130435,11
"CTSE",1.27700109979248e-110,0.818690381523227,0.604,0.13,3.38213741280039e-106,0.446945337620579,5,0.42962962962963,8
"ERAP2",1.47793065263994e-110,-1.81603906862193,0.134,0.72,3.91429933351687e-106,0.72463768115942,4,0.567513368983957,10
"CBLC",6.17511164179508e-110,-1.61625304713521,0.122,0.729,1.63547831832943e-105,0.619047619047619,4,0.568692206076618,10
"HMGA1",7.69298312426151e-110,-1.55398637525178,0.501,0.946,2.03748658046066e-105,0.37984496124031,5,0.484740590030519,11
"PALLD",1.71131686796035e-109,-1.60357917826187,0.245,0.797,4.53242272479299e-105,0.365079365079365,5,0.56004828002414,10
"ARPC2",2.77960247449355e-109,-0.896330774095977,0.864,0.989,7.36177715369617e-105,0.382022471910112,6,0.468871595330739,11
"MYLIP",3.81266267275924e-109,1.89712671042564,0.872,0.648,1.00978370888028e-104,0.396436525612472,5,0.56347438752784,10
"CASP1",6.90632716705295e-109,-1.43574922365621,0.268,0.79,1.82914075019397e-104,0.405797101449275,5,0.569165143205363,8
