"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","gene","sig"
"COL6A2",0.000112421607787547,0.430142764020507,0,0.615,1,"COL6A2","NS"
"UGT1A6",0.000112421607787547,0.4555897252904,0,0.615,1,"UGT1A6","NS"
"DSE",0.000112421607787547,0.706861986162662,0,0.615,1,"DSE","NS"
"FZR1",0.000112421607787547,0.265333683036812,0,0.615,1,"FZR1","NS"
"TMEM40",0.000112421607787547,0.383012511265941,0,0.615,1,"TMEM40","NS"
"CHST11",0.000112421607787547,0.466854906268834,0,0.615,1,"CHST11","NS"
"AKR1C1",0.000112421607787547,0.63829863362554,0,0.615,1,"AKR1C1","NS"
"MAN1A1",0.000112421607787547,0.327211815731125,0,0.615,1,"MAN1A1","NS"
"TAPBP",0.000116160978257032,1.13487076401671,0.867,0.923,1,"TAPBP","NS"
"LY6E",0.000116196858629261,1.42103310163657,1,1,1,"LY6E","NS"
"CTSB",0.000126636126514071,2.69724197639448,0.8,1,1,"CTSB","NS"
"FKBP1A",0.000139523741738646,1.10640035057499,0.867,0.846,1,"FKBP1A","NS"
"TNFRSF1A",0.000140692978871976,1.05056721200293,0.6,0.846,1,"TNFRSF1A","NS"
"SDHC",0.000146291924157414,0.808905861658603,0.867,0.846,1,"SDHC","NS"
"HNRNPA1",0.00014767106495304,0.99504918436909,1,1,1,"HNRNPA1","NS"
"ACTN4",0.000185921240363838,1.1133580527924,1,1,1,"ACTN4","NS"
"IGFBP7",0.00019869168778659,2.07044384639936,0.533,0.769,1,"IGFBP7","NS"
"PPHLN1",0.000199217700665146,0.955217633347954,0.4,1,1,"PPHLN1","NS"
"CALD1",0.000208821296687987,0.737455748067912,0.2,0.923,1,"CALD1","NS"
"EGLN3",0.000211757999553403,1.05046117091222,0.4,1,1,"EGLN3","NS"
"YBX3",0.000220151712954236,1.22267014032031,0.733,1,1,"YBX3","NS"
"SSPN",0.000229888102888203,0.348999786192234,0.067,0.769,1,"SSPN","NS"
"TSPYL1",0.000231243437048794,0.736385439187719,0.867,0.692,1,"TSPYL1","NS"
"PPP4C",0.000233265261792152,0.926617351453652,0.933,0.846,1,"PPP4C","NS"
"TINAGL1",0.000250185028345672,1.52117795230705,0.133,0.846,1,"TINAGL1","NS"
"ACTG1",0.000251146744212501,1.91798572009449,1,1,1,"ACTG1","NS"
"PTP4A1",0.000257401464725186,1.1474047274516,0.733,0.923,1,"PTP4A1","NS"
"TMX2",0.000279897873992987,1.35247805610867,0.533,0.769,1,"TMX2","NS"
"N4BP2L2",0.000285469994032033,0.662821137090139,0.2,0.923,1,"N4BP2L2","NS"
"ANXA8",0.000303648866431065,0.487158252896713,0.067,0.769,1,"ANXA8","NS"
"ATP5B",0.000315148186577989,1.39425951800025,0.733,1,1,"ATP5B","NS"
"YWHAE",0.000332252467373274,0.892317954134939,1,1,1,"YWHAE","NS"
"DSP",0.00034043103527805,1.6700711253645,0.467,1,1,"DSP","NS"
"DGKH",0.000372272912035658,0.326534919689704,0.133,0.846,1,"DGKH","NS"
"SLC35B2",0.000377451353838936,0.945032241196267,0.667,0.692,1,"SLC35B2","NS"
"PPP2R1A",0.000399004159748605,0.969064886308099,0.867,0.923,1,"PPP2R1A","NS"
"SKP2",0.000413498456251904,0.447887988966146,0.133,0.846,1,"SKP2","NS"
"TMEM230",0.000413736570660188,1.18268898782471,0.733,0.846,1,"TMEM230","NS"
"ELAC2",0.000423927448609661,0.493141449754656,0.133,0.846,1,"ELAC2","NS"
"FBXL5",0.000434001678551348,0.39243585210254,0.133,0.846,1,"FBXL5","NS"
"LTB4R2",0.000435837415751604,0.261304051710508,0,0.538,1,"LTB4R2","NS"
"SEC23IP",0.000435837415751604,0.264000868033662,0,0.538,1,"SEC23IP","NS"
"PLXNB1",0.000435837415751604,0.280660061209641,0,0.538,1,"PLXNB1","NS"
"RAB40B",0.000435837415751604,0.287431873817815,0,0.538,1,"RAB40B","NS"
"COL5A1",0.000435837415751604,0.412156803069607,0,0.538,1,"COL5A1","NS"
"LRRN1",0.000435837415751604,0.450519753382908,0,0.538,1,"LRRN1","NS"
"COL16A1",0.000435837415751604,0.508015976030893,0,0.538,1,"COL16A1","NS"
"MFAP2",0.000435837415751604,0.521812623307405,0,0.538,1,"MFAP2","NS"
"WDR11",0.000435837415751604,0.535757405410682,0,0.538,1,"WDR11","NS"
"ZNF662",0.000435837415751604,0.560048341649149,0,0.538,1,"ZNF662","NS"
"MME",0.000435837415751604,0.637995919975241,0,0.538,1,"MME","NS"
"HTRA3",0.000435837415751604,0.807308763033856,0,0.538,1,"HTRA3","NS"
"SERPINE1",0.000435837415751604,0.814997022857853,0,0.538,1,"SERPINE1","NS"
"SAA2",0.000435837415751604,1.17737220735331,0,0.538,1,"SAA2","NS"
"MFAP5",0.000435837415751604,1.22374427272437,0,0.538,1,"MFAP5","NS"
"SLC25A28",0.000435837415751604,0.321386875354645,0,0.538,1,"SLC25A28","NS"
"LAMB1",0.000435837415751604,0.489556177642297,0,0.538,1,"LAMB1","NS"
"ADH7",0.000435837415751604,0.509187845201689,0,0.538,1,"ADH7","NS"
"KRT13",0.000435837415751604,0.926614689554037,0,0.538,1,"KRT13","NS"
"C19orf48",0.000464051538641144,1.15190653186792,0.533,0.769,1,"C19orf48","NS"
"BASP1",0.000476843829543195,1.74204870983375,0.2,0.769,1,"BASP1","NS"
"CD9",0.000501094476180097,1.18931550683401,0.933,0.923,1,"CD9","NS"
"STON2",0.000509998182301183,2.0410815570512,0.133,0.769,1,"STON2","NS"
"CNN2",0.000510386746585062,1.17581880840021,0.667,1,1,"CNN2","NS"
"RPL4",0.000526142609174387,0.976437190738421,1,1,1,"RPL4","NS"
"PKP3",0.000532759181149002,0.883838805400665,0.333,0.846,1,"PKP3","NS"
"FNTA",0.000537826035109492,0.808709657282966,0.467,1,1,"FNTA","NS"
"STRN3",0.000547545220327379,0.854923274473025,0.667,0.846,1,"STRN3","NS"
"PERP",0.000571529844965763,1.79972498247362,0.867,1,1,"PERP","NS"
"EFEMP1",0.000599531064482305,1.39621414676048,0.467,0.846,1,"EFEMP1","NS"
"DDOST",0.000651477780989339,1.12200167452283,0.867,0.846,1,"DDOST","NS"
"MAT2B",0.000661569218542752,0.959330358891471,0.267,0.846,1,"MAT2B","NS"
"PDIA3",0.000687328546494325,0.989679390820386,1,0.846,1,"PDIA3","NS"
"AHCY",0.000716458304039761,1.03162732557359,0.6,1,1,"AHCY","NS"
"LAPTM4A",0.000722066059998812,0.681883897766571,1,0.846,1,"LAPTM4A","NS"
"SDHA",0.000756921319037268,0.840748405817636,0.867,0.846,1,"SDHA","NS"
"CD44",0.000762889223930793,1.82848049225552,0.467,0.769,1,"CD44","NS"
"OAT",0.000787177738646302,1.20315106640434,0.333,0.846,1,"OAT","NS"
"DTX3L",0.00079798163692064,0.831924039488177,0.733,1,1,"DTX3L","NS"
"FST",0.000819085818607673,1.81919922968286,0.067,0.692,1,"FST","NS"
"SLC38A5",0.000824141227977336,1.91473290184046,0.133,0.692,1,"SLC38A5","NS"
"SLC38A1",0.00083483663677189,0.497987339087931,0.4,1,1,"SLC38A1","NS"
"GSTO1",0.000850679586474811,0.408493881716929,0.267,0.923,1,"GSTO1","NS"
"DCAF13",0.000863889393097446,1.02469004043731,0.467,0.923,1,"DCAF13","NS"
"PDP1",0.00086721709250348,0.954213543202189,0.267,0.846,1,"PDP1","NS"
"FLNA",0.000887352482345694,0.688579007654793,1,0.769,1,"FLNA","NS"
"DHX36",0.000898637115616883,0.340676520146604,0.4,1,1,"DHX36","NS"
"CYB5R3",0.000932925727426441,1.20482224810295,0.6,0.923,1,"CYB5R3","NS"
"SNRNP70",0.000933109624910659,0.800728249257075,0.4,0.846,1,"SNRNP70","NS"
"FYB",0.00094464470059075,0.927586177858052,0.067,0.692,1,"FYB","NS"
"NAA15",0.000959492515441248,0.613323357744145,0.267,0.923,1,"NAA15","NS"
"PCNP",0.000979014417927203,0.649502151533151,0.467,1,1,"PCNP","NS"
"CAV2",0.00099313629981686,1.2396000645889,0.733,0.769,1,"CAV2","NS"
"AIM2",0.00100170026946423,0.896487314398497,0.133,0.769,1,"AIM2","NS"
"TAP2",0.00101748255823791,0.805637042305093,0.533,0.923,1,"TAP2","NS"
"PRSS23",0.00101997601062941,1.85254126968624,0.267,0.846,1,"PRSS23","NS"
"LITAF",0.00103046328085052,1.6574168090964,0.733,0.923,1,"LITAF","NS"
"RBM26",0.00106402969145791,0.877375870357119,0.333,0.923,1,"RBM26","NS"
"SERINC2",0.00107302121310331,1.26049265693318,0.933,0.923,1,"SERINC2","NS"
"PANK2",0.00107769866643612,0.64062922519429,0.2,0.846,1,"PANK2","NS"
"PUF60",0.00109405058393814,1.04300037345468,0.867,1,1,"PUF60","NS"
"TSPAN5",0.00111633353098114,0.76327001006212,0.067,0.692,1,"TSPAN5","NS"
"CLU",0.00112526472375622,0.835457606324047,0.867,0.308,1,"CLU","NS"
"SSR1",0.00113802361027628,1.33907203835917,0.733,0.846,1,"SSR1","NS"
"PRNP",0.00115446955507218,1.73349379373496,0.467,0.846,1,"PRNP","NS"
"HSPBP1",0.00116199491408764,0.951156668669028,0.467,0.846,1,"HSPBP1","NS"
