"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"MS4A15",0,4.6048221460267,0.742,0.014,0
"AQP4",0,4.33834641609066,0.802,0.057,0
"SUSD2",0,4.29065801272474,0.901,0.141,0
"CYP4B1",0,3.67760555388993,0.8,0.057,0
"SFTPB",0,2.4674144697029,0.936,0.122,0
"C16orf89",4.28130629196414e-307,3.58487130659157,0.876,0.113,1.1339039714267e-302
"DLC1",9.11579666439283e-286,4.23068689367518,0.703,0.041,2.41431874656444e-281
"RGS16",3.41917783529345e-285,3.74994548359959,0.885,0.162,9.05569249677471e-281
"SFTPD",9.0154018932092e-275,3.22807603506054,0.798,0.085,2.38772919141646e-270
"RNASE1",1.72137828831477e-264,3.6708716814829,0.903,0.188,4.55907039660166e-260
"NKX2-1",4.58814618143195e-255,2.61162965631199,0.907,0.195,1.21517051615225e-250
"PGC",9.61119977723801e-245,4.95403497707518,0.503,0.003,2.54552626100149e-240
"SFTA3",1.46018414439982e-239,2.59868256288375,0.862,0.173,3.86729770644292e-235
"C4BPA",6.62408217119487e-239,2.92479795231052,0.777,0.11,1.75438816304096e-234
"TNS1",9.46862313148793e-233,3.00469185985769,0.841,0.171,2.50776483637458e-228
"ADGRF5",4.29047317964056e-225,2.33914146278469,0.858,0.17,1.1363318216278e-220
"GGTLC1",7.5419942534382e-214,4.07419436493416,0.478,0.011,1.99749717802311e-209
"ADGRD1",1.50712415480347e-213,3.35304665872607,0.54,0.028,3.99161832399699e-209
"NFIX",9.59029815124034e-210,2.81568377005332,0.783,0.148,2.539990465356e-205
"S100A9",5.33078068452605e-207,-4.78853740689482,0.117,0.923,1.41185726429672e-202
"PEBP4",1.65963598918984e-204,4.03009643400707,0.476,0.015,4.3955459173693e-200
"CYBRD1",2.3548915026135e-204,2.71993836160952,0.683,0.092,6.23693014467184e-200
"CLDN18",5.87851454093466e-204,5.83702378169362,0.47,0.014,1.55692457616654e-199
"SCGB3A1",5.45390285285631e-202,3.22945656348206,0.806,0.196,1.44446617057899e-197
"PDE4C",3.76609974777349e-199,4.1540951775861,0.553,0.043,9.97451518197808e-195
"FOXA2",4.90620611636902e-198,2.46657039888292,0.707,0.11,1.29940868992034e-193
