"","x"
"1","C1orf116"
"2","CADM1"
"3","CPM"
"4","MUC1"
"5","CLIC3"
"6","QPRT"
"7","MSLN"
"8","CAV1"
"9","HLA-DPB1"
"10","PDGFA"
"11","EFNA1"
"12","HLA-DMA"
"13","CRABP2"
"14","TFCP2L1"
"15","VEPH1"
"16","ABCA1"
"17","HLA-DMB"
"18","ACP5"
"19","RNF212"
"20","EVADR"
"21","TP53I11"
"22","NGFRAP1"
"23","MRPL14"
"24","TPD52L1"
"25","BEX2"
"26","HPN"
"27","LIMCH1"
"28","CLIC5"
"29","GSPT1"
"30","C3"
"31","TXNDC11"
"32","C1orf198"
"33","ASS1"
"34","GSTM3"
"35","TACC1"
"36","FLJ23867"
"37","HP1BP3"
"38","PRR15L"
"39","HSD11B2"
"40","VASN"
"41","HAS3"
"42","GSAP"
"43","YPEL3"
"44","HLA-DRB6"
"45","KRT7"
"46","SLC16A4"
"47","CAPN2"
"48","NCKAP5"
"49","CAV2"
"50","PARN"
"51","S100A14"
"52","PDXDC1"
"53","N4BP1"
"54","TP53BP2"
"55","ARRB1"
"56","SEPHS2"
"57","ACADSB"
"58","GALNT11"
"59","CLN3"
"60","SMARCA1"
"61","KCNK15"
"62","BFAR"
"63","NUBP2"
"64","HLA-DOA"
"65","PRSS8"
"66","STK31"
"67","PSMB2"
"68","HSPB1"
"69","GPRIN2"
"70","SORBS1"
"71","MIR614"
"72","DESI2"
"73","ARF1"
"74","BOK"
"75","BRD7"
"76","ZNF667-AS1"
"77","SCPEP1"
"78","SH3RF1"
"79","GPRC5A"
"80","ADK"
"81","LPIN2"
"82","ADIRF"
"83","RAD21"
"84","COMMD9"
"85","KIF22"
"86","NFYC"
"87","DNAJA3"
"88","CXCL16"
"89","DCXR"
"90","HLA-E"
"91","MARC2"
"92","CEP70"
"93","SERP1"
"94","APRT"
"95","NMRAL1"
"96","ELOVL1"
"97","ARRB2"
"98","XPO6"
"99","SYT15"
"100","AFAP1-AS1"
"101","ARL6IP1"
"102","PARP14"
"103","SUCO"
"104","CDH1"
"105","SLC29A1"
"106","NPNT"
"107","SECTM1"
"108","AIDA"
"109","PEF1"
"110","AMOTL2"
"111","ZC3H7A"
"112","SYT7"
"113","BTN3A3"
"114","SLC50A1"
"115","STMN1"
"116","BTN3A1"
"117","ATP6V1C2"
"118","PARD6B"
"119","TOR1AIP2"
"120","LAMA3"
"121","C2"
"122","COMMD2"
"123","TPM3"
"124","TXNIP"
"125","FXYD5"
"126","GALM"
"127","RSL1D1"
"128","CCNF"
"129","MR1"
"130","EFCAB14"
"131","MRPS34"
"132","USP39"
"133","PLEKHA1"
"134","QSOX1"
"135","TCEB2"
"136","MKL2"
"137","RCC2"
"138","OSBPL9"
"139","PGP"
"140","LSR"
"141","SLC39A7"
"142","ZBTB38"
"143","NDUFB9"
"144","C6orf62"
"145","GOLGA5"
"146","ANXA6"
"147","B3GNT8"
"148","UBN1"
"149","PTP4A3"
"150","RPS15A"
"151","PDLIM2"
"152","CD47"
"153","PPCS"
"154","RAB2A"
"155","RAB11FIP1"
"156","PDIK1L"
"157","HLA-B"
"158","KIAA1804"
"159","ATMIN"
"160","EHD2"
"161","FMR1"
"162","DISP1"
"163","NPL"
"164","RAB6A"
"165","CDIPT"
"166","EBAG9"
"167","ADI1"
"168","COBLL1"
"169","ARPC5"
"170","PCMTD1"
"171","RHBDL1"
"172","YTHDF2"
"173","LARP4B"
"174","ZNF518B"
"175","PSME1"
"176","CDIP1"
"177","GSDMB"
"178","EIF3H"
"179","GALE"
"180","BLVRB"
"181","PPP2R3A"
"182","EPRS"
"183","AARS"
"184","UBR2"
"185","GGH"
"186","PTK6"
"187","STX4"
"188","C16orf72"
"189","CHCHD7"
"190","OCLN"
"191","NARFL"
"192","CD46"
"193","TBC1D2"
"194","DCTN5"
"195","UXS1"
"196","YKT6"
"197","DECR2"
"198","RAB40C"
"199","PPL"
"200","LAPTM4B"
"201","CHCHD2"
"202","PIK3C2B"
"203","PDIA5"
"204","TBL3"
"205","ACSS2"
"206","FAM3B"
"207","COPZ2"
"208","POU2F3"
"209","ECI1"
"210","NEXN"
"211","ZNF185"
"212","VPS41"
"213","GUK1"
"214","RNPS1"
"215","BCKDK"
"216","NDUFB10"
"217","RNF114"
"218","FAM173A"
"219","CEBPZ"
"220","HEG1"
"221","MDK"
"222","PHLDB2"
"223","PHF20L1"
"224","FOPNL"
"225","SERINC1"
"226","HLA-DQA2"
"227","CYB5B"
"228","SELM"
"229","RNF181"
"230","LARP4"
"231","TMEM186"
"232","CABLES1"
"233","CEP192"
"234","CCDC115"
"235","CA13"
"236","ZNF672"
"237","H2AFV"
"238","FAM195A"
"239","TSEN15"
"240","TPD52"
"241","WBP5"
"242","ZNF626"
"243","PTP4A2"
"244","NOSTRIN"
"245","MIER1"
"246","HIST1H2BK"
"247","STARD7"
"248","IFI30"
"249","KLHL20"
"250","APOL2"
"251","F8A1"
"252","POGK"
"253","IBTK"
"254","ALKBH6"
"255","HSD17B14"
"256","RFX5"
"257","SYT1"
"258","TIGD7"
"259","SP140L"
"260","PMM2"
"261","ZNF675"
"262","NUP93"
"263","PSMD7"
"264","RTKN2"
"265","ATG4C"
"266","CAPZB"
"267","PTDSS1"
"268","ZDHHC14"
"269","FAM208A"
"270","ABCD1"
"271","WNT4"
"272","C1orf122"
"273","GBA"
"274","PLCB1"
"275","RPS20"
"276","WAPL"
"277","PAM16"
"278","STT3B"
"279","TAZ"
"280","FAM105A"
"281","ZFYVE9"
"282","KCNMB2-AS1"
"283","NMT1"
"284","DNAJC19"
"285","C16orf62"
"286","SSU72"
"287","ADPRHL2"
"288","KIF1C"
"289","CAMKK2"
"290","GBAS"
"291","RPS13"
"292","TRIM44"
"293","COG4"
"294","C16orf91"
"295","STK3"
"296","CYC1"
"297","HSD17B4"
"298","SIPA1"
"299","STRA13"
"300","STEAP4"
"301","PRUNE"
"302","SNTB2"
"303","PPT1"
"304","TM7SF3"
"305","SLC25A5"
"306","STK26"
"307","SLC44A2"
"308","ZMYM1"
"309","SEC22A"
"310","ZNF181"
"311","SLC30A9"
"312","SYNCRIP"
"313","ZNF771"
"314","C10orf35"
"315","AURKAIP1"
"316","PTK2"
"317","DCAF6"
"318","KDF1"
"319","APIP"
"320","HCP5"
"321","SAMD12"
"322","PPFIBP1"
"323","ZNF252P"
"324","CRCP"
"325","EXOC2"
"326","HLA-C"
"327","NTPCR"
"328","CHTF8"
"329","HMOX2"
"330","YWHAG"
"331","NAT10"
"332","CTCF"
"333","CCNC"
"334","PDZK1IP1"
"335","ZHX1"
"336","PACSIN3"
"337","NDST1"
"338","DBR1"
"339","SDHB"
"340","ARL14EP"
"341","PAFAH2"
"342","LTBP4"
"343","RNF213"
"344","ARNT"
"345","RBBP8"
"346","PSME2"
"347","WRAP73"
"348","ANKRD50"
"349","SPINT2"
"350","LINC01569"
"351","RAB5B"
"352","LYPLAL1"
"353","GLMP"
"354","IRF1"
"355","NUDT19"
"356","POLR3K"
"357","TSR3"
"358","C1orf131"
"359","SLC25A43"
"360","TRAFD1"
"361","ZNF205"
"362","MAP3K14"
"363","CAP1"
"364","CPT2"
"365","TCF25"
"366","C6orf47"
"367","ZNF737"
"368","OSBPL2"
"369","TRPM4"
"370","TRAM1"
"371","LDLRAP1"
"372","SETD3"
"373","BRF2"
"374","ZNF146"
"375","VAMP3"
"376","UCHL1"
"377","RMI2"
"378","ACSL5"
"379","ARMCX3"
"380","RNF13"
"381","MROH6"
"382","AMOTL1"
"383","HSPG2"
"384","TRIM38"
"385","AGFG2"
"386","SNN"
"387","POLD4"
"388","FAM65A"
"389","GET4"
"390","ZNF200"
"391","DAXX"
"392","PIEZO1"
"393","TSR2"
"394","AMOT"
"395","CKAP5"
"396","C5orf56"
"397","AURKA"
"398","CMTR2"
"399","BCKDHB"
"400","MRPS15"
"401","TMEM219"
"402","THEM4"
"403","TBC1D15"
"404","MON1B"
"405","TMEM159"
"406","AMBRA1"
"407","ARHGEF10L"
"408","UQCRC2"
"409","PALB2"
"410","NUDT16"
"411","COX4I1"
"412","CERK"
"413","ALS2CL"
"414","TRAP1"
"415","NBN"
"416","FRG1CP"
"417","DHX15"
"418","DCTPP1"
"419","CFL2"
"420","ABCC1"
"421","CNEP1R1"
"422","SEMA3B"
"423","RRN3"
"424","DDOST"
"425","BROX"
"426","BRCC3"
"427","UBE2I"
"428","PSMC2"
"429","MPZL1"
"430","UQCRHL"
"431","UCHL5"
"432","C1orf109"
"433","PDHX"
"434","FAM49B"
"435","APOA1BP"
"436","MUT"
"437","HMGB3"
"438","U2SURP"
"439","C11orf58"
"440","RANBP17"
"441","ZNF263"
"442","HPS5"
"443","SBDS"
"444","DUXAP8"
"445","ZNF800"
"446","ANKRD13A"
"447","NBPF14"
"448","ATP6V1C1"
"449","NIPSNAP1"
"450","ZDHHC7"
"451","MPP7"
"452","AFG3L2"
"453","KCNS3"
"454","POLR2G"
"455","RCC1"
"456","CALCOCO2"
"457","RRAS"
"458","ERI2"
"459","RAB25"
"460","STRADB"
"461","MYO6"
"462","RABGAP1L"
"463","JARID2"
"464","EXOC8"
"465","ADAM9"
"466","EFNA4"
"467","MRS2"
"468","CAMTA1"
"469","HBP1"
"470","RPS14P3"
"471","LY6K"
"472","ACAA1"
"473","PPIH"
"474","TAOK3"
"475","LNX2"
"476","C1orf27"
"477","PIGC"
"478","FASTKD5"
"479","TBCE"
"480","PRRC1"
"481","CREB1"
"482","CIAPIN1"
"483","COPB2"
"484","TMBIM1"
"485","STX12"
"486","ARMCX6"
