"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","naive pt.occupancy","naive n.nonzero.pts","grouped_pd pt.occupancy","grouped_pd n.nonzero.pts","gene","sig"
"UBD",1.51272522326587e-270,2.10682186971086,0.107,0.79,4.00645275381967e-266,0.536363636363636,7,0.570993296770262,7,"UBD","p_val_adj<0.05"
"S100P",1.51069588069092e-120,2.04109200455465,0.261,0.616,4.00107804000991e-116,0.761194029850746,10,0.75390625,10,"S100P","p_val_adj<0.05"
"ASS1",1.30128180825134e-279,2.03999176970768,0.396,0.92,3.44644486915367e-275,0.390663390663391,10,0.503401360544218,11,"ASS1","p_val_adj<0.05"
"ERO1A",6.93793757501153e-152,1.93294627048367,0.679,0.918,1.8375127667418e-147,0.397417503586801,11,0.5041928721174,11,"ERO1A","p_val_adj<0.05"
"ALDH3A1",0.001531581053789,1.92377749796447,0.371,0.346,1,0.522309711286089,8,0.824512534818941,8,"ALDH3A1","NS"
"MSLN",3.85312060670579e-114,1.88852319878479,0.163,0.543,1.02049899268603e-109,0.592814371257485,8,0.852081488042515,7,"MSLN","p_val_adj<0.05"
"IGFBP3",3.32901613007256e-239,1.85540150161582,0.236,0.818,8.81689922049718e-235,0.574380165289256,9,0.564117647058824,8,"IGFBP3","p_val_adj<0.05"
"LYPD3",7.31689707991781e-149,1.69312155657028,0.106,0.607,1.93788019161623e-144,0.293577981651376,9,0.47898493259318,8,"LYPD3","p_val_adj<0.05"
"S100A2",5.38496787609714e-30,1.68806243923939,0.305,0.457,1.42620874198433e-25,0.389776357827476,10,0.647368421052632,8,"S100A2","p_val_adj<0.05"
"SCCPDH",1.43875828571381e-56,1.63964457670434,0.611,0.715,3.81055131971303e-52,0.401913875598086,11,0.648484848484848,11,"SCCPDH","p_val_adj<0.05"
"CRABP2",0,1.62790485801886,0.115,0.859,0,0.338983050847458,10,0.522982062780269,9,"CRABP2","p_val_adj<0.05"
"CBR1",2.14653421342668e-50,1.61672712138843,0.672,0.938,5.68509586426057e-46,0.342028985507246,11,0.474871794871795,11,"CBR1","p_val_adj<0.05"
"PGD",2.61103586131819e-261,1.61447604827882,0.678,0.956,6.91532847870123e-257,0.307471264367816,11,0.483140412682436,11,"PGD","p_val_adj<0.05"
"BACE2",5.93061793156658e-106,1.59725678180088,0.521,0.779,1.57072415917541e-101,0.302803738317757,11,0.592340951204447,10,"BACE2","p_val_adj<0.05"
"LDHA",1.17539421622441e-176,1.58806146374027,0.811,0.986,3.11303158167035e-172,0.404561824729892,12,0.468521229868228,11,"LDHA","p_val_adj<0.05"
"LY6D",1.96121682754208e-156,1.53312631234839,0.05,0.566,5.19428276774521e-152,0.411764705882353,7,0.480883602378929,7,"LY6D","p_val_adj<0.05"
"PFKP",1.90862635114905e-117,1.52184138602208,0.648,0.86,5.05499689101825e-113,0.312312312312312,11,0.538031319910515,11,"PFKP","p_val_adj<0.05"
"MUC20",2.00129750461453e-131,1.4615688780341,0.674,0.892,5.30043644097159e-127,0.410404624277457,11,0.520237452779277,10,"MUC20","p_val_adj<0.05"
"ALDOA",1.78069169983648e-296,1.46110151716767,0.945,0.997,4.71616196701693e-292,0.338825952626159,12,0.465958474167069,11,"ALDOA","p_val_adj<0.05"
"C3",2.54797181107529e-90,1.45901514005462,0.4,0.637,6.7483033416329e-86,0.469586374695864,11,0.72583081570997,10,"C3","p_val_adj<0.05"
"CAPG",1.64179698080004e-284,1.45416282856665,0.441,0.942,4.34829930364889e-280,0.465783664459161,9,0.491317671092952,10,"CAPG","p_val_adj<0.05"
"FXYD3",1.95742164575342e-249,1.38828592259544,0.754,0.976,5.18423122877793e-245,0.377260981912145,11,0.475110892065057,11,"FXYD3","p_val_adj<0.05"
"GALNT12",4.35807921098439e-140,1.37626878379027,0.213,0.636,1.15423727902922e-135,0.374429223744292,8,0.722390317700454,10,"GALNT12","p_val_adj<0.05"
"TACSTD2",2.41569066111926e-191,1.34119089391204,0.942,0.98,6.39795671597436e-187,0.345398138572906,11,0.473477406679764,10,"TACSTD2","p_val_adj<0.05"
"AKR1C2",2.0939927784174e-07,1.30704930859102,0.332,0.343,0.00554593987363847,0.63049853372434,9,0.875175315568022,9,"AKR1C2","p_val_adj<0.05"
"C15orf48",8.16782218034636e-92,1.29862544531413,0.598,0.795,2.16324770446473e-87,0.47557003257329,9,0.581465778316172,9,"C15orf48","p_val_adj<0.05"
"KRT7",4.93021606241482e-85,1.28947015286674,0.721,0.829,1.30576772413057e-80,0.447297297297297,12,0.560394889663182,11,"KRT7","p_val_adj<0.05"
"PGK1",3.28843577202169e-115,1.26612096678846,0.904,0.962,8.70942214219944e-111,0.359913793103448,12,0.481981981981982,11,"PGK1","p_val_adj<0.05"
"RAP2B",1.46961437528042e-172,1.25147648325234,0.573,0.936,3.8922736729302e-168,0.360544217687075,11,0.485097636176773,11,"RAP2B","p_val_adj<0.05"
"AVPI1",5.3997459731232e-203,1.23513595374571,0.297,0.849,1.43012272098168e-198,0.462295081967213,9,0.540249433106576,9,"AVPI1","p_val_adj<0.05"
"TAP1",5.15941051157103e-241,1.2214320698022,0.493,0.922,1.36646987398959e-236,0.345849802371542,10,0.497390396659708,11,"TAP1","p_val_adj<0.05"
"GOLM1",4.55341323344887e-92,1.21880570053486,0.743,0.848,1.20597149487893e-87,0.302752293577982,10,0.546795235394214,11,"GOLM1","p_val_adj<0.05"
"ST14",1.97402870724428e-136,1.21650673989118,0.796,0.957,5.22821503113647e-132,0.341075794621027,11,0.483400402414487,11,"ST14","p_val_adj<0.05"
"MUC1",1.05933559981964e-75,1.21459869216604,0.813,0.859,2.80565033612231e-71,0.361676646706587,11,0.539798206278027,11,"MUC1","p_val_adj<0.05"
"KRT15",1.05629449122269e-146,1.20790082135609,0.209,0.71,2.7975959600033e-142,0.441860465116279,8,0.451525423728814,10,"KRT15","p_val_adj<0.05"
"ADAM15",1.01051209415496e-148,1.18088540175064,0.477,0.831,2.67634128136941e-144,0.302040816326531,11,0.554719166184134,11,"ADAM15","p_val_adj<0.05"
"PTGES",2.14097685082844e-126,1.17576046662835,0.286,0.687,5.67037718941913e-122,0.486394557823129,9,0.67296918767507,9,"PTGES","p_val_adj<0.05"
"BPGM",3.52040411010737e-107,1.15286781452951,0.409,0.708,9.32379028561938e-103,0.352380952380952,10,0.646059782608696,10,"BPGM","p_val_adj<0.05"
"GPRC5A",1.22137895160733e-112,1.14372908690798,0.645,0.914,3.23482215333201e-108,0.457703927492447,11,0.505789473684211,10,"GPRC5A","p_val_adj<0.05"
"VWA5A",1.80084119027056e-78,1.13172331098121,0.347,0.589,4.76952789243157e-74,0.514044943820225,9,0.780866721177432,10,"VWA5A","p_val_adj<0.05"
"TMSB10",1.11704979688862e-298,1.12741959380474,0.986,0.999,2.95850638705951e-294,0.36426456071076,12,0.465060240963855,11,"TMSB10","p_val_adj<0.05"
"QSOX1",3.26899824631302e-97,1.12131058183783,0.486,0.711,8.65794185536003e-93,0.32064128256513,11,0.649289099526066,11,"QSOX1","p_val_adj<0.05"
"CAPN2",2.94761879520357e-122,1.11884503949558,0.865,0.963,7.80676837909665e-118,0.335585585585586,12,0.481259370314843,11,"CAPN2","p_val_adj<0.05"
"TYMP",1.28859960266791e-202,1.11270452099023,0.769,0.947,3.41285604766595e-198,0.335443037974684,11,0.488313008130081,11,"TYMP","p_val_adj<0.05"
"PLBD1",2.1061446335335e-84,1.09795238936319,0.51,0.715,5.57812406191348e-80,0.423664122137405,9,0.646029609690444,10,"PLBD1","p_val_adj<0.05"
"HLA-F",3.17124039302797e-227,1.0953606150031,0.615,0.948,8.39903018093458e-223,0.365506329113924,11,0.482986287455561,11,"HLA-F","p_val_adj<0.05"
"PTP4A2",4.11769217718822e-182,1.07189405283268,0.814,0.978,1.0905707731283e-177,0.316985645933014,12,0.473684210526316,11,"PTP4A2","p_val_adj<0.05"
"AKR1C3",0.821158963101771,1.06703517822201,0.542,0.431,1,0.40394973070018,10,0.684151785714286,10,"AKR1C3","NS"
"HSPA7",0.236505585486413,1.05914368373625,0.242,0.255,1,0.473895582329317,9,0.504725897920605,9,"HSPA7","NS"
"ARPC5",5.15541281217257e-158,1.05538456705146,0.65,0.932,1.36541108330391e-153,0.342814371257485,12,0.496644295302013,10,"ARPC5","p_val_adj<0.05"
"PSMB9",2.61345463414694e-226,1.05283986206389,0.601,0.955,6.92173459853818e-222,0.39708265802269,11,0.482115869017632,11,"PSMB9","p_val_adj<0.05"
"BIRC3",1.89383914468058e-169,1.05112707874625,0.425,0.844,5.0158329746865e-165,0.43348623853211,9,0.547062179121506,10,"BIRC3","p_val_adj<0.05"
"PLA2G16",1.43598387492679e-24,1.04969404217315,0.824,0.769,3.8032032927436e-20,0.354609929078014,12,0.601753287413901,11,"PLA2G16","p_val_adj<0.05"
"FXYD5",3.56096167726877e-245,1.04261264466406,0.346,0.91,9.43120700224634e-241,0.388732394366197,11,0.507936507936508,11,"FXYD5","p_val_adj<0.05"
"PLIN2",2.0730103116508e-192,1.03839111700584,0.198,0.781,5.49036781040715e-188,0.532019704433498,9,0.561922365988909,10,"PLIN2","p_val_adj<0.05"
"LITAF",9.51356460089438e-175,1.03308691701473,0.746,0.958,2.51966758454688e-170,0.344647519582245,10,0.482672024108488,11,"LITAF","p_val_adj<0.05"
"IDH1",7.12251563010643e-105,1.02899283279372,0.515,0.783,1.88639826463369e-100,0.370510396975425,11,0.590657652120467,11,"IDH1","p_val_adj<0.05"
"KRT19",3.10238958594652e-190,1.01331742068456,0.962,0.989,8.21667881837936e-186,0.357287449392713,12,0.468126520681265,11,"KRT19","p_val_adj<0.05"
"RAC1",1.11363198970296e-132,1.00411592634118,0.972,0.995,2.94945432472829e-128,0.361723446893788,12,0.466634429400387,11,"RAC1","p_val_adj<0.05"
"MDK",7.41956765360523e-169,0.991007361587791,0.745,0.976,1.96507249305734e-164,0.416993464052288,11,0.474358974358974,11,"MDK","p_val_adj<0.05"
"GSTK1",3.57621382725524e-160,0.987810683515853,0.769,0.939,9.47160232148549e-156,0.315189873417722,12,0.494105586878524,11,"GSTK1","p_val_adj<0.05"
"CXCL16",1.82576180090639e-165,0.984049675522624,0.525,0.881,4.83553012970057e-161,0.333951762523191,11,0.523211359912616,10,"CXCL16","p_val_adj<0.05"
"APOL1",3.7981660796996e-122,0.98034448948722,0.486,0.864,1.00594428620844e-117,0.404809619238477,10,0.507520891364903,11,"APOL1","p_val_adj<0.05"
"RAB9A",3.0125850995192e-116,0.960410375168757,0.486,0.788,7.97883163607661e-112,0.398797595190381,9,0.583638583638584,10,"RAB9A","p_val_adj<0.05"
"LCN2",2.04688765737476e-50,0.951271290935668,0.585,0.723,5.42118196055706e-46,0.462562396006656,10,0.641810918774967,9,"LCN2","p_val_adj<0.05"
"HTATIP2",1.44904181086318e-188,0.946091679391248,0.524,0.892,3.83778723607114e-184,0.353159851301115,10,0.517259978425027,11,"HTATIP2","p_val_adj<0.05"
"SPINT2",7.77571512323623e-171,0.940714733765575,0.942,0.99,2.05939815038912e-166,0.341261633919338,12,0.468643655809431,11,"SPINT2","p_val_adj<0.05"
"SLCO4A1",8.40019096952607e-148,0.939990078411127,0.14,0.607,2.22479057827898e-143,0.361111111111111,7,0.747226624405705,8,"SLCO4A1","p_val_adj<0.05"
"ARPC1B",2.22315506880974e-138,0.937324555153555,0.809,0.936,5.88802619974261e-134,0.327316486161252,12,0.494601542416452,11,"ARPC1B","p_val_adj<0.05"
"CD47",5.41478193813063e-160,0.931487667585762,0.837,0.976,1.4341049963139e-155,0.345348837209302,11,0.47534516765286,11,"CD47","p_val_adj<0.05"
"SMS",6.00522140505261e-87,0.925908461437579,0.717,0.875,1.59048288912818e-82,0.342391304347826,10,0.528602860286029,10,"SMS","p_val_adj<0.05"
"TALDO1",2.82848844276457e-126,0.923512051757447,0.863,0.972,7.49125164066197e-122,0.309255079006772,12,0.476968796433878,11,"TALDO1","p_val_adj<0.05"
"FHL2",6.89159120809136e-210,0.910508934948108,0.225,0.843,1.825237931463e-205,0.627705627705628,10,0.541404911479155,8,"FHL2","p_val_adj<0.05"
"ARPC2",2.56786110962981e-230,0.90495264641991,0.801,0.989,6.80098014885455e-226,0.319562575941677,12,0.468871595330739,11,"ARPC2","p_val_adj<0.05"
"GDE1",7.23261368087405e-57,0.902585052367492,0.662,0.78,1.91555773337949e-52,0.304411764705882,11,0.592227020357804,11,"GDE1","p_val_adj<0.05"
"LAMB3",3.57825825429822e-143,0.899992468822992,0.511,0.901,9.47701698650884e-139,0.436190476190476,10,0.510683760683761,9,"LAMB3","p_val_adj<0.05"
"PSMB10",7.67536549971704e-197,0.898544835000984,0.653,0.949,2.03282055260006e-192,0.402384500745156,11,0.48630831643002,11,"PSMB10","p_val_adj<0.05"
"FTL",0.12168576798918,0.894195909272616,0.978,0.998,1,0.355577689243028,12,0.46502653159672,11,"FTL","NS"
"CTSB",1.15472399854192e-140,0.88295935465197,0.896,0.976,3.05828651013827e-136,0.329347826086957,11,0.474618038442583,11,"CTSB","p_val_adj<0.05"
"PARM1",3.22465086843726e-68,0.87988149215304,0.352,0.57,8.54048782505609e-64,0.359116022099448,11,0.810126582278481,10,"PARM1","p_val_adj<0.05"
"HSPB1",1.00545130192205e-41,0.879797645381908,0.931,0.994,2.66293777314054e-37,0.359832635983264,12,0.467086156824782,11,"HSPB1","p_val_adj<0.05"
"WARS",3.97526277445332e-30,0.876302101941072,0.722,0.873,1.05284834581396e-25,0.325236167341431,10,0.464462809917355,11,"WARS","p_val_adj<0.05"
"TMBIM1",1.25163009568555e-199,0.876049143865665,0.508,0.917,3.31494230842317e-195,0.318007662835249,11,0.503937007874016,11,"TMBIM1","p_val_adj<0.05"
"PSME2",4.70627449044816e-177,0.874167847917581,0.882,0.981,1.2464567987952e-172,0.345474613686534,12,0.471309465424228,11,"PSME2","p_val_adj<0.05"
"LAPTM4B",1.995551926763e-118,0.871775574755744,0.601,0.909,5.2852192780318e-114,0.405186385737439,11,0.509004237288136,11,"LAPTM4B","p_val_adj<0.05"
"MPZL2",1.13273992219461e-122,0.870641219310481,0.646,0.909,3.00006168393242e-118,0.44947209653092,11,0.506617257808364,10,"MPZL2","p_val_adj<0.05"
"GPR87",1.44868355711824e-276,0.866671268147441,0.047,0.778,3.83683840102767e-272,0.333333333333333,8,0.550123762376238,7,"GPR87","p_val_adj<0.05"
"PPT1",3.02086184574157e-90,0.86562538889825,0.548,0.79,8.00075259844655e-86,0.30550621669627,11,0.582571602681292,11,"PPT1","p_val_adj<0.05"
