"","x"
"1","C1orf116"
"2","CADM1"
"3","CPM"
"4","MUC1"
"5","CLIC3"
"6","QPRT"
"7","MSLN"
"8","CAV1"
"9","HLA-DPB1"
"10","PDGFA"
"11","EFNA1"
"12","HLA-DMA"
"13","CRABP2"
"14","TFCP2L1"
"15","VEPH1"
"16","ABCA1"
"17","HLA-DMB"
"18","ACP5"
"19","RNF212"
"20","EVADR"
"21","GET4"
"22","IFNGR2"
"23","DHX15"
"24","PREB"
"25","SEC31A"
"26","PRDX6"
"27","SETD3"
"28","NOSTRIN"
"29","DDX56"
"30","FBXL5"
"31","STUB1"
"32","MPZL1"
"33","SSR1"
"34","CALR"
"35","UBE2I"
"36","ARHGAP1"
"37","ECH1"
"38","HNRNPR"
"39","GTPBP4"
"40","F11R"
"41","RIOK3"
"42","EBAG9"
"43","UXS1"
"44","FRG1CP"
"45","ABCG1"
"46","ARHGEF10L"
"47","BRD7"
"48","BRAP"
"49","UBR2"
"50","NAGPA"
"51","NMT1"
"52","ACSS2"
"53","SLC39A7"
"54","ALKBH2"
"55","FMR1"
"56","USP1"
"57","NEXN"
"58","PUS7L"
"59","BOLA1"
