"","x"
"1","MS4A15"
"2","CLDN18"
"3","AGER"
"4","AQP4"
"5","PGC"
"6","PEBP4"
"7","CAV1"
"8","HOXC10"
"9","ANKRD29"
"10","CADM1"
"11","FLRT3"
"12","NPTX1"
"13","AFF3"
"14","BHMT2"
"15","HSD17B6"
"16","SFTPD"
"17","HLA-DOA"
"18","CRTAC1"
"19","CYP4Z2P"
"20","NCKAP5"
"21","KRT13"
"22","KRT6A"
"23","ALOX5"
"24","CXCL11"
"25","VGLL1"
"26","CRABP2"
"27","DKK1"
"28","AIM2"
"29","UBD"
"30","IDO1"
"31","LY6D"
"32","LGALS7"
"33","LYPD3"
"34","S100P"
"35","GALNT12"
"36","S100A2"
"37","GPR87"
"38","CSF2RA"
"39","GATM"
"40","DSG3"
"41","SUSD2"
"42","DLC1"
"43","PDE4C"
"44","GGTLC1"
"45","SFTPC"
"46","LRRC36"
"47","RGS16"
"48","SCGB3A2"
"49","CYP4B1"
"50","RNASE1"
"51","KIAA1683"
"52","C16orf89"
"53","AKR1B10"
"54","S100A8"
"55","GPX2"
"56","S100A9"
"57","KRT16"
"58","VMO1"
"59","GJB3"
"60","AKR1C2"
"61","TMEM176B"
"62","AKR1C1"
"63","CXCL5"
"64","HTR3A"
"65","PLAT"
