"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","naive pt.occupancy","naive n.nonzero.pts","grouped_pr pt.occupancy","grouped_pr n.nonzero.pts","gene","sig"
"AQP4",1.04944349494282e-163,2.64373515398709,0.143,0.802,2.77945109635605e-159,0.496598639455782,8,0.433414043583535,5,"AQP4","p_val_adj<0.05"
"SFTPD",5.46149629323591e-131,2.21249954646478,0.206,0.798,1.44647729326353e-126,0.702830188679245,8,0.413625304136253,5,"SFTPD","p_val_adj<0.05"
"AGER",5.28092107745813e-97,2.02060056262398,0.068,0.513,1.39865194736479e-92,0.514285714285714,10,0.643939393939394,5,"AGER","p_val_adj<0.05"
"RGS16",7.71589685965214e-141,1.90282800233977,0.349,0.885,2.04355528327887e-136,0.5,10,0.385964912280702,5,"RGS16","p_val_adj<0.05"
"SFTPC",2.80606973973939e-50,1.84283147487503,0.037,0.299,7.43187570569976e-46,0.263157894736842,9,0.5,4,"SFTPC","p_val_adj<0.05"
"C1orf116",4.26057312042629e-166,1.70066984354645,0.394,0.944,1.1284127909449e-161,0.380246913580247,10,0.378600823045267,6,"C1orf116","p_val_adj<0.05"
"SUSD2",3.30922559782469e-206,1.66542851121127,0.117,0.901,8.7644839958387e-202,0.458333333333333,9,0.379310344827586,5,"SUSD2","p_val_adj<0.05"
"MSLN",5.81103219081039e-103,1.54333965408226,0.163,0.682,1.53905187573613e-98,0.592814371257485,8,0.512820512820513,5,"MSLN","p_val_adj<0.05"
"CAV1",1.8515676843041e-100,1.53474055632593,0.12,0.604,4.9038770118794e-96,0.471544715447154,10,0.52411575562701,6,"CAV1","p_val_adj<0.05"
"CPM",1.15504383647593e-141,1.48971567318345,0.302,0.876,3.05913360090651e-137,0.567741935483871,10,0.385809312638581,6,"CPM","p_val_adj<0.05"
"CADM1",3.20217210211653e-143,1.45919502275143,0.17,0.792,8.48095281245562e-139,0.445714285714286,10,0.406862745098039,5,"CADM1","p_val_adj<0.05"
"EFNA1",1.901511397201e-96,1.44960191116351,0.756,0.965,5.03615293548686e-92,0.356958762886598,11,0.372233400402414,6,"EFNA1","p_val_adj<0.05"
"HLA-DPB1",7.57406683617887e-98,1.44444133073311,0.484,0.866,2.00599160156197e-93,0.382293762575453,11,0.376681614349776,5,"HLA-DPB1","p_val_adj<0.05"
"SCGB3A1",5.9916775167842e-96,1.36947328531032,0.294,0.806,1.58689579032029e-91,0.639072847682119,10,0.407228915662651,5,"SCGB3A1","p_val_adj<0.05"
