"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","grouped_pd pt.occupancy","grouped_pd n.nonzero.pts","grouped_pr pt.occupancy","grouped_pr n.nonzero.pts","naive pt.occupancy","naive n.nonzero.pts"
"1",0,4.14473108706588,0.686,0.032,0,"grouped_pd","DKK1",0.584517045454545,7,1,1,0.36734693877551,6
"2",0,3.88470501697869,0.794,0.082,0,"grouped_pd","UBD",0.576167076167076,8,0.636363636363636,4,0.556603773584906,7
"3",0,3.38045058974145,0.784,0.039,0,"grouped_pd","GPR87",0.553204729309272,8,0.666666666666667,4,0.326530612244898,8
"4",0,2.89620048964064,0.824,0.168,0,"grouped_pd","IGFBP3",0.567455621301775,8,0.388888888888889,4,0.569672131147541,9
"5",0,2.40155140998008,0.863,0.26,0,"grouped_pd","CRABP2",0.52738565782044,9,0.377162629757785,6,0.313559322033898,10
"6",0,2.05473358499692,0.86,0.136,0,"grouped_pd","LY6K",0.538287010777085,8,0.518181818181818,5,0.495145631067961,8
"7",0,2.02945079718288,0.959,0.665,0,"grouped_pd","PGD",0.488301119023398,10,0.363380281690141,6,0.31140350877193,11
"8",0,1.99943888568656,0.82,0.095,0,"grouped_pd","KYNU",0.567519333729923,10,0.823529411764706,2,0.572519083969466,8
"9",0,1.87815794178819,0.942,0.474,0,"grouped_pd","CAPG",0.498189342990171,10,0.422077922077922,6,0.422632794457275,9
"10",0,1.86993253393532,0.851,0.187,0,"grouped_pd","FHL2",0.54269340974212,9,0.373134328358209,6,0.63716814159292,10
"11",0,1.55948570147206,0.997,0.948,0,"grouped_pd","ALDOA",0.472371638141809,11,0.373493975903614,6,0.346544715447154,12
"12",0,1.27839583013985,0.999,0.978,0,"grouped_pd","TMSB10",0.47216796875,11,0.372277227722772,6,0.359375,12
"13",9.58468563128689e-304,1.48490737589841,0.978,0.784,2.53850398944633e-299,"grouped_pd","FXYD3",0.481795511221945,11,0.439252336448598,6,0.439146800501882,11
"14",1.61223788512692e-303,1.80320569882123,0.927,0.525,4.27001203875864e-299,"grouped_pd","TAP1",0.501315097317201,11,0.439628482972136,6,0.301204819277108,10
"15",1.97331912397646e-299,2.26265253853472,0.921,0.506,5.22633569985164e-295,"grouped_pd","ASS1",0.509533898305085,11,0.435114503816794,6,0.399497487437186,10
"16",5.9367314565319e-292,2.5863379218097,0.724,0.125,1.57234332626247e-287,"grouped_pd","RGS10",0.640835579514825,10,0.36734693877551,5,0.438356164383562,9
"17",8.23873681245382e-287,2.19941485165083,0.74,0.131,2.18202944477839e-282,"grouped_pd","ARNTL2",0.580092287409361,9,0.46,5,0.4,7
"18",3.78571937295027e-285,0.884790397101779,0.996,0.957,1.00264777592588e-280,"grouped_pd","PPIA",0.472086190009794,11,0.378269617706237,6,0.35035035035035,12
"19",1.10318045390751e-284,2.28065694264808,0.738,0.139,2.92177343217404e-280,"grouped_pd","IDO1",0.49438202247191,8,0.394495412844037,5,0.504587155963303,6
"20",4.1922341139618e-284,1.05259128103462,0.99,0.813,1.11031320508278e-279,"grouped_pd","ARPC2",0.47487684729064,11,0.386160714285714,6,0.360874848116646,12
"21",5.57687190140756e-276,-1.7537513131495,0.922,0.962,1.47703452308779e-271,"grouped_pd","ZFP36L1",0.492332099418297,11,0.365079365079365,6,0.372372372372372,12
"22",1.49995517699837e-275,1.54969378813119,0.913,0.42,3.97263128628019e-271,"grouped_pd","FXYD5",0.512820512820513,11,0.430379746835443,6,0.405882352941176,11
"23",4.55112194581372e-274,1.39715148704879,0.908,0.388,1.20536464734876e-269,"grouped_pd","PYCARD",0.512352309344791,10,0.698630136986301,5,0.338394793926247,10
"24",1.01477375513307e-268,2.65805018490504,0.65,0.066,2.68762829046993e-264,"grouped_pd","GJB2",0.697901049475262,7,0.625,3,0.67816091954023,6
"25",2.63763756306966e-267,3.74911436368691,0.591,0.024,6.98578308579e-263,"grouped_pd","NCCRP1",0.779060181368508,5,0.6,2,0.53125,7
"26",1.91923122153025e-266,1.84375443358909,0.809,0.208,5.08308389022286e-262,"grouped_pd","FAM83A",0.49789029535865,10,0.417721518987342,5,0.540650406504065,10
"27",1.53397124307878e-264,2.36110839310016,0.671,0.072,4.06272283729415e-260,"grouped_pd","GJB3",0.529411764705882,9,1,1,0.5,8
"28",1.50548582431988e-263,1.30530817375287,0.946,0.646,3.98727920571121e-259,"grouped_pd","HLA-F",0.490984028851108,11,0.384210526315789,6,0.408585055643879,11
"29",3.98704781207726e-263,1.96002300943621,0.852,0.313,1.05596961302866e-258,"grouped_pd","AVPI1",0.544622425629291,9,0.36,5,0.427586206896552,9
"30",1.49994562148553e-262,-3.15349725620655,0.18,0.692,3.97260597850444e-258,"grouped_pd","RNASE1",0.281842818428184,9,0.366594360086768,5,0.573268921095008,12
"31",1.59113083847032e-262,4.72514521863299,0.586,0.03,4.21411002568863e-258,"grouped_pd","ALOX5",0.796835970024979,8,0.5,4,0.358974358974359,6
"32",1.80125425815903e-262,1.3601496592649,0.95,0.772,4.77062190273419e-258,"grouped_pd","TYMP",0.49435318275154,11,0.427480916030534,6,0.380073800738007,11
"33",6.70453060137283e-262,1.47871820589382,0.847,0.31,1.77569492977359e-257,"grouped_pd","NCK1",0.536248561565017,11,0.502857142857143,5,0.294498381877023,9
"34",4.61095955205759e-261,1.18783584014807,0.974,0.701,1.22121263736245e-256,"grouped_pd","HN1",0.478718077115673,10,0.383040935672515,6,0.328912466843501,12
"35",7.00608069321474e-260,1.1855187105515,0.96,0.631,1.85556047159792e-255,"grouped_pd","PSMB9",0.486280487804878,11,0.4375,6,0.430599369085173,11
"36",7.57858710276529e-260,1.97118671324464,0.683,0.095,2.00718879416739e-255,"grouped_pd","UCK2",0.645714285714286,10,0.733333333333333,2,0.421052631578947,9
"37",1.71233234261693e-257,1.08075462994964,0.949,0.654,4.53511220942095e-253,"grouped_pd","C20orf24",0.490498202362609,11,0.438271604938272,6,0.326647564469914,12
"38",2.33982670250013e-256,1.04342735184185,0.964,0.703,6.19703102157159e-252,"grouped_pd","UQCRFS1",0.484833164812942,11,0.384408602150538,6,0.364511691884457,11
"39",1.7814856340957e-251,1.07140587391853,0.989,0.94,4.71826470190247e-247,"grouped_pd","KRT19",0.474358974358974,11,0.397058823529412,6,0.356495468277946,12
"40",4.82101988161112e-251,1.2056306093248,0.934,0.478,1.27684711564471e-246,"grouped_pd","PDLIM5",0.498694516971279,11,0.402298850574713,6,0.340314136125654,11
"41",4.81349001093474e-250,1.90615755944427,0.939,0.55,1.27485282939607e-245,"grouped_pd","RAP2B",0.491173416407061,11,0.422145328719723,6,0.33800350262697,11
"42",8.15740830764274e-248,1.03992347441142,0.967,0.729,2.16048959027918e-243,"grouped_pd","VDAC2",0.483366935483871,10,0.372340425531915,6,0.363874345549738,11
"43",1.0067345549799e-247,1.80449574049405,0.845,0.372,2.66633646886427e-243,"grouped_pd","BIRC3",0.55363321799308,10,0.306122448979592,6,0.43448275862069,10
"44",1.37520172952789e-247,1.78859126684738,0.735,0.189,3.64222178065461e-243,"grouped_pd","TK1",0.627984084880637,10,0.525,6,0.494318181818182,10
"45",2.30144073568526e-247,-3.2702470338,0.109,0.614,6.09536578846242e-243,"grouped_pd","C16orf89",0.417040358744395,10,0.370044052863436,5,0.425742574257426,9
"46",2.84361274768393e-247,-2.12188091947703,0.253,0.749,7.5313083622409e-243,"grouped_pd","DMKN",0.445086705202312,11,0.498432601880878,5,0.380281690140845,11
"47",2.26120366105101e-244,1.11579237830549,0.955,0.754,5.9887978962936e-240,"grouped_pd","NENF",0.492087799897907,10,0.376558603491272,5,0.3573264781491,11
"48",1.41853496950755e-243,1.51847931594189,0.734,0.143,3.75698986674075e-239,"grouped_pd","CBLC",0.572093023255814,9,0.619047619047619,4,0.36875,7
"49",1.73159071309443e-242,1.75917955074413,0.984,0.824,4.5861180036306e-238,"grouped_pd","LDHA",0.476214073339941,11,0.358333333333333,6,0.413366336633663,12
