"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","naive.pt.occupancy","naive.n.nonzero.pts","grouped_pr.pt.occupancy","grouped_pr.n.nonzero.pts","gene","sig"
"AQP1",1.11522446714954e-100,-1.37983186767163,0.151,0.66,2.95367200124557e-96,0.509677419354839,8,0.491176470588235,4,"AQP1","p_val_adj<0.05"
"CAV1",1.8515676843041e-100,-3.23237794463907,0.12,0.604,4.9038770118794e-96,0.471544715447154,10,0.52411575562701,6,"CAV1","p_val_adj<0.05"
"CACNA2D2",1.48508158797348e-99,-2.39148138119618,0.101,0.606,3.93323858574775e-95,0.5,9,0.381410256410256,5,"CACNA2D2","p_val_adj<0.05"
"HLA-DPB1",7.57406683617887e-98,-1.86023392365543,0.484,0.866,2.00599160156197e-93,0.382293762575453,11,0.376681614349776,5,"HLA-DPB1","p_val_adj<0.05"
"PLP2",1.18898255880919e-97,1.99112143621206,0.837,0.39,3.14902030700613e-93,0.362790697674419,11,0.462686567164179,6,"PLP2","p_val_adj<0.05"
"PDGFA",1.38839754016213e-97,-1.86636666385243,0.357,0.833,3.6771708851194e-93,0.359673024523161,9,0.403263403263403,6,"PDGFA","p_val_adj<0.05"
"ANKRD29",3.19704379543962e-97,-3.13980114311996,0.077,0.536,8.46737049222184e-93,0.683544303797468,8,0.594202898550725,5,"ANKRD29","p_val_adj<0.05"
"AGER",5.28092107745813e-97,-4.20881593714255,0.068,0.513,1.39865194736479e-92,0.514285714285714,10,0.643939393939394,5,"AGER","p_val_adj<0.05"
"EFNA1",1.901511397201e-96,-1.57712048528681,0.756,0.965,5.03615293548686e-92,0.356958762886598,11,0.372233400402414,6,"EFNA1","p_val_adj<0.05"
"SCGB3A1",5.9916775167842e-96,-1.46757641490996,0.294,0.806,1.58689579032029e-91,0.639072847682119,10,0.407228915662651,5,"SCGB3A1","p_val_adj<0.05"
"FOLR1",1.00700195417303e-92,-1.24657638345127,0.384,0.891,2.66704467562727e-88,0.578680203045685,10,0.379084967320261,5,"FOLR1","p_val_adj<0.05"
"TBC1D24",1.3485901673997e-92,-1.95228610632972,0.233,0.734,3.5717410583581e-88,0.301255230125523,11,0.399470899470899,6,"TBC1D24","p_val_adj<0.05"
"SELENBP1",1.35392724398208e-92,-1.43569509034724,0.705,0.932,3.58587630568653e-88,0.374309392265193,12,0.38125,5,"SELENBP1","p_val_adj<0.05"
"GATA6",1.88295738976217e-92,-2.39090009082439,0.167,0.652,4.98701264678511e-88,0.517441860465116,10,0.505952380952381,5,"GATA6","p_val_adj<0.05"
"MARCKS",1.14650238913722e-90,2.20131285913525,0.69,0.136,3.03651157762992e-86,0.492242595204513,11,0.457142857142857,6,"MARCKS","p_val_adj<0.05"
"CEBPA",1.32786233972214e-90,-2.03347118503952,0.147,0.631,3.51684340675409e-86,0.662251655629139,10,0.44,5,"CEBPA","p_val_adj<0.05"
"SCNN1B",4.67156020932174e-88,-1.76890926633066,0.247,0.746,1.23726272143886e-83,0.602362204724409,8,0.427083333333333,6,"SCNN1B","p_val_adj<0.05"
"HSD17B6",7.25664812831847e-88,-2.83759035901792,0.093,0.538,1.92192325678515e-83,0.75,9,0.447653429602888,5,"HSD17B6","p_val_adj<0.05"
"HLA-DMA",5.90860898542351e-87,-1.49896887142509,0.601,0.92,1.56489508978942e-82,0.371150729335494,11,0.364978902953586,6,"HLA-DMA","p_val_adj<0.05"
"CIB1",4.87575367654784e-86,1.55791309635179,0.935,0.744,1.2913433612337e-81,0.348958333333333,12,0.378590078328982,6,"CIB1","p_val_adj<0.05"
"GAS6",3.81573838159631e-85,-2.12997097087254,0.225,0.693,1.01059831036578e-80,0.367965367965368,11,0.456582633053221,5,"GAS6","p_val_adj<0.05"
"TSPAN3",7.55376307078475e-85,1.22974524256323,0.937,0.829,2.00061414929734e-80,0.35031185031185,11,0.360655737704918,6,"TSPAN3","p_val_adj<0.05"
"CRABP2",8.28304960596603e-85,-2.58914888695177,0.115,0.563,2.1937656881401e-80,0.338983050847458,10,0.372413793103448,6,"CRABP2","p_val_adj<0.05"
"TFCP2L1",2.26659515520639e-84,-2.06397467189942,0.171,0.635,6.00307726856411e-80,0.414772727272727,9,0.437308868501529,5,"TFCP2L1","p_val_adj<0.05"
"VEPH1",1.87071165506929e-83,-2.0829265592796,0.101,0.548,4.95457981845101e-79,0.528846153846154,9,0.549645390070922,5,"VEPH1","p_val_adj<0.05"
"ABCA1",2.53380544958271e-83,-2.13995936496333,0.214,0.67,6.71078373321981e-79,0.327272727272727,8,0.478260869565217,6,"ABCA1","p_val_adj<0.05"
"CYP2B7P",2.22917127416972e-81,-1.69344150720154,0.322,0.779,5.9039601196385e-77,0.444108761329305,9,0.41645885286783,5,"CYP2B7P","p_val_adj<0.05"
"DSP",6.63491860706151e-80,1.70545676772072,0.76,0.256,1.75725819308024e-75,0.306017925736236,11,0.522727272727273,6,"DSP","p_val_adj<0.05"
"ANXA1",1.93753472205238e-79,1.58350263949485,0.884,0.594,5.13156071135572e-75,0.337004405286344,10,0.359477124183007,6,"ANXA1","p_val_adj<0.05"
"ESAM",3.2918266688529e-79,-2.61981193382986,0.06,0.452,8.71840293245691e-75,0.32258064516129,9,0.360515021459227,5,"ESAM","p_val_adj<0.05"
"SLC22A31",3.42746851124097e-79,-1.46077316975963,0.255,0.744,9.07765035202171e-75,0.690839694656489,9,0.446475195822454,5,"SLC22A31","p_val_adj<0.05"
"HLA-DMB",5.1546782148166e-78,-1.72097528730957,0.27,0.724,1.36521652519418e-73,0.534296028880866,10,0.375335120643432,6,"HLA-DMB","p_val_adj<0.05"
"ACP5",5.23829722618913e-76,-2.35717685044789,0.071,0.464,1.38736302035619e-71,0.219178082191781,9,0.552301255230126,5,"ACP5","p_val_adj<0.05"
"SFTPB",7.3456514592339e-76,-0.871147482867084,0.449,0.936,1.9454957889781e-71,0.507592190889371,9,0.37344398340249,5,"SFTPB","p_val_adj<0.05"
"SAT1",2.57531229834078e-75,1.08599745210791,0.981,0.983,6.82071462215556e-71,0.357497517378352,11,0.363636363636364,6,"SAT1","p_val_adj<0.05"
"RNF212",3.48074173508464e-75,-2.20406647987086,0.064,0.454,9.21874448537166e-71,0.515151515151515,8,0.393162393162393,6,"RNF212","p_val_adj<0.05"
"P3H2",3.6638383136456e-75,-2.71219556503844,0.073,0.464,9.70367577369037e-71,0.626666666666667,7,0.623430962343096,4,"P3H2","p_val_adj<0.05"
"SRRM2",4.46577184474457e-74,-1.32000633893614,0.833,0.977,1.1827596730806e-69,0.313450292397661,11,0.36182902584493,6,"SRRM2","p_val_adj<0.05"
"EVADR",3.59202686607161e-73,-2.17187944979373,0.028,0.369,9.51348315479066e-69,0.344827586206897,8,0.768421052631579,5,"EVADR","p_val_adj<0.05"
"PLXNA2",4.84903108330344e-73,-1.82225784219956,0.276,0.717,1.28426588241292e-68,0.307420494699647,9,0.436314363143631,5,"PLXNA2","p_val_adj<0.05"
"LRRN4",6.19430608100862e-73,-2.51254290598057,0.087,0.482,1.64056196555513e-68,0.584269662921348,7,0.576612903225806,5,"LRRN4","p_val_adj<0.05"
"MALAT1",7.02321924496928e-73,-0.940544841673654,0.981,0.996,1.86009961703011e-68,0.364448857994042,11,0.364522417153996,6,"MALAT1","p_val_adj<0.05"
"TP53I11",1.64202732147349e-72,-1.59358829340407,0.426,0.81,4.34890936092253e-68,0.305936073059361,10,0.41726618705036,6,"TP53I11","p_val_adj<0.05"
"DLC1",3.67200350218461e-72,-2.17070673099327,0.256,0.703,9.72530127553595e-68,0.634980988593156,8,0.414364640883978,5,"DLC1","p_val_adj<0.05"
"NGFRAP1",6.65780622802034e-72,-1.13700421258995,0.475,0.858,1.76331997949119e-67,0.44672131147541,12,0.368778280542986,5,"NGFRAP1","p_val_adj<0.05"
"ANXA2",4.09354851053642e-71,0.746452603326086,0.976,0.93,1.08417632301557e-66,0.356287425149701,12,0.386221294363257,6,"ANXA2","p_val_adj<0.05"
"ADGRD1",8.56206352880953e-71,-1.71821532584579,0.119,0.54,2.2676625256052e-66,0.69672131147541,7,0.442446043165468,5,"ADGRD1","p_val_adj<0.05"
"YBX3",1.00644429683839e-70,1.1527953328696,0.906,0.678,2.66556772017648e-66,0.335483870967742,11,0.424068767908309,6,"YBX3","p_val_adj<0.05"
"FAM46B",1.36765628943969e-70,-2.12805461003083,0.154,0.573,3.62223768258101e-66,0.354430379746835,9,0.525423728813559,5,"FAM46B","p_val_adj<0.05"
"CTSE",2.92919625092521e-70,-1.61200193674561,0.16,0.604,7.75797627057542e-66,0.865853658536585,7,0.446945337620579,5,"CTSE","p_val_adj<0.05"
"SFTA2",5.00708994760486e-69,-0.973372043128679,0.583,0.922,1.32612777262315e-64,0.474123539232053,11,0.378947368421053,5,"SFTA2","p_val_adj<0.05"
"ITGB8",8.33133702284867e-69,1.91572315301791,0.668,0.2,2.20655461050147e-64,0.463556851311953,9,0.359223300970874,6,"ITGB8","p_val_adj<0.05"
"AGR2",1.30123610361018e-68,1.62998826238205,0.915,0.699,3.44632382041156e-64,0.381914893617021,11,0.413888888888889,6,"AGR2","p_val_adj<0.05"
"MRPL14",1.69737210294222e-68,-1.27567253998425,0.737,0.905,4.49549001464247e-64,0.30779392338177,12,0.388412017167382,6,"MRPL14","p_val_adj<0.05"
"TPD52L1",4.02466766905012e-68,-1.76090922672883,0.111,0.515,1.06593323214792e-63,0.464912280701754,7,0.479245283018868,6,"TPD52L1","p_val_adj<0.05"
"BEX2",4.23082093628484e-68,-1.82804184962606,0.194,0.637,1.12053292497504e-63,0.623115577889447,10,0.36280487804878,6,"BEX2","p_val_adj<0.05"
"S100A9",4.83586848631766e-68,4.07810901186595,0.557,0.117,1.28077976860123e-63,0.624125874125874,10,0.466666666666667,5,"S100A9","p_val_adj<0.05"
"CLIC6",9.38574826799663e-68,-1.31269968741574,0.365,0.796,2.48581542877891e-63,0.554666666666667,10,0.392682926829268,5,"CLIC6","p_val_adj<0.05"
"HS3ST1",1.19166286815731e-67,3.22136308180116,0.513,0.066,3.15611910631465e-63,0.483870967741935,9,0.323529411764706,5,"HS3ST1","p_val_adj<0.05"
"HPN",1.01875503424372e-66,-1.24374640907483,0.098,0.497,2.6981727081945e-62,0.584158415841584,9,0.375,5,"HPN","p_val_adj<0.05"
"PDE4C",3.04624493270145e-66,-1.9612216914472,0.15,0.553,8.06797970425979e-62,0.337662337662338,9,0.540350877192982,5,"PDE4C","p_val_adj<0.05"
"JUN",7.71673381980396e-66,-0.875593488179003,0.907,0.988,2.04377695217508e-61,0.359442060085837,11,0.367387033398821,6,"JUN","p_val_adj<0.05"
"AARD",1.67944286447557e-65,-2.07477986399559,0.023,0.33,4.44800442656354e-61,0.208333333333333,9,0.447058823529412,4,"AARD","p_val_adj<0.05"
"NFIX",2.71382587221118e-64,-1.1143149584493,0.354,0.783,7.18756782255131e-60,0.348901098901099,9,0.382133995037221,5,"NFIX","p_val_adj<0.05"
"GAPDH",4.12528239841529e-64,1.09663640286854,0.991,0.94,1.09258104322029e-59,0.365422396856582,12,0.384297520661157,6,"GAPDH","p_val_adj<0.05"
"ABCA13",1.07452834613027e-63,2.27795934345405,0.5,0.062,2.84588832472602e-59,0.529182879377432,10,0.59375,5,"ABCA13","p_val_adj<0.05"
"HLA-DPA1",2.12119022477909e-63,-1.07070049698488,0.504,0.878,5.61797231032742e-59,0.513513513513513,11,0.378318584070796,5,"HLA-DPA1","p_val_adj<0.05"
"CD99",3.19850542571638e-63,1.40190498996963,0.779,0.454,8.47124162000983e-59,0.37125,10,0.354700854700855,6,"CD99","p_val_adj<0.05"
"CES1",3.20704232820908e-63,2.44350967223144,0.577,0.146,8.49385160626176e-59,0.473861720067454,9,0.666666666666667,4,"CES1","p_val_adj<0.05"
"MIF-AS1",3.67178903398713e-63,1.04084887252333,0.944,0.689,9.72473325651492e-59,0.354639175257732,12,0.425352112676056,6,"MIF-AS1","p_val_adj<0.05"
"LIMCH1",1.10298594894043e-62,-1.3589006500728,0.59,0.862,2.92125828576874e-58,0.336633663366337,10,0.396396396396396,6,"LIMCH1","p_val_adj<0.05"
"ABCA3",6.88803504666257e-62,-1.91611945012907,0.156,0.544,1.82429608210858e-57,0.4125,9,0.353571428571429,5,"ABCA3","p_val_adj<0.05"
"PGM2L1",8.58828410816818e-62,1.78877777560787,0.756,0.369,2.27460704604834e-57,0.423969072164948,11,0.378947368421053,5,"PGM2L1","p_val_adj<0.05"
"MMP15",1.23460281787793e-61,-1.37348378436756,0.167,0.563,3.26984556314969e-57,0.348837209302326,10,0.396551724137931,5,"MMP15","p_val_adj<0.05"
"TFF3",4.06445895812519e-61,1.87677101013398,0.627,0.216,1.07647195505946e-56,0.462732919254658,10,0.396396396396396,5,"TFF3","p_val_adj<0.05"
"COL4A3",8.06825067248778e-61,-1.59253790350074,0.108,0.476,2.13687619060839e-56,0.513513513513513,8,0.497959183673469,5,"COL4A3","p_val_adj<0.05"
"SLC22A3",1.07192377690756e-60,-1.61025443913223,0.087,0.445,2.83899012313966e-56,0.449438202247191,8,0.506550218340611,5,"SLC22A3","p_val_adj<0.05"
"TNS3",1.35982804081492e-60,-1.45789622550564,0.2,0.61,3.60150456609831e-56,0.385365853658537,10,0.398089171974522,5,"TNS3","p_val_adj<0.05"
"CLIC5",7.84793334416772e-60,-2.48312123945289,0.142,0.499,2.07852514620282e-55,0.452054794520548,8,0.610894941634241,5,"CLIC5","p_val_adj<0.05"
"TUSC3",8.14189714937161e-60,2.16779496884585,0.56,0.136,2.15638146001107e-55,0.493913043478261,8,0.642857142857143,4,"TUSC3","p_val_adj<0.05"
"GLS",1.07448657560244e-59,-1.08605599438648,0.529,0.88,2.84577769548305e-55,0.392265193370166,11,0.384105960264901,5,"GLS","p_val_adj<0.05"
"SFTA3",3.34403393220631e-59,-1.03075650115927,0.518,0.862,8.85667386944842e-55,0.430451127819549,10,0.396396396396396,5,"SFTA3","p_val_adj<0.05"
"LMO7",3.3900758603837e-59,-1.35431770989486,0.731,0.926,8.97861591622622e-55,0.303595206391478,11,0.389937106918239,6,"LMO7","p_val_adj<0.05"
"EFNA5",5.85216255026001e-59,1.76360742610478,0.639,0.227,1.54994525143636e-54,0.455792682926829,10,0.623931623931624,5,"EFNA5","p_val_adj<0.05"
"CD74",6.52434558752915e-59,-0.804783514196776,0.954,0.996,1.72797292885709e-54,0.360204081632653,11,0.364522417153996,6,"CD74","p_val_adj<0.05"
"AASS",7.45106267587252e-59,-1.60224944725622,0.241,0.621,1.97341394970484e-54,0.379032258064516,9,0.440625,5,"AASS","p_val_adj<0.05"
"NKX2-1",9.07730240730263e-59,-0.893851593738541,0.592,0.907,2.4041235425741e-54,0.476973684210526,10,0.370449678800857,5,"NKX2-1","p_val_adj<0.05"
"GSPT1",2.01198210147849e-58,-1.02975716115055,0.72,0.95,5.32873459576578e-54,0.292286874154263,12,0.359918200408998,6,"GSPT1","p_val_adj<0.05"
"CYBRD1",2.79026974923624e-58,-1.43369975689697,0.285,0.683,7.39002943085217e-54,0.587030716723549,9,0.471590909090909,5,"CYBRD1","p_val_adj<0.05"
"CAPS",3.02089031434108e-58,2.97259170799215,0.583,0.196,8.00082799753234e-54,0.477462437395659,11,0.504950495049505,5,"CAPS","p_val_adj<0.05"
"ANKRD36C",3.63728341407096e-58,2.14157919872297,0.618,0.198,9.63334512216694e-54,0.337007874015748,9,0.362745098039216,6,"ANKRD36C","p_val_adj<0.05"
"C3",8.6927868133337e-58,-1.87133800630397,0.4,0.709,2.30228458751143e-53,0.469586374695864,11,0.468493150684932,5,"C3","p_val_adj<0.05"
"TXNDC11",1.07163062563529e-57,-1.34273055106007,0.35,0.738,2.83821371199506e-53,0.33983286908078,11,0.365789473684211,6,"TXNDC11","p_val_adj<0.05"
"PLAC8",1.24723295020512e-57,2.82179008114084,0.53,0.14,3.30329646861827e-53,0.514705882352941,10,0.472222222222222,5,"PLAC8","p_val_adj<0.05"
"TMPRSS4",2.1246237068494e-57,0.939772118629786,0.79,0.324,5.62706588759064e-53,0.336621454993835,10,0.718562874251497,6,"TMPRSS4","p_val_adj<0.05"
"GSTA4",2.47632837105413e-57,-1.41554237714819,0.208,0.6,6.55855569073688e-53,0.490654205607477,8,0.381877022653722,5,"GSTA4","p_val_adj<0.05"
"LRIG2",3.31784881188207e-57,-1.93702158194202,0.137,0.509,8.78732257826966e-53,0.411347517730496,9,0.484732824427481,4,"LRIG2","p_val_adj<0.05"
"PRDM16",4.91041240750468e-57,-1.43762405843354,0.114,0.482,1.30052272612761e-52,0.632478632478632,8,0.423387096774194,5,"PRDM16","p_val_adj<0.05"
"DDIT4",7.00422553139164e-57,2.22601867884338,0.66,0.262,1.85506913198907e-52,0.412979351032448,11,0.496296296296296,5,"DDIT4","p_val_adj<0.05"
"C1orf198",1.0543733737148e-56,-1.30460244426494,0.395,0.773,2.79250788028365e-52,0.312807881773399,9,0.407035175879397,5,"C1orf198","p_val_adj<0.05"
"PTCSC3",1.14374498511718e-56,-2.72128137992063,0.038,0.326,3.02920859308284e-52,0.282051282051282,7,0.642857142857143,4,"PTCSC3","p_val_adj<0.05"
"ITGA2",1.23167956326877e-56,1.58386025237088,0.595,0.153,3.26210332331734e-52,0.400981996726678,10,0.278481012658228,5,"ITGA2","p_val_adj<0.05"
"TMEM125",1.33178486974058e-56,-1.13840863543134,0.625,0.878,3.52723222750794e-52,0.334890965732087,11,0.378318584070796,5,"TMEM125","p_val_adj<0.05"
"ICAM4",1.51350477296442e-56,-1.42770682238228,0.304,0.685,4.00851739119628e-52,0.538461538461538,10,0.424929178470255,5,"ICAM4","p_val_adj<0.05"
"KLHL35",2.30296080880664e-56,-1.6348611463798,0.046,0.346,6.09939170212439e-52,0.25531914893617,9,0.657303370786517,5,"KLHL35","p_val_adj<0.05"
"GALNT6",3.38034395574834e-56,2.23962255193074,0.588,0.173,8.95284096679947e-52,0.470198675496689,11,0.561797752808989,4,"GALNT6","p_val_adj<0.05"
"CALM2",3.42686569867601e-56,0.802765602446462,0.977,0.975,9.0760538029434e-52,0.357926221335992,12,0.372509960159363,6,"CALM2","p_val_adj<0.05"
"ASS1",3.68581334900257e-56,-1.18604450890929,0.396,0.765,9.76187665483331e-52,0.390663390663391,10,0.434010152284264,6,"ASS1","p_val_adj<0.05"
"RCN3",1.22574901574221e-55,-1.48688320354997,0.077,0.398,3.24639626819325e-51,0.443037974683544,7,0.580487804878049,4,"RCN3","p_val_adj<0.05"
"GSTM3",1.27798658882932e-55,-1.76129843027226,0.192,0.555,3.38474748051444e-51,0.487309644670051,9,0.552447552447552,6,"GSTM3","p_val_adj<0.05"
"ADGRF1",1.68182831616643e-55,1.881016511327,0.547,0.128,4.4543222953668e-51,0.362989323843416,9,0.348484848484849,6,"ADGRF1","p_val_adj<0.05"
"LOC100506844",1.06143826309976e-54,1.8442226439071,0.578,0.175,2.81121923981971e-50,0.456228956228956,10,0.377777777777778,5,"LOC100506844","p_val_adj<0.05"
"BCAT1",1.41079897153247e-54,-2.14750285697903,0.055,0.355,3.73650107610374e-50,0.303571428571429,9,0.595628415300546,4,"BCAT1","p_val_adj<0.05"
"UACA",1.51941702584646e-54,3.50811756120426,0.413,0.033,4.02417599295434e-50,0.474056603773585,8,0.529411764705882,4,"UACA","p_val_adj<0.05"
"AK1",2.29986235076067e-54,-1.07960673029685,0.677,0.907,6.09118543598964e-50,0.326618705035971,12,0.381156316916488,6,"AK1","p_val_adj<0.05"
"TACC1",3.82309758931782e-54,-1.21643665055347,0.327,0.718,1.01254739653082e-49,0.431547619047619,10,0.375675675675676,5,"TACC1","p_val_adj<0.05"
"LCN2",6.21237958237002e-54,3.10271975981704,0.585,0.186,1.6453487323907e-49,0.462562396006656,10,0.322916666666667,5,"LCN2","p_val_adj<0.05"
"EGLN3",7.10975449504479e-54,2.69494823229104,0.554,0.159,1.88301847801261e-49,0.448154657293497,11,0.463414634146341,6,"EGLN3","p_val_adj<0.05"
"NECAB3",1.30728659112223e-53,-1.81832608835311,0.275,0.629,3.46234853658723e-49,0.382978723404255,8,0.509259259259259,5,"NECAB3","p_val_adj<0.05"
"FLJ23867",3.18508383427384e-53,-1.81498406823056,0.114,0.45,8.43569453507426e-49,0.307692307692308,10,0.387931034482759,6,"FLJ23867","p_val_adj<0.05"
"C16orf58",3.7940710280668e-53,-1.33515309173419,0.296,0.678,1.00485971178349e-48,0.368421052631579,8,0.415472779369628,6,"C16orf58","p_val_adj<0.05"
"HP1BP3",1.27436055694843e-52,-1.07210579677233,0.646,0.918,3.37514393507791e-48,0.384615384615385,12,0.369978858350951,6,"HP1BP3","p_val_adj<0.05"
"KLF13",1.31457441774731e-52,-0.882572905754768,0.277,0.662,3.48165034540376e-48,0.450704225352113,10,0.416422287390029,5,"KLF13","p_val_adj<0.05"
"ZDHHC11",1.32104388863815e-52,-2.02204692909348,0.13,0.478,3.49878473905814e-48,0.481203007518797,8,0.544715447154472,5,"ZDHHC11","p_val_adj<0.05"
"C4BPA",1.75436527159665e-52,-0.774611502680399,0.365,0.777,4.64643642182373e-48,0.608,7,0.4425,5,"C4BPA","p_val_adj<0.05"
"PRR15L",2.00835053475578e-52,-1.15831928912603,0.285,0.678,5.31911639130068e-48,0.313993174061433,9,0.429799426934097,5,"PRR15L","p_val_adj<0.05"
"HSPA1A",2.12213869153612e-52,0.939115071384234,0.937,0.837,5.62048432453341e-48,0.357588357588358,11,0.380510440835267,6,"HSPA1A","p_val_adj<0.05"
"FOXQ1",2.39002422893536e-52,-1.37342476789136,0.317,0.711,6.32997917033529e-48,0.426380368098159,9,0.35792349726776,6,"FOXQ1","p_val_adj<0.05"
"PPAP2C",1.49880338364881e-51,1.08073431618028,0.832,0.584,3.96958076159388e-47,0.333723653395785,11,0.458471760797342,6,"PPAP2C","p_val_adj<0.05"
"PITX1",1.56162767627983e-51,1.32976693763567,0.482,0.082,4.13597090062713e-47,0.454545454545455,9,0.5,4,"PITX1","p_val_adj<0.05"
"PRR15",2.34889546993137e-51,2.4042656445055,0.386,0.021,6.22104965211322e-47,0.623737373737374,9,0.545454545454545,4,"PRR15","p_val_adj<0.05"
"HSD11B2",3.0279927068869e-51,-2.22040609585117,0.04,0.313,8.01963868418995e-47,0.317073170731707,7,0.37888198757764,4,"HSD11B2","p_val_adj<0.05"
"PFKP",3.81679540807554e-51,1.28308514096986,0.648,0.229,1.01087826382881e-46,0.312312312312312,11,0.313559322033898,6,"PFKP","p_val_adj<0.05"
"GGTLC1",4.72315722192747e-51,-1.65641221953324,0.133,0.478,1.25092819022749e-46,0.627737226277372,7,0.495934959349593,5,"GGTLC1","p_val_adj<0.05"
"MESP2",4.86283736519534e-51,-2.09304392942238,0.031,0.293,1.28792247617199e-46,0.46875,9,0.516556291390728,5,"MESP2","p_val_adj<0.05"
"VASN",5.05094080744035e-51,-1.24162249429102,0.234,0.612,1.33774167285058e-46,0.529166666666667,10,0.488888888888889,6,"VASN","p_val_adj<0.05"
"MIA3",5.51382509687628e-51,-0.967772094386174,0.48,0.817,1.46033657690768e-46,0.387423935091278,10,0.410926365795724,5,"MIA3","p_val_adj<0.05"
"LAMC2",6.36941250943365e-51,1.65562569274669,0.63,0.239,1.6869389031235e-46,0.364760432766615,11,0.463414634146341,5,"LAMC2","p_val_adj<0.05"
"HAS3",1.28082850240043e-50,-1.72613386635548,0.134,0.48,3.39227428860753e-46,0.449275362318841,9,0.506072874493927,4,"HAS3","p_val_adj<0.05"
"GSAP",2.33452128373508e-50,-1.5472456941517,0.204,0.567,6.18297961997237e-46,0.376190476190476,8,0.414383561643836,5,"GSAP","p_val_adj<0.05"
"YPEL3",2.44205842877154e-50,-1.05901473996179,0.587,0.862,6.46779174860141e-46,0.354892205638474,11,0.380630630630631,6,"YPEL3","p_val_adj<0.05"
"SFTPC",2.80606973973939e-50,-1.95353434474999,0.037,0.299,7.43187570569976e-46,0.263157894736842,9,0.5,4,"SFTPC","p_val_adj<0.05"
