"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","naive.pt.occupancy","naive.n.nonzero.pts","grouped_pr.pt.occupancy","grouped_pr.n.nonzero.pts","gene","sig"
"SUSD2",3.30922559782469e-206,-2.61265579093306,0.117,0.901,8.7644839958387e-202,0.458333333333333,9,0.379310344827586,5,"SUSD2","p_val_adj<0.05"
"C1orf116",4.26057312042629e-166,-2.58427626703602,0.394,0.944,1.1284127909449e-161,0.380246913580247,10,0.378600823045267,6,"C1orf116","p_val_adj<0.05"
"FLRT3",4.16612742475605e-165,-3.05093037849054,0.057,0.713,1.10339884844664e-160,0.288135593220339,7,0.400544959128065,5,"FLRT3","p_val_adj<0.05"
"AQP4",1.04944349494282e-163,-3.97101442123646,0.143,0.802,2.77945109635605e-159,0.496598639455782,8,0.433414043583535,5,"AQP4","p_val_adj<0.05"
"CADM1",3.20217210211653e-143,-3.07687793759889,0.17,0.792,8.48095281245562e-139,0.445714285714286,10,0.406862745098039,5,"CADM1","p_val_adj<0.05"
"CPM",1.15504383647593e-141,-2.46963137584114,0.302,0.876,3.05913360090651e-137,0.567741935483871,10,0.385809312638581,6,"CPM","p_val_adj<0.05"
"RGS16",7.71589685965214e-141,-2.46457257940528,0.349,0.885,2.04355528327887e-136,0.5,10,0.385964912280702,5,"RGS16","p_val_adj<0.05"
"SFTPD",5.46149629323591e-131,-2.82745276309126,0.206,0.798,1.44647729326353e-126,0.702830188679245,8,0.413625304136253,5,"SFTPD","p_val_adj<0.05"
"MUC1",3.21334832658578e-125,-1.46913491560643,0.813,0.984,8.51055304296244e-121,0.361676646706587,11,0.362919132149901,6,"MUC1","p_val_adj<0.05"
"MUC16",8.62136010093017e-125,4.82162883961227,0.705,0.031,2.28336722273135e-120,0.465469613259669,10,0.6875,4,"MUC16","p_val_adj<0.05"
"ATP13A4",1.06898431107057e-121,-1.82988791667638,0.395,0.92,2.8312049478704e-117,0.477832512315271,9,0.377637130801688,5,"ATP13A4","p_val_adj<0.05"
"LDHB",3.83982192779245e-119,1.87151671541494,0.944,0.703,1.01697683757583e-114,0.363261093911249,11,0.38121546961326,6,"LDHB","p_val_adj<0.05"
"TGM2",4.61982263961675e-115,4.00401986024401,0.692,0.049,1.2235600261025e-110,0.471167369901547,10,0.64,4,"TGM2","p_val_adj<0.05"
"CLIC3",1.14084251988845e-113,-2.55897774667112,0.12,0.652,3.02152141392457e-109,0.390243902439024,11,0.43452380952381,5,"CLIC3","p_val_adj<0.05"
"TNS1",3.24450013241398e-113,-1.62252740885672,0.287,0.841,8.59305860069842e-109,0.43728813559322,10,0.413394919168591,5,"TNS1","p_val_adj<0.05"
"PERP",1.76181740931904e-108,1.57817449454006,0.936,0.658,4.66617340858149e-104,0.359001040582726,11,0.40117994100295,6,"PERP","p_val_adj<0.05"
"TIMP1",1.91126525165371e-108,2.45162259274244,0.819,0.289,5.06198601900485e-104,0.373365041617122,11,0.557046979865772,6,"TIMP1","p_val_adj<0.05"
"TSPAN1",1.70168933353456e-106,3.10384922022641,0.847,0.338,4.50692419986629e-102,0.36551724137931,10,0.522988505747126,6,"TSPAN1","p_val_adj<0.05"
"MUC5B",5.84387822997483e-106,5.76225814578561,0.64,0.047,1.54775114920883e-101,0.552511415525114,9,0.541666666666667,4,"MUC5B","p_val_adj<0.05"
"QPRT",3.6602631262447e-105,-1.8794991933031,0.045,0.518,9.6942068898591e-101,0.239130434782609,10,0.404494382022472,6,"QPRT","p_val_adj<0.05"
"EMP2",1.13685350098913e-104,-1.51975869217227,0.835,0.984,3.0109564973697e-100,0.322843822843823,11,0.364891518737673,6,"EMP2","p_val_adj<0.05"
"MSLN",5.81103219081039e-103,-2.17708140230425,0.163,0.682,1.53905187573613e-98,0.592814371257485,8,0.512820512820513,5,"MSLN","p_val_adj<0.05"
