"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","grouped_pr pt.occupancy","grouped_pr n.nonzero.pts","grouped_pd pt.occupancy","grouped_pd n.nonzero.pts","gene"
"KRT6A",7.76359062938264e-51,-7.18993279654635,0.016,0.349,2.05618697819199e-46,0.75,3,0.853793103448276,9,"KRT6A"
"AKR1B10",3.91880308733135e-47,-6.34451438115056,0.012,0.326,1.03789499767971e-42,0.5,2,0.85672082717873,7,"AKR1B10"
"LY6D",2.53860108327853e-104,-6.00028341827929,0.004,0.566,6.72348496906319e-100,1,1,0.480883602378929,7,"LY6D"
"DKK1",3.27797360504341e-139,-5.94183167946135,0.002,0.681,8.68171309295747e-135,1,1,0.581625441696113,7,"DKK1"
"ALOX5",1.70532066730301e-105,-5.52745731881043,0.016,0.579,4.51654178735201e-101,0.5,4,0.793848711554447,8,"ALOX5"
"S100A8",4.42737321534738e-62,-5.0967030609157,0.004,0.392,1.17258979608475e-57,1,1,0.64004914004914,8,"S100A8"
"KRT13",1.22328537625086e-40,-5.00140267439914,0.045,0.331,3.2398713190004e-36,0.782608695652174,4,0.86046511627907,7,"KRT13"
"GPX2",7.77113313584477e-62,-4.98963371496881,0.019,0.41,2.05818461102849e-57,0.5,3,0.714453584018801,9,"GPX2"
"S100A9",5.33078068452605e-207,-4.78853740689482,0.117,0.923,1.41185726429672e-202,0.466666666666667,5,0.478895257946847,9,"S100A9"
"KRT16",2.52219930271412e-77,-4.67892598127146,0.019,0.478,6.68004485323835e-73,0.5,2,0.678751258811682,8,"KRT16"
"VMO1",2.63201742041236e-68,-4.65641629446704,0.033,0.448,6.97089813796213e-64,0.470588235294118,3,0.974193548387097,7,"VMO1"
"GJB3",1.6776252221043e-133,-4.64597457427258,0.006,0.667,4.44319040074325e-129,1,1,0.525974025974026,8,"GJB3"
"AKR1C2",3.26213155996885e-43,-4.59891340448362,0.045,0.343,8.63975543657749e-39,0.565217391304348,3,0.875175315568022,9,"AKR1C2"
"TMEM176B",9.49598612353054e-96,-4.5712405893978,0.045,0.564,2.51501192481706e-91,0.391304347826087,5,0.806479113384484,8,"TMEM176B"
"AKR1C1",1.13820996844311e-37,-4.50934702034697,0.072,0.344,3.01454910142158e-33,0.648648648648649,4,0.876923076923077,9,"AKR1C1"
"AIM2",1.62999806483322e-52,-4.48451741413553,0.002,0.342,4.31704987471077e-48,1,1,0.758087201125176,7,"AIM2"
"LYPD3",8.02957600103245e-95,-4.46426242296522,0.08,0.607,2.12663320387344e-90,0.536585365853659,3,0.47898493259318,8,"LYPD3"
"CXCL5",6.59460180634019e-52,-4.37826986933439,0.023,0.365,1.7465802884092e-47,0.833333333333333,3,0.981554677206851,7,"CXCL5"
"HTR3A",5.01879782743237e-65,-4.29665612205248,0.004,0.406,1.32922860459546e-60,0.5,2,0.801897983392645,8,"HTR3A"
"PLAT",5.1019741845228e-72,-4.23922012604534,0.06,0.497,1.35125786277086e-67,0.354838709677419,4,0.487899322362052,8,"PLAT"
"SERPINE1",1.12973121255591e-130,-4.2295359160037,0.023,0.67,2.99209311645432e-126,0.666666666666667,3,0.612787356321839,8,"SERPINE1"
"UBD",3.74452391495145e-167,-4.17154963863862,0.043,0.79,9.91737158874891e-163,0.636363636363636,4,0.570993296770262,7,"UBD"
"LCN2",2.00668185857915e-116,-4.10293067759297,0.186,0.723,5.31469690244689e-112,0.322916666666667,5,0.641810918774967,9,"LCN2"
"SNCG",6.36561816434578e-67,-4.01656855847111,0.002,0.414,1.68593397082698e-62,1,1,0.666279069767442,7,"SNCG"
"CAMK2N1",2.94804825792681e-146,-3.9614808753614,0.006,0.703,7.80790581111916e-142,0.666666666666667,2,0.647501711156742,9,"CAMK2N1"
"CXCL11",3.39294320005634e-41,-3.92637696740596,0.017,0.305,8.98621006534921e-37,0.777777777777778,2,0.565560821484992,7,"CXCL11"
"FGFBP1",4.42145685814491e-68,-3.92522812991989,0.016,0.436,1.17102284887968e-63,0.75,2,0.513245033112583,7,"FGFBP1"
"BCAS1",5.14201816747379e-85,-3.92180409959894,0.029,0.516,1.36186351165543e-80,0.466666666666667,5,0.887126865671642,8,"BCAS1"
"GJB2",6.62042486995345e-121,-3.91746588900238,0.031,0.644,1.75341952680717e-116,0.625,3,0.695814648729447,8,"GJB2"
"DSG3",1.02814855174412e-36,-3.91048053228031,0.019,0.278,2.7230514392943e-32,0.5,3,0.967128027681661,7,"DSG3"
"CPE",1.57980441363243e-114,-3.87929408509344,0.035,0.628,4.18411198950549e-110,0.5,3,0.703675344563553,8,"CPE"
"MIR100HG",1.61116925396659e-41,-3.87721364322126,0.012,0.299,4.26718176913053e-37,0.833333333333333,2,0.62962962962963,9,"MIR100HG"
"GPR87",3.91276329762522e-167,-3.83833705595878,0.023,0.778,1.03629535937604e-162,0.666666666666667,4,0.550123762376238,7,"GPR87"
"LGALS7",3.32430558641713e-44,-3.82466093198075,0.004,0.301,8.80442334562577e-40,0.5,2,0.9456,7,"LGALS7"
"CHST4",2.965211835547e-62,-3.79363779721139,0,0.388,7.85336354644624e-58,NA,0,0.977695167286245,7,"CHST4"
"GJB5",4.48222907651523e-46,-3.74483859595017,0.002,0.309,1.18711837091506e-41,1,1,0.690513219284603,8,"GJB5"
"IGFBP3",1.40487794170204e-182,-3.7164742699165,0.033,0.818,3.72081922859784e-178,0.411764705882353,4,0.564117647058824,8,"IGFBP3"
"CCL20",1.04809674380378e-22,-3.70681995907109,0.019,0.196,2.77588422596432e-18,0.8,2,0.571078431372549,9,"CCL20"
"GNG4",3.76456494368017e-70,-3.70220740501212,0.017,0.442,9.97045025333693e-66,0.555555555555556,3,0.959738846572361,7,"GNG4"
"CLEC2B",1.87743215957099e-68,-3.66230248470724,0.014,0.432,4.97237907462376e-64,0.714285714285714,2,0.592427616926503,9,"CLEC2B"
"ANXA8",1.61286620001897e-41,-3.65161607277772,0.004,0.285,4.27167613075024e-37,1,1,0.937605396290051,7,"ANXA8"
"KYNU",4.43970231303881e-177,-3.6470376316526,0.033,0.815,1.17585515760833e-172,0.823529411764706,2,0.562906083874778,9,"KYNU"
"HCAR2",3.93755165832649e-40,-3.64309974778395,0.025,0.308,1.04286055670777e-35,0.538461538461538,4,0.8798751950078,8,"HCAR2"
"EGLN3",5.5916649531643e-78,-3.62909574399822,0.159,0.579,1.48095246284557e-73,0.463414634146341,6,0.796342477140482,8,"EGLN3"
"HSPA7",3.4977387849516e-07,-3.61683824278893,0.155,0.255,0.00926376117194432,0.65,5,0.504725897920605,9,"HSPA7"
"S100A2",3.11990666490672e-41,-3.60001943108845,0.157,0.457,8.26307280200544e-37,0.518518518518518,4,0.647368421052632,8,"S100A2"
"TNS4",7.15106144331033e-38,-3.5756450136524,0.014,0.28,1.89395862326074e-33,0.571428571428571,3,0.878006872852234,8,"TNS4"
"MUC16",4.03456883447802e-158,-3.56506908918011,0.031,0.761,1.0685555558115e-153,0.6875,4,0.601518026565465,9,"MUC16"
"BCL2A1",6.03795274402576e-81,-3.53311815781608,0.017,0.489,1.59915178425522e-76,1,1,0.835791543756146,7,"BCL2A1"
"VGLL1",1.6103697997559e-80,-3.52028314662337,0.029,0.5,4.2650644146535e-76,0.666666666666667,4,0.921077959576516,7,"VGLL1"
"PLAU",1.15436915959225e-174,-3.50455711469333,0.045,0.83,3.05734671918006e-170,0.652173913043478,3,0.473623188405797,9,"PLAU"
"PLBD1",8.48114654747189e-116,-3.47055504956029,0.179,0.715,2.24623166309793e-111,0.489130434782609,5,0.646029609690444,10,"PLBD1"
"SAA2",1.01713172760905e-101,-3.4353660349326,0.031,0.589,2.69387338057258e-97,0.875,3,0.764513491414554,9,"SAA2"
"IL1RN",2.91008043881748e-34,-3.40828521321773,0.039,0.294,7.70734804220811e-30,0.85,4,0.765957446808511,8,"IL1RN"
"LSP1",1.54289006783487e-34,-3.39827583388981,0.033,0.285,4.08634434466065e-30,0.529411764705882,4,0.892074198988196,9,"LSP1"
"PFKP",6.90697130616661e-156,-3.38915350597071,0.229,0.86,1.82931135043823e-151,0.313559322033898,6,0.538031319910515,11,"PFKP"
"INPP4B",1.46708492742976e-141,-3.38688093629762,0.023,0.71,3.88557443029771e-137,0.666666666666667,3,0.55728813559322,9,"INPP4B"
"LOC344887",4.54640781368615e-47,-3.37903154144927,0.014,0.331,1.20411610945478e-42,0.428571428571429,4,0.723837209302326,7,"LOC344887"
"S100P",7.1214303866207e-74,-3.37689874698787,0.245,0.616,1.88611083789649e-69,0.396825396825397,5,0.75390625,10,"S100P"
"GCNT3",9.87827807129208e-92,-3.31816752362694,0.062,0.572,2.61626194718171e-87,0.84375,2,0.796467619848612,8,"GCNT3"
"APOBEC3A",1.91338412098808e-11,-3.31399230305829,0.043,0.152,5.06759784443693e-07,0.772727272727273,3,0.544303797468354,7,"APOBEC3A"
"LYPD5",2.13440948498649e-91,-3.30796024290862,0.014,0.531,5.65298352098671e-87,0.714285714285714,2,0.682971014492754,7,"LYPD5"
"ADGRF1",1.19251779229603e-138,-3.30357837213415,0.128,0.754,3.15838337289603e-134,0.348484848484849,6,0.608806636885769,10,"ADGRF1"
"SLCO4A1",3.58527434466392e-101,-3.30263222746435,0.062,0.607,9.4955991018424e-97,0.40625,4,0.747226624405705,8,"SLCO4A1"
"NMU",3.14668884126709e-81,-3.29619798663686,0.014,0.491,8.33400539609588e-77,0.571428571428571,2,0.706862745098039,8,"NMU"
"GPX8",9.71567365166291e-103,-3.23932226112214,0.012,0.574,2.57319616664292e-98,1,1,0.760906040268456,10,"GPX8"
"ANXA8L1",4.83335894081556e-40,-3.23517729969932,0.01,0.286,1.280115115475e-35,1,1,0.888888888888889,9,"ANXA8L1"
"UCK2",3.84692331735978e-128,-3.2024294310104,0.029,0.676,1.01885764060274e-123,0.733333333333333,2,0.643416370106762,10,"UCK2"
"TRIM31",4.35413659072039e-102,-3.19363400123617,0.087,0.627,1.15319307605229e-97,0.466666666666667,4,0.731182795698925,8,"TRIM31"
"UACA",3.42094362881878e-81,-3.18625976634079,0.033,0.509,9.06036920092655e-77,0.529411764705882,4,0.836329233680227,9,"UACA"
"ALDH3B2",6.89554517914387e-61,-3.17128122667766,0.006,0.388,1.82628514069625e-56,0.666666666666667,2,0.630731102850062,8,"ALDH3B2"
"TPM2",3.92227661478979e-26,-3.17108318134052,0.072,0.283,1.03881496142708e-21,0.459459459459459,3,0.709677419354839,7,"TPM2"
"CA9",5.02082539379951e-19,-3.16498978050021,0.017,0.167,1.3297656055478e-14,0.444444444444444,3,0.57183908045977,8,"CA9"
"EREG",4.49774990315281e-13,-3.16016029446951,0.023,0.134,1.19122906185002e-08,0.583333333333333,3,0.320143884892086,8,"EREG"
"ERO1A",1.52222005885542e-136,-3.13931586535221,0.561,0.918,4.03159982587857e-132,0.349480968858132,6,0.5041928721174,11,"ERO1A"
"TGM2",2.27532572290804e-147,-3.13093276214699,0.049,0.752,6.02620017712194e-143,0.64,4,0.580665813060179,10,"TGM2"
"AKR1C3",1.03526716741277e-19,-3.1265402918421,0.282,0.431,2.74190509289272e-15,0.393103448275862,4,0.684151785714286,10,"AKR1C3"
"LGALS17A",4.19098503786575e-19,-3.10052355392165,0.006,0.149,1.10998238727874e-14,0.666666666666667,2,0.864516129032258,7,"LGALS17A"
"TMEM40",3.6948117082974e-76,-3.08846779743257,0.012,0.468,9.78570880942566e-72,0.666666666666667,3,0.485097636176773,8,"TMEM40"
"MUC20",4.70312773037092e-150,-3.08142100695472,0.47,0.892,1.24562337938874e-145,0.471074380165289,5,0.520237452779277,10,"MUC20"
"P2RY1",3.08006339512252e-25,-3.07299472529616,0,0.18,8.15754790198198e-21,NA,0,0.810666666666667,7,"P2RY1"
"PKMYT1",7.59720847477335e-17,-3.06749974047227,0,0.122,2.01212066454372e-12,NA,0,0.681102362204724,8,"PKMYT1"
"LINC01503",6.26549682594424e-92,-3.0402269370251,0.035,0.555,1.65941683435133e-87,0.722222222222222,3,0.660017346053773,9,"LINC01503"
"LRMP",1.44235229739216e-12,-3.03876830124218,0.012,0.113,3.82007005964313e-08,0.666666666666667,3,0.935897435897436,7,"LRMP"
"AURKB",9.55433998547606e-14,-3.03811972401502,0.002,0.103,2.53046694515333e-09,1,1,0.747663551401869,7,"AURKB"
"FAR2",3.56098859921844e-61,-3.03445312050635,0.019,0.408,9.43127830503005e-57,0.6,3,0.92688679245283,8,"FAR2"
"DDIAS",7.56553047706936e-65,-3.00968607325197,0.014,0.417,2.00373074685182e-60,0.571428571428571,3,0.882352941176471,8,"DDIAS"
"DAPP1",2.51475717507959e-149,-3.00914493817956,0.049,0.749,6.6603343781983e-145,0.52,4,0.592164418754014,9,"DAPP1"
"HGD",6.65773977709147e-66,-3.00156178787961,0.031,0.444,1.76330237996267e-61,0.375,4,0.884073672806067,7,"HGD"
"SAA1",1.93859293534675e-136,-2.99873569122726,0.035,0.721,5.13436338926588e-132,0.833333333333333,2,0.636424282855237,9,"SAA1"
"CCDC109B",1.97594083850857e-106,-2.99428137812454,0.05,0.626,5.23327931078996e-102,0.384615384615385,4,0.432744043043812,10,"CCDC109B"
"TFPI2",1.80890585539227e-120,-2.99367523631014,0.085,0.689,4.79088715800644e-116,0.568181818181818,4,0.661312849162011,10,"TFPI2"
"SNAI2",1.70310283098509e-25,-2.97545771442069,0.014,0.205,4.51066784786401e-21,0.857142857142857,2,0.733021077283372,7,"SNAI2"
"RARRES1",1.54199559638381e-53,-2.96990776177037,0.031,0.393,4.08397533702252e-49,0.5625,3,0.895833333333333,9,"RARRES1"
