"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","grouped_pr pt.occupancy","grouped_pr n.nonzero.pts","grouped_pd pt.occupancy","grouped_pd n.nonzero.pts","gene"
"CSGALNACT1",8.88933765897636e-67,-2.96597047958512,0.05,0.466,2.35434107897989e-62,0.615384615384615,3,0.945304437564499,8,"CSGALNACT1"
"RGS10",2.34156077796684e-129,-2.9585801860707,0.095,0.717,6.20162372044516e-125,0.36734693877551,5,0.638012088650101,9,"RGS10"
"PLAUR",1.72367792890074e-155,-2.94324805319904,0.19,0.858,4.56516099469361e-151,0.520408163265306,4,0.509539842873176,10,"PLAUR"
"RHOV",1.90725668881176e-134,-2.90647723288882,0.047,0.705,5.05136934031794e-130,0.708333333333333,3,0.651639344262295,10,"RHOV"
"SCCPDH",2.7710316707607e-62,-2.9059246255943,0.45,0.715,7.33907738000971e-58,0.349137931034483,5,0.648484848484848,11,"SCCPDH"
"TCN1",2.08256083630758e-24,-2.88677005072563,0.002,0.178,5.51566237496063e-20,1,1,0.727027027027027,7,"TCN1"
"RRM2",1.13601539447283e-09,-2.8056166511478,0.025,0.111,3.00873677226129e-05,0.615384615384615,4,0.647826086956522,9,"RRM2"
"PLAC8",1.44765915011322e-73,-2.79514536200149,0.14,0.56,3.83412525907487e-69,0.472222222222222,5,0.80481513327601,9,"PLAC8"
"AIM1L",1.41790975221428e-63,-2.78767330724527,0.008,0.405,3.75533397873951e-59,0.75,2,0.661520190023753,7,"AIM1L"
"TMEM171",2.938813405257e-42,-2.77630754632931,0.012,0.303,7.78344730382317e-38,0.833333333333333,2,0.422893481717011,7,"TMEM171"
"ARNTL2",4.03353833273574e-132,-2.77608021295773,0.095,0.732,1.06828262742506e-127,0.448979591836735,5,0.577251808021039,8,"ARNTL2"
"TMEM139",1.25214305843529e-63,-2.75700305987127,0.085,0.481,3.31630089026586e-59,0.454545454545455,3,0.934934934934935,7,"TMEM139"
"FAM171B",5.53538388122146e-43,-2.75410735298542,0.01,0.303,1.4660464209415e-38,0.4,3,0.917329093799682,8,"FAM171B"
"SLC6A14",2.69121772618925e-85,-2.75394744900863,0.08,0.572,7.12769014781224e-81,0.463414634146341,5,0.781986531986532,8,"SLC6A14"
"BLNK",7.95989561495963e-79,-2.74565226500539,0.033,0.505,2.10817835362206e-74,0.647058823529412,3,0.755958055290753,10,"BLNK"
"CES1",6.67879877192308e-20,-2.73742014516278,0.146,0.32,1.76887985474383e-15,0.666666666666667,4,0.819548872180451,9,"CES1"
"GCLC",1.07146328459791e-122,-2.73645003955679,0.095,0.72,2.83777050925757e-118,0.346938775510204,5,0.459585838343353,11,"GCLC"
"ALDH3A1",4.31406394960172e-06,-2.73431646722563,0.311,0.346,0.114257983705201,0.6875,3,0.824512534818941,8,"ALDH3A1"
"GPAT2",6.3866862063948e-61,-2.73282689004592,0.095,0.477,1.69151384176366e-56,0.306122448979592,5,0.873991935483871,9,"GPAT2"
"MKI67",5.88383738376675e-17,-2.72312249857615,0.012,0.144,1.55833433109062e-12,0.5,3,0.698996655518395,9,"MKI67"
"WNT10A",1.63592941587975e-68,-2.70405681564149,0.006,0.427,4.33275905795753e-64,0.666666666666667,2,0.806306306306306,8,"WNT10A"
"MYBL2",3.70454846966072e-11,-2.70165656045703,0.017,0.11,9.81149662189641e-07,0.444444444444444,5,0.720524017467249,8,"MYBL2"
"CXCL6",1.09624793874004e-41,-2.69440071542575,0.004,0.287,2.90341266575299e-37,0.5,2,0.790268456375839,7,"CXCL6"
"PCDHB2",3.70657605226613e-58,-2.69218312637793,0.008,0.383,9.81686667442684e-54,0.75,2,0.945911949685535,8,"PCDHB2"
"ELOVL6",2.8396288062732e-45,-2.68012560480607,0.002,0.304,7.52075689341458e-41,1,1,0.57753164556962,8,"ELOVL6"
"TMEM176A",3.41543713872593e-80,-2.66691586947444,0.068,0.544,9.04578526191562e-76,0.428571428571429,5,0.826548672566372,7,"TMEM176A"
"VWA5A",1.28491790320678e-75,-2.66388584773834,0.165,0.589,3.40310506664316e-71,0.717647058823529,5,0.780866721177432,10,"VWA5A"
"MDFI",1.47787768099146e-124,-2.64993493176223,0.019,0.658,3.91415903810588e-120,0.5,3,0.585223116313094,7,"MDFI"
"PTPRH",1.31079090963958e-69,-2.6471692317181,0.012,0.438,3.47162972418044e-65,0.5,2,0.823271130625686,7,"PTPRH"
"TPX2",1.61867004301661e-18,-2.64361652188347,0.016,0.161,4.2870476089295e-14,1,1,0.632835820895522,9,"TPX2"
"SLC16A3",6.51628168484271e-156,-2.63317459189631,0.212,0.843,1.72583720423059e-151,0.568807339449541,5,0.548258138206739,11,"SLC16A3"
"VTCN1",2.44697585119633e-62,-2.62222522353637,0.029,0.43,6.48081554189347e-58,0.666666666666667,4,0.957446808510638,8,"VTCN1"
"KRT17",1.14723516735605e-63,-2.6188549808719,0.087,0.499,3.03845234074249e-59,0.444444444444444,4,0.482160077145612,7,"KRT17"
"PSCA",1.2245992927197e-80,-2.60832593582716,0.012,0.486,3.24335122676814e-76,1,1,0.89009900990099,8,"PSCA"
"BACE2",7.30308679978322e-80,-2.60511188556863,0.431,0.779,1.93422253892259e-75,0.463963963963964,5,0.592340951204447,10,"BACE2"
"ADGRF4",7.144508181884e-36,-2.58736860573753,0.002,0.25,1.89222299197198e-31,1,1,0.621153846153846,7,"ADGRF4"
"SERHL2",1.13061088152819e-53,-2.57697769706327,0.105,0.464,2.9944229197274e-49,0.37037037037037,4,0.900518134715026,9,"SERHL2"
"ST3GAL4-AS1",5.17761934809753e-72,-2.57224806662095,0.045,0.49,1.37129248434363e-67,0.434782608695652,3,0.888998035363458,7,"ST3GAL4-AS1"
"AADACL2-AS1",1.72184576698213e-30,-2.57105088790659,0.025,0.254,4.56030851385217e-26,0.692307692307692,2,0.9375,8,"AADACL2-AS1"
"CYP3A5",1.90736922573577e-73,-2.564128680681,0.068,0.517,5.0516673943612e-69,0.457142857142857,5,0.792364990689013,7,"CYP3A5"
"MYEOV",3.69077584610649e-22,-2.5502762817464,0.002,0.164,9.77501982841305e-18,1,1,0.814705882352941,7,"MYEOV"
"ALDH1L1",5.20086587589781e-62,-2.54038654750005,0.021,0.418,1.37744932723154e-57,0.454545454545455,3,0.884792626728111,9,"ALDH1L1"
"FRMD3",1.15381589495422e-59,-2.53608962826046,0.027,0.415,3.05588139778625e-55,0.285714285714286,5,0.950116009280742,7,"FRMD3"
"GALNT12",8.28528284668695e-59,-2.52688400841782,0.34,0.636,2.19435716194504e-54,0.377142857142857,5,0.722390317700454,10,"GALNT12"
"DDIT4",2.03784040130734e-102,-2.52484014958763,0.262,0.799,5.39722030286249e-98,0.496296296296296,5,0.534617700180614,10,"DDIT4"
"GOLM1",1.11361846933683e-121,-2.52472543535154,0.417,0.848,2.9494185160386e-117,0.330232558139535,6,0.546795235394214,11,"GOLM1"
"TBC1D1",9.7409443608948e-82,-2.51849952906176,0.033,0.517,2.57988911398299e-77,0.705882352941177,4,0.757209302325581,9,"TBC1D1"
"TRIM29",1.05596638727852e-144,-2.51766813523359,0.138,0.802,2.79672697670717e-140,0.535211267605634,4,0.558488302339532,9,"TRIM29"
"FHL2",2.57860059434121e-161,-2.51647113620258,0.128,0.843,6.8294236741127e-157,0.378787878787879,6,0.541404911479155,8,"FHL2"
"THBD",8.353388214691e-43,-2.50950916376456,0.027,0.331,2.21239486866091e-38,0.714285714285714,2,0.573508005822416,8,"THBD"
"CD109",2.47015662445935e-28,-2.49679896141083,0.006,0.211,6.54220981988059e-24,1,1,0.63013698630137,8,"CD109"
"GBP5",2.2071937947208e-32,-2.49652544507696,0.01,0.242,5.84575276531805e-28,0.8,2,0.910536779324056,7,"GBP5"
"CDKN3",1.26925449900467e-15,-2.49400606804859,0.045,0.184,3.36162054061386e-11,0.739130434782609,4,0.662303664921466,10,"CDKN3"
"UBE2C",1.82263538236804e-15,-2.48596198259157,0.052,0.193,4.82724981020175e-11,0.296296296296296,4,0.59452736318408,10,"UBE2C"
"KRT15",7.47531696609923e-103,-2.46233620182877,0.153,0.71,1.97983769847138e-98,0.417721518987342,4,0.451525423728814,10,"KRT15"
"SAA2-SAA4",1.48049936873173e-41,-2.4538624471279,0,0.281,3.92110257808598e-37,NA,0,0.869639794168096,7,"SAA2-SAA4"
"C15orf48",1.51351118519463e-96,-2.45285550501632,0.398,0.795,4.00853437398798e-92,0.736585365853659,5,0.581465778316172,9,"C15orf48"
"STS",8.64800448582534e-86,-2.44989368116562,0.115,0.604,2.29042398807084e-81,0.372881355932203,4,0.748407643312102,11,"STS"
"TMPRSS11E",1.63660647120889e-35,-2.44345200214697,0.014,0.268,4.33455223899674e-31,0.857142857142857,2,0.81508078994614,7,"TMPRSS11E"
"FAM83A",5.18892359528858e-139,-2.43203294269113,0.153,0.802,1.37428641421218e-134,0.417721518987342,5,0.494901019796041,9,"FAM83A"
"F2RL1",1.54446564629197e-96,-2.43040299320335,0.175,0.684,4.09051726420429e-92,0.366666666666667,5,0.664556962025316,10,"F2RL1"
"CCNB2",2.58849241737014e-22,-2.42800548409493,0.045,0.233,6.85562216740481e-18,0.565217391304348,3,0.394628099173554,10,"CCNB2"
"PGM2",5.51749564560175e-76,-2.42787390323918,0.091,0.549,1.46130872173762e-71,0.404255319148936,3,0.736196319018405,11,"PGM2"
"PKP2",7.8572206525891e-73,-2.41835466469264,0.027,0.476,2.08098488983822e-68,0.285714285714286,5,0.717896865520728,8,"PKP2"
"CKMT1B",3.06176673430679e-84,-2.41755573656602,0.016,0.511,8.10908919581153e-80,0.5,3,0.702448210922787,10,"CKMT1B"
"CDA",3.0497717179184e-17,-2.41479880774821,0.008,0.14,8.07732039490689e-13,0.5,3,0.326460481099656,8,"CDA"
"CEP55",4.64448950631793e-17,-2.40132813269722,0.008,0.138,1.2300930457483e-12,0.5,3,0.674825174825175,9,"CEP55"
"CKAP2L",5.41785245680766e-14,-2.40035800212102,0.012,0.123,1.43491822318551e-09,0.666666666666667,2,0.792156862745098,8,"CKAP2L"
"ASPM",3.10849009822e-16,-2.399450814944,0.01,0.135,8.23283602513567e-12,0.8,2,0.629893238434164,9,"ASPM"
"FYB",1.96250432697653e-41,-2.39100346818846,0.035,0.333,5.19769270999733e-37,0.666666666666667,3,0.747109826589595,7,"FYB"
"PTGES",1.09272667000549e-97,-2.35399251134803,0.198,0.687,2.89408658550955e-93,0.42156862745098,6,0.67296918767507,9,"PTGES"
"TMEM117",8.89535406966889e-36,-2.33897923050353,0.008,0.259,2.35593452535181e-31,0.5,2,0.715613382899628,8,"TMEM117"
"SLC2A1",1.46134384712948e-159,-2.33196187938886,0.336,0.894,3.87036917912242e-155,0.375722543352601,5,0.515347334410339,11,"SLC2A1"
"PTAFR",2.76655267352638e-43,-2.32619999098041,0.052,0.362,7.32721475583461e-39,0.703703703703704,3,0.446215139442231,7,"PTAFR"
"ST3GAL4",8.36663293193837e-92,-2.31716151042569,0.144,0.647,2.21590273202388e-87,0.405405405405405,5,0.711309523809524,9,"ST3GAL4"
"ADM",7.33042898962051e-65,-2.2850876846013,0.171,0.613,1.94146411790099e-60,0.318181818181818,6,0.467399842890809,11,"ADM"
"MAD2L1",7.05644512602299e-27,-2.28089933582561,0.023,0.231,1.86889949162719e-22,0.666666666666667,3,0.466666666666667,10,"MAD2L1"
"BMP7",1.57322138052765e-27,-2.27839829071541,0.019,0.228,4.16667682632748e-23,0.6,2,0.945147679324895,7,"BMP7"
"ZG16B",1.52700467334351e-26,-2.27452666473501,0.002,0.193,4.04427187735028e-22,1,1,0.832917705735661,7,"ZG16B"
"DGKA",1.57249903568593e-90,-2.26663278267812,0.068,0.588,4.1647636960142e-86,0.628571428571429,3,0.657937806873977,8,"DGKA"
"POPDC3",1.1794100452345e-18,-2.25926822061255,0,0.135,3.12366750480358e-14,NA,0,0.455516014234875,8,"POPDC3"
"TRIM16L",7.58413887218734e-118,-2.2481589642008,0.134,0.738,2.00865918029882e-113,0.420289855072464,5,0.582517938682322,10,"TRIM16L"
"BCL2L15",1.07424834802994e-71,-2.24571930233104,0.107,0.533,2.8451467497573e-67,0.363636363636364,5,0.84115523465704,7,"BCL2L15"
"CENPE",1.09451906534783e-13,-2.24466408144533,0.025,0.142,2.89883374457372e-09,0.615384615384615,4,0.616949152542373,9,"CENPE"
"ACKR2",1.64984192602322e-66,-2.24125386959167,0.05,0.476,4.36960634107249e-62,0.807692307692308,4,0.942424242424242,7,"ACKR2"
"BPGM",2.52493010098528e-73,-2.23816205363647,0.371,0.708,6.68727737245952e-69,0.528795811518325,5,0.646059782608696,10,"BPGM"
"PBK",1.03884874586499e-14,-2.23360603019683,0.002,0.111,2.75139090342344e-10,1,1,0.747826086956522,9,"PBK"
"KCTD3",1.11210953374736e-93,-2.22889411466545,0.109,0.632,2.94542210012988e-89,0.660714285714286,5,0.710806697108067,10,"KCTD3"
"SYT8",6.99396515456037e-80,-2.22865731415071,0.05,0.532,1.85235167118531e-75,0.730769230769231,4,0.848101265822785,9,"SYT8"
"PLK1",2.86697124433451e-10,-2.22771552087221,0.039,0.138,7.59317334061995e-06,0.75,3,0.468531468531469,8,"PLK1"
"CSF2RA",1.56951551756466e-86,-2.22695848955902,0.083,0.586,4.15686184826999e-82,0.395348837209302,6,0.768472906403941,8,"CSF2RA"
"EPB41L3",5.59156280982599e-61,-2.22653209924269,0.068,0.464,1.48092541018241e-56,0.542857142857143,3,0.955394190871369,7,"EPB41L3"
"MELK",2.19659152337448e-16,-2.22473503924015,0.01,0.137,5.81767264965732e-12,0.6,2,0.707746478873239,8,"MELK"
"CXCL1",3.76294651581176e-17,-2.21840921236999,0.183,0.366,9.96616384712744e-13,0.542553191489362,5,0.571052631578947,9,"CXCL1"
"TSPAN1",1.23512342794649e-130,-2.21823872591619,0.338,0.842,3.27122439891627e-126,0.522988505747126,6,0.546598056032018,10,"TSPAN1"
"KIAA0101",6.24472530403458e-17,-2.21208855377679,0.093,0.256,1.65391549677356e-12,0.4375,4,0.531954887218045,9,"KIAA0101"
"CALHM2",1.20876361331631e-13,-2.20156292631602,0.008,0.113,3.20141042986824e-09,0.5,3,0.719148936170213,7,"CALHM2"
"PPM1H",3.0610158909789e-75,-2.189796199983,0.097,0.562,8.10710058725762e-71,0.46,4,0.754070265638389,10,"PPM1H"
