"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","grouped_pd pt.occupancy","grouped_pd n.nonzero.pts","grouped_pr pt.occupancy","grouped_pr n.nonzero.pts","naive pt.occupancy","naive n.nonzero.pts"
"DKK1",0,4.14473108706588,0.686,0.032,0,"grouped_pd","DKK1",0.584517045454545,7,1,1,0.36734693877551,6
"UBD",0,3.88470501697869,0.794,0.082,0,"grouped_pd","UBD",0.576167076167076,8,0.636363636363636,4,0.556603773584906,7
"GPR87",0,3.38045058974145,0.784,0.039,0,"grouped_pd","GPR87",0.553204729309272,8,0.666666666666667,4,0.326530612244898,8
"IGFBP3",0,2.89620048964064,0.824,0.168,0,"grouped_pd","IGFBP3",0.567455621301775,8,0.388888888888889,4,0.569672131147541,9
"CRABP2",0,2.40155140998008,0.863,0.26,0,"grouped_pd","CRABP2",0.52738565782044,9,0.377162629757785,6,0.313559322033898,10
"LY6K",0,2.05473358499692,0.86,0.136,0,"grouped_pd","LY6K",0.538287010777085,8,0.518181818181818,5,0.495145631067961,8
"PGD",0,2.02945079718288,0.959,0.665,0,"grouped_pd","PGD",0.488301119023398,10,0.363380281690141,6,0.31140350877193,11
"KYNU",0,1.99943888568656,0.82,0.095,0,"grouped_pd","KYNU",0.567519333729923,10,0.823529411764706,2,0.572519083969466,8
"CAPG",0,1.87815794178819,0.942,0.474,0,"grouped_pd","CAPG",0.498189342990171,10,0.422077922077922,6,0.422632794457275,9
"FHL2",0,1.86993253393532,0.851,0.187,0,"grouped_pd","FHL2",0.54269340974212,9,0.373134328358209,6,0.63716814159292,10
"ALDOA",0,1.55948570147206,0.997,0.948,0,"grouped_pd","ALDOA",0.472371638141809,11,0.373493975903614,6,0.346544715447154,12
"TMSB10",0,1.27839583013985,0.999,0.978,0,"grouped_pd","TMSB10",0.47216796875,11,0.372277227722772,6,0.359375,12
"FXYD3",9.58468563128689e-304,1.48490737589841,0.978,0.784,2.53850398944633e-299,"grouped_pd","FXYD3",0.481795511221945,11,0.439252336448598,6,0.439146800501882,11
"TAP1",1.61223788512692e-303,1.80320569882123,0.927,0.525,4.27001203875864e-299,"grouped_pd","TAP1",0.501315097317201,11,0.439628482972136,6,0.301204819277108,10
"ASS1",1.97331912397646e-299,2.26265253853472,0.921,0.506,5.22633569985164e-295,"grouped_pd","ASS1",0.509533898305085,11,0.435114503816794,6,0.399497487437186,10
"RGS10",5.9367314565319e-292,2.5863379218097,0.724,0.125,1.57234332626247e-287,"grouped_pd","RGS10",0.640835579514825,10,0.36734693877551,5,0.438356164383562,9
"ARNTL2",8.23873681245382e-287,2.19941485165083,0.74,0.131,2.18202944477839e-282,"grouped_pd","ARNTL2",0.580092287409361,9,0.46,5,0.4,7
"PPIA",3.78571937295027e-285,0.884790397101779,0.996,0.957,1.00264777592588e-280,"grouped_pd","PPIA",0.472086190009794,11,0.378269617706237,6,0.35035035035035,12
"IDO1",1.10318045390751e-284,2.28065694264808,0.738,0.139,2.92177343217404e-280,"grouped_pd","IDO1",0.49438202247191,8,0.394495412844037,5,0.504587155963303,6
"ARPC2",4.1922341139618e-284,1.05259128103462,0.99,0.813,1.11031320508278e-279,"grouped_pd","ARPC2",0.47487684729064,11,0.386160714285714,6,0.360874848116646,12
"ZFP36L1",5.57687190140756e-276,-1.7537513131495,0.922,0.962,1.47703452308779e-271,"grouped_pd","ZFP36L1",0.492332099418297,11,0.365079365079365,6,0.372372372372372,12
"FXYD5",1.49995517699837e-275,1.54969378813119,0.913,0.42,3.97263128628019e-271,"grouped_pd","FXYD5",0.512820512820513,11,0.430379746835443,6,0.405882352941176,11
