"","x"
"1","MUC16"
"2","LDHB"
"3","TIMP1"
"4","MUC5B"
"5","PLP2"
"6","CIB1"
"7","TSPAN3"
"8","SAT1"
"9","YBX3"
"10","AGR2"
"11","HS3ST1"
"12","ABCA13"
"13","MIF-AS1"
"14","PGM2L1"
"15","TFF3"
"16","TUSC3"
"17","CAPS"
"18","ANKRD36C"
"19","GALNT6"
"20","CALM2"
"21","LOC100506844"
"22","HSPA1A"
"23","PPAP2C"
"24","C5orf49"
"25","CCT2"
"26","DNAH11"
"27","IGF1R"
"28","VSTM2L"
"29","CRIP1"
"30","IQGAP2"
"31","ST8SIA4"
"32","DNAH5"
"33","SLC25A37"
"34","C4orf48"
"35","ARL4A"
"36","PHLDA1"
"37","CXCL8"
"38","H2AFJ"
"39","DUSP4"
"40","LINC00342"
"41","SERPINA1"
"42","TPBG"
"43","AES"
"44","C12orf75"
"45","TSPAN6"
"46","CEP126"
"47","CRLF1"
"48","B9D1"
"49","EPS8"
"50","CX3CL1"
"51","C9orf116"
"52","TUBA1A"
"53","TEX9"
"54","TPM1"
"55","ABCC3"
"56","DNAH2"
"57","SPAG1"
"58","KIF9"
"59","PKIG"
"60","SLFN13"
"61","KLF2"
"62","CCDC80"
"63","VCAN"
"64","CCDC74A"
"65","CHST6"
"66","KIF21A"
"67","IGFBP5"
"68","CD59"
"69","LRRC46"
"70","PLEKHA5"
"71","TUBB4B"
"72","HYDIN"
"73","FAM27B"
"74","LUCAT1"
"75","ARHGAP18"
"76","RGCC"
"77","TNFAIP8L1"
"78","IFITM1"
"79","SPON2"
"80","GLIS3"
"81","LXN"
"82","WDR54"
"83","ETV4"
"84","TMEM231"
"85","DTX3"
"86","COL21A1"
"87","PIH1D2"
"88","CD9"
"89","TMEM5"
"90","CCDC108"
"91","LRRC6"
"92","TCTN1"
"93","CCDC181"
"94","RSPH1"
"95","PRR29"
"96","ICA1L"
"97","FBXO15"
"98","CFAP126"
"99","CFAP43"
"100","GPX4"
"101","PRODH"
"102","DNAJB13"
"103","TSC22D1"
"104","C9orf117"
"105","IFT22"
"106","ORAI2"
"107","HSPH1"
"108","CCDC176"
"109","AK8"
"110","AGR3"
"111","ACYP1"
"112","RABL2A"
"113","EFCAB10"
"114","CFAP36"
"115","C11orf70"
"116","PPP1R32"
"117","COPRS"
"118","SPAG8"
"119","C9orf9"
"120","SPATA17"
"121","TCTN2"
"122","KIF27"
"123","CD164L2"
"124","FAM174A"
"125","C21orf58"
"126","ECE1"
"127","SPAG16"
"128","DUSP6"
"129","KCNRG"
"130","NWD1"
"131","PGF"
"132","CYP27B1"
"133","CFAP45"
"134","CCDC113"
"135","BMPR1B"
"136","PRR7"
"137","TSPAN31"
"138","GIPR"
"139","FOXP2"
"140","LPIN1"
"141","PRUNE2"
"142","C11orf63"
"143","TUBA4B"
"144","DENND6B"
"145","DNAH7"
"146","DMKN"
"147","CC2D2A"
"148","NAP1L1"
"149","MSH3"
"150","LOC100288798"
"151","MAF"
"152","LARP6"
"153","DALRD3"
"154","CHN2"
"155","TMEM45B"
"156","WRB"
"157","RPL13AP5"
"158","ST6GALNAC1"
"159","CASC1"
"160","SIX1"
"161","CLCF1"
"162","CCDC148"
"163","RPL21P28"
"164","FAM65B"
"165","EFHC1"
"166","KIAA1407"
"167","FHAD1"
"168","CCDC157"
"169","SPA17"
"170","FTH1P3"
"171","FAM104B"
"172","IQCG"
"173","DNAH3"
"174","WDR78"
"175","MAP6"
"176","BICC1"
"177","NUDT4"
"178","RIBC2"
"179","C10orf95"
"180","PCSK5"
"181","SPAG17"
"182","PDLIM4"
"183","AK7"
"184","AMIGO2"
"185","RAP1B"
"186","C21orf91"
"187","APBB1"
"188","DCDC2B"
"189","NR2F1-AS1"
"190","EIF1"
"191","TMBIM4"
"192","RRAD"
"193","NPHP1"
"194","LOXL4"
"195","C16orf46"
"196","P4HTM"
"197","IFT88"
"198","RIBC1"
"199","RPGR"
"200","PNMA1"
"201","MORN2"
"202","FOXC1"
"203","ADH1C"
"204","CCDC40"
"205","COL1A1"
"206","CCDC65"
"207","CFAP44"
"208","DNALI1"
"209","FBXW9"
"210","UBXN11"
"211","C14orf142"
"212","MIR99AHG"
"213","METTL7B"
"214","IFT74"
"215","FAM27C"
"216","OS9"
"217","UCP2"
"218","CTNNAL1"
"219","C17orf97"
"220","FAM47E"
"221","STOX1"
"222","DGCR6"
"223","MRPL40"
"224","CFAP69"
"225","DYX1C1"
"226","AK9"
"227","CCDC146"
"228","CTSC"
"229","IK"
"230","GSTA1"
"231","CP"
"232","IFT46"
"233","CCDC34"
"234","TMEM107"
"235","PHLPP1"
"236","MGLL"
"237","DNAL1"
"238","RHOB"
"239","NR2F1"
"240","GLIPR2"
"241","MDM1"
"242","EP300-AS1"
"243","ANKMY1"
"244","FOXJ1"
"245","BHLHE41"
"246","LOC100507250"
"247","C9orf72"
"248","C2orf81"
"249","ABCA5"
"250","CDKN1A"
"251","TMEM61"
"252","LRRC23"
"253","KCTD1"
"254","ANKRD54"
"255","NEK11"
"256","SATB1"
"257","TRPV4"
"258","SSBP4"
"259","PHGDH"
"260","RUVBL2"
"261","C21orf59"
"262","EFCAB6"
"263","CASC2"
"264","ARMC2"
"265","MGP"
"266","CHI3L1"
"267","HYDIN2"
"268","C16orf45"
"269","HMGB1"
"270","ANKRD18A"
"271","ZNF487"
"272","ABCA4"
"273","LOC100130476"
"274","CYB5R3"
"275","EID1"
"276","ANKRD45"
"277","NPC2"
"278","PPP1R36"
"279","CDC42EP1"
"280","RRN3P2"
"281","DNAJC15"
"282","FAM229B"
"283","WNT7B"
"284","CTGF"
"285","PROM1"
"286","PPIL6"
"287","PIFO"
"288","PLEKHG7"
"289","USP2-AS1"
"290","LOC100506990"
"291","LRRC61"
"292","INSR"
"293","IFT122"
"294","IFT27"
"295","IQCD"
"296","FUZ"
"297","RASD1"
"298","ACSL4"
"299","CREB5"
"300","TSGA10"
"301","C15orf65"
"302","TRAF3IP1"
"303","IL20RA"
"304","STK33"
"305","UBAC1"
"306","SPATA33"
"307","LRIG3"
"308","MARCH9"
"309","CYP27A1"
"310","FOXP1"
"311","SAMD15"
"312","DYNC2H1"
"313","METTL1"
"314","DPP7"
"315","RNA45S5"
"316","OSCP1"
"317","SIX4"
"318","FBXO36"
"319","MORN1"
"320","UCKL1-AS1"
"321","NCALD"
"322","OXCT1"
"323","PLA2R1"
"324","RFX3"
"325","RALGAPA2"
"326","CLGN"
"327","CEP83"
"328","ARL3"
"329","CCDC103"
"330","ATP5J"
"331","CHD1"
"332","RN7SL1"
"333","C4orf47"
"334","EEF1DP3"
"335","STC1"
"336","LOC146880"
"337","DENND1A"
"338","S100A6"
"339","HMGN5"
"340","MARCH6"
"341","C20orf96"
"342","SMIM6"
"343","COQ4"
"344","KLF4"
"345","LCA5"
"346","GNS"
"347","ULK4"
"348","TNIK"
"349","ACHE"
"350","POLR2I"
"351","C11orf74"
"352","TTLL5"
"353","ARL6"
"354","LTBP2"
"355","CEMIP"
"356","SLC1A4"
"357","NBEA"
"358","C1orf168"
"359","FAM161A"
"360","KCTD12"
"361","SLC12A2"
"362","LPCAT4"
"363","LRRC56"
"364","YWHAE"
"365","MRPS31"
"366","LRRC37BP1"
"367","SDC2"
"368","ANXA5"
"369","TUB"
"370","CHST3"
"371","MOK"
"372","CLEC2D"
"373","DZIP3"
"374","TMEM67"
"375","TMEM261"
"376","ST6GAL1"
"377","OCEL1"
"378","PIAS3"
"379","MICALL2"
"380","CLEC7A"
"381","LOC100288152"
"382","CDC25B"
"383","ENG"
"384","DDX11"
"385","TTC26"
"386","EFCAB2"
"387","CTSD"
"388","HSPBP1"
"389","GNA14"
"390","TMEM184A"
"391","CSPP1"
"392","PRRT3"
"393","LY6G5C"
"394","LOC728175"
"395","HES1"
"396","XRCC6BP1"
"397","FMO5"
"398","C16orf71"
"399","STEAP3"
"400","STK32A"
"401","ZNF473"
"402","ABHD6"
"403","NUCB2"
"404","NME7"
"405","RYR3"
"406","SMKR1"
"407","CDK20"
"408","SNHG18"
"409","PCSK1N"
"410","SLC25A14"
"411","GLIDR"
"412","CENPBD1"
"413","C14orf79"
"414","LINC00152"
"415","SLC4A7"
"416","BAIAP3"
"417","SCAMP4"
"418","C12orf57"
"419","LZTFL1"
"420","ADAM12"
"421","GOLGA2P5"
"422","SLC26A2"
"423","LOXL1-AS1"
"424","MAPK8IP1"
"425","PIN1"
"426","VIM"
"427","PSENEN"
"428","LOC730202"
"429","CNTRL"
"430","ERH"
"431","AAMDC"
"432","GLRB"
"433","ODF2"
"434","NUDT14"
"435","FSIP1"
"436","SPRY4"
"437","AKNA"
"438","ANTXR1"
"439","ARFIP2"
"440","LOXL1"
"441","TMED1"
"442","ATG9B"
"443","BICD1"
"444","C21orf2"
"445","WLS"
"446","UBE3D"
"447","CDC14A"
"448","IDNK"
"449","SOX2"
"450","RFX2"
"451","MZF1"
"452","WDR19"
"453","EPHA4"
"454","CDKL1"
"455","HIPK1"
"456","SPATA6"
"457","PRKAA1"
"458","SLPI"
"459","WDPCP"
"460","PCM1"
"461","KRT18"
"462","HLA-DQB1"
"463","ANKRD37"
"464","DNAJA4"
"465","TTC21A"
"466","ELN"
"467","SGCB"
"468","LOC284454"
"469","PARD6G-AS1"
"470","MAPRE3"
"471","LOC101927630"
"472","CEP97"
"473","NNMT"
"474","SMDT1"
"475","APP"
"476","POMT2"
"477","CORO7"
"478","IGFBP4"
"479","WRAP53"
"480","PRKAR1A"
"481","NR4A2"
"482","NR1D1"
"483","ZNF440"
"484","LRFN4"
"485","UNC119B"
"486","WDR60"
"487","USP2"
"488","NACC2"
"489","SNORD14E"
"490","CYB5D1"
"491","ARX"
"492","KCNN4"
"493","DNAJA1"
"494","BCAS3"
"495","LINC00271"
"496","CAP2"
"497","SLC2A12"
"498","PHTF1"
"499","KATNAL2"
"500","ZNF428"
"501","RHEBL1"
"502","SH3PXD2B"
"503","MRPL23"
"504","GAD1"
"505","ENKD1"
"506","EMB"
"507","HCG14"
"508","LINC00997"
"509","KIF3A"
"510","DZANK1"
"511","STK36"
"512","SNHG10"
"513","KIAA1656"
"514","SPTLC3"
"515","NPIPB6"
"516","TECR"
"517","PPP1R1B"
"518","MSRA"
"519","FDXR"
"520","MAK"
"521","HSD11B1L"
"522","PDGFRL"
"523","ASTN2"
"524","ERN1"
"525","ARHGAP39"
"526","ODF2L"
"527","MPDZ"
"528","SYNE2"
"529","BRE-AS1"
"530","FAM83H-AS1"
"531","AZIN2"
"532","MON2"
"533","IFT81"
"534","DNAJC22"
"535","C2CD4A"
"536","PSIP1"
"537","GNA11"
"538","EIF2B2"
"539","LOC389906"
"540","CAMK1D"
"541","NIPBL-AS1"
"542","OGFRL1"
"543","LLPH"
"544","LBH"
"545","NFKBIZ"
"546","CHSY1"
"547","ADAT3"
"548","BASP1"
"549","HSP90AA1"
"550","ARVCF"
"551","PRDX2"
"552","TARS"
"553","FAM179B"
