"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","gene","sig"
"PTGES3",3.98837389011033e-07,1.86201698357373,1,1,0.0105632082479572,"PTGES3","p_val_adj<0.05"
"SAA1",2.21720415650278e-06,6.35649148473214,0,1,0.0587226520849762,"SAA1","NS"
"CFL1",4.48692062637412e-06,1.39525045023201,1,1,0.118836092789519,"CFL1","NS"
"LY6E",6.6805262659348e-06,1.81475005921509,1,1,0.176933738153283,"LY6E","NS"
"PITX1",8.58316158096041e-06,5.29313059386781,0,0.923,0.227325034471736,"PITX1","NS"
"KRT14",8.58316158096041e-06,9.77716253218365,0,0.923,0.227325034471736,"KRT14","NS"
"ZFX",8.72966390507814e-06,3.21479366173176,0.214,1,0.231205148525995,"ZFX","NS"
"KRT17",8.81073764688464e-06,4.71263708265591,0.143,1,0.23335238657774,"KRT17","NS"
"TYMP",1.11129802278058e-05,3.52725125712124,0.786,1,0.294327281333437,"TYMP","NS"
"G3BP1",1.12164096535301e-05,2.87338319306584,0.857,1,0.297066609673744,"G3BP1","NS"
"YWHAE",1.38595992681334e-05,1.3908464119708,1,1,0.367071486616513,"YWHAE","NS"
"AKR1C2",1.80245893636028e-05,5.66343014579293,0.071,0.923,0.477381249295021,"AKR1C2","NS"
"NDFIP2",2.11506312219943e-05,2.82508030447198,0.429,1,0.56017446791452,"NDFIP2","NS"
"CCNC",2.6313997577077e-05,3.26165029116623,0.429,1,0.696926225828885,"CCNC","NS"
"MIR205HG",2.87097313257245e-05,4.23244827715967,0.071,0.923,0.760377234161813,"MIR205HG","NS"
"PAFAH1B2",3.02828081149744e-05,2.52323357333589,0.571,1,0.802040172925098,"PAFAH1B2","NS"
"SERPINB5",3.04331578660779e-05,5.45596726055765,0,0.846,0.806022186083072,"SERPINB5","NS"
"HNRNPA1",3.71915865252788e-05,1.31821426366462,1,1,0.985019169122009,"HNRNPA1","NS"
"RPL4",3.71915865252788e-05,1.34661123002842,1,1,0.985019169122009,"RPL4","NS"
"SELT",3.90491706711085e-05,2.45337361215353,0.643,1,1,"SELT","NS"
"ZNF529",4.83384670654343e-05,4.17788082549794,0.214,0.923,1,"ZNF529","NS"
"EEF1A1",5.05526390571484e-05,1.24856153627566,1,1,1,"EEF1A1","NS"
"RPL7",5.05526390571484e-05,1.42208452712117,1,1,1,"RPL7","NS"
"ACTN4",5.05526390571484e-05,1.73938296723019,1,1,1,"ACTN4","NS"
"LARP1",5.05526390571484e-05,1.84565820894282,0.929,1,1,"LARP1","NS"
"SLC16A3",5.72811119028938e-05,5.13334208571115,0.071,0.846,1,"SLC16A3","NS"
"KRT6A",7.1738335644911e-05,3.98832986757026,0.071,0.846,1,"KRT6A","NS"
"YBX3",7.58021520472628e-05,2.19926412380508,0.786,1,1,"YBX3","NS"
"FABP5",8.47735717485645e-05,2.40879056384448,0.357,1,1,"FABP5","NS"
"RPL23",9.02369592637462e-05,0.964009376652647,1,1,1,"RPL23","NS"
"SPTSSA",9.02369592637462e-05,1.07366859587434,0.929,1,1,"SPTSSA","NS"
"TMED2",9.02369592637462e-05,2.02282022030667,1,1,1,"TMED2","NS"
