"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","gene","sig"
"SFTPB",4.95008017088334e-11,1.79269834152189,0.867,0.948,1.31102873325845e-06,"SFTPB","p_val_adj<0.05"
"IER2",5.57315253200048e-09,1.47295394727402,1,0.974,0.000147604944810033,"IER2","p_val_adj<0.05"
"CYP4B1",1.62671511645286e-08,2.1790608755021,0.533,0.954,0.000430835498592541,"CYP4B1","p_val_adj<0.05"
"MIR614",2.87698094808468e-08,1.59079605373474,0.467,0.871,0.000761968404100228,"MIR614","p_val_adj<0.05"
"CLDN4",3.6544075779518e-08,2.15080459953735,1,0.995,0.000967869847020534,"CLDN4","p_val_adj<0.05"
"CD74",1.03099578492629e-07,1.3721613107072,1,1,0.00273059233637727,"CD74","p_val_adj<0.05"
"ABCA1",1.42412542072542e-07,1.18140036810111,0.267,0.861,0.00377179617679128,"ABCA1","p_val_adj<0.05"
"UBC",2.39126939888749e-06,1.26004926146339,1,0.995,0.0633327700295353,"UBC","NS"
"GPRC5A",2.92111154721297e-06,1.08513970715312,0.867,0.959,0.0773656393279356,"GPRC5A","NS"
"PPP4C",4.78519090924511e-06,0.84290498130614,0.933,0.814,0.126735781231357,"PPP4C","NS"
"TACSTD2",5.42000545819059e-06,1.5130079109193,1,0.979,0.143548844560178,"TACSTD2","NS"
"ARF4",6.03766754902079e-06,1.18010646110855,1,0.948,0.159907625035816,"ARF4","NS"
"JUNB",9.80923071196074e-06,1.26904320701324,1,0.969,0.25979747540628,"JUNB","NS"
"HMGN2",1.13056587046864e-05,0.747368366749589,1,0.979,0.29943037079362,"HMGN2","NS"
"NUDT19",1.44232072015553e-05,1.05119196359464,0.6,0.737,0.381998642733192,"NUDT19","NS"
"RALY",1.77464517380805e-05,1.02918812358211,0.933,0.948,0.470014774283061,"RALY","NS"
"AQP4",1.86592999547406e-05,1.73984603984111,0.8,0.938,0.494191559301305,"AQP4","NS"
"AGPAT2",2.04806933990722e-05,1.04141978429383,0.667,0.655,0.542431164674427,"AGPAT2","NS"
"CIRBP",2.04910618091455e-05,0.769335662348409,0.933,0.938,0.54270577201522,"CIRBP","NS"
"CD55",2.60317177891403e-05,1.17313451279667,0.933,0.985,0.689450045645382,"CD55","NS"
"ATP6V0D1",3.11418238108192e-05,0.77882190402642,0.933,0.799,0.824791203629545,"ATP6V0D1","NS"
"CYP4Z2P",4.96598117502743e-05,0.385737170545603,0,0.459,1,"CYP4Z2P","NS"
"SDHC",6.23029135111282e-05,0.843215041644523,0.867,0.778,1,"SDHC","NS"
"PMP22",6.53118299255158e-05,0.613265226999649,0,0.448,1,"PMP22","NS"
"ACP5",6.74701551010524e-05,0.826854928883444,0.2,0.686,1,"ACP5","NS"
"SLC38A2",7.16088011296796e-05,0.933912484344776,0.8,0.959,1,"SLC38A2","NS"
"HLA-C",8.22120119702389e-05,1.57627801242871,1,0.995,1,"HLA-C","NS"
"ELF3",9.47098265111037e-05,0.622382101343334,1,0.995,1,"ELF3","NS"
"CYBA",9.5848216837883e-05,1.13067801133427,0.467,0.902,1,"CYBA","NS"
"NDNF",0.000105162548121044,1.09577725273197,0.6,0.876,1,"NDNF","NS"
"POLR2A",0.000107262970360655,0.794669892505977,0.6,0.897,1,"POLR2A","NS"
"MUC21",0.000111495666696676,1.13370568799102,0,0.428,1,"MUC21","NS"
"CLDN3",0.000113377348054935,1.12788129648847,1,0.985,1,"CLDN3","NS"
"CLIC5",0.000116446426985736,1.0852472734883,0.333,0.814,1,"CLIC5","NS"
"HLA-E",0.000118452071166712,1.60200101049262,0.933,0.985,1,"HLA-E","NS"
"SOD3",0.000130102441683748,0.816407548956806,0.733,0.727,1,"SOD3","NS"
"CAV2",0.000140005083972464,1.01586122738041,0.733,0.892,1,"CAV2","NS"
"RC3H1",0.000150590758192899,0.658939265784316,0.4,0.804,1,"RC3H1","NS"
"TMEM230",0.000155146221692524,0.843134366837374,0.733,0.856,1,"TMEM230","NS"
"MS4A15",0.000160757495526854,0.986714614881794,0.467,0.737,1,"MS4A15","NS"
"TUFM",0.000173513806066134,0.714700658633317,1,0.923,1,"TUFM","NS"
"CD24",0.000178530002006158,0.859847673334883,1,0.979,1,"CD24","NS"
"EIF4A3",0.000178591036652185,0.772670557659766,0.867,0.784,1,"EIF4A3","NS"
"LMO7",0.000204333924750298,0.831758413140617,0.933,0.985,1,"LMO7","NS"
"CLDN18",0.00020771475568893,1.25720623745152,0.6,0.933,1,"CLDN18","NS"
"MIR3654",0.000297199394249474,0.543424883807815,0.933,0.861,1,"MIR3654","NS"
"FAM189A2",0.000309636342009735,0.271260914964596,0,0.387,1,"FAM189A2","NS"
"PNRC1",0.000326568731978972,0.669240855259248,0.933,0.943,1,"PNRC1","NS"
"FAM46B",0.000329427952177834,1.15880729540064,0.533,0.804,1,"FAM46B","NS"
"AGER",0.000444235076284455,1.53124042196977,0.733,0.881,1,"AGER","NS"
"TOB2",0.000457153417996955,0.721193684851622,0.867,0.866,1,"TOB2","NS"
"LAPTM4A",0.000465332073509383,0.59752210623273,1,0.871,1,"LAPTM4A","NS"
"WDR74",0.000469317547441973,1.107875734394,0.933,0.84,1,"WDR74","NS"
"MS4A18",0.000504848905795934,0.970434887342288,0,0.366,1,"MS4A18","NS"
"ADRB2",0.000522037328366812,0.943941566443687,0.533,0.758,1,"ADRB2","NS"
"BCKDK",0.000538660785530943,0.713965450339301,0.533,0.557,1,"BCKDK","NS"
"JUN",0.000540660361965214,1.09679742105046,1,0.995,1,"JUN","NS"
"CDV3",0.000550610318569435,0.59484890053821,0.533,0.887,1,"CDV3","NS"
"SLC39A1",0.000565079687909393,0.735443396940134,0.8,0.691,1,"SLC39A1","NS"
"ANKRD29",0.000594267852529147,0.488942436869999,0.4,0.856,1,"ANKRD29","NS"
"SLC22A31",0.000597423129953078,0.936519396111972,0.6,0.763,1,"SLC22A31","NS"
"SUMO1",0.000673457888055086,0.282492474810383,1,0.809,1,"SUMO1","NS"
"CNBP",0.00068015703806697,1.04717304923143,0.8,0.938,1,"CNBP","NS"
"ALDH3A2",0.000701017024879122,0.825875435310055,0.733,0.902,1,"ALDH3A2","NS"
"CLDN7",0.000728656245341522,0.976393234041017,1,0.959,1,"CLDN7","NS"
"ATF7IP2",0.000747324290672804,0.609027885017112,0.267,0.732,1,"ATF7IP2","NS"
"HM13",0.000776972354836585,0.525079034318039,1,0.845,1,"HM13","NS"
"DDOST",0.00082797919564086,0.797352478014626,0.867,0.876,1,"DDOST","NS"
"MSLN",0.000843504286048336,0.947226166819816,0.933,0.938,1,"MSLN","NS"
"ZFP36L2",0.000894362751590024,0.697288748511872,0.733,0.84,1,"ZFP36L2","NS"
"TP53BP2",0.000902561080131606,0.958321640668701,0.667,0.897,1,"TP53BP2","NS"
"PPP1CA",0.000931384731732209,0.261592832403853,1,0.799,1,"PPP1CA","NS"
"PRKCZ",0.000949114935170887,0.717089803000102,0.333,0.732,1,"PRKCZ","NS"
"CHP1",0.000987083740854353,0.943532804618574,0.933,0.907,1,"CHP1","NS"
"SYNGR2",0.0010327847009058,0.842413007718066,0.933,0.923,1,"SYNGR2","NS"
"ID3",0.00105550222307584,0.609353763877856,0.867,0.742,1,"ID3","NS"
"UNC50",0.00105857592571008,1.84122059378182,0.6,0.603,1,"UNC50","NS"
