"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","naive pt.occupancy","naive n.nonzero.pts","grouped_pd pt.occupancy","grouped_pd n.nonzero.pts","gene","sig"
"RHBDF2",1.69063172540539e-108,1.15789479163455,0.162,0.596,4.47763812473619e-104,0.325301204819277,9,0.681194511702986,10,"RHBDF2","p_val_adj<0.05"
"ADAMTS9",3.45735166659438e-60,1.15779236591394,0.06,0.329,9.15679588897521e-56,0.338709677419355,8,0.91812865497076,7,"ADAMTS9","p_val_adj<0.05"
"EIF4EBP1",5.04931567291877e-100,1.15697652407218,0.384,0.836,1.33731125597254e-95,0.289340101522843,12,0.474381116868163,10,"EIF4EBP1","p_val_adj<0.05"
"MPZL2",1.13273992219461e-122,1.15560325767919,0.646,0.909,3.00006168393242e-118,0.44947209653092,11,0.506617257808364,10,"MPZL2","p_val_adj<0.05"
"AFAP1-AS1",1.84369472138496e-97,1.15474950370516,0.103,0.503,4.88302546958805e-93,0.679245283018868,8,0.563636363636364,8,"AFAP1-AS1","p_val_adj<0.05"
"TXNRD1",6.59899118562153e-141,1.15415420269088,0.673,0.944,1.74774281551186e-136,0.316931982633864,11,0.486996430392657,11,"TXNRD1","p_val_adj<0.05"
"ZDHHC13",1.70144402287739e-90,1.15282100449678,0.294,0.661,4.50627449459077e-86,0.400662251655629,10,0.609898107714702,11,"ZDHHC13","p_val_adj<0.05"
"RHBDL2",1.43916300176806e-122,1.1525441280176,0.254,0.716,3.8116232101827e-118,0.455938697318008,9,0.633064516129032,10,"RHBDL2","p_val_adj<0.05"
"HSD17B4",7.60947311563805e-81,1.15242471024769,0.446,0.728,2.01536895467674e-76,0.344978165938865,10,0.627645502645503,11,"HSD17B4","p_val_adj<0.05"
"PLEKHG6",7.71289127834896e-86,1.1499252260297,0.114,0.475,2.04275925507072e-81,0.427350427350427,7,0.770242914979757,10,"PLEKHG6","p_val_adj<0.05"
"USP30-AS1",9.81122309763293e-25,1.14790280776352,0.032,0.159,2.59850243740808e-20,0.636363636363636,6,0.483383685800604,7,"USP30-AS1","p_val_adj<0.05"
"SLC15A2",3.51814576498596e-48,1.14778657874323,0.383,0.574,9.31780905856531e-44,0.432569974554707,9,0.785414920368818,9,"SLC15A2","p_val_adj<0.05"
"PDGFA",1.89333202421614e-116,1.14752194084585,0.357,0.764,5.01448986613645e-112,0.359673024523161,9,0.588531821045999,11,"PDGFA","p_val_adj<0.05"
"PTK6",2.36612433192628e-125,1.14649279081733,0.183,0.653,6.26668029310676e-121,0.345744680851064,9,0.651917404129793,10,"PTK6","p_val_adj<0.05"
"GYG1",1.40348564243562e-109,1.14523160023092,0.249,0.683,3.71713172399073e-105,0.30859375,9,0.61056338028169,10,"GYG1","p_val_adj<0.05"
"MINPP1",1.09608114185353e-73,1.14230235782612,0.173,0.512,2.90297090419906e-69,0.410112359550562,9,0.755409219190969,10,"MINPP1","p_val_adj<0.05"
"LARGE",4.48725613728571e-68,1.14217853657278,0.102,0.411,1.18844978796012e-63,0.447619047619048,8,0.933333333333333,9,"LARGE","p_val_adj<0.05"
"GMPS",3.17558891141393e-126,1.14162781383131,0.237,0.724,8.41054723187979e-122,0.316872427983539,9,0.549202127659574,9,"GMPS","p_val_adj<0.05"
"MLKL",1.40190553922223e-56,1.13886803788587,0.095,0.371,3.71294682063006e-52,0.469387755102041,9,0.619974059662776,7,"MLKL","p_val_adj<0.05"
"CACUL1",3.3729267571744e-112,1.13882046082142,0.586,0.876,8.93319651637639e-108,0.338870431893688,11,0.523887973640857,11,"CACUL1","p_val_adj<0.05"
"TMEM159",7.19178873056221e-122,1.13752457086526,0.568,0.87,1.9047452452894e-117,0.37221269296741,12,0.530713890426121,10,"TMEM159","p_val_adj<0.05"
"C15orf52",6.64407255351809e-65,1.13707629601865,0.056,0.335,1.75968261579927e-60,0.517241379310345,7,0.90674318507891,9,"C15orf52","p_val_adj<0.05"
"NOTCH2NL",2.68736604622348e-156,1.13553549000135,0.431,0.855,7.1174889734229e-152,0.5372460496614,10,0.538548114800225,10,"NOTCH2NL","p_val_adj<0.05"
"HLA-G",3.35953820919205e-49,1.13389116180786,0.35,0.594,8.89773694704515e-45,0.409470752089136,10,0.65587044534413,10,"HLA-G","p_val_adj<0.05"
"GTDC1",3.56853372317956e-44,1.13355024631869,0.07,0.292,9.45126156584108e-40,0.472222222222222,7,0.793729372937294,9,"GTDC1","p_val_adj<0.05"
"LAPTM4B",1.995551926763e-118,1.13322435317123,0.601,0.909,5.2852192780318e-114,0.405186385737439,11,0.509004237288136,11,"LAPTM4B","p_val_adj<0.05"
"S100A8",8.75221722504309e-63,1.13270025902867,0.102,0.392,2.31802473205266e-58,0.495238095238095,7,0.64004914004914,8,"S100A8","p_val_adj<0.05"
"TMEM44",4.92043621323361e-66,1.1311366004911,0.106,0.416,1.30317753107492e-61,0.422018348623853,7,0.831018518518518,8,"TMEM44","p_val_adj<0.05"
"CEP55",9.19538693237538e-21,1.12993106825333,0.029,0.138,2.43539822903962e-16,0.566666666666667,9,0.674825174825175,9,"CEP55","p_val_adj<0.05"
"HCLS1",6.19741546990541e-22,1.12913830102771,0.157,0.3,1.64138548720445e-17,0.627329192546584,9,0.900641025641026,7,"HCLS1","p_val_adj<0.05"
"CLDN23",1.09185504055108e-105,1.12910231216953,0.278,0.703,2.89177807489953e-101,0.498245614035088,9,0.590691307323751,8,"CLDN23","p_val_adj<0.05"
"CSGALNACT1",6.36653412215852e-71,1.12701437842971,0.151,0.466,1.68617656225368e-66,0.516129032258065,8,0.945304437564499,8,"CSGALNACT1","p_val_adj<0.05"
"NGFRAP1",1.20088891500884e-180,1.12664394348731,0.475,0.945,3.18055429140092e-176,0.44672131147541,12,0.483443708609272,10,"NGFRAP1","p_val_adj<0.05"
"NUP54",8.94715273838896e-93,1.126565195092,0.205,0.601,2.36965340276232e-88,0.327014218009479,9,0.598879103282626,10,"NUP54","p_val_adj<0.05"
"GPR157",1.24812948846122e-41,1.12628285555512,0.057,0.263,3.30567095018954e-37,0.271186440677966,6,0.60146252285192,8,"GPR157","p_val_adj<0.05"
"SPDL1",3.73545577191422e-37,1.12502544275236,0.089,0.288,9.89335461191482e-33,0.274725274725275,10,0.600334448160535,10,"SPDL1","p_val_adj<0.05"
"CAPN5",4.75379478597287e-41,1.124780255808,0.343,0.516,1.25904254906491e-36,0.397727272727273,10,0.884328358208955,8,"CAPN5","p_val_adj<0.05"
"NTF4",2.61820160530023e-46,1.12446246227998,0.019,0.215,6.93430695163765e-42,0.526315789473684,6,0.585201793721973,7,"NTF4","p_val_adj<0.05"
"ELOVL6",2.96044946789845e-47,1.12429024448657,0.069,0.304,7.84075041572904e-43,0.422535211267606,6,0.57753164556962,8,"ELOVL6","p_val_adj<0.05"
"SYK",9.79847815304972e-110,1.12404501741958,0.227,0.673,2.59512693883522e-105,0.420600858369099,10,0.57725321888412,11,"SYK","p_val_adj<0.05"
"CLIC5",2.92299359820097e-59,1.12328070976779,0.142,0.434,7.74154854483526e-55,0.452054794520548,8,0.900221729490022,8,"CLIC5","p_val_adj<0.05"
"CNGA1",2.60841614498737e-38,1.12210052496199,0.018,0.185,6.90839015999904e-34,0.444444444444444,4,0.786458333333333,7,"CNGA1","p_val_adj<0.05"
"FUT6",6.12162531928812e-59,1.12078311389094,0.082,0.352,1.62131246581346e-54,0.511904761904762,6,0.863201094391245,7,"FUT6","p_val_adj<0.05"
"TMEM33",2.88792738387927e-95,1.12016164238605,0.568,0.814,7.64867567620424e-91,0.305317324185249,11,0.566528681253696,11,"TMEM33","p_val_adj<0.05"
"CAPZA2",3.23751472368322e-139,1.11994753753523,0.628,0.905,8.57455774567501e-135,0.333333333333333,11,0.507446808510638,11,"CAPZA2","p_val_adj<0.05"
"FAM220A",2.73160303488028e-75,1.11856128124402,0.283,0.611,7.23465063788043e-71,0.563573883161512,10,0.743104806934594,10,"FAM220A","p_val_adj<0.05"
"SNX4",8.00966767983123e-96,1.11849262845914,0.251,0.637,2.1213604850033e-91,0.306201550387597,10,0.691609977324263,10,"SNX4","p_val_adj<0.05"
"GAREML",5.76535388390505e-25,1.11595387427565,0.037,0.166,1.52695397615225e-20,0.421052631578947,7,0.707246376811594,7,"GAREML","p_val_adj<0.05"
"G6PD",2.60323391286861e-132,1.11509739013256,0.472,0.888,6.89466501823251e-128,0.34639175257732,11,0.510027100271003,10,"G6PD","p_val_adj<0.05"
"TMEM45A",8.16397065009601e-34,1.11504384523844,0.044,0.212,2.16222762667793e-29,0.222222222222222,10,0.655328798185941,9,"TMEM45A","p_val_adj<0.05"
"MELK",8.45651291830727e-20,1.11478447757347,0.031,0.137,2.23970744641368e-15,0.4375,7,0.707746478873239,8,"MELK","p_val_adj<0.05"
"GSKIP",1.05256669268809e-92,1.11249161135248,0.258,0.626,2.78772288558442e-88,0.366037735849057,10,0.707148347425058,11,"GSKIP","p_val_adj<0.05"
"CDK6",9.66557587758111e-77,1.11206537098507,0.093,0.435,2.55992777117736e-72,0.336842105263158,10,0.595791805094131,8,"CDK6","p_val_adj<0.05"
"HADHB",2.63044170377705e-144,1.11191963629573,0.623,0.91,6.96672485245352e-140,0.3109375,10,0.50502379693284,11,"HADHB","p_val_adj<0.05"
"IRF5",1.59655182676702e-101,1.11074072658412,0.145,0.575,4.22846751319245e-97,0.604026845637584,7,0.661924686192469,7,"IRF5","p_val_adj<0.05"
"PIK3C2B",9.86677664802666e-99,1.10942898659575,0.141,0.549,2.61321579522986e-94,0.393103448275862,9,0.786842105263158,10,"PIK3C2B","p_val_adj<0.05"
"PVRL4",1.81454089301233e-99,1.10617514069143,0.402,0.735,4.80581155514315e-95,0.314769975786925,11,0.62565445026178,10,"PVRL4","p_val_adj<0.05"
"ARPC2",2.56786110962981e-230,1.10489750472452,0.801,0.989,6.80098014885455e-226,0.319562575941677,12,0.468871595330739,11,"ARPC2","p_val_adj<0.05"
"RALB",2.71343098474718e-102,1.1035636062008,0.287,0.702,7.18652196310292e-98,0.427118644067797,11,0.552126200274348,10,"RALB","p_val_adj<0.05"
"NIPAL2",6.96301271846556e-112,1.10179562150859,0.193,0.608,1.8441539184856e-107,0.454545454545455,11,0.736342042755344,10,"NIPAL2","p_val_adj<0.05"
"ITGA6",6.51367167465418e-74,1.10176976503849,0.242,0.595,1.72514594303216e-69,0.34136546184739,11,0.44624090541633,9,"ITGA6","p_val_adj<0.05"
"IGF2BP3",2.92819180257557e-137,1.10104122219649,0.088,0.576,7.75531598912139e-133,0.511111111111111,9,0.724916387959866,7,"IGF2BP3","p_val_adj<0.05"
"ARPC1B",2.22315506880974e-138,1.10039139932208,0.809,0.936,5.88802619974261e-134,0.327316486161252,12,0.494601542416452,11,"ARPC1B","p_val_adj<0.05"
"TRIM16",4.20837801319424e-105,1.09976073481985,0.444,0.809,1.11458891679449e-100,0.394736842105263,9,0.529726516052319,9,"TRIM16","p_val_adj<0.05"
"ABCA1",1.18239384512329e-102,1.09974294017567,0.214,0.631,3.13157009880903e-98,0.327272727272727,8,0.429878048780488,9,"ABCA1","p_val_adj<0.05"
"RAC1",1.11363198970296e-132,1.09834458306102,0.972,0.995,2.94945432472829e-128,0.361723446893788,12,0.466634429400387,11,"RAC1","p_val_adj<0.05"
"CFB",2.60708839929331e-92,1.09780325987928,0.553,0.808,6.90487362552833e-88,0.410211267605634,8,0.566408576533651,10,"CFB","p_val_adj<0.05"
"TRIM17",5.81728823812654e-61,1.09761973623818,0.031,0.289,1.54070878986782e-56,0.4375,7,0.950083194675541,7,"TRIM17","p_val_adj<0.05"
"SYT8",7.2377927371057e-85,1.09680879671805,0.162,0.532,1.91692940642245e-80,0.403614457831325,9,0.848101265822785,9,"SYT8","p_val_adj<0.05"
"CD47",5.41478193813063e-160,1.09658825978434,0.837,0.976,1.4341049963139e-155,0.345348837209302,11,0.47534516765286,11,"CD47","p_val_adj<0.05"
"IL15",1.64145458804086e-49,1.09454669028526,0.075,0.32,4.34739247642623e-45,0.311688311688312,7,0.458646616541353,10,"IL15","p_val_adj<0.05"
"COPG1",1.1200312600635e-77,1.09429315841894,0.503,0.76,2.96640279227818e-73,0.294003868471954,11,0.604179860671311,11,"COPG1","p_val_adj<0.05"
"HIST1H2BJ",2.71348199868312e-23,1.09388194806783,0.066,0.206,7.18665707351223e-19,0.470588235294118,5,0.551401869158878,10,"HIST1H2BJ","p_val_adj<0.05"
"FAT2",1.56268460334924e-41,1.09299360824698,0.035,0.225,4.13877017197046e-37,0.472222222222222,7,0.833333333333333,7,"FAT2","p_val_adj<0.05"
"HMGA1",2.18907115366768e-155,1.09177786039212,0.479,0.946,5.79775495048885e-151,0.388211382113821,11,0.484740590030519,11,"HMGA1","p_val_adj<0.05"
"KLHL12",8.07480816990601e-74,1.08996084603237,0.236,0.569,2.13861294379961e-69,0.351239669421488,10,0.741335587489434,11,"KLHL12","p_val_adj<0.05"
"METTL9",7.76169565521544e-158,1.08901624867592,0.584,0.909,2.05568509428381e-153,0.341666666666667,10,0.507676019057703,10,"METTL9","p_val_adj<0.05"
"SRRM3",1.15369209989851e-34,1.08886737261377,0.045,0.22,3.0555535265812e-30,0.739130434782609,7,0.561135371179039,7,"SRRM3","p_val_adj<0.05"
"PLCD3",1.59634601415128e-46,1.08783750910178,0.043,0.258,4.22792241847966e-42,0.386363636363636,7,0.581005586592179,9,"PLCD3","p_val_adj<0.05"
"RIPK2",3.01059671694905e-103,1.0868116909137,0.208,0.645,7.97356540483955e-99,0.411214953271028,10,0.553731343283582,9,"RIPK2","p_val_adj<0.05"
"UPK3BL",1.90741863676316e-36,1.0859068435799,0.085,0.292,5.05179825946722e-32,0.402298850574713,6,0.499176276771005,10,"UPK3BL","p_val_adj<0.05"
"SOWAHB",1.58554248092902e-72,1.08243833783399,0.06,0.374,4.19930926074052e-68,0.467741935483871,8,0.772200772200772,8,"SOWAHB","p_val_adj<0.05"
"CMPK2",1.88562798687082e-82,1.08234485049855,0.194,0.563,4.99408572322737e-78,0.35678391959799,8,0.751069289991446,9,"CMPK2","p_val_adj<0.05"
"ANO10",8.22813493044993e-59,1.08098092888236,0.113,0.398,2.17922153632967e-54,0.327586206896552,11,0.788391777509069,9,"ANO10","p_val_adj<0.05"
"ALDH18A1",4.69168507958118e-69,1.07977919008475,0.281,0.592,1.24259279332708e-64,0.335640138408304,9,0.726829268292683,9,"ALDH18A1","p_val_adj<0.05"
"TALDO1",2.82848844276457e-126,1.07875708575613,0.863,0.972,7.49125164066197e-122,0.309255079006772,12,0.476968796433878,11,"TALDO1","p_val_adj<0.05"
"BROX",1.34531848784474e-92,1.07807340124389,0.599,0.842,3.5630760150568e-88,0.31219512195122,11,0.548571428571429,11,"BROX","p_val_adj<0.05"
"ASPM",1.61689361225166e-16,1.07632317852373,0.04,0.135,4.28234273204852e-12,0.536585365853659,7,0.629893238434164,9,"ASPM","p_val_adj<0.05"
"CLDN1",2.40905026811251e-71,1.0758104506148,0.576,0.869,6.38036963509597e-67,0.369932432432432,11,0.511074197120709,9,"CLDN1","p_val_adj<0.05"
"TMC8",1.19566486528298e-94,1.07507483162071,0.09,0.487,3.16671839570198e-90,0.576086956521739,7,0.680514342235411,8,"TMC8","p_val_adj<0.05"
"SLC16A1",7.78808696503475e-17,1.0748537684326,0.069,0.179,2.06267483268945e-12,0.253521126760563,8,0.776280323450135,8,"SLC16A1","p_val_adj<0.05"
"BAK1",1.71548066577909e-127,1.07482032240485,0.22,0.726,4.54345054331592e-123,0.460176991150442,8,0.563286944996687,11,"BAK1","p_val_adj<0.05"
"CKAP2L",4.32680250911624e-13,1.07147634491444,0.042,0.123,1.14595364453944e-08,0.534883720930233,8,0.792156862745098,8,"CKAP2L","p_val_adj<0.05"
"STEAP4",2.18683593464583e-25,1.07122481179271,0.544,0.566,5.79183497290948e-21,0.511627906976744,9,0.815632965165675,11,"STEAP4","p_val_adj<0.05"
"NPTXR",1.86744029669001e-86,1.07076136405058,0.102,0.472,4.94591562578349e-82,0.4,7,0.912244897959184,9,"NPTXR","p_val_adj<0.05"
"CAV2",4.73260881934815e-208,1.0706530913961,0.33,0.891,1.25343144580436e-203,0.584070796460177,11,0.519178822258239,9,"CAV2","p_val_adj<0.05"
"DDX60L",4.33821900652232e-71,1.06957065100994,0.122,0.456,1.14897730387744e-66,0.344,8,0.654699049630412,9,"DDX60L","p_val_adj<0.05"
"PPP2R1B",1.31637406120299e-75,1.06823336668627,0.241,0.579,3.48641670109611e-71,0.311740890688259,9,0.716541978387365,11,"PPP2R1B","p_val_adj<0.05"
"MAP3K14",1.13011079837285e-35,1.06821228237693,0.076,0.273,2.99309844949051e-31,0.333333333333333,7,0.427816901408451,9,"MAP3K14","p_val_adj<0.05"
"ARPC1A",1.9286093866196e-142,1.06716044576656,0.769,0.937,5.107921960462e-138,0.335443037974684,12,0.493839835728953,11,"ARPC1A","p_val_adj<0.05"
"SMG8",2.10706436585134e-46,1.063982590291,0.088,0.321,5.58055997295726e-42,0.388888888888889,8,0.758620689655172,9,"SMG8","p_val_adj<0.05"
"GM2A",8.65988386089036e-97,1.06245249301452,0.304,0.703,2.29357024055681e-92,0.403846153846154,9,0.539041095890411,10,"GM2A","p_val_adj<0.05"
"DECR2",2.57769914766673e-109,1.0611978779061,0.197,0.654,6.82703619259534e-105,0.391089108910891,9,0.658321060382916,10,"DECR2","p_val_adj<0.05"
"CCNB2",1.97100531953848e-13,1.06070353574762,0.126,0.233,5.22020758879767e-09,0.395348837209302,9,0.394628099173554,10,"CCNB2","p_val_adj<0.05"
"ZFP69",1.19119072365247e-17,1.06041921233964,0.026,0.118,3.15486863159358e-13,0.444444444444444,6,0.820408163265306,7,"ZFP69","p_val_adj<0.05"
"PTTG1",3.10245472644766e-05,1.0596186693435,0.26,0.311,0.821685134299664,0.382022471910112,10,0.622291021671827,11,"PTTG1","NS"
"EPHA1",1.03476757951912e-80,1.05955064372393,0.11,0.466,2.7405819343564e-76,0.371681415929204,10,0.706611570247934,7,"EPHA1","p_val_adj<0.05"
"MRPL15",3.24843264594658e-133,1.05822871791967,0.369,0.836,8.60347386278953e-129,0.350923482849604,9,0.534830166954519,11,"MRPL15","p_val_adj<0.05"
"AMFR",2.39618614455143e-89,1.05791345087735,0.263,0.637,6.34629900384447e-85,0.388888888888889,10,0.645502645502645,11,"AMFR","p_val_adj<0.05"
"BID",3.42930709242022e-133,1.05610890368066,0.433,0.832,9.08251983427495e-129,0.368539325842697,10,0.555234239444766,10,"BID","p_val_adj<0.05"
"KRT19",3.10238958594652e-190,1.05606554582294,0.962,0.989,8.21667881837936e-186,0.357287449392713,12,0.468126520681265,11,"KRT19","p_val_adj<0.05"
"ARMCX6",2.10858172478857e-107,1.05605541450837,0.206,0.659,5.58457869810253e-103,0.377358490566038,10,0.608029197080292,10,"ARMCX6","p_val_adj<0.05"
"BPNT1",2.08086949552984e-81,1.05496791142515,0.284,0.63,5.51118285891077e-77,0.308219178082192,9,0.708938120702827,9,"BPNT1","p_val_adj<0.05"
"ETV7",7.86716903227309e-55,1.05439035577446,0.147,0.431,2.08361971819753e-50,0.377483443708609,8,0.440223463687151,9,"ETV7","p_val_adj<0.05"
"TMEM8B",1.87450094097701e-67,1.05429061885021,0.144,0.464,4.96461574217762e-63,0.398648648648649,8,0.806016597510373,11,"TMEM8B","p_val_adj<0.05"
"PPP2R2C",1.59894467382468e-56,1.05408265761639,0.028,0.265,4.23480496862465e-52,0.620689655172414,6,0.789473684210526,8,"PPP2R2C","p_val_adj<0.05"
"SNAP23",3.31215646648044e-75,1.05401449543494,0.498,0.747,8.77224640147344e-71,0.365949119373777,11,0.61340206185567,11,"SNAP23","p_val_adj<0.05"
"SPOCD1",1.60513056094344e-19,1.0537508020027,0.02,0.117,4.2511882906587e-15,0.666666666666667,4,0.57201646090535,7,"SPOCD1","p_val_adj<0.05"
"GABARAPL1",2.8523593517346e-85,1.05349884598184,0.364,0.691,7.55447374306909e-81,0.374331550802139,10,0.658536585365854,9,"GABARAPL1","p_val_adj<0.05"
"GABPB1",3.63535974009685e-64,1.05272590320716,0.148,0.465,9.6282502716465e-60,0.315789473684211,8,0.591520165460186,9,"GABPB1","p_val_adj<0.05"
"ADM",1.68515400109691e-40,1.05136584518368,0.332,0.613,4.46313037190517e-36,0.390029325513196,9,0.467399842890809,11,"ADM","p_val_adj<0.05"
"DCTN5",1.63199132077162e-119,1.05044922627009,0.218,0.678,4.32232901306363e-115,0.299107142857143,8,0.594748048261178,11,"DCTN5","p_val_adj<0.05"
"RELL1",1.11626640537569e-75,1.05007755847808,0.405,0.699,2.95643157463751e-71,0.379807692307692,9,0.65771349862259,11,"RELL1","p_val_adj<0.05"
"WDR45B",2.17738860203493e-98,1.04846067955033,0.721,0.913,5.76681371248951e-94,0.35,12,0.505535055350554,10,"WDR45B","p_val_adj<0.05"
"RMI2",5.74623427314804e-32,1.04736691582683,0.07,0.251,1.52189014724326e-27,0.416666666666667,9,0.449136276391555,9,"RMI2","p_val_adj<0.05"
"SLC50A1",6.80569500527036e-105,1.0472376572976,0.572,0.824,1.80248832214585e-100,0.310051107325383,10,0.561004086398132,11,"SLC50A1","p_val_adj<0.05"
"BZW1",1.69085777625817e-107,1.04678476181243,0.641,0.89,4.47823682041977e-103,0.331306990881459,12,0.518117901568415,11,"BZW1","p_val_adj<0.05"
"RCN1",3.68064276053236e-121,1.04609744246896,0.613,0.89,9.74818235126994e-117,0.4,10,0.518378378378378,11,"RCN1","p_val_adj<0.05"
"BLVRB",4.29776931341398e-190,1.04587987229439,0.805,0.964,1.13826420265769e-185,0.348246674727932,12,0.480279580629056,11,"BLVRB","p_val_adj<0.05"
"C1GALT1C1",4.63858679792728e-87,1.04554945193056,0.493,0.763,1.22852971343104e-82,0.355731225296443,10,0.603404791929382,10,"C1GALT1C1","p_val_adj<0.05"
"DCK",2.56404524381262e-65,1.04508102063853,0.085,0.386,6.79087382823774e-61,0.298850574712644,9,0.771820448877805,9,"DCK","p_val_adj<0.05"
"HN1",3.54154153382074e-172,1.04488768981817,0.758,0.97,9.37977275232422e-168,0.302056555269923,12,0.474441687344913,11,"HN1","p_val_adj<0.05"
"BLNK",5.36249313321789e-78,1.04435318640515,0.148,0.505,1.42025630633276e-73,0.453947368421053,8,0.755958055290753,10,"BLNK","p_val_adj<0.05"
"UBE2L6",6.09123062848041e-110,1.04367825692222,0.641,0.949,1.61326243195304e-105,0.361702127659574,12,0.480223123732252,11,"UBE2L6","p_val_adj<0.05"
"MKRN1",1.0992825531139e-105,1.04326811367527,0.591,0.845,2.91144984192217e-101,0.301482701812191,12,0.543019943019943,11,"MKRN1","p_val_adj<0.05"
"CDK16",1.56925583579651e-95,1.04172176841243,0.551,0.822,4.15617408110705e-91,0.372791519434629,11,0.559391456992393,10,"CDK16","p_val_adj<0.05"
"HLA-DQA2",1.09414316680693e-29,1.04115032365511,0.18,0.359,2.89783817728816e-25,0.497297297297297,8,0.740294511378849,7,"HLA-DQA2","p_val_adj<0.05"
"IL4R",7.7361172351353e-151,1.03901680540144,0.252,0.778,2.04891064972559e-146,0.467181467181467,10,0.582920792079208,9,"IL4R","p_val_adj<0.05"
"KARS",1.43742159182268e-136,1.03900984377264,0.61,0.902,3.80701108594236e-132,0.319488817891374,12,0.510672358591249,11,"KARS","p_val_adj<0.05"
"PLEKHA6",5.99220594121811e-87,1.03863123533101,0.196,0.566,1.58703574353162e-82,0.398009950248756,8,0.770603228547154,9,"PLEKHA6","p_val_adj<0.05"
"GBP4",3.7729368664597e-34,1.03799794679175,0.202,0.422,9.99262329081853e-30,0.521739130434783,10,0.437856328392246,8,"GBP4","p_val_adj<0.05"
"TROAP",1.17135442777736e-15,1.03775085162027,0.029,0.115,3.10233220196833e-11,0.566666666666667,7,0.638655462184874,8,"TROAP","p_val_adj<0.05"
"SFN",1.08157614508317e-12,1.03759996300013,0.627,0.806,2.86455442025278e-08,0.368012422360248,11,0.397849462365591,10,"SFN","p_val_adj<0.05"
"C20orf24",8.40202298174564e-186,1.03759001163596,0.7,0.945,2.22527578671533e-181,0.317107093184979,12,0.486500254712175,11,"C20orf24","p_val_adj<0.05"
"C7orf49",4.1708939110777e-117,1.03636098785657,0.282,0.723,1.10466125234893e-112,0.375862068965517,10,0.61144377910845,11,"C7orf49","p_val_adj<0.05"
"KIAA1524",8.00489679619346e-21,1.036332298759,0.039,0.153,2.12009691647184e-16,0.325,8,0.437106918238994,8,"KIAA1524","p_val_adj<0.05"
"GGH",3.10257975382507e-17,1.03460521545654,0.151,0.281,8.2171824780057e-13,0.567741935483871,8,0.499142367066895,11,"GGH","p_val_adj<0.05"
"NADSYN1",2.38495920679207e-101,1.03330809074148,0.317,0.7,6.3165644591888e-97,0.337423312883436,9,0.65085910652921,11,"NADSYN1","p_val_adj<0.05"
"C6orf62",1.74243917128157e-93,1.0328687798157,0.805,0.944,4.61485014513924e-89,0.332527206771463,12,0.489296636085627,11,"C6orf62","p_val_adj<0.05"
"PSME2",4.70627449044816e-177,1.03138588298003,0.882,0.981,1.2464567987952e-172,0.345474613686534,12,0.471309465424228,11,"PSME2","p_val_adj<0.05"
"PKP2",1.0860367345083e-66,1.03037675897483,0.153,0.476,2.87636829134523e-62,0.363057324840764,8,0.717896865520728,8,"PKP2","p_val_adj<0.05"
"HIST1H2BK",2.86900310601511e-134,1.03030004344239,0.551,0.881,7.59855472628102e-130,0.30565371024735,12,0.521857923497268,11,"HIST1H2BK","p_val_adj<0.05"
"UQCRFS1",2.59197855034759e-192,1.0294572994376,0.71,0.958,6.86485519059559e-188,0.334705075445816,11,0.481667503766951,11,"UQCRFS1","p_val_adj<0.05"
"DNAJA3",5.88748468997242e-91,1.02934979173063,0.272,0.662,1.55930032013919e-86,0.28673835125448,11,0.594909090909091,11,"DNAJA3","p_val_adj<0.05"
"PARP9",2.52589828416752e-149,1.02876033391098,0.527,0.911,6.68984160561767e-145,0.364140480591497,11,0.497360084477297,11,"PARP9","p_val_adj<0.05"
"C1orf116",3.52951688699319e-105,1.02873451831797,0.394,0.768,9.34792547520147e-101,0.380246913580247,10,0.593103448275862,9,"C1orf116","p_val_adj<0.05"
"PQLC3",9.74835168260722e-106,1.02827846474136,0.369,0.743,2.58185094313852e-101,0.324538258575198,10,0.612694300518135,11,"PQLC3","p_val_adj<0.05"
"COMTD1",1.17308007543282e-157,1.0282573451854,0.281,0.842,3.10690257978383e-153,0.363321799307958,8,0.526586620926244,9,"COMTD1","p_val_adj<0.05"
"CDKL5",3.6627297140784e-42,1.02821308598837,0.113,0.337,9.70073964773664e-38,0.379310344827586,8,0.887303851640514,8,"CDKL5","p_val_adj<0.05"
"SERINC5",5.58026082204702e-127,1.02654348529174,0.623,0.902,1.47793207871915e-122,0.3578125,10,0.5088,11,"SERINC5","p_val_adj<0.05"
"PSMB8",1.17386912444521e-189,1.02412725304683,0.713,0.958,3.10899237609313e-185,0.363387978142077,12,0.481667503766951,11,"PSMB8","p_val_adj<0.05"
"PTDSS1",1.86711655590015e-72,1.02401325052044,0.21,0.56,4.94505819830155e-68,0.319444444444444,10,0.547721410146174,8,"PTDSS1","p_val_adj<0.05"
"PLEKHF2",3.56460596648476e-77,1.02342725895733,0.222,0.592,9.44085890223488e-73,0.328947368421053,9,0.507317073170732,10,"PLEKHF2","p_val_adj<0.05"
"KCMF1",9.14954414462996e-109,1.02307501037388,0.441,0.855,2.42325676670525e-104,0.322295805739514,11,0.513787281935847,11,"KCMF1","p_val_adj<0.05"
"ERGIC1",1.31045087346701e-59,1.02293008581832,0.627,0.795,3.47072913837738e-55,0.397515527950311,10,0.581972171808832,11,"ERGIC1","p_val_adj<0.05"
"SPPL2A",4.31240090077438e-69,1.02278702522927,0.528,0.747,1.14213937857009e-64,0.380073800738007,11,0.613007083065035,10,"SPPL2A","p_val_adj<0.05"
