"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","naive pt.occupancy","naive n.nonzero.pts","grouped_pd pt.occupancy","grouped_pd n.nonzero.pts","gene","sig"
"GPR87",1.44868355711824e-276,3.20544586388402,0.047,0.778,3.83683840102767e-272,0.333333333333333,8,0.550123762376238,7,"GPR87","p_val_adj<0.05"
"CSF2RA",7.21010983944309e-179,3.16887843026578,0.041,0.586,1.9095975909765e-174,0.476190476190476,6,0.768472906403941,8,"CSF2RA","p_val_adj<0.05"
"GATM",1.04115932822153e-111,3.12008954286888,0.043,0.433,2.75751048079473e-107,0.386363636363636,9,0.938888888888889,7,"GATM","p_val_adj<0.05"
"DSG3",3.32669474041476e-62,2.96819623300561,0.029,0.278,8.81075101998848e-58,0.533333333333333,5,0.967128027681661,7,"DSG3","p_val_adj<0.05"
"CYP3A5",2.71315338250394e-148,2.96197647411732,0.032,0.517,7.18578673356169e-144,0.333333333333333,7,0.792364990689013,7,"CYP3A5","p_val_adj<0.05"
"LOC344887",5.19634336572601e-74,2.92084672375635,0.039,0.331,1.37625154041253e-69,0.45,6,0.723837209302326,7,"LOC344887","p_val_adj<0.05"
"APOBEC3A",2.21881913115814e-23,2.86592811873418,0.033,0.152,5.87654246887232e-19,0.352941176470588,5,0.544303797468354,7,"APOBEC3A","p_val_adj<0.05"
"DDIAS",1.60228737204909e-115,2.80467117580127,0.019,0.417,4.24365810487202e-111,0.421052631578947,7,0.882352941176471,8,"DDIAS","p_val_adj<0.05"
"ASS1",1.30128180825134e-279,2.78264672348659,0.396,0.92,3.44644486915367e-275,0.390663390663391,10,0.503401360544218,11,"ASS1","p_val_adj<0.05"
"ANXA6",5.65819718614003e-112,2.76694025171127,0.098,0.491,1.49857352474919e-107,0.326732673267327,8,0.911851126346719,10,"ANXA6","p_val_adj<0.05"
"WDR72",6.85149899791786e-80,2.74259339740426,0.038,0.344,1.81461950959855e-75,0.512820512820513,5,0.76890756302521,7,"WDR72","p_val_adj<0.05"
"LINC01133",3.62243615405926e-145,2.67754486778916,0.028,0.505,9.59402215402596e-141,0.517241379310345,6,0.894184938036225,8,"LINC01133","p_val_adj<0.05"
"SLCO4A1",8.40019096952607e-148,2.67076714500598,0.14,0.607,2.22479057827898e-143,0.361111111111111,7,0.747226624405705,8,"SLCO4A1","p_val_adj<0.05"
"FIRRE",9.106818454166e-36,2.62226297116915,0.005,0.148,2.41194086758586e-31,0.4,3,0.535714285714286,9,"FIRRE","p_val_adj<0.05"
"EDN2",1.77369554234848e-55,2.58711680712542,0.044,0.287,4.69763264390995e-51,0.377777777777778,7,0.631490787269682,7,"EDN2","p_val_adj<0.05"
"IGFBP3",3.32901613007256e-239,2.56445035414782,0.236,0.818,8.81689922049718e-235,0.574380165289256,9,0.564117647058824,8,"IGFBP3","p_val_adj<0.05"
"MSLN",3.85312060670579e-114,2.55882072821703,0.163,0.543,1.02049899268603e-109,0.592814371257485,8,0.852081488042515,7,"MSLN","p_val_adj<0.05"
"P2RY1",6.74791256457464e-42,2.54194939130145,0.01,0.18,1.78718464272759e-37,0.5,5,0.810666666666667,7,"P2RY1","p_val_adj<0.05"
"HSPA7",0.236505585486413,2.53954873006236,0.242,0.255,1,0.473895582329317,9,0.504725897920605,9,"HSPA7","NS"
"FYB",1.54171003323234e-79,2.52017961405273,0.03,0.333,4.08321902301585e-75,0.483870967741935,8,0.747109826589595,7,"FYB","p_val_adj<0.05"
"ANXA9",4.65695793644636e-101,2.50987617322482,0.067,0.442,1.23339530946782e-96,0.434782608695652,7,0.806311207834603,7,"ANXA9","p_val_adj<0.05"
"CXCL5",7.0603170703024e-73,2.50829001465138,0.063,0.365,1.86992497606959e-68,0.953846153846154,2,0.981554677206851,7,"CXCL5","p_val_adj<0.05"
"SERHL2",9.5956609528394e-89,2.49399864156062,0.122,0.464,2.54141080335952e-84,0.424,6,0.900518134715026,9,"SERHL2","p_val_adj<0.05"
"COPZ2",2.00425400247295e-51,2.4699451515583,0.025,0.239,5.30826672554962e-47,0.384615384615385,7,0.604838709677419,8,"COPZ2","p_val_adj<0.05"
"RHOXF1-AS1",2.8438585939469e-50,2.46206231775892,0.031,0.245,7.53195948606836e-46,0.59375,5,0.937254901960784,7,"RHOXF1-AS1","p_val_adj<0.05"
"RGS10",4.2244670499078e-203,2.45366210127609,0.143,0.717,1.11885009816808e-198,0.462585034013605,9,0.638012088650101,9,"RGS10","p_val_adj<0.05"
"PDE8B",6.40626765948468e-107,2.44672949389685,0.067,0.451,1.69669998961452e-102,0.753623188405797,5,0.973347547974414,8,"PDE8B","p_val_adj<0.05"
"IL1RN",2.75728477983197e-44,2.43882737167738,0.079,0.294,7.30266873938498e-40,0.740740740740741,8,0.765957446808511,8,"IL1RN","p_val_adj<0.05"
"LYPD5",7.2408558359465e-152,2.43437136634715,0.034,0.531,1.91774066815043e-147,0.342857142857143,6,0.682971014492754,7,"LYPD5","p_val_adj<0.05"
"APOL4",3.80117544811327e-25,2.42816257896011,0.036,0.162,1.0067413174328e-20,0.459459459459459,6,0.75,8,"APOL4","p_val_adj<0.05"
"TPM2",7.07447506135257e-42,2.40417836567984,0.08,0.283,1.87367471999923e-37,0.439024390243902,8,0.709677419354839,7,"TPM2","p_val_adj<0.05"
"KRT15",1.05629449122269e-146,2.38667053704109,0.209,0.71,2.7975959600033e-142,0.441860465116279,8,0.451525423728814,10,"KRT15","p_val_adj<0.05"
"TRABD2A",1.25224629516278e-86,2.37487838809661,0.075,0.41,3.31657431273861e-82,0.571428571428571,7,0.958968347010551,7,"TRABD2A","p_val_adj<0.05"
"FAM171B",6.86732583322881e-78,2.36048595005667,0.012,0.303,1.81881124693065e-73,0.25,6,0.917329093799682,8,"FAM171B","p_val_adj<0.05"
"AKR1B10",1.10306788886606e-26,2.35810867725777,0.177,0.326,2.92147530366175e-22,0.851648351648352,5,0.85672082717873,7,"AKR1B10","p_val_adj<0.05"
"FABP5",3.46613705927895e-37,2.34167584584921,0.209,0.404,9.1800640015003e-33,0.46046511627907,10,0.694874851013111,9,"FABP5","p_val_adj<0.05"
"ALDH3A1",0.001531581053789,2.32650459477938,0.371,0.346,1,0.522309711286089,8,0.824512534818941,8,"ALDH3A1","NS"
"BACE2",5.93061793156658e-106,2.32479199341725,0.521,0.779,1.57072415917541e-101,0.302803738317757,11,0.592340951204447,10,"BACE2","p_val_adj<0.05"
"ACKR2",3.05278469136153e-121,2.31961855360693,0.053,0.476,8.08530025507101e-117,0.5,8,0.942424242424242,7,"ACKR2","p_val_adj<0.05"
"LY6K",1.19800656243463e-287,2.3176692966738,0.101,0.853,3.17292038060813e-283,0.480769230769231,8,0.535553047404063,8,"LY6K","p_val_adj<0.05"
"ERO1A",6.93793757501153e-152,2.30015319255826,0.679,0.918,1.8375127667418e-147,0.397417503586801,11,0.5041928721174,11,"ERO1A","p_val_adj<0.05"
"GJB2",6.20550616158494e-176,2.29888245710733,0.091,0.644,1.64352830689577e-171,0.698924731182796,6,0.695814648729447,8,"GJB2","p_val_adj<0.05"
"FRMD3",1.85775511947552e-106,2.29334181688415,0.034,0.415,4.92026443393092e-102,0.571428571428571,4,0.950116009280742,7,"FRMD3","p_val_adj<0.05"
"SNAI2",5.09066552543337e-41,2.29035655507417,0.024,0.205,1.34826276441103e-36,0.6,5,0.733021077283372,7,"SNAI2","p_val_adj<0.05"
"TMCC3",9.22034161453446e-66,2.27791420126427,0.025,0.289,2.44200747660945e-61,0.307692307692308,7,0.465,8,"TMCC3","p_val_adj<0.05"
"BMP7",3.25646106972715e-42,2.25328760561041,0.038,0.228,8.62473714317235e-38,0.358974358974359,5,0.945147679324895,7,"BMP7","p_val_adj<0.05"
"SCCPDH",1.43875828571381e-56,2.23783528324459,0.611,0.715,3.81055131971303e-52,0.401913875598086,11,0.648484848484848,11,"SCCPDH","p_val_adj<0.05"
"BATF2",1.9791302520082e-90,2.2167700914489,0.041,0.392,5.24172647244372e-86,0.452380952380952,6,0.495705521472393,8,"BATF2","p_val_adj<0.05"
"FCHO1",1.62500936994267e-95,2.20739199213028,0.018,0.365,4.30383731629317e-91,0.388888888888889,6,0.659630606860158,7,"FCHO1","p_val_adj<0.05"
"EPB41L3",8.23335552617243e-104,2.20666208969387,0.078,0.464,2.18060421110677e-99,0.675,7,0.955394190871369,7,"EPB41L3","p_val_adj<0.05"
"EVADR",1.42079876002905e-135,2.19827217278275,0.028,0.481,3.76298551593694e-131,0.344827586206897,8,0.931931931931932,8,"EVADR","p_val_adj<0.05"
"LRMP",8.9747726108242e-05,2.19626910850816,0.07,0.113,1,0.888888888888889,7,0.935897435897436,7,"LRMP","NS"
