"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","naive.pt.occupancy","naive.n.nonzero.pts","grouped_pd.pt.occupancy","grouped_pd.n.nonzero.pts","gene","sig"
"GPR87",1.44868355711824e-276,3.20544586388402,0.047,0.778,3.83683840102767e-272,0.333333333333333,8,0.550123762376238,7,"GPR87","p_val_adj<0.05"
"CSF2RA",7.21010983944309e-179,3.16887843026578,0.041,0.586,1.9095975909765e-174,0.476190476190476,6,0.768472906403941,8,"CSF2RA","p_val_adj<0.05"
"GATM",1.04115932822153e-111,3.12008954286888,0.043,0.433,2.75751048079473e-107,0.386363636363636,9,0.938888888888889,7,"GATM","p_val_adj<0.05"
"DSG3",3.32669474041476e-62,2.96819623300561,0.029,0.278,8.81075101998848e-58,0.533333333333333,5,0.967128027681661,7,"DSG3","p_val_adj<0.05"
"CRABP21",0,3.97077614723836,0.115,0.859,0,0.338983050847458,10,0.522982062780269,9,"CRABP2","p_val_adj<0.05"
"TMSB10",1.11704979688862e-298,1.28727512902562,0.986,0.999,2.95850638705951e-294,0.36426456071076,12,0.465060240963855,11,"TMSB10","p_val_adj<0.05"
"ALDOA",1.78069169983648e-296,1.52052095023942,0.945,0.997,4.71616196701693e-292,0.338825952626159,12,0.465958474167069,11,"ALDOA","p_val_adj<0.05"
"LY6K",1.19800656243463e-287,2.3176692966738,0.101,0.853,3.17292038060813e-283,0.480769230769231,8,0.535553047404063,8,"LY6K","p_val_adj<0.05"
"CAPG",1.64179698080004e-284,1.83042526251146,0.441,0.942,4.34829930364889e-280,0.465783664459161,9,0.491317671092952,10,"CAPG","p_val_adj<0.05"
"ASS1",1.30128180825134e-279,2.78264672348659,0.396,0.92,3.44644486915367e-275,0.390663390663391,10,0.503401360544218,11,"ASS1","p_val_adj<0.05"
"GPR871",1.44868355711824e-276,3.20544586388402,0.047,0.778,3.83683840102767e-272,0.333333333333333,8,0.550123762376238,7,"GPR87","p_val_adj<0.05"
"UBD1",1.51272522326587e-270,3.70548051593666,0.107,0.79,4.00645275381967e-266,0.536363636363636,7,0.570993296770262,7,"UBD","p_val_adj<0.05"
"PGD",2.61103586131819e-261,1.97700565207011,0.678,0.956,6.91532847870123e-257,0.307471264367816,11,0.483140412682436,11,"PGD","p_val_adj<0.05"
"FXYD3",1.95742164575342e-249,1.61186719792479,0.754,0.976,5.18423122877793e-245,0.377260981912145,11,0.475110892065057,11,"FXYD3","p_val_adj<0.05"
"FXYD5",3.56096167726877e-245,1.84762167278952,0.346,0.91,9.43120700224634e-241,0.388732394366197,11,0.507936507936508,11,"FXYD5","p_val_adj<0.05"
"KYNU",1.09262766743932e-244,1.60816114990173,0.136,0.815,2.89382437721303e-240,0.592857142857143,7,0.562906083874778,9,"KYNU","p_val_adj<0.05"
"TAP1",5.15941051157103e-241,1.86144377254654,0.493,0.922,1.36646987398959e-236,0.345849802371542,10,0.497390396659708,11,"TAP1","p_val_adj<0.05"
"IGFBP3",3.32901613007256e-239,2.56445035414782,0.236,0.818,8.81689922049718e-235,0.574380165289256,9,0.564117647058824,8,"IGFBP3","p_val_adj<0.05"
"IDO11",3.50393105563305e-232,3.6737687261886,0.107,0.74,9.28016140084414e-228,0.5,6,0.486662329212752,8,"IDO1","p_val_adj<0.05"
"PPIA",5.01327157857866e-231,0.923724369302201,0.969,0.997,1.32776497758656e-226,0.350753768844221,12,0.465250965250965,11,"PPIA","p_val_adj<0.05"
"ARPC2",2.56786110962981e-230,1.10489750472452,0.801,0.989,6.80098014885455e-226,0.319562575941677,12,0.468871595330739,11,"ARPC2","p_val_adj<0.05"
"HLA-F",3.17124039302797e-227,1.4517545493719,0.615,0.948,8.39903018093458e-223,0.365506329113924,11,0.482986287455561,11,"HLA-F","p_val_adj<0.05"
"PSMB9",2.61345463414694e-226,1.46278021505857,0.601,0.955,6.92173459853818e-222,0.39708265802269,11,0.482115869017632,11,"PSMB9","p_val_adj<0.05"
"DKK11",1.59942848406488e-218,3.76495938884743,0.049,0.681,4.23608634004584e-214,0.36,6,0.581625441696113,7,"DKK1","p_val_adj<0.05"
