gene,cell
CST7,cytotoxic
GZMA,cytotoxic
GZMB,cytotoxic
IFNG,cytotoxic
NKG7,cytotoxic
PRF1,cytotoxic
TNFSF10,cytotoxic
BTLA,exhausted
CTLA4,exhausted
HAVCR2,exhausted
LAG3,exhausted
PDCD1,exhausted
TIGIT,exhausted
IL2RA,regulatory
IL4R,regulatory
IL7,regulatory
TGFB1,regulatory
TGFB3,regulatory
TGFBI,regulatory
TGFBR1,regulatory
CCR7,naïve
LEF1,naïve
SELL,naïve
TCF7,naïve
ICOS,costimulatory
CD226,costimulatory
SLAMF1,costimulatory
TNFRSF14,costimulatory
TNFRSF25,costimulatory
TNFRSF9,costimulatory
CCR7,CD8-C1-LEF1
SELL,CD8-C1-LEF1
LEF1,CD8-C1-LEF1
TCF7,CD8-C1-LEF1
RPL13,CD8-C1-LEF1
RPS6,CD8-C1-LEF1
TXK,CD8-C1-LEF1
RPL4,CD8-C1-LEF1
LDHB,CD8-C1-LEF1
NOSIP,CD8-C1-LEF1
IL7R,CD8-C2-CD28
CD28,CD8-C2-CD28
LYAR,CD8-C2-CD28
TNFSF8,CD8-C2-CD28
MCUB,CD8-C2-CD28
GPR183,CD8-C2-CD28
DUSP2,CD8-C2-CD28
SESN1,CD8-C2-CD28
MALAT1,CD8-C2-CD28
EPB41,CD8-C2-CD28
FGFBP2,CD8-C3-CX3CR1
CX3CR1,CD8-C3-CX3CR1
FCGR3A,CD8-C3-CX3CR1
ADGRG1,CD8-C3-CX3CR1
PLEK,CD8-C3-CX3CR1
FCGR3B,CD8-C3-CX3CR1
KLRD1,CD8-C3-CX3CR1
S1PR1,CD8-C3-CX3CR1
LITAF,CD8-C3-CX3CR1
GZMH,CD8-C3-CX3CR1
GZMK,CD8-C4-GZMK
CCL4L1,CD8-C4-GZMK
ITM2C,CD8-C4-GZMK
CD74,CD8-C4-GZMK
CCL4,CD8-C4-GZMK
AOAH,CD8-C4-GZMK
CXCR4,CD8-C4-GZMK
DTHD1,CD8-C4-GZMK
CCL3L3,CD8-C4-GZMK
CCL3L1,CD8-C4-GZMK
ZNF683,CD8-C5-ZNF683
CAPG,CD8-C5-ZNF683
ITGA1,CD8-C5-ZNF683
STK17B,CD8-C5-ZNF683
JUN,CD8-C5-ZNF683
ADAM19,CD8-C5-ZNF683
CKLF-CMTM1,CD8-C5-ZNF683
CKLF,CD8-C5-ZNF683
CXCR3,CD8-C5-ZNF683
XCL1,CD8-C5-ZNF683
HAVCR2,CD8-C6-LAYN
SIRPG,CD8-C6-LAYN
GAPDH,CD8-C6-LAYN
ITGAE,CD8-C6-LAYN
GZMB,CD8-C6-LAYN
CCL3,CD8-C6-LAYN
TIGIT,CD8-C6-LAYN
ENTPD1,CD8-C6-LAYN
PDCD1,CD8-C6-LAYN
RBPJ,CD8-C6-LAYN
