gene,group,color
CST7,cytotoxic,brown1
GZMA,cytotoxic,brown1
GZMB,cytotoxic,brown1
IFNG,cytotoxic,brown1
NKG7,cytotoxic,brown1
PRF1,cytotoxic,brown1
TNFSF10,cytotoxic,brown1
BTLA,exhausted,cadetblue1
CTLA4,exhausted,cadetblue1
HAVCR2,exhausted,cadetblue1
LAG3,exhausted,cadetblue1
PDCD1,exhausted,cadetblue1
TIGIT,exhausted,cadetblue1
IL2RA,regulatory,chartreuse3
IL4R,regulatory,chartreuse3
IL7,regulatory,chartreuse3
TGFB1,regulatory,chartreuse3
TGFB3,regulatory,chartreuse3
TGFBI,regulatory,chartreuse3
TGFBR1,regulatory,chartreuse3
CCR7,naïve,darkgoldenrod2
LEF1,naïve,darkgoldenrod2
SELL,naïve,darkgoldenrod2
TCF7,naïve,darkgoldenrod2
ICOS,costimulatory,gold
CD226,costimulatory,gold
SLAMF1,costimulatory,gold
TNFRSF14,costimulatory,gold
TNFRSF25,costimulatory,gold
TNFRSF9,costimulatory,gold
