gene,group,color
CCR7,M1,cadetblue1
IL2RA,M1,cadetblue1
IL15RA,M1,cadetblue1
IL7R,M1,cadetblue1
CXCL11,M1,cadetblue1
CCL19,M1,cadetblue1
CXCL10,M1,cadetblue1
CXCL9,M1,cadetblue1
TNF,M1,cadetblue1
CCL5,M1,cadetblue1
CCL15,M1,cadetblue1
IL12B,M1,cadetblue1
IL15RA,M1,cadetblue1
TRAIL,M1,cadetblue1
IL6,M1,cadetblue1
CCL20,M1,cadetblue1
PBEF1,M1,cadetblue1
ECGF1,M1,cadetblue1
BCL2A1,M1,cadetblue1
FAS,M1,cadetblue1
BIRC3,M1,cadetblue1
GADD45G,M1,cadetblue1
HSXIAPAF1,M1,cadetblue1
SLC7A5,M1,cadetblue1
SLC21A15,M1,cadetblue1
SLC2A6,M1,cadetblue1
SLC31A2,M1,cadetblue1
INDO,M1,cadetblue1
PLA1A,M1,cadetblue1
OASL,M1,cadetblue1
CHI3L2,M1,cadetblue1
HSD11B1,M1,cadetblue1
AK3,M1,cadetblue1
SPHK1,M1,cadetblue1
PFKFB3,M1,cadetblue1
PSME2,M1,cadetblue1
PFKP,M1,cadetblue1
PSMB9,M1,cadetblue1
PSMA2,M1,cadetblue1
OAS2,M1,cadetblue1
PTX3,M1,cadetblue1
CSPG2,M1,cadetblue1
APOL3,M1,cadetblue1
IGFBP4,M1,cadetblue1
APOL1,M1,cadetblue1
PDGFA,M1,cadetblue1
EDN1,M1,cadetblue1
APOL2,M1,cadetblue1
INHBA,M1,cadetblue1
APOL6,M1,cadetblue1
HESX1,M1,cadetblue1
IRF1,M1,cadetblue1
ATF3,M1,cadetblue1
IRF7,M1,cadetblue1
GPR86,M2,chartreuse3
P2RY5,M2,chartreuse3
TGFBR2,M2,chartreuse3
HRH1,M2,chartreuse3
TLR5,M2,chartreuse3
DCL-1,M2,chartreuse3
MSR1,M2,chartreuse3
CXCR4,M2,chartreuse3
DECTIN1,M2,chartreuse3
P2RY14,M2,chartreuse3
DCSIGN,M2,chartreuse3
CLECSF13,M2,chartreuse3
MS4A4A,M2,chartreuse3
MRC1,M2,chartreuse3
IGF1,M2,chartreuse3
CCL23,M2,chartreuse3
CCL18,M2,chartreuse3
CCL13,M2,chartreuse3
SLC21A9,M2,chartreuse3
SLC4A7,M2,chartreuse3
SLC38A6,M2,chartreuse3
CTSC,M2,chartreuse3
HEXB,M2,chartreuse3
LIPA,M2,chartreuse3
ADK,M2,chartreuse3
HNMT,M2,chartreuse3
TPST2,M2,chartreuse3
CERK,M2,chartreuse3
HS3ST2,M2,chartreuse3
LTA4H,M2,chartreuse3
CA2,M2,chartreuse3
ALOX15,M2,chartreuse3
HS3ST1,M2,chartreuse3
TGFBI,M2,chartreuse3
SEPP1,M2,chartreuse3
CHN2,M2,chartreuse3
FN1,M2,chartreuse3
FGL2,M2,chartreuse3
GAS7,M2,chartreuse3
EGR2,M2,chartreuse3
MAF,M2,chartreuse3
