"p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
1.06338554346426e-65,0.62023650553662,0.992,0.997,2.81637661186509e-61,"0","RPS18"
4.39582524239544e-62,0.664784304019825,0.968,0.975,1.16423431544843e-57,"0","RPL30"
9.16942763752567e-58,0.622357648708031,0.988,0.992,2.42852290979867e-53,"0","RPS14"
3.1452673577873e-57,0.568380151197994,0.993,0.998,8.33024059709965e-53,"0","RPL21"
3.45613606742211e-55,0.572788071748883,0.978,0.991,9.15357637456746e-51,"0","RPS6"
1.72342199967848e-54,0.604146012293185,0.999,1,4.56448316614844e-50,"0","RPS27"
8.45965057497495e-53,0.556666304722516,0.988,0.999,2.24053845478211e-48,"0","RPLP1"
1.73521336585131e-52,0.701641806864282,0.977,0.962,4.59571259945718e-48,"0","RPL34"
3.11464403710814e-51,0.687056111545697,0.974,0.967,8.24913473228092e-47,"0","RPL32"
2.30596556689614e-50,0.736822683643081,0.835,0.555,6.10734980392442e-46,"0","IL7R"
6.29833453726047e-48,0.509431538805115,0.971,0.988,1.66811390219344e-43,"0","RPS3"
2.12938959533898e-47,0.631004100546926,0.959,0.969,5.63968834325529e-43,"0","RPS12"
5.07955105196457e-47,0.517940178800455,0.979,0.988,1.34531909611282e-42,"0","RPL13"
3.354246504145e-45,0.474089101111666,0.989,0.997,8.88372186622803e-41,"0","RPS19"
3.89287444182428e-45,0.453009657517399,0.99,0.997,1.03102779591716e-40,"0","RPL13A"
1.8861523533051e-44,0.582321313276523,0.956,0.962,4.99547450772856e-40,"0","RPS3A"
3.82109526208725e-39,0.539215786595652,0.977,0.985,1.01201708016381e-34,"0","RPLP2"
4.42510225764122e-39,0.452545873444445,0.981,0.992,1.17198833293628e-34,"0","RPL23A"
1.38940839284882e-38,0.488353268006997,0.978,0.988,3.67984812846011e-34,"0","TPT1"
1.42392535097313e-36,0.465067112984446,0.986,0.988,3.77126629205232e-32,"0","RPL18A"
2.81284474612648e-36,0.448331786649405,0.968,0.982,7.44981931011599e-32,"0","RPL3"
6.90020733789587e-34,0.500909502553858,0.953,0.971,1.82751991344172e-29,"0","RPS27A"
7.41622983141617e-34,0.531906094776421,0.952,0.964,1.96418847085057e-29,"0","RPL7"
1.850380886379e-32,0.545530154478566,0.979,0.992,4.90073377757479e-28,"0","FTH1"
2.81854061890851e-31,0.468282098430079,0.966,0.982,7.46490482917919e-27,"0","RPL10"
1.03494006556581e-30,0.588509796688011,0.972,0.969,2.74103876365105e-26,"0","RPS29"
9.27978914933528e-30,0.582602968822227,0.956,0.969,2.45775215620145e-25,"0","RPL37"
1.5380545422193e-29,0.556153207231653,0.938,0.96,4.07353745506781e-25,"0","RPS28"
7.18361685657755e-29,0.585617716371192,0.959,0.965,1.90258092446456e-24,"0","RPL31"
1.27591725900066e-28,0.389441671436386,0.99,0.997,3.37926686046324e-24,"0","RPL41"
1.75501973841575e-28,0.908263190466585,0.624,0.471,4.64816977719412e-24,"0","LTB"
6.33146743205374e-28,0.493194186773702,0.974,0.98,1.67688914937943e-23,"0","RPS25"
8.67460165186486e-28,0.753454037788891,0.757,0.614,2.29746824749641e-23,"0","ANXA1"
1.05332226835921e-26,0.473639645654599,0.942,0.952,2.78972402774937e-22,"0","RPL5"
1.07583059050798e-26,0.613403835421183,0.9,0.925,2.84933731896038e-22,"0","RPL11"
3.04446206977029e-26,0.32904085800581,0.993,0.997,8.06325779178662e-22,"0","EEF1A1"
4.29592735158295e-26,0.534579495279291,0.966,0.967,1.13777635906674e-21,"0","RPL36"
8.49156211342902e-25,0.452778068526387,0.95,0.968,2.24899022574167e-20,"0","RPL19"
5.70959665531798e-24,0.500648934258027,0.928,0.936,1.51218667416097e-19,"0","RPS23"
6.58208403359598e-24,0.467922033386838,0.963,0.976,1.74326495629789e-19,"0","RPL37A"
9.07041928534531e-23,0.418271413218309,0.957,0.981,2.4023005477237e-18,"0","RPS15"
4.66361189316217e-22,0.52517112407323,0.908,0.93,1.235157609904e-17,"0","RPL39"
5.85001012339424e-22,0.707862479673122,0.752,0.725,1.54937518118096e-17,"0","FXYD5"
7.44427948830316e-22,0.288604515917706,1,0.999,1.97161742247709e-17,"0","MALAT1"
1.21222172379531e-21,0.534411912726783,0.878,0.906,3.21056923547188e-17,"0","RPL14"
6.54529980669551e-20,0.48016754013675,0.901,0.861,1.73352265380331e-15,"0","CD52"
1.1005596110922e-19,0.517641866582879,0.926,0.943,2.91483212997768e-15,"0","RPL12"
1.70710991644009e-19,0.448471898360185,0.938,0.962,4.52128061369159e-15,"0","RPS16"
5.61305313938604e-19,0.533171683512171,0.906,0.932,1.48661712396639e-14,"0","RPL35A"
6.55703283565014e-19,0.828281465991428,0.575,0.43,1.73663014652194e-14,"0","GPR183"
1.0602898201603e-18,0.328984505593583,0.966,0.978,2.80817758869456e-14,"0","RPS2"
2.09621856859943e-18,0.414292197689718,0.963,0.966,5.55183487893558e-14,"0","RPS20"
4.64014624667276e-18,0.417334301120405,0.952,0.973,1.22894273343128e-13,"0","RPL27A"
4.32194757159098e-17,0.441173126825062,0.92,0.943,1.14466781433587e-12,"0","RPS15A"
5.27788523642279e-17,0.388144570004181,0.897,0.872,1.39784790486658e-12,"0","RPL21P28"
2.94677437862603e-16,0.805091418430743,0.666,0.552,7.80453194179103e-12,"0","LMNA"
3.12315525785109e-16,0.411002024972007,0.922,0.941,8.27167670041861e-12,"0","RPL35"
3.81691644080979e-16,0.49648722736468,0.889,0.918,1.01091031934847e-11,"0","RPL26"
4.09102206052884e-16,0.423410325100536,0.941,0.966,1.08350719273106e-11,"0","RPL27"
4.26622993710898e-16,0.426538650660481,0.902,0.906,1.12991099884331e-11,"0","RPS10"
5.8178981676792e-16,0.48797127678941,0.935,0.947,1.54087032970984e-11,"0","RPS8"
2.43256445525412e-15,0.296287680346737,0.971,0.986,6.44264695974053e-11,"0","RPL15"
2.66296997505659e-15,0.613103187475314,0.882,0.873,7.05287597893737e-11,"0","RPS21"
6.86372890622902e-15,0.427578528782,0.906,0.93,1.81785860081476e-10,"0","RPS13"
8.52510135336663e-15,0.464296411367303,0.908,0.962,2.25787309343915e-10,"0","RPL18"
9.52403613565834e-15,0.967268862448809,0.42,0.291,2.52244097052911e-10,"0","CCR7"
1.8748889757922e-13,0.52940646717268,0.913,0.91,4.96564345238564e-09,"0","RPL38"
5.80658164319551e-13,0.333372225619939,0.93,0.936,1.53787314820033e-08,"0","RPL9"
7.81164729703038e-13,0.345348035006558,0.963,0.968,2.0689147866185e-08,"0","RPL13AP5"
1.38879402414111e-12,0.391411305802404,0.919,0.956,3.67822097293773e-08,"0","RPL28"
2.06165637647553e-12,0.255307204043863,0.994,0.999,5.46029691309544e-08,"0","PTMA"
2.81417840432803e-12,0.32461636773443,0.817,0.782,7.4533515038628e-08,"0","RPL36A"
3.12135769804211e-12,0.621654256219593,0.688,0.667,8.26691586326453e-08,"0","S100A11"
8.40455219628801e-12,0.374397389636217,0.917,0.934,2.22594564918688e-07,"0","FAU"
1.21733608163508e-11,0.61582846291342,0.469,0.331,3.22411461221052e-07,"0","TCF7"
1.94703899341146e-11,0.399257914814675,0.868,0.878,5.15673277405024e-07,"0","RPL29"
3.88005754496871e-11,0.359274345909173,0.812,0.747,1.02763324078496e-06,"0","LOC101243545"
4.44701316274318e-11,0.396676045465837,0.864,0.899,1.17779143615253e-06,"0","RPS9"
8.02009921729082e-10,0.348125244595834,0.906,0.93,2.12412327769947e-05,"0","RPL8"
8.53154506570823e-10,0.270516806983959,0.956,0.974,2.25957971065282e-05,"0","ARHGDIB"
9.6519905000115e-10,0.582785934777674,0.735,0.725,2.55632968392805e-05,"0","GLTSCR2"
1.09453926096879e-09,0.438654059140251,0.79,0.783,2.89888723267585e-05,"0","RGCC"
3.82434029371293e-09,0.362488079306987,0.889,0.93,0.000101287652678987,"0","RPS7"
5.05797826458036e-09,0.45775880257371,0.16,0.282,0.000133960554337411,"0","UBAP2L"
8.8693342143113e-09,0.295811472991381,0.151,0.271,0.000234904316666035,"0","FAAP20"
1.01224399851046e-08,0.29456494682367,0.138,0.258,0.000268092823005495,"0","RPF1"
1.76752472801262e-08,0.520767391701217,0.798,0.831,0.000468128924214141,"0","PFDN5"
1.88895003039864e-08,0.4055365903376,0.867,0.896,0.000500288415551081,"0","CRIP1"
1.94521029830913e-08,0.263715124913294,0.219,0.351,0.000515188947507173,"0","PAFAH1B1"
2.00693621642359e-08,0.287338570161498,0.138,0.257,0.000531537056919788,"0","PPP1R35"
4.68744124365775e-08,0.387208736220995,0.143,0.258,0.00124146881338275,"0","LSM5"
5.71677258447669e-08,0.397569088222578,0.846,0.876,0.00151408721899865,"0","RPS5"
5.94992251186254e-08,0.35362532884007,0.901,0.895,0.00157583697726679,"0","RPLP0"
5.98728458420184e-08,0.744773899541563,0.333,0.242,0.00158573232212586,"0","FLT3LG"
7.83234326887962e-08,0.545248258560185,0.417,0.307,0.00207439611476277,"0","CCR6"
8.23200916775604e-08,0.336428343705826,0.213,0.357,0.00218024762808019,"0","TMEM160"
8.48202730806379e-08,0.297017758579895,0.263,0.393,0.0022464649325407,"0","GNB2"
1.49399587459806e-07,0.316799283241914,0.252,0.374,0.00395684807387297,"0","SF3A1"
1.49437869364118e-07,0.783546876744944,0.336,0.477,0.00395786197010866,"0","GIGYF1"
1.5493566596146e-07,0.374557590631043,0.801,0.798,0.00410347111298928,"0","VIM"
1.89427134283031e-07,0.417291990241654,0.838,0.874,0.00501697765148606,"0","RPL10A"
2.03028894221455e-07,0.428978765450275,0.737,0.76,0.00537722026345525,"0","S100A10"
2.38588684247773e-07,0.422516789061016,0.843,0.848,0.00631902130230228,"0","RPS4X"
2.87093949236678e-07,0.278228654500459,0.274,0.421,0.00760368324553341,"0","SRI"
6.01265077999023e-07,0.261465154598091,0.354,0.521,0.0159245055908041,"0","UQCR10"
6.68559720010011e-07,0.251117715065803,0.182,0.294,0.0177068041844651,"0","SUGT1"
9.67307601343608e-07,0.283441198428997,0.322,0.469,0.0256191418215855,"0","PET100"
1.50827236341252e-06,0.322316936373072,0.839,0.882,0.0399465935449807,"0","RPL17"
1.72720002018934e-06,0.358967818783304,0.275,0.42,0.0457448925347146,"0","C11orf31"
1.83590464443316e-06,0.25698287268041,0.154,0.258,0.0486239345078121,"0","SMIM10L1"
1.97593629398516e-06,0.387250030907131,0.893,0.854,0.052332672746197,"0","RNA18S5"
2.06308716102275e-06,0.288563155563557,0.16,0.266,0.0546408634596875,"0","U2AF1"
3.91365981677276e-06,0.779695611168035,0.285,0.215,0.103653280247227,"0","TIMP1"
3.97581553787185e-06,0.266108655528503,0.173,0.27,0.105299474520536,"0","ACAT1"
4.44076320043302e-06,0.283784446862932,0.153,0.252,0.117613613363468,"0","ELOF1"
5.45670847517953e-06,0.298940874720484,0.237,0.363,0.14452092396513,"0","PDCD6"
5.83250357304616e-06,0.346187638012998,0.836,0.878,0.154473857132128,"0","RPL7A"
5.89276450950252e-06,0.367203714319379,0.832,0.867,0.156069868034174,"0","RPL36AL"
6.70733831114939e-06,0.402241988594784,0.776,0.846,0.177643855170792,"0","EEF1D"
7.83835621267329e-06,0.375159921903991,0.243,0.361,0.207598864292652,"0","TRAPPC4"
1.06257558016028e-05,0.735499710314254,0.308,0.237,0.281423142405451,"0","AQP3"
1.15852261333662e-05,0.458086371341314,0.276,0.416,0.306834714142203,"0","C19orf60"
1.47530993371348e-05,0.271866679348998,0.319,0.433,0.390735835944014,"0","SYF2"
1.55330547592152e-05,0.344031720312126,0.164,0.251,0.411392955297813,"0","KPNA1"
1.63570296068454e-05,0.257075783812739,0.241,0.365,0.433215929137301,"0","EIF1B"
1.67939671219701e-05,0.793350720246718,0.389,0.33,0.444788219225377,"0","SERINC5"
1.98620693424007e-05,0.557064552534661,0.669,0.676,0.526046906533481,"0","FOS"
2.05379185526564e-05,0.273794924377645,0.279,0.417,0.543946772867106,"0","SS18L2"
2.05696349098769e-05,0.250600571835223,0.201,0.303,0.544786780588089,"0","C8orf59"
2.43050144718887e-05,0.261973070370531,0.161,0.258,0.643718308287971,"0","LAMTOR2"
2.53225878181753e-05,0.319981616408891,0.289,0.409,0.670668738364372,"0","RTF1"
2.71986449923825e-05,0.322002034952083,0.84,0.846,0.72035611262325,"0","EEF1G"
3.09572019956752e-05,0.458255788198703,0.169,0.256,0.819901494855458,"0","AGO2"
3.40972803710231e-05,0.353924220125058,0.257,0.382,0.903066470626546,"0","EMC4"
3.67823270331918e-05,0.366477457306401,0.224,0.317,0.974179931474086,"0","UBR4"
4.02601781968398e-05,0.339525543249548,0.175,0.26,1,"0","UBE3C"
4.08734143653055e-05,0.460100841121233,0.175,0.268,1,"0","MT1X"
4.4287652630276e-05,0.303263438098709,0.201,0.301,1,"0","NHP2"
4.62436450597903e-05,0.288450073321075,0.169,0.255,1,"0","PPT1"
4.64527379633624e-05,0.331354613972703,0.264,0.383,1,"0","MRPL33"
4.91427727759228e-05,0.404051527996259,0.179,0.273,1,"0","TMUB1"
5.47260525704657e-05,0.270068449607043,0.642,0.578,1,"0","MIR4426"
6.25840704089389e-05,0.274637848856996,0.873,0.918,1,"0","GNB2L1"
6.8818688384105e-05,0.370802118860525,0.219,0.322,1,"0","MESDC2"
8.35416176698245e-05,0.262783835405984,0.249,0.371,1,"0","MPC2"
8.61750562212557e-05,0.274333303642598,0.312,0.454,1,"0","VPS29"
0.000110264958994382,0.33367624472534,0.252,0.356,1,"0","DUT"
0.000121045667365245,0.517154364804815,0.608,0.628,1,"0","EMP3"
0.000149354674710874,0.259117683768033,0.348,0.486,1,"0","C19orf53"
0.000149826029287613,0.376881715435027,0.212,0.308,1,"0","SPSB3"
0.000153147309979997,0.363620631758625,0.245,0.353,1,"0","MRPL20"
0.000161921658809275,0.30672232277405,0.329,0.467,1,"0","BCAP31"
0.000186377095300876,0.30472607285617,0.183,0.278,1,"0","ABT1"
0.000187374958615322,0.619925493780852,0.298,0.235,1,"0","S1PR1"
0.000194612751177138,0.285534842984124,0.948,0.972,1,"0","PABPC1"
0.000200505205406694,0.268588701382396,0.175,0.264,1,"0","ZNRD1"
0.00020534377239909,0.382474503575711,0.175,0.266,1,"0","RPS4Y1"
0.000205651447672457,0.266715060085784,0.194,0.29,1,"0","VKORC1"
0.000209069096737329,0.256280546040253,0.315,0.432,1,"0","KRT10"
0.000217927897657354,0.267372612238725,0.315,0.442,1,"0","ERP29"
0.000233923407594193,0.263207739908823,0.193,0.283,1,"0","DPY30"
0.000274885121576543,0.302893236850537,0.882,0.893,1,"0","PPP1CB"
0.00028041240848107,0.290176525115269,0.81,0.836,1,"0","KLF6"
0.000292941783273461,0.286483780663971,0.268,0.378,1,"0","GADD45GIP1"
0.000356550562978159,0.404134430719904,0.287,0.394,1,"0","MRPS21"
0.000359363410290596,0.257616089325706,0.373,0.496,1,"0","NDUFV2"
0.000368543378863491,0.262433953950265,0.249,0.343,1,"0","MBOAT1"
0.000371193293578773,0.364455868148137,0.795,0.829,1,"0","S100A6"
0.000379156162303583,0.2551046650654,0.79,0.847,1,"0","TAGLN2"
0.000456838439074727,0.264944083259212,0.253,0.357,1,"0","ATRAID"
0.000537171489380563,0.269375985213935,0.362,0.493,1,"0","RSRP1"
0.000562402572965725,0.308550544646749,0.184,0.266,1,"0","PQBP1"
0.00059952533087825,0.5745959884485,0.384,0.327,1,"0","CD4"
0.000681578349380672,0.561691163577696,0.63,0.672,1,"0","COMMD6"
0.0006894969138039,0.481026402135758,0.221,0.324,1,"0","C19orf70"
0.000850786368709966,0.260791994142331,0.209,0.297,1,"0","LINC00493"
0.000925581789303261,0.381691538985288,0.217,0.306,1,"0","CEACAM21"
0.000974898973511671,0.255583974131969,0.391,0.518,1,"0","TSPO"
0.00100057219116681,0.350440005636985,0.719,0.747,1,"0","HINT1"
0.00102757530882529,0.255565803150776,0.23,0.322,1,"0","OSTC"
0.00123360035284569,0.426027482222669,0.708,0.736,1,"0","EEF1B2"
0.00133856124497764,0.410646710077029,0.188,0.271,1,"0","POLE4"
0.00141630878384093,0.302185334978416,0.245,0.337,1,"0","GRPEL1"
0.00143547012249048,0.288059398336768,0.267,0.367,1,"0","RGS10"
0.00159979496717472,0.329241994833066,0.22,0.309,1,"0","TM2D3"
0.0016198931099928,0.303276361947513,0.283,0.38,1,"0","RWDD1"
0.00176577522372084,0.255399800093896,0.4,0.525,1,"0","NUDC"
0.00206788151310783,0.454631060153702,0.624,0.659,1,"0","LDHB"
0.00213483010544925,0.449465362956724,0.659,0.697,1,"0","S100A4"
0.00221968596827196,0.267590665993066,0.195,0.262,1,"0","HIPK3"
0.00227699240884796,0.331818297978279,0.235,0.312,1,"0","SNHG1"
0.00229784213168667,0.423002544452955,0.622,0.637,1,"0","BIRC3"
0.00239505041218102,0.415130320920698,0.823,0.87,1,"0","RPL6"
0.00252200626490358,0.591790397335838,0.358,0.311,1,"0","TNFRSF25"
0.00272552873995772,0.355940660315503,0.208,0.276,1,"0","LIX1L"
0.00275160024068845,0.273219188110303,0.303,0.385,1,"0","TOMM22"
0.00276503700629822,0.524601266345614,0.481,0.454,1,"0","ADAM19"
0.00286474452363999,0.294772891136081,0.186,0.26,1,"0","ZPR1"
0.0028655003942437,0.327211157890838,0.202,0.279,1,"0","DGCR6L"
0.00323506089734658,0.306146748254949,0.354,0.48,1,"0","CKLF"
0.00352568674716311,0.432267506521124,0.746,0.792,1,"0","RPS17"
0.003806120700192,0.404510260483275,0.259,0.351,1,"0","CCDC59"
0.00420933716421133,0.564897769403138,0.436,0.436,1,"0","RNASET2"
0.00436275963433167,0.263330755385876,0.827,0.878,1,"0","IFITM1"
0.00483508247219256,0.317022924283002,0.223,0.296,1,"0","EPB41"
0.00537880561917764,0.303995727554348,0.199,0.267,1,"0","LUZP1"
0.00587366066744245,0.257231076642046,0.363,0.47,1,"0","RABAC1"
0.00593373701622729,0.288119768495013,0.264,0.333,1,"0","PPIL4"
0.00596790867079486,0.392126768428766,0.446,0.565,1,"0","DDX18"
0.00606731114523781,0.315918759393963,0.415,0.567,1,"0","APRT"
0.00618180053394132,0.323134632731937,0.253,0.345,1,"0","MED10"
0.00711474834654534,0.254024436974377,0.231,0.305,1,"0","SMAP1"
0.00734784647272926,0.436552147848219,0.685,0.656,1,"0","PBXIP1"
0.00770479323867876,0.365582632386716,0.739,0.788,1,"0","NFKBIA"
0.00785622670467731,0.395107220543099,0.202,0.275,1,"0","TRMT10C"
0.00812806784435618,0.579647777836688,0.349,0.316,1,"0","KLRB1"
2.52424159966009e-57,0.628951852135439,0.988,0.92,6.68545387669976e-53,"1","ZFP36L2"
4.05255571215511e-54,1.02496910772971,0.686,0.357,1.07331938036428e-49,"1","FKBP5"
1.47956891055855e-47,0.561901172210462,0.821,0.49,3.91863825961432e-43,"1","RNF19A"
2.58771299452537e-45,0.809242993882793,0.561,0.245,6.85355786600044e-41,"1","CXCR6"
4.19185333947197e-43,0.729367729308938,0.725,0.399,1.11021235695915e-38,"1","SLC7A5"
5.12980557080267e-43,0.615161040811198,0.857,0.587,1.35862900542709e-38,"1","GSPT1"
6.44456509400582e-43,0.621759900900523,0.922,0.723,1.70684306514744e-38,"1","FYN"
2.38537105085753e-42,0.529268898896191,0.616,0.3,6.31765522819617e-38,"1","DUSP5"
2.38147524147826e-41,0.438455856535082,0.997,0.933,6.30733717705516e-37,"1","SARAF"
2.77442811452987e-40,0.593765476930698,0.85,0.571,7.34807286133235e-36,"1","NR3C1"
