"p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
1.6433472981361e-84,0.684214007847631,0.999,1,4.35240531911346e-80,"0","RPS27"
1.33296715716289e-55,0.479868036623629,0.998,1,3.53036351574591e-51,"0","MALAT1"
4.41437704408603e-50,0.482460422431571,0.979,0.984,1.16914776012619e-45,"0","RPLP2"
2.47503262256994e-49,0.465778652015785,0.992,0.996,6.55512390087648e-45,"0","RPL41"
1.65371237855927e-47,0.509660757663988,0.979,0.985,4.37985723461424e-43,"0","RPS3"
1.51576358787183e-46,0.538634812400292,0.995,0.996,4.01449986247854e-42,"0","RPS18"
5.23759665909939e-46,0.522715448289464,0.994,0.999,1.38717747516247e-41,"0","RPL21"
1.28320788808575e-45,0.485177059376565,0.965,0.98,3.39857609159511e-41,"0","RPL30"
1.91174192573838e-43,0.507094367922456,0.961,0.971,5.0632484903181e-39,"0","RPS12"
2.9273607058373e-43,0.413053211406935,0.968,0.974,7.75311482941009e-39,"0","RPS29"
5.2159405016352e-42,0.659206313113948,0.806,0.761,1.38144184185808e-37,"0","RGCC"
2.21124918371756e-40,0.524047065072759,0.986,0.994,5.85649346307595e-36,"0","RPS14"
7.60232298807911e-40,0.492566773677235,0.966,0.967,2.01347524339275e-35,"0","RPL34"
1.26505290886178e-38,0.400204254710758,0.939,0.967,3.35049262912043e-34,"0","RPS28"
1.40190121686567e-37,0.434644112646211,0.981,0.988,3.71293537286872e-33,"0","RPL13"
1.72507457965402e-37,0.456733720770601,0.958,0.975,4.56886002421368e-33,"0","RPL36"
7.67361123157586e-36,0.397596116952294,0.924,0.963,2.03235593468287e-31,"0","RPL28"
1.90286026111624e-35,0.337312330666141,0.672,0.787,5.03972540156636e-31,"0","FXYD5"
3.07933512912442e-35,0.305360850184089,0.755,0.891,8.15561908948602e-31,"0","EEF1D"
2.03623685120052e-34,0.443032146574584,0.957,0.979,5.39297330040458e-30,"0","RPL32"
4.67346216438639e-34,0.318444206193851,0.804,0.908,1.23776645423773e-29,"0","RPL36AL"
4.93202053835057e-34,0.290856012368759,0.907,0.936,1.30624563958215e-29,"0","RPL39"
8.30443983766711e-34,0.456057093560688,0.952,0.973,2.19943089100613e-29,"0","RPL31"
5.61189717178533e-32,0.435763255105364,0.991,0.996,1.48631096594734e-27,"0","RPS19"
1.1558654619814e-31,0.424836975681958,0.993,0.995,3.06130967605773e-27,"0","RPL13A"
1.37800841529393e-31,0.480766436427141,0.915,0.941,3.64965528790598e-27,"0","FAU"
1.94560212551469e-30,0.424425334019178,0.985,0.992,5.15292722942565e-26,"0","RPL23A"
3.07720091015841e-30,0.419636062366919,0.79,0.846,8.14996661055455e-26,"0","PFDN5"
1.1439466318757e-29,0.259165509577456,0.48,0.634,3.0297426545228e-25,"0","GSTK1"
1.2403242455985e-29,0.365403112159188,0.954,0.975,3.28499876446762e-25,"0","RPL37"
3.47210550663891e-29,0.289834205968245,0.639,0.725,9.19587143433314e-25,"0","HCST"
3.74757283472771e-28,0.380925921640756,0.932,0.975,9.92544665277634e-24,"0","RPS16"
4.58160880671871e-28,0.402958751406887,0.894,0.94,1.21343909245945e-23,"0","RPL11"
4.93002147061974e-28,0.406136454503133,0.992,0.998,1.30571618649364e-23,"0","RPLP1"
8.23181846136747e-28,0.334131762688118,0.63,0.708,2.18019711949317e-23,"0","UBE2S"
2.18731846004637e-27,1.01574156380206,0.611,0.553,5.79311294143282e-23,"0","LMNA"
2.52917252514711e-27,0.271875426880161,0.298,0.427,6.69851343285213e-23,"0","C19orf60"
5.3821940855124e-27,0.390965220798594,0.342,0.44,1.42547410354796e-22,"0","TBCC"
8.65174568665227e-27,0.319602726743242,0.861,0.932,2.29141484510985e-22,"0","RPL14"
1.157720101996e-26,0.285527754512038,0.853,0.896,3.0662216901364e-22,"0","RPS21"
1.46215154398245e-26,0.397753329246397,0.985,0.99,3.87250836423752e-22,"0","RPL18A"
1.51957257010895e-26,0.332764479709831,0.721,0.777,4.02458795193354e-22,"0","S100A10"
3.27340605953883e-26,0.358366550268053,0.962,0.984,8.66961594868858e-22,"0","RPS15"
5.15259370722332e-26,0.391243922311725,0.954,0.975,1.3646644433581e-21,"0","RPS27A"
9.4690957897198e-26,0.335445918653094,0.959,0.984,2.50789001990729e-21,"0","RPL37A"
