"","x"
"1","A10_1001000407"
"2","A10_1001000408"
"3","A10_1001000412"
"4","A10_B000863"
"5","A10_B001470"
"6","A10_B001474"
"7","A10_B001545"
"8","A10_B001548"
"9","A10_B001554"
"10","A10_B001558"
"11","A10_B002572"
"12","A10_B003071"
"13","A10_B003187"
"14","A10_B003518"
"15","A10_B003523"
"16","A10_B003527"
"17","A10_B003528"
"18","A10_B003529"
"19","A10_B003588"
"20","A11_1001000407"
"21","A11_1001000408"
"22","A11_1001000412"
"23","A11_B000860"
"24","A11_B000861"
"25","A11_B000862"
"26","A11_B001007"
"27","A11_B001470"
"28","A11_B001548"
"29","A11_B001551"
"30","A11_B001554"
"31","A11_B001558"
"32","A11_B002077"
"33","A11_B002079"
"34","A11_B002573"
"35","A11_B003115"
"36","A11_B003117"
"37","A11_B003119"
"38","A11_B003518"
"39","A11_B003522"
"40","A11_B003527"
"41","A11_B003528"
"42","A11_B003577"
"43","A12_1001000317"
"44","A12_1001000407"
"45","A12_1001000408"
"46","A12_1001000412"
"47","A12_B000883"
"48","A12_B001608"
"49","A12_B002077"
"50","A12_B002078"
"51","A12_B002572"
"52","A12_B003103"
"53","A12_B003115"
"54","A12_B003116"
"55","A12_B003117"
"56","A12_B003119"
"57","A12_B003187"
"58","A12_B003518"
"59","A12_B003527"
"60","A12_B003529"
"61","A12_B003776"
"62","A13_1001000340"
"63","A13_1001000407"
"64","A13_1001000408"
"65","A13_1001000412"
"66","A13_B000420"
"67","A13_B002077"
"68","A13_B002079"
"69","A13_B003112"
"70","A13_B003115"
"71","A13_B003116"
"72","A13_B003117"
"73","A13_B003120"
"74","A13_B003187"
"75","A13_B003518"
"76","A13_B003522"
"77","A13_B003527"
"78","A13_B003529"
"79","A13_B003771"
"80","A13_B003777"
"81","A13_B003894"
"82","A14_1001000339"
"83","A14_1001000340"
"84","A14_1001000407"
"85","A14_1001000408"
"86","A14_1001000412"
"87","A14_B000422"
"88","A14_B001557"
"89","A14_B002073"
"90","A14_B002078"
"91","A14_B002079"
"92","A14_B002572"
"93","A14_B003112"
"94","A14_B003115"
"95","A14_B003117"
"96","A14_B003120"
"97","A14_B003126"
"98","A14_B003129"
"99","A14_B003132"
"100","A14_B003518"
"101","A14_B003527"
"102","A14_B003588"
"103","A14_B003775"
"104","A14_B003776"
"105","A14_B003777"
"106","A15_1001000340"
"107","A15_1001000407"
"108","A15_1001000408"
"109","A15_1001000412"
"110","A15_B000420"
"111","A15_B001557"
"112","A15_B002074"
"113","A15_B002077"
"114","A15_B002078"
"115","A15_B002079"
"116","A15_B003070"
"117","A15_B003071"
"118","A15_B003112"
"119","A15_B003115"
"120","A15_B003116"
"121","A15_B003117"
"122","A15_B003125"
"123","A15_B003129"
"124","A15_B003132"
"125","A15_B003187"
"126","A15_B003518"
"127","A15_B003522"
"128","A15_B003527"
"129","A15_B003529"
"130","A15_B003771"
"131","A15_B003776"
"132","A15_B003777"
"133","A15_B003894"
"134","A15_B003930"
"135","A15_B003995"
"136","A16_1001000339"
"137","A16_1001000378"
"138","A16_1001000407"
"139","A16_1001000408"
"140","A16_1001000412"
"141","A16_B001007"
"142","A16_B002074"
"143","A16_B002077"
"144","A16_B003071"
"145","A16_B003112"
"146","A16_B003115"
"147","A16_B003116"
"148","A16_B003117"
"149","A16_B003120"
"150","A16_B003129"
"151","A16_B003132"
"152","A16_B003187"
"153","A16_B003518"
"154","A16_B003527"
"155","A16_B003654"
"156","A16_B003771"
"157","A16_B003775"
"158","A16_B003776"
"159","A16_B003777"
"160","A16_B003894"
"161","A16_B003995"
"162","A17_1001000339"
"163","A17_1001000407"
"164","A17_1001000408"
"165","A17_1001000412"
"166","A17_B000420"
"167","A17_B002073"
"168","A17_B002077"
"169","A17_B002097"
"170","A17_B003070"
"171","A17_B003079"
"172","A17_B003112"
"173","A17_B003115"
"174","A17_B003116"
"175","A17_B003117"
"176","A17_B003120"
"177","A17_B003187"
"178","A17_B003518"
"179","A17_B003771"
"180","A17_B003775"
"181","A17_B003776"
"182","A17_B003777"
"183","A18_1001000407"
"184","A18_1001000408"
"185","A18_B000420"
"186","A18_B000422"
"187","A18_B001007"
"188","A18_B002078"
"189","A18_B003112"
"190","A18_B003115"
"191","A18_B003116"
"192","A18_B003120"
"193","A18_B003518"
"194","A18_B003522"
"195","A18_B003527"
"196","A18_B003588"
"197","A18_B003771"
"198","A18_B003775"
"199","A18_B003776"
"200","A18_B003777"
"201","A19_1001000340"
"202","A19_1001000407"
"203","A19_1001000408"
"204","A19_1001000412"
"205","A19_B000420"
"206","A19_B000422"
"207","A19_B002074"
"208","A19_B002077"
"209","A19_B002078"
"210","A19_B002097"
"211","A19_B003070"
"212","A19_B003078"
"213","A19_B003112"
"214","A19_B003116"
"215","A19_B003120"
"216","A19_B003187"
"217","A19_B003518"
"218","A19_B003527"
"219","A19_B003588"
"220","A19_B003776"
"221","A19_B003777"
"222","A19_B003894"
"223","A19_B003995"
"224","A1_1001000295"
"225","A1_B000429"
"226","A1_B000860"
"227","A1_B000863"
"228","A1_B000883"
"229","A1_B001007"
"230","A1_B001464"
"231","A1_B001474"
"232","A1_B001543"
"233","A1_B001558"
"234","A1_B001559"
"235","A1_B003115"
"236","A1_B003132"
"237","A1_B003191"
"238","A1_B003523"
"239","A1_B003648"
"240","A20_1001000339"
"241","A20_1001000407"
"242","A20_1001000408"
"243","A20_1001000412"
"244","A20_B000422"
"245","A20_B000887"
"246","A20_B000901"
"247","A20_B002073"
"248","A20_B002074"
"249","A20_B002078"
"250","A20_B002079"
"251","A20_B002573"
"252","A20_B003105"
"253","A20_B003112"
"254","A20_B003115"
"255","A20_B003116"
"256","A20_B003120"
"257","A20_B003187"
"258","A20_B003518"
"259","A20_B003522"
"260","A20_B003527"
"261","A20_B003529"
"262","A20_B003588"
"263","A20_B003648"
"264","A20_B003894"
"265","A21_1001000407"
"266","A21_1001000408"
"267","A21_1001000412"
