"","x"
"1","A10_1001000329"
"2","A10_1001000410"
"3","A10_B000420"
"4","A10_B000422"
"5","A10_B000580"
"6","A10_B001007"
"7","A10_B001008"
"8","A10_B001010"
"9","A10_B001551"
"10","A10_B001556"
"11","A10_B001557"
"12","A10_B001559"
"13","A10_B001608"
"14","A10_B002073"
"15","A10_B002074"
"16","A10_B002077"
"17","A10_B002078"
"18","A10_B002079"
"19","A10_B003048"
"20","A10_B003067"
"21","A10_B003103"
"22","A10_B003117"
"23","A10_B003121"
"24","A10_B003125"
"25","A10_B003126"
"26","A10_B003643"
"27","A10_B003646"
"28","A10_B003648"
"29","A10_B003657"
"30","A10_B003775"
"31","A10_B003776"
"32","A10_B003777"
"33","A10_B003894"
"34","A10_B003920"
"35","A10_B003930"
"36","A11_1001000294"
"37","A11_1001000295"
"38","A11_1001000329"
"39","A11_1001000409"
"40","A11_1001000410"
"41","A11_B000420"
"42","A11_B000422"
"43","A11_B000579"
"44","A11_B000580"
"45","A11_B001007"
"46","A11_B001008"
"47","A11_B001010"
"48","A11_B001548"
"49","A11_B001556"
"50","A11_B001557"
"51","A11_B001608"
"52","A11_B003048"
"53","A11_B003070"
"54","A11_B003105"
"55","A11_B003117"
"56","A11_B003121"
"57","A11_B003125"
"58","A11_B003187"
"59","A11_B003588"
"60","A11_B003642"
"61","A11_B003643"
"62","A11_B003648"
"63","A11_B003657"
"64","A11_B003659"
"65","A11_B003771"
"66","A11_B003776"
"67","A11_B003777"
"68","A11_B003894"
"69","A11_B003920"
"70","A11_B003930"
"71","A12_1001000409"
"72","A12_1001000410"
"73","A12_B000420"
"74","A12_B000422"
"75","A12_B000860"
"76","A12_B000861"
"77","A12_B000862"
"78","A12_B000863"
"79","A12_B000883"
"80","A12_B001464"
"81","A12_B001470"
"82","A12_B001474"
"83","A12_B001475"
"84","A12_B001543"
"85","A12_B001545"
"86","A12_B001548"
"87","A12_B001551"
"88","A12_B001554"
"89","A12_B001557"
"90","A12_B001607"
"91","A12_B001608"
"92","A12_B002074"
"93","A12_B002079"
"94","A12_B003048"
"95","A12_B003115"
"96","A12_B003117"
"97","A12_B003121"
"98","A12_B003126"
"99","A12_B003187"
"100","A12_B003191"
"101","A12_B003523"
"102","A12_B003528"
"103","A12_B003577"
"104","A12_B003648"
"105","A12_B003657"
"106","A12_B003659"
"107","A13_1001000409"
"108","A13_B000860"
"109","A13_B000861"
"110","A13_B000862"
"111","A13_B000863"
"112","A13_B001460"
"113","A13_B001470"
"114","A13_B001475"
"115","A13_B001543"
"116","A13_B001545"
"117","A13_B001548"
"118","A13_B001551"
"119","A13_B001557"
"120","A13_B002571"
"121","A13_B002572"
"122","A13_B003046"
"123","A13_B003067"
"124","A13_B003070"
"125","A13_B003093"
"126","A13_B003115"
"127","A13_B003117"
"128","A13_B003121"
"129","A13_B003191"
"130","A13_B003523"
"131","A13_B003528"
"132","A13_B003642"
"133","A13_B003647"
"134","A13_B003648"
"135","A13_B003657"
"136","A13_B003776"
"137","A14_1001000409"
"138","A14_1001000410"
"139","A14_B000860"
"140","A14_B000861"
"141","A14_B000862"
"142","A14_B000863"
"143","A14_B001460"
"144","A14_B001464"
"145","A14_B001470"
"146","A14_B001474"
"147","A14_B001543"
"148","A14_B001545"
"149","A14_B001548"
"150","A14_B001554"
"151","A14_B001556"
"152","A14_B001559"
"153","A14_B001608"
"154","A14_B002571"
"155","A14_B002573"
"156","A14_B003093"
"157","A14_B003097"
"158","A14_B003115"
"159","A14_B003117"
"160","A14_B003121"
"161","A14_B003523"
"162","A14_B003528"
"163","A14_B003577"
