"p_val" "avg_logFC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
"ICOS" 0 2.6669496456442 0.45 0.058 0 "0" "ICOS"
"CXCR6" 0 2.36096629930671 0.366 0.045 0 "0" "CXCR6"
"CD6" 0 2.3237648181166 0.6 0.106 0 "0" "CD6"
"SPOCK2" 0 2.26425709744928 0.704 0.13 0 "0" "SPOCK2"
"MPZL3" 0 2.16761915767961 0.409 0.084 0 "0" "MPZL3"
"RORA" 0 2.15245347870145 0.556 0.136 0 "0" "RORA"
"PBX4" 0 2.11727112337689 0.319 0.053 0 "0" "PBX4"
"CD8A" 0 2.10678969626105 0.383 0.069 0 "0" "CD8A"
"TNFRSF25" 0 2.04229400489498 0.37 0.076 0 "0" "TNFRSF25"
"CD5" 0 2.04099386412705 0.393 0.084 0 "0" "CD5"
"IL7R" 0 2.02455847163476 0.754 0.228 0 "0" "IL7R"
"TRAT1" 0 1.99939492118971 0.353 0.057 0 "0" "TRAT1"
"ETS1" 0 1.95927101444252 0.678 0.179 0 "0" "ETS1"
"ITK" 0 1.93757664144147 0.413 0.087 0 "0" "ITK"
"FYN" 0 1.92762974163461 0.812 0.252 0 "0" "FYN"
"BCL11B" 0 1.88597951598358 0.643 0.116 0 "0" "BCL11B"
"CD3E" 0 1.85010459765837 0.783 0.148 0 "0" "CD3E"
"CD96" 0 1.834980990644 0.588 0.106 0 "0" "CD96"
"CD2" 0 1.81199306514759 0.828 0.179 0 "0" "CD2"
"SH2D2A" 0 1.80955191464015 0.512 0.105 0 "0" "SH2D2A"
"SH2D1A" 0 1.79814428035454 0.449 0.086 0 "0" "SH2D1A"
"TC2N" 0 1.7301283001305 0.406 0.086 0 "0" "TC2N"
"ZAP70" 0 1.72934035706819 0.424 0.1 0 "0" "ZAP70"
"CNOT6L" 0 1.68669001013232 0.755 0.345 0 "0" "CNOT6L"
"CD7" 0 1.63776393048388 0.495 0.109 0 "0" "CD7"
"LCK" 0 1.63339516698376 0.685 0.156 0 "0" "LCK"
"TTC39C" 0 1.60720419358942 0.6 0.222 0 "0" "TTC39C"
"STAT4" 0 1.60048947997545 0.59 0.191 0 "0" "STAT4"
"CD3G" 0 1.5774491384238 0.777 0.15 0 "0" "CD3G"
"IL32" 0 1.57576232890784 0.966 0.26 0 "0" "IL32"
"CXCR4" 0 1.50208538051748 0.936 0.663 0 "0" "CXCR4"
"SEPT1" 0 1.490583405419 0.585 0.216 0 "0" "SEPT1"
"ITM2A" 0 1.48489209936049 0.615 0.197 0 "0" "ITM2A"
"CLEC2D" 0 1.45134545639321 0.72 0.327 0 "0" "CLEC2D"
"ZFP36L2" 0 1.43571451163854 0.955 0.732 0 "0" "ZFP36L2"
"SARAF" 0 1.42665515629779 0.97 0.765 0 "0" "SARAF"
