"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"ACOT13",6.15843615156295e-06,0.321002747335128,0.794,0.735,0.163106181474145
"CAPN2",6.41203384517831e-06,-0.435440074508478,0.959,0.935,0.169822716389548
"DDAH1",6.52179981982772e-06,0.409932772601337,0.752,0.657,0.172729868228137
"DDX6",6.7192615498921e-06,0.385758928337331,0.858,0.839,0.177959642148892
"TMEM205",6.85598471572789e-06,0.369767785687297,0.835,0.887,0.181580755196053
"ZNF331",6.88418137577108e-06,0.281211374217067,0.452,0.296,0.182327543737297
"RNASE4",6.99002590187311e-06,0.53369112804584,0.524,0.43,0.185130836011109
"LGALS1",7.14087093667055e-06,-1.02261907330792,0.332,0.422,0.18912596675772
"HNRNPA2B1",7.27869937580697e-06,0.275474073571752,0.986,0.965,0.192776352968248
"PCK2",7.50321263727317e-06,0.288793062224544,0.49,0.348,0.19872258669818
"PAPD5",7.71658205930058e-06,0.361710659176601,0.513,0.4,0.204373675840576
"NRP2",8.01389390144506e-06,0.353108537413356,0.388,0.252,0.212247979979773
"SZT2",8.16597677258671e-06,0.396689186007664,0.553,0.422,0.216275894821959
"ARID1A",8.4014469769855e-06,0.416632084757165,0.768,0.752,0.222512323185461
"LPCAT3",8.46596799516455e-06,0.273710657141927,0.63,0.513,0.224221162351933
"WWC2",8.48128505662696e-06,0.319927793170495,0.553,0.457,0.224626834724765
"PGS1",8.5361765307198e-06,0.311894196073986,0.445,0.33,0.226080635416114
"CXADR",8.67465867297298e-06,-0.293098857726629,0.713,0.783,0.229748334953689
"ZNF644",8.90120243246566e-06,0.340797498191524,0.65,0.591,0.235748346423853
"UNC93B1",9.01894053728947e-06,-0.500754237917068,0.65,0.7,0.238866640130111
"EPB41L5",9.02021816068446e-06,0.464073330095582,0.684,0.626,0.238900477985728
"TMEM9",9.44469607896234e-06,0.37890610513007,0.831,0.926,0.250142775651318
"SNX5",9.63175929070978e-06,0.254749073083725,0.767,0.696,0.255097144814449
"SERP1",9.99632887307706e-06,0.314090387520349,0.898,0.904,0.264752770203446
"ATP6V0B",1.00829376706474e-05,-0.33771201403159,0.871,0.943,0.267046604207096
"CSF1",1.03868272535816e-05,-0.26026155419962,0.253,0.378,0.27509511981111
"SRPRB",1.06034107682185e-05,-0.323482503075157,0.601,0.687,0.280831334196268
