"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"S100A9",4.12833929578635e-140,2.86003865545891,0.869,0.122,1.09339066248902e-135
"MUC5B",2.67964029323175e-129,3.07626954523214,0.869,0.111,7.0970273166243e-125
"MUC16",4.94037681073466e-125,2.34112081186392,0.799,0.068,1.30845879832308e-120
"TGM2",1.2617920481314e-114,2.00533053119933,0.786,0.104,3.34185623947602e-110
"PTN",1.04846853155074e-110,1.30079802110749,0.729,0.048,2.77686890581213e-106
"FOLR1",1.91974020351232e-110,-1.6495750872514,0.263,0.916,5.08443192900237e-106
"SUSD2",7.24268874235545e-110,-1.41890848951864,0.083,0.846,1.91822611341284e-105
"HLA-DPB1",4.5813797443773e-109,-1.68383457558169,0.225,0.882,1.21337842529833e-104
"HLA-DPA1",9.49167166374028e-109,-1.66563076563187,0.164,0.86,2.51386924014161e-104
"CPM",1.95372051445475e-108,-1.46829683326113,0.208,0.88,5.17442878253342e-104
"EMP2",1.79680713052995e-107,-1.77686153463169,0.663,0.975,4.75884368520858e-103
"SFTPB",1.3580415803537e-106,-3.28207744923856,0.4,0.882,3.59677312556677e-102
"TNC",2.79843827496468e-105,1.95238768586591,0.731,0.088,7.41166377124395e-101
"C1orf116",3.20048313393294e-102,-1.54819782387256,0.35,0.919,8.47647958022139e-98
"MS4A15",1.01976635769983e-100,-1.03897683032885,0.022,0.693,2.700851198368e-96
"CYP4B1",6.69731861938553e-100,-2.12099330014106,0.101,0.77,1.77378483634426e-95
"CADM1",1.20142737868248e-99,-1.42782032095919,0.107,0.786,3.18198041244054e-95
"HLA-DMA",4.61519578546028e-98,-1.58859104549608,0.35,0.907,1.22233460377915e-93
"SELENBP1",4.3568390362555e-97,-1.6903877652354,0.484,0.932,1.15390881875227e-92
"MARCKS",5.45612190916698e-97,0.966148095199102,0.847,0.196,1.44505388764287e-92
"SFTPD",7.66187707513242e-97,-2.3856553156834,0.107,0.767,2.02924814334882e-92
"AQP4",2.68821580376523e-96,-2.53396280034029,0.085,0.749,7.11973955627221e-92
"OS9",1.74320052012597e-93,2.25949626966535,0.934,0.813,4.61686657755363e-89
"HLA-DRB5",5.79304842883162e-93,-1.22193727790159,0.481,0.914,1.53428887637605e-88
"COL1A1",3.5874782292757e-92,2.1531186443462,0.814,0.321,9.50143609023668e-88
"CYP2B7P",2.4325544672256e-91,-0.817366902392998,0.07,0.736,6.442620506447e-87
"CHGB",2.67227763379065e-90,1.25302390663176,0.571,0.005,7.07752731309454e-86
"SOX11",8.93346809248997e-90,1.01133290660321,0.687,0.093,2.36602902429597e-85
"GAPDH",1.62896146255039e-89,1.41472039288866,0.985,0.943,4.3143044335647e-85
"SCGB3A1",5.30720564610841e-89,-1.77771644686342,0.173,0.813,1.40561341537181e-84
"HLA-DRB1",2.40804605553609e-88,-1.32404996639314,0.632,0.964,6.37770997808733e-84
"PLAT",5.31528157161881e-88,1.78355015852646,0.608,0.043,1.40775232424324e-83
"NCKAP1L",1.94518060118507e-86,1.06636044985589,0.562,0.014,5.15181082223866e-82
"ATP13A4",5.69156579557736e-86,-1.22916334071934,0.385,0.89,1.50741120095866e-81
"CYP27B1",2.57678183752013e-85,1.23969542035992,0.65,0.068,6.82460669667206e-81
"FLRT3",1.09859190162807e-84,-0.95091183797168,0.083,0.702,2.90962065146193e-80
"GAS6",7.07271255107093e-84,-1.05882459013323,0.088,0.702,1.87320791915114e-79
"HLA-DMB",4.63796677735443e-83,-1.23185880973291,0.092,0.704,1.22836550098232e-78
"CD74",1.47181094375753e-82,-1.3892537616658,0.943,0.995,3.89809128454182e-78
"LRIG3",5.19746622291008e-81,1.63328754351289,0.821,0.404,1.37654892913773e-76
"MARCH9",6.36705935723204e-81,1.5112348912032,0.796,0.296,1.68631567076291e-76
"PLA2G10",1.96785674888717e-79,-0.430445135393348,0.07,0.657,5.21186859942767e-75
"MSLN",2.26585328359405e-79,-1.66887023055337,0.107,0.707,6.00111242159885e-75
"SRGAP1",2.57424313192624e-78,1.09543274769078,0.705,0.151,6.81788293490666e-74
"SLC22A31",1.17629360847298e-77,-1.114375611878,0.127,0.709,3.1154136220407e-73
"SERPINA1",2.09846240076406e-77,2.27664411341208,0.88,0.47,5.55777766842361e-73
"AGR2",2.6319906717056e-77,1.54865832356045,0.928,0.709,6.97082729401229e-73
"HLA-DRA",4.86839539575143e-77,-1.45072956873892,0.705,0.962,1.28939452056477e-72
"ARHGDIB",1.30358070480294e-76,1.9857619085209,0.832,0.494,3.45253349667059e-72
"AGAP2-AS1",2.08737414138205e-76,0.620012629401129,0.554,0.036,5.52841041345035e-72
"GGT5",4.58455002042256e-76,1.1431762918007,0.586,0.065,1.21421807290891e-71
"METTL1",5.04915704063949e-76,1.33868780413755,0.759,0.268,1.33726924221337e-71
"CCT2",3.235125807814e-75,1.86641030471509,0.897,0.738,8.56823070199538e-71
"NUP107",4.61857014880655e-75,0.984205353215105,0.772,0.271,1.22322830391141e-70
"NR2F1-AS1",6.46990999215139e-74,0.681820403514003,0.602,0.075,1.71355566142129e-69
"CHL1",2.32396181759334e-73,0.488459011065559,0.514,0.02,6.15501287389596e-69
"AK1",3.11527636526268e-73,-1.23624427533462,0.466,0.898,8.25080945339821e-69
"NAPSA",7.61014115199321e-73,-1.4009763852674,0.473,0.874,2.0155458841054e-68
"TIAM1",2.41488491356806e-72,0.639321456402956,0.523,0.032,6.39582269358502e-68
"CYB5A",3.28387454332344e-72,-1.03752854292037,0.497,0.889,8.69734172799213e-68
"TIMP1",3.57291773766139e-71,1.26103584206651,0.805,0.336,9.4628726281962e-67
"LEPR",5.67427309042228e-71,0.783213838675668,0.514,0.032,1.50283122799834e-66
