"","cell_id","norm_epi_annotation"
"A15_B000420","A15_B000420","unknown stroma"
"A1_B000883","A1_B000883","unknown stroma"
"A22_B002077","A22_B002077","unknown stroma"
"A2_1001000412","A2_1001000412","unknown stroma"
"A3_B003187","A3_B003187","unknown stroma"
"A4_B000861","A4_B000861","unknown stroma"
"A8_B000579","A8_B000579","unknown stroma"
"B13_B000579","B13_B000579","unknown stroma"
"B2_B000901","B2_B000901","unknown stroma"
"B2_B003648","B2_B003648","unknown stroma"
"B6_1001000408","B6_1001000408","unknown stroma"
"C15_B003113","C15_B003113","unknown stroma"
"C15_B003120","C15_B003120","ionocyte"
"C17_B000577","C17_B000577","unknown stroma"
"C21_B003656","C21_B003656","unknown stroma"
"D10_1001000327","D10_1001000327","unknown stroma"
"E13_B000580","E13_B000580","unknown stroma"
"E13_B003125","E13_B003125","unknown stroma"
"E15_B002078","E15_B002078","unknown stroma"
"E18_B002077","E18_B002077","unknown stroma"
"E1_B001608","E1_B001608","unknown stroma"
"E21_B003067","E21_B003067","unknown stroma"
"E5_B003648","E5_B003648","unknown stroma"
"E5_B003659","E5_B003659","unknown stroma"
"E7_B003658","E7_B003658","unknown stroma"
"F17_B000569","F17_B000569","unknown stroma"
"F20_B003120","F20_B003120","ionocyte"
"F2_B003658","F2_B003658","unknown stroma"
"F3_1001000411","F3_1001000411","unknown stroma"
"F5_B000894","F5_B000894","unknown stroma"
"F6_1001000327","F6_1001000327","unknown stroma"
"G14_B000580","G14_B000580","unknown stroma"
"G1_B003113","G1_B003113","unknown stroma"
"G2_B000579","G2_B000579","unknown stroma"
"G7_B003659","G7_B003659","unknown stroma"
"G9_B000569","G9_B000569","unknown stroma"
"H19_B003071","H19_B003071","unknown stroma"
"H1_B000883","H1_B000883","unknown stroma"
"H2_1001000293","H2_1001000293","unknown stroma"
"H3_B003995","H3_B003995","unknown stroma"
"I1_B001545","I1_B001545","unknown stroma"
"J4_B003995","J4_B003995","unknown stroma"
"K16_B003120","K16_B003120","ionocyte"
"K20_B002078","K20_B002078","unknown stroma"
"K20_B003120","K20_B003120","unknown stroma"
"L14_B003120","L14_B003120","ionocyte"
"L15_B000422","L15_B000422","unknown stroma"
"L2_B000579","L2_B000579","unknown stroma"
"L3_B003648","L3_B003648","unknown stroma"
"L5_B003659","L5_B003659","unknown stroma"
"L7_B003995","L7_B003995","unknown stroma"
"M19_B003112","M19_B003112","unknown stroma"
"M20_B003067","M20_B003067","unknown stroma"
"M4_B002572","M4_B002572","unknown stroma"
"N11_B003647","N11_B003647","unknown stroma"
"N1_B003995","N1_B003995","unknown stroma"
"O11_B003663","O11_B003663","unknown stroma"
"O2_B003658","O2_B003658","unknown stroma"
"O4_B003115","O4_B003115","unknown stroma"
"P11_B000580","P11_B000580","unknown stroma"
"P19_B003646","P19_B003646","unknown stroma"
"A21_B003187","A21_B003187","unknown stroma"
"B5_B003995","B5_B003995","unknown stroma"
"K7_B003995","K7_B003995","unknown stroma"
"M14_1001000366","M14_1001000366","unknown stroma"
"N22_B003187","N22_B003187","unknown stroma"
"O22_B000422","O22_B000422","unknown stroma"
"N12_B003995","N12_B003995","unknown stroma"
"D8_B000577","D8_B000577","unknown stroma"
"A17_B003116","A17_B003116","ionocyte"
"A21_B003116","A21_B003116","ionocyte"
"C16_B003656","C16_B003656","unknown stroma"
"C17_B003656","C17_B003656","unknown stroma"
"C19_B003656","C19_B003656","unknown stroma"
"C20_B003656","C20_B003656","unknown stroma"
"C22_B003656","C22_B003656","unknown stroma"
"D11_1001000317","D11_1001000317","club cell"
"E22_B003112","E22_B003112","ionocyte"
"F15_B003112","F15_B003112","ionocyte"
"F20_B003112","F20_B003112","ionocyte"
"G22_B003112","G22_B003112","ionocyte"
"H21_B003112","H21_B003112","club cell"
"I12_B003120","I12_B003120","club cell"
"J11_B003119","J11_B003119","ionocyte"
