"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"SFTPD",2.09763828674121e-189,1.86233447884208,0.983,0.353,5.55559500243411e-185,"0","SFTPD"
"SFTPA2",4.71087106641026e-178,2.18838844379018,0.981,0.33,1.24767420193876e-173,"0","SFTPA2"
"SFTPB",1.52266772571795e-177,1.73306019865545,0.998,0.522,4.03278547156398e-173,"0","SFTPB"
"SFTPA1",1.83441421563746e-170,1.98393733650586,0.976,0.326,4.85844605011581e-166,"0","SFTPA1"
"ABCA3",8.38781503616279e-157,1.31205706937019,0.952,0.267,2.22151281232771e-152,"0","ABCA3"
"SFTPC",1.7396241624746e-153,1.68440957282329,0.929,0.265,4.60739459431399e-149,"0","SFTPC"
"NAPSA",6.6121479533213e-144,1.189498441381,0.995,0.471,1.75122738543715e-139,"0","NAPSA"
"CRTAC1",7.55974417262092e-138,0.896408558868071,0.907,0.2,2.00219824411865e-133,"0","CRTAC1"
"C16orf89",3.06261046828421e-131,1.00765924634049,0.974,0.362,8.11132382525072e-127,"0","C16orf89"
"PGC",2.53749119693313e-130,1.57591344331011,0.883,0.243,6.72054543507739e-126,"0","PGC"
"LAMP3",8.76795808732801e-130,0.79799535382865,0.948,0.251,2.32219369942882e-125,"0","LAMP3"
"SLC22A31",6.04495007348387e-127,0.733579345389501,0.895,0.269,1.6010050269622e-122,"0","SLC22A31"
"PEBP4",5.40140017585569e-120,0.877596228085582,0.943,0.307,1.43056083657538e-115,"0","PEBP4"
"LRP2",2.05669947882828e-117,0.322569958256346,0.683,0.117,5.4471685696767e-113,"0","LRP2"
"FABP5",2.61466143116267e-117,1.11410615528289,0.952,0.405,6.92493080043432e-113,"0","FABP5"
"LRRK2",1.31564729835962e-116,0.56086477170962,0.929,0.252,3.48449186970545e-112,"0","LRRK2"
"C2",1.45982821017869e-116,0.730943206901419,0.914,0.27,3.86635501465826e-112,"0","C2"
"SELENBP1",7.65195184867762e-116,1.1166507314064,0.979,0.538,2.02661944712227e-111,"0","SELENBP1"
"SCGB3A2",1.2145736272851e-112,0.860347874577824,0.774,0.179,3.21679825186459e-108,"0","SCGB3A2"
