"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"EDIL3",4.35237686031644e-245,0.800379263233844,0.695,0.02,1.15272701145481e-240
"SFTPA1",3.18915202518727e-214,4.32108334339541,0.707,0.034,8.44646913870849e-210
"LGALS4",2.13022014899135e-209,1.48005825531102,0.659,0.027,5.64188806460358e-205
"ZNF385B",8.7314638191131e-209,0.575140727506744,0.61,0.019,2.3125281924921e-204
"SCGB3A2",2.58154887070988e-201,4.11753563088971,0.701,0.039,6.83723218407512e-197
"SFTPA2",3.17866251258071e-197,4.52026553484255,0.762,0.054,8.41868766457001e-193
"NECAB1",3.06083739031743e-192,0.495709158507345,0.512,0.011,8.1066278282557e-188
"CHIA",6.12089307004604e-184,0.531966776288527,0.384,0,1.62111852960169e-179
"NAPSA",6.83478510398552e-162,2.37253027875745,0.884,0.113,1.81019283479056e-157
"MYO1G",6.2741724400282e-155,0.504816261898222,0.439,0.012,1.66171457074147e-150
"CCL2",2.38712970417416e-151,0.937370611665198,0.488,0.019,6.32231302150525e-147
"HABP2",4.10673165485582e-151,0.589037978097871,0.518,0.024,1.08766787878856e-146
"PPP1R1B",3.00852849279517e-149,0.643806614265884,0.543,0.028,7.968087713168e-145
"CTSE",5.9640290757946e-142,2.53344183988497,0.744,0.089,1.5795731007242e-137
"SCTR",1.21589103529278e-137,0.566843807027187,0.53,0.031,3.22028740697292e-133
"APOH",7.25610696563973e-136,0.250425861431016,0.299,0.001,1.92177992984968e-131
"FGG",8.84520669377275e-136,3.18896589412664,0.451,0.019,2.34265299284571e-131
"RNASE1",2.07036156477052e-135,1.73267852866304,0.896,0.13,5.48335260429473e-131
"LRRK2",3.28089151512989e-132,0.673475407993495,0.573,0.045,8.68944117782152e-128
"ABCA3",8.89670121378572e-127,1.04427498829162,0.677,0.076,2.35629131647115e-122
"METTL7B",3.71178556286446e-126,0.449499282619492,0.463,0.024,9.83066406324652e-122
"ROS1",6.12469910293315e-124,0.343958784797942,0.5,0.031,1.62212655741185e-119
"NKX2-1",4.70806318656169e-120,0.786240785630265,0.854,0.137,1.24693053496086e-115
"SFTPB",3.95591532228219e-117,2.00589062615491,0.811,0.123,1.04772417310644e-112
"FGA",5.06238077405134e-116,0.822242109522939,0.354,0.011,1.3407715480075e-111
"C4BPA",1.97926769779016e-114,1.0084350161069,0.854,0.132,5.24209049759725e-110
"ARSE",7.14924238318675e-109,0.493736616929029,0.506,0.043,1.89347684518701e-104
"LOC101927630",6.38082781547139e-108,0.260653298170018,0.482,0.038,1.6899622469276e-103
"SULT1C2",7.45898209685474e-108,0.273681252272801,0.311,0.008,1.97551140835198e-103
"FCGR2A",1.22227822513706e-107,0.617638704187881,0.561,0.058,3.2372038792755e-103
"C16orf89",3.05255722461532e-107,0.883826297805852,0.762,0.107,8.08469780939367e-103
"HLA-DOA",4.27855497351822e-105,0.573545908379845,0.591,0.067,1.1331752847363e-100
"GUCY1A3",1.95095893641888e-104,0.31256733471064,0.494,0.04,5.16711474310539e-100
"MACROD2",1.02432482596612e-103,0.737882877276172,0.573,0.067,2.71292430157126e-99
"PCP4",1.85634145402277e-102,0.452792728370655,0.354,0.016,4.9165203409793e-98
"GSTM1",8.56013260230872e-101,0.389222859546959,0.616,0.072,2.26715111972146e-96
"RCAN2",2.05542591773812e-100,0.301890817761146,0.378,0.021,5.44379554312941e-96
"PRODH",2.64670156193543e-100,0.451188490005943,0.591,0.074,7.009789086786e-96
"FOXA2",2.14477276732983e-99,0.643458878597136,0.707,0.103,5.68043067427305e-95
"CDKL2",2.28840911819412e-99,0.511702760395094,0.61,0.074,6.06085154953713e-95
"C8orf34-AS1",5.21956496565149e-97,0.665229008426746,0.488,0.046,1.3824017811528e-92
"SLC22A31",1.1741731835162e-96,0.989675865968271,0.713,0.122,3.10979767654264e-92
"MST1L",1.6261167445492e-96,0.285167270522822,0.537,0.059,4.30677019793855e-92
