"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"SCGB3A2",1.05079925436855e-273,-3.43000381106647,0.039,0.808,2.78304182519512e-269
"AZGP1",2.50028206251928e-235,-1.45664424320026,0.031,0.719,6.6219970425823e-231
"KCNJ15",1.0374283259093e-224,-1.46797366146347,0.053,0.783,2.74762892117079e-220
"CRTAC1",2.13322357503065e-216,-1.2254384552165,0.028,0.65,5.64984263846867e-212
"PTCSC3",1.99743851911189e-210,-0.733771512060355,0.012,0.532,5.29021591786785e-206
"LL22NC03-75H12.2",3.77503199225659e-195,-0.344151061718837,0.006,0.463,9.99817223149158e-191
"C16orf89",1.80179211727463e-194,-2.47030190695444,0.107,0.887,4.77204642260187e-190
"RCN3",8.39040958764053e-192,-0.787874326116427,0.028,0.591,2.22219997928659e-187
"P3H2",2.88594892672771e-187,-0.83491073767742,0.061,0.734,7.64343573243833e-183
"NKX2-1",7.08554887043037e-187,-1.15551189923109,0.137,0.956,1.87660761833348e-182
"CFTR",7.10253950254154e-183,-0.767418281062964,0.016,0.507,1.88110758724813e-178
"SCTR",1.34108806369212e-177,-0.998662627319784,0.031,0.586,3.55187173668858e-173
"DLC1",2.00954081639584e-177,-0.941045223884909,0.067,0.749,5.32226885222438e-173
"NAPSA",8.19877482653492e-176,-2.13629232605456,0.113,0.892,2.17144551280777e-171
"SLC47A1",4.61134124991142e-175,-0.595647253583871,0.014,0.478,1.22131373003904e-170
"SFTPB",6.74556267788287e-174,-2.1810593572411,0.123,0.911,1.78656227523728e-169
"SLC22A31",2.38175891586653e-169,-1.66650267090922,0.122,0.847,6.3080884886725e-165
"ROS1",5.82053132101406e-155,-0.509744271340251,0.031,0.542,1.54156772037057e-150
"NHS",6.5470439017888e-154,-1.02300444660723,0.046,0.596,1.73398457738876e-149
"ITPR2",9.30137013514574e-151,-1.12005736823235,0.128,0.808,2.46346788029335e-146
"MS4A15",1.74055566452293e-148,-0.91050341317258,0.071,0.7,4.60986167748897e-144
"RNASE1",1.17390601338279e-144,-1.76305541327793,0.13,0.833,3.10909007644433e-140
"MXRA8",3.60613001324652e-143,-0.599744526105243,0.025,0.478,9.55083534008341e-139
"MEF2C",4.56978789005875e-142,-0.360412391508359,0.026,0.478,1.21030832268206e-137
"DMBT1",1.25084698137321e-141,-1.68656484630041,0.044,0.552,3.31286823016695e-137
"ADGRF5",2.03144423876167e-140,-1.0111013747459,0.133,0.828,5.38028006636028e-136
"SFTPD",7.13289727198561e-140,-1.26479227905725,0.115,0.818,1.88914784248539e-135
"C4BPA",1.73406973351284e-135,-1.18303575349046,0.132,0.852,4.59268368920876e-131
"FOXA2",7.6256467139401e-134,-0.777685937914923,0.103,0.759,2.01965253218704e-129
"SFTA3",2.13661963366563e-133,-1.34458194286442,0.151,0.852,5.65883709976342e-129
"HLA-DOA",2.53077230505674e-130,-0.898410817922998,0.067,0.611,6.70275044994277e-126
"MST1P2",2.67733023848111e-126,-0.380575754435807,0.063,0.591,7.09090913661721e-122
"CES3",1.87856440200008e-124,-0.62152992447286,0.029,0.458,4.97537781869722e-120
