"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","naive pt.occupancy","naive n.nonzero.pts","grouped_pr pt.occupancy","grouped_pr n.nonzero.pts"
"MS4A15",1.86959710406753e-193,-1.01097033742798,0.013,0.675,4.95162793012285e-189,0.5,6,0.370466321243523,7
"SUSD2",2.59064889094383e-192,-1.61064971988607,0.108,0.823,6.86133358766473e-188,0.456896551724138,10,0.37791932059448,8
"C1orf116",3.05021565086581e-165,-1.64970974181031,0.384,0.92,8.07849615131811e-161,0.366504854368932,11,0.355513307984791,9
"FLRT3",1.67193946055338e-160,-0.96482110903738,0.062,0.684,4.42813166127563e-156,0.253731343283582,9,0.38618925831202,9
"AQP4",5.16700069028155e-148,-2.56433749570054,0.138,0.729,1.36848013282107e-143,0.493243243243243,9,0.436450839328537,9
"CADM1",2.33869822016062e-146,-1.37895235286323,0.159,0.766,6.1940422360954e-142,0.421052631578947,12,0.383561643835616,8
"CPM",7.11588287639663e-141,-1.41841148799995,0.303,0.858,1.88464157981365e-136,0.516923076923077,12,0.362525458248472,10
"MUC16",2.84300075260992e-132,1.86538047349745,0.719,0.066,7.52968749328737e-128,0.436528497409326,11,0.394736842105263,7
"SFTPD",1.63661416359159e-125,-2.17010834599248,0.194,0.747,4.33457261227233e-121,0.682692307692308,9,0.405152224824356,8
"RGS16",1.22929021623483e-124,-1.84355973451905,0.327,0.815,3.25577513769795e-120,0.512820512820513,11,0.388412017167382,8
"MUC1",9.55713969081623e-123,-1.13677943273974,0.815,0.981,2.53120844711268e-118,0.345142857142857,12,0.338680926916221,10
"LDHB",3.45932063300202e-117,1.54303671120856,0.93,0.713,9.16201069650584e-113,0.353707414829659,12,0.350490196078431,10
"ATP13A4",3.32245334183169e-115,-1.24626281178509,0.375,0.867,8.79951767584122e-111,0.465174129353234,10,0.360887096774194,8
"PGC",5.67470789715511e-114,-2.09309943119113,0.023,0.476,1.50294638656153e-109,0.32,5,0.356617647058824,8
"CLIC3",1.65698920160888e-107,-0.883942163684047,0.129,0.635,4.38853590046112e-103,0.347826086956522,12,0.40771349862259,8
"QPRT",2.93333349045882e-106,-0.577308749508938,0.056,0.528,7.76893374948018e-102,0.266666666666667,11,0.360927152317881,8
"MSLN",2.23016840255402e-105,-1.46414385695314,0.18,0.689,5.90660101416433e-101,0.507772020725389,9,0.461928934010152,7
"TGM2",1.40235133624851e-104,1.39609639535452,0.679,0.101,3.71412751405419e-100,0.458161865569273,11,0.517241379310345,5
"TNS1",2.36188660862773e-104,-0.799674967094467,0.281,0.788,6.25545668295054e-100,0.427152317880795,11,0.407982261640798,8
"FOLR1",1.04017324659421e-103,-1.11664490388687,0.377,0.892,2.75489884360477e-99,0.540740740740741,11,0.350980392156863,9
"TSPAN1",6.96879207455034e-103,2.35516597559147,0.86,0.395,1.84568458094466e-98,0.347778981581798,11,0.402654867256637,10
"SCGB3A1",1.02333301759095e-102,-1.4657403897749,0.281,0.792,2.71029749708964e-98,0.599337748344371,11,0.381898454746137,7
"HLA-DPB1",3.83109212161584e-100,-1.38652563012706,0.479,0.858,1.01466474840996e-95,0.40272373540856,12,0.34826883910387,8
"PEBP4",4.45560036640331e-100,-0.710284232410188,0.022,0.43,1.18006575704192e-95,0.416666666666667,6,0.333333333333333,6
"PDGFA",6.81479983111958e-100,-0.698965634576118,0.358,0.825,1.80489973527202e-95,0.341145833333333,10,0.372881355932203,9
"TIMP1",1.3643664633596e-99,1.3998630319654,0.814,0.346,3.6135245782079e-95,0.361970217640321,12,0.419191919191919,9
"CLDN18",1.79407644393864e-99,-2.09028523826941,0.026,0.43,4.75161146177148e-95,0.357142857142857,7,0.735772357723577,8
"EMP2",9.88141696055432e-98,-1.26695770304174,0.83,0.976,2.61709328200281e-93,0.34006734006734,12,0.344086021505376,9
"CIB1",1.22591728300371e-96,1.22074266388335,0.942,0.766,3.24684192403533e-92,0.332344213649852,13,0.344748858447489,10
"PLP2",4.9979066900437e-96,1.03964437175689,0.827,0.423,1.32369558685807e-91,0.352874859075536,12,0.384297520661157,9
"CACNA2D2",2.25521586036158e-94,-0.428160666112648,0.097,0.559,5.97293920616765e-90,0.451923076923077,10,0.378125,7
"CHL1",1.82625077414675e-93,0.429380189699554,0.546,0.019,4.83682517532767e-89,0.387372013651877,9,0.272727272727273,5
"CAV1",6.34809992403759e-93,-1.43119116190645,0.116,0.556,1.68129426488136e-88,0.467741935483871,12,0.518867924528302,8
"GATA6",1.03133501005858e-92,-0.605349459548325,0.162,0.628,2.73149077414015e-88,0.505747126436782,11,0.479108635097493,7
"PERP",2.18378252181835e-92,0.901974731632584,0.931,0.685,5.78374800903591e-88,0.346346346346346,12,0.35969387755102,10
"AQP1",2.30444375210983e-92,-0.85642124566578,0.147,0.61,6.10331927746288e-88,0.493670886075949,9,0.489971346704871,7
"ANKRD29",3.66778384333122e-92,-0.545936244589538,0.072,0.493,9.71412550906274e-88,0.662337662337662,8,0.588652482269504,8
"TFCP2L1",6.10490448426057e-90,-0.624271826130749,0.174,0.636,1.61688395265641e-85,0.390374331550802,10,0.401098901098901,8
"GAS6",6.69037793010007e-89,-0.942655516200216,0.223,0.684,1.771946594787e-84,0.359832635983264,12,0.416879795396419,8
"EFNA1",7.73473162394542e-89,-1.38557861260792,0.747,0.946,2.04854367060195e-84,0.3458177278402,12,0.353049907578558,9
"AGER",3.1025582238221e-88,-1.78054151246306,0.066,0.465,8.21712545579284e-84,0.492957746478873,10,0.642857142857143,7
"TBC1D24",1.4179582380219e-87,-0.775892167246467,0.227,0.694,3.75546239340101e-83,0.311475409836066,12,0.380352644836272,9
"HLA-DMA",6.60050669538476e-87,-1.16699450546937,0.606,0.909,1.74814419827265e-82,0.384615384615385,12,0.336538461538462,9
"MUC5B",2.58280257211693e-86,2.37684994552489,0.624,0.108,6.84055261225169e-82,0.537313432835821,10,0.645161290322581,5
"CEBPA",3.81035075169409e-85,-0.559919390918643,0.141,0.584,1.00917139658618e-80,0.629139072847682,11,0.431137724550898,7
"SAT1",3.17911576211022e-84,1.01902197588034,0.984,0.981,8.41988809594892e-80,0.341856060606061,12,0.338680926916221,10
"CRABP2",3.59403884297832e-82,-0.596446921755294,0.116,0.542,9.51881187562808e-78,0.290322580645161,11,0.351612903225806,8
"HSD17B6",5.9913790021682e-82,-1.17200724617585,0.089,0.493,1.58681672872425e-77,0.715789473684211,11,0.439716312056738,8
"SCNN1B",7.83865664851182e-82,-0.77416583626419,0.228,0.68,2.07606821335836e-77,0.591836734693878,9,0.42159383033419,8
"SELENBP1",5.25542994103241e-80,-1.16613941311813,0.698,0.907,1.39190061988243e-75,0.397863818424566,13,0.364161849710983,9
"TSPAN3",6.87042253311621e-79,0.895694506586107,0.937,0.837,1.81963140789583e-74,0.336318407960199,12,0.321503131524008,10
