"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","naive pt.occupancy","naive n.nonzero.pts","grouped_pr pt.occupancy","grouped_pr n.nonzero.pts"
"MARCKS",1.92975824284676e-78,0.732401224575043,0.707,0.217,5.11096470617965e-74,0.459815546772068,12,0.32258064516129,10
"TNC",3.62829528308211e-77,1.50146966414662,0.54,0.086,9.60954005724297e-73,0.552677029360967,10,0.448979591836735,4
"VEPH1",4.87025134360619e-77,-0.529124335793067,0.096,0.498,1.2898860683541e-72,0.524271844660194,8,0.550877192982456,8
"HLA-DMB",3.69989714504321e-76,-0.939307723749875,0.269,0.708,9.79917758864694e-72,0.543252595155709,11,0.348148148148148,9
"ABCA1",1.9070255154047e-75,-0.644701333494662,0.212,0.629,5.05075707754934e-71,0.333333333333333,10,0.463888888888889,10
"ANXA1",2.02910613822415e-75,1.23832224880449,0.887,0.624,5.37408760708667e-71,0.335084033613445,11,0.310924369747899,10
"TPD52L1",2.56534404049719e-75,-0.497973742347504,0.104,0.512,6.7943136912568e-71,0.455357142857143,8,0.433447098976109,9
"SLC22A31",5.38165463357569e-75,-0.806178044284165,0.238,0.691,1.42533122970252e-70,0.674509803921569,9,0.432911392405063,8
"P3H2",5.73242465320393e-74,-0.460538235486524,0.071,0.441,1.51823266940106e-69,0.605263157894737,8,0.591269841269841,6
"PALM3",5.94716991773049e-74,-0.3227499608171,0.031,0.364,1.57510795271092e-69,0.727272727272727,6,0.423076923076923,6
"MALAT1",6.22868425526723e-74,-0.848100963762707,0.983,0.998,1.64966702500752e-69,0.347867298578199,12,0.339754816112084,10
"ESAM",2.42621361925607e-73,-0.536433191373062,0.059,0.414,6.4258267705997e-69,0.317460317460317,10,0.362869198312236,8
"MB",4.03710099931644e-73,0.705670337430683,0.45,0.016,1.06922619966896e-68,0.513457556935818,9,0.444444444444444,4
"TP53I11",2.37280939583617e-72,-0.814666817800283,0.422,0.799,6.2843856848721e-68,0.295805739514349,11,0.389496717724289,9
"ACP5",2.09415633248031e-71,-0.458698224579189,0.067,0.427,5.54637304657411e-67,0.222222222222222,10,0.545081967213115,6
"NGFRAP1",2.99698391914811e-71,-0.641224254384721,0.459,0.841,7.93751190986377e-67,0.419878296146045,13,0.347193347193347,8
"PLXNA2",5.79447508859573e-71,-0.741829732783065,0.262,0.678,1.53466672721458e-66,0.309608540925267,10,0.420103092783505,8
"BEX2",1.21009403591557e-70,-0.751258758683794,0.179,0.612,3.20493405412238e-66,0.619791666666667,11,0.34,8
"SLC27A2",1.29717639991977e-70,0.510165090009912,0.486,0.044,3.43557169518752e-66,0.509578544061303,9,0.32,5
"CYP2B7P",2.18229822968357e-70,-0.730207105006944,0.315,0.717,5.77981686131694e-66,0.458579881656805,9,0.414634146341463,8
"RNF212",1.05635729192361e-69,-0.339760951992394,0.061,0.411,2.79776228765967e-65,0.507692307692308,8,0.391489361702128,8
"SFTPB",2.82291122389128e-69,-0.856465174053962,0.416,0.858,7.47648037647606e-65,0.493273542600897,9,0.374745417515275,8
"SFTA2",6.31982241020932e-68,-0.701109037022095,0.558,0.904,1.67380496534394e-63,0.474123539232053,13,0.353965183752418,8
"CTSE",1.28276599529824e-67,-0.941429984835659,0.159,0.575,3.3974057385474e-63,0.795321637426901,9,0.425531914893617,8
"PGM2L1",1.65659989765215e-67,0.827188726423327,0.754,0.369,4.38750482893173e-63,0.404202719406675,12,0.341232227488152,7
"FAM46B",3.01987306524339e-67,-0.670480350351184,0.147,0.533,7.99813381329711e-63,0.341772151898734,10,0.511475409836066,7
"CLEC2B",4.51416932749109e-67,0.627229589603693,0.428,0.023,1.19557774638602e-62,0.450980392156863,10,0.384615384615385,4
"ADGRD1",2.8845867488925e-66,-0.348209091779806,0.11,0.491,7.6398280044418e-62,0.677966101694915,8,0.437722419928826,7
"ABCA13",3.59819393953863e-66,0.522840283061593,0.503,0.075,9.52981664886807e-62,0.55,11,0.441860465116279,8
"S100A9",5.3847980792295e-66,2.24799274831274,0.545,0.145,1.42616377128393e-61,0.605128205128205,11,0.373493975903614,7
"LRRN4",6.67882419996566e-66,-0.638887871987521,0.084,0.435,1.76888658936091e-61,0.566666666666667,8,0.578313253012048,6
"C3",1.37763667430408e-65,-1.28098757919598,0.401,0.726,3.64867073189435e-61,0.434883720930233,12,0.412048192771084,8
"DLC1",1.60334098469963e-65,-0.924175803095513,0.238,0.64,4.24644859797698e-61,0.623529411764706,9,0.409836065573771,8
"YBX3",7.17342306837812e-65,0.657627622633439,0.9,0.703,1.89988109965995e-60,0.324016563146998,12,0.368159203980099,10
"MRPL14",4.9302687078605e-64,-0.892988347266721,0.733,0.9,1.30578166727685e-59,0.317662007623888,13,0.363106796116505,10
"TNNC1",5.94005846981229e-64,-0.305933824931109,0.034,0.337,1.57322448572979e-59,0.351351351351351,8,0.528497409326425,8
"ASS1",9.54466992768335e-64,-0.736585036070542,0.387,0.766,2.52790583034694e-59,0.383132530120482,11,0.399543378995434,9
"DSP",8.13835146476586e-63,0.575020051832965,0.757,0.306,2.15544238544324e-58,0.311576354679803,12,0.417142857142857,8
"C1orf198",2.25035000872691e-62,-0.585563269572658,0.376,0.76,5.96005199811322e-58,0.295285359801489,11,0.383908045977012,8
"CLIC6",2.57223951210465e-62,-0.595172568551132,0.361,0.76,6.81257634780917e-58,0.560723514211886,10,0.374712643678161,9
"CD99",2.71470469672856e-62,0.779639992266485,0.778,0.495,7.18989538928559e-58,0.37125748502994,11,0.293286219081272,10
"CES1",3.29411139361821e-62,1.1628774032158,0.585,0.184,8.72445402599782e-58,0.501592356687898,10,0.485714285714286,8
"HS3ST1",3.74222629194836e-62,0.840266540115602,0.512,0.108,9.91128633422524e-58,0.466302367941712,10,0.354838709677419,8
"CAPS",3.86612723732255e-62,1.77369246159886,0.589,0.199,1.02394379880488e-57,0.507911392405063,12,0.447368421052632,8
"TNS3",1.01723612292277e-61,-0.416777165871097,0.187,0.582,2.69414987156097e-57,0.398009950248756,11,0.378378378378378,8
"ANXA2",1.69359050706507e-61,0.587248522156586,0.979,0.937,4.48547445796184e-57,0.340627973358706,13,0.358208955223881,10
"TUSC3",1.82262775887552e-61,0.952737409098454,0.564,0.159,4.82722961938181e-57,0.52396694214876,8,0.494505494505495,8
"HPN",2.08120496274428e-61,-0.37800885087581,0.097,0.458,5.51207134382823e-57,0.567307692307692,10,0.366412213740458,7
"CALM2",3.20526233551077e-61,0.766146948079059,0.974,0.972,8.48913729560027e-57,0.344497607655502,13,0.348920863309353,10
"COL4A3",4.10595524786522e-61,-0.363667594953141,0.107,0.46,1.0874622473971e-56,0.434782608695652,10,0.463878326996198,7
"LOC100506844",4.7022271440192e-61,0.553964668333424,0.586,0.175,1.24538485909348e-56,0.476947535771065,11,0.36,8
"GAPDH",1.29513150584459e-60,0.967629372973056,0.992,0.944,3.4301557932294e-56,0.349624060150376,13,0.357407407407407,10
"SRRM2",1.64961482043511e-60,-0.866698536614145,0.834,0.97,4.36900485192238e-56,0.309497206703911,12,0.338738738738739,9
"CYBRD1",5.00923107545403e-60,-0.528919964940848,0.275,0.666,1.326694850334e-55,0.569491525423729,11,0.446194225721785,8
"GSPT1",5.0554176845924e-60,-0.679707884803135,0.701,0.934,1.3389273737643e-55,0.288563829787234,13,0.333333333333333,10
"PDE4C",3.60043286536552e-59,-0.79311287813687,0.144,0.502,9.53574644392058e-55,0.329032258064516,11,0.54006968641115,8
"JUN",2.63097340858394e-58,-0.773921349532238,0.898,0.983,6.96813307263456e-54,0.349585062240664,12,0.343416370106762,10
"GSTA4",4.36425154583304e-58,-0.533476258888083,0.206,0.586,1.15587202191388e-53,0.475113122171946,9,0.355223880597015,9
"LMO7",5.3132149986269e-58,-0.918883411647336,0.726,0.916,1.40720499238634e-53,0.302952503209243,12,0.364503816793893,9
"ABCA3",5.91132049709203e-58,-0.631706323906043,0.149,0.503,1.56561323365482e-53,0.3875,9,0.34375,8
"HP1BP3",1.62688510432507e-57,-0.56509495065115,0.629,0.911,4.30880519880495e-53,0.379259259259259,13,0.335892514395393,10
"GSTM3",1.65454428265309e-57,-0.866352619697938,0.182,0.538,4.38206053260671e-53,0.492307692307692,10,0.525974025974026,9
"HSPA1A",1.6863635129641e-57,0.900385558536652,0.935,0.837,4.46633376408542e-53,0.343968095712861,12,0.342379958246347,10
"ITGB8",1.88713406689654e-57,0.740800520793782,0.659,0.24,4.99807457617548e-53,0.448373408769448,10,0.284671532846715,8
"GLS",2.27429486694465e-57,-0.585749339318953,0.504,0.843,6.02346995510292e-53,0.375231053604436,12,0.360995850622407,8
"TXNDC11",3.68597620025981e-57,-0.447448589809159,0.348,0.72,9.76230796638811e-53,0.324396782841823,12,0.342233009708738,9
"CSTB",4.08527929158947e-57,0.595625177811722,0.964,0.934,1.08198622037747e-52,0.336557059961315,13,0.346441947565543,10
"TACC1",6.90863978361303e-57,-0.533739357881757,0.314,0.698,1.82975324668991e-52,0.409495548961424,11,0.348370927318296,8
"HLA-DPA1",1.50029634605962e-56,-0.816975408205013,0.522,0.864,3.97353487253891e-52,0.532142857142857,12,0.356275303643725,9
"NFIX",2.4336603065411e-56,-0.360245725736835,0.346,0.726,6.44554932187411e-52,0.366576819407008,11,0.378313253012048,9
"LIMCH1",3.553021870013e-56,-0.808627303578073,0.582,0.827,9.41017842272944e-52,0.328525641025641,11,0.378435517970402,10
"FOXQ1",7.35255182838126e-56,-0.610257371821091,0.316,0.71,1.94732335174678e-51,0.395280235988201,10,0.327586206896552,7
"MMP15",4.16417358268794e-55,-0.251986187974545,0.17,0.526,1.1028813733749e-50,0.313186813186813,11,0.382059800664452,8
"TMPRSS4",6.89722707697113e-55,0.48594760719734,0.796,0.357,1.8267305913358e-50,0.336065573770492,11,0.588235294117647,7
"CD74",8.98978653134967e-55,-0.74835161524279,0.955,0.995,2.38094496282796e-50,0.345365853658537,12,0.340949033391916,10
"WFDC21P",9.72363316195677e-55,0.618392122232089,0.408,0.049,2.57530424294425e-50,0.687214611872146,7,0.642857142857143,4
"AGR2",1.96516518976687e-54,0.935984212080158,0.912,0.717,5.20474000509756e-50,0.365679264555669,12,0.373170731707317,9
"FTH1",2.48808372011707e-54,0.54515821873628,0.993,0.988,6.58968973273006e-50,0.346478873239437,13,0.343362831858407,10
"MBNL1",5.94113537164325e-54,-0.384676788769785,0.515,0.813,1.57350970317971e-49,0.305605786618445,11,0.341935483870968,9
"LRIG2",7.4613003174407e-54,-0.455362490437776,0.13,0.47,1.97612538907417e-49,0.414285714285714,10,0.472118959107807,6
"PLAC8",1.01403585518361e-53,0.94900638792992,0.555,0.201,2.68567396245379e-49,0.528523489932886,11,0.321739130434783,9
"CLIC5",1.07344870218111e-53,-0.817332594117907,0.144,0.463,2.84302888772667e-49,0.441558441558442,10,0.59622641509434,8
"RCN3",2.39732519066285e-53,-0.364104180285389,0.075,0.372,6.34931576747056e-49,0.4375,8,0.55868544600939,6
"ANKRD36C",2.52739728576002e-53,0.694583377250171,0.593,0.215,6.6938117113354e-49,0.319182389937107,10,0.300813008130081,8
"AASS",2.66923898917649e-53,-0.386368991534136,0.226,0.566,7.06947946283393e-49,0.386831275720165,10,0.441358024691358,8
"HLA-DRB6",4.32461022530308e-53,-0.439031121202659,0.445,0.692,1.14537301817152e-48,0.426778242677824,9,0.424242424242424,8
"PPAP2C",4.62293406247944e-53,0.802282125277178,0.832,0.6,1.22438408644768e-48,0.353863381858903,12,0.41399416909621,10
"KLHL35",6.6817913810594e-53,-0.261482155969304,0.046,0.32,1.76967244727358e-48,0.244897959183673,10,0.644808743169399,7
"PTCSC3",1.55542489149508e-52,-0.368989888517153,0.036,0.295,4.11954282512472e-48,0.282051282051282,7,0.63905325443787,5
"VASN",2.7470852949248e-52,-0.343850464643347,0.234,0.603,7.27565540360833e-48,0.50597609561753,11,0.446376811594203,9
"MIA3",3.50595880071216e-52,-0.449082764476442,0.486,0.816,9.28553188368617e-48,0.366602687140115,11,0.379014989293362,9
"CYP4Z2P",3.57850121351289e-52,-0.314452316388262,0.066,0.353,9.4776604639889e-48,0.802816901408451,5,0.440594059405941,6
"CAPN2",4.52092978726045e-52,-0.647717888346473,0.853,0.956,1.19736825415593e-47,0.324590163934426,13,0.345521023765996,10
"S100A14",4.53054149134669e-52,-0.81888442516276,0.484,0.795,1.19991391398317e-47,0.441233140655106,13,0.367032967032967,8
"DDIT4",5.63775286939288e-52,1.28836771619019,0.642,0.283,1.4931588474587e-47,0.409288824383164,12,0.450617283950617,8
"PTN",1.17991435748966e-51,0.784995028420755,0.396,0.047,3.12500317581137e-47,0.755294117647059,9,0.37037037037037,5
"DNAH11",2.33364978065153e-51,0.516051889982695,0.563,0.189,6.18067144405558e-47,0.455298013245033,11,0.509259259259259,9
"ST8SIA4",2.59079925192885e-51,0.355452759639684,0.406,0.052,6.86173181873355e-47,0.495412844036697,8,0.7,4
"C16orf58",6.71257852549817e-51,-0.419026803031366,0.288,0.645,1.77782642247819e-46,0.362459546925566,10,0.392953929539295,8
"PRR15",7.58701105084317e-51,0.4294758750848,0.405,0.056,2.00941987681581e-46,0.622988505747126,10,0.59375,6
"SLC16A4",9.71776118628869e-51,-0.27705277859763,0.127,0.448,2.57374905018856e-46,0.272058823529412,10,0.421875,8
"TP53BP2",1.64278072623274e-50,-0.617002525503529,0.318,0.636,4.3509047534274e-46,0.302052785923754,11,0.478021978021978,8
"GGT5",2.2576120822446e-50,0.807766385155373,0.404,0.063,5.97928559982482e-46,0.595842956120092,10,0.5,6
"NKX2-1",2.50608280040908e-50,-0.565578849457479,0.559,0.836,6.63736029688345e-46,0.481666666666667,10,0.361924686192469,8
"C5orf49",3.7733799344864e-50,1.30906710626819,0.457,0.108,9.99379675648723e-46,0.648979591836735,8,0.387096774193548,9
"TMEM125",4.55633957778102e-50,-0.780685585671291,0.632,0.862,1.2067465371753e-45,0.352507374631268,12,0.354969574036511,8
"TFF3",7.66625130326749e-50,0.523809758717341,0.637,0.273,2.0304066576704e-45,0.437774524158126,11,0.314102564102564,7
"BHMT2",9.60297732508018e-50,-0.273188017548116,0.029,0.267,2.54334854454749e-45,0.419354838709677,6,0.444444444444444,4
"BCAT1",1.24240551214447e-49,-0.357905955939947,0.055,0.325,3.29051099891463e-45,0.288135593220339,10,0.591397849462366,7
"ICAM4",1.26971227415679e-49,-0.528495136415118,0.286,0.622,3.36283295810425e-45,0.534201954397394,11,0.424157303370786,8
"CCT2",1.30771424289471e-49,1.11589835854924,0.902,0.745,3.46348117230664e-45,0.377066115702479,12,0.342723004694836,10
"PRR15L",1.39833093188982e-49,-0.536185098545653,0.291,0.656,3.70347947311019e-45,0.330128205128205,10,0.410666666666667,8
"NECAB3",3.13258123147808e-49,-0.582125251160993,0.264,0.589,8.29664139156971e-45,0.363957597173145,9,0.489614243323442,8
"FGFR1",3.48638420221685e-49,-0.388233540128188,0.11,0.411,9.23368855957132e-45,0.567796610169492,10,0.353191489361702,6
"CRIP1",4.72640805529896e-49,0.890467492065141,0.877,0.6,1.25178917344593e-44,0.349628055260361,11,0.402332361516035,9
"AK1",4.90225349567059e-49,-0.764819263863971,0.665,0.9,1.29836183832835e-44,0.341736694677871,13,0.357281553398058,10
"EGLN3",5.03372835961129e-49,0.661150909202724,0.542,0.185,1.33318295604305e-44,0.438144329896907,12,0.377358490566038,7
"C4BPA",7.38336405284005e-49,-0.648337763457931,0.336,0.717,1.95548396939469e-44,0.592797783933518,7,0.439024390243902,7
"KRT7",1.55604808154683e-48,-0.687450117739157,0.7,0.946,4.12119334397677e-44,0.439414114513981,13,0.345656192236599,10
"ADGRF1",2.28291393826267e-48,0.307240721890962,0.539,0.163,6.04629756548869e-44,0.384083044982699,10,0.247311827956989,8
"WDR86-AS1",3.02916455193637e-48,0.94302320678726,0.417,0.082,8.02274231580348e-44,0.693512304250559,9,0.446808510638298,5
"LGALS3",3.57291758868175e-48,0.580536542885091,0.978,0.942,9.46287223362361e-44,0.340324118207817,13,0.35621521335807,10
"VSTM2L",4.00789235245286e-48,0.286581016383046,0.499,0.14,1.06149028954714e-43,0.485981308411215,11,0.725,6
"CA2",4.4911114897324e-48,-0.607558621811479,0.104,0.402,1.18947087805562e-43,0.366071428571429,10,0.508695652173913,6
"SFTA3",5.7481766848729e-48,-0.744136302172095,0.5,0.783,1.52240459498859e-43,0.414179104477612,10,0.397321428571429,8
"CRTAC1",6.97987305638411e-48,-0.62402439157086,0.042,0.29,1.84861937898333e-43,0.511111111111111,7,0.765060240963855,7
"COL4A4",8.23574800288073e-48,-0.377899693623851,0.19,0.53,2.18123785856296e-43,0.490196078431373,10,0.376237623762376,8
"DNAH5",9.65166823642642e-48,0.640145222661573,0.523,0.166,2.55624433241754e-43,0.545454545454545,11,0.4,8
"MARC1",1.48174558191987e-47,-0.427342269416864,0.16,0.479,3.92440317371478e-43,0.395348837209302,11,0.521897810218978,6
"PBXIP1",1.54800811722661e-47,-0.4443953101938,0.509,0.816,4.09989949847467e-43,0.333333333333333,12,0.331905781584582,9
"BTF3",1.7106409360843e-47,0.542457075267918,0.929,0.813,4.53063251921926e-43,0.336008024072217,13,0.316129032258064,10
"SFTPC",1.87232804661952e-47,-1.80328194374904,0.037,0.278,4.9588608314718e-43,0.25,10,0.49685534591195,6
"GPX1",2.35569607886436e-47,0.437543623293043,0.926,0.825,6.23906106487225e-43,0.321931589537223,12,0.349576271186441,10
"ZDHHC11",2.39522404869301e-47,-0.360748409649267,0.131,0.446,6.34375089296344e-43,0.49645390070922,9,0.525490196078431,8
"IGF1R",2.47531290423995e-47,0.342251822064488,0.596,0.219,6.55586622687952e-43,0.3671875,11,0.408,8
"LCN2",2.48714615771898e-47,1.77728248306768,0.617,0.248,6.58720659871872e-43,0.466767371601208,11,0.274647887323944,7
"HAS3",4.24612626020874e-47,-0.40272338837315,0.124,0.435,1.12458654001628e-42,0.451127819548872,10,0.502008032128514,5
"GSTM1",5.66630774104166e-47,-0.412094050743641,0.059,0.32,1.50072160521488e-42,0.777777777777778,6,0.513661202185792,5
"PDXDC1",5.68074838926582e-47,-0.51390166292048,0.561,0.836,1.50454621089705e-42,0.312292358803987,12,0.359832635983264,9
"GSAP",8.30525130739157e-47,-0.272338269297761,0.194,0.524,2.19964580876266e-42,0.365384615384615,9,0.406666666666667,7
"KCNK15",1.27860500669927e-46,-0.366115947504266,0.059,0.318,3.38638536024303e-42,0.444444444444444,9,0.725274725274725,6
"GGTLC1",1.66294399398441e-46,-0.445180639970119,0.126,0.432,4.40430716806771e-42,0.607407407407407,9,0.493927125506073,8
"AES",2.10893013907299e-46,0.452187299530697,0.913,0.75,5.58550147333481e-42,0.336734693877551,12,0.372960372960373,10
"H2AFJ",2.32136710975594e-46,0.534275661201435,0.864,0.666,6.14814079018861e-42,0.346278317152104,12,0.341207349081365,10
"ITGA2",3.91945621030898e-46,0.455913058307041,0.577,0.198,1.03806797730033e-41,0.395799676898223,11,0.256637168141593,7
"PLEKHG2",7.64817878282292e-46,-0.733509420435096,0.207,0.521,2.02562015063065e-41,0.373873873873874,9,0.419463087248322,6
"UACA",9.99727226978393e-46,0.502403365393172,0.429,0.091,2.64777756065227e-41,0.447826086956522,9,0.615384615384615,5
"GSN",1.20859222156151e-45,1.02713955700999,0.825,0.617,3.20095649880566e-41,0.363841807909605,11,0.385269121813031,10
"TSPAN6",2.09625246539535e-45,0.804613709316832,0.802,0.579,5.55192465459959e-41,0.365853658536585,12,0.347432024169184,9
"GALNT6",3.72159186896996e-45,0.66515810941432,0.564,0.215,9.85663606496695e-41,0.469421487603306,12,0.422764227642276,8
"TUBA1A",4.13260539909156e-45,1.76678187664866,0.664,0.399,1.0945205399494e-40,0.449438202247191,11,0.425438596491228,10
"CRLF1",8.03222873948073e-45,0.634392206711221,0.389,0.061,2.12733578165147e-40,0.565947242206235,6,0.742857142857143,5
"BFAR",1.03101677271218e-44,-0.52730839819917,0.356,0.687,2.73064792252822e-40,0.358638743455497,11,0.396946564885496,8
"GLCCI1",1.10721889363176e-44,-0.587199659373811,0.452,0.726,2.93246923978372e-40,0.37319587628866,12,0.421686746987952,9
"LDHD",1.48468066185346e-44,-0.32299961576545,0.044,0.285,3.9321767329189e-40,0.468085106382979,8,0.576687116564417,6
"PFKP",2.20688841184556e-44,0.418967582217542,0.638,0.266,5.84494395877295e-40,0.322627737226277,12,0.243421052631579,8
"STS",2.42926826525715e-44,0.410011159310056,0.455,0.121,6.43391700053356e-40,0.471311475409836,10,0.318840579710145,6
"ITPR2",2.47369736344506e-44,-0.489122152965386,0.229,0.547,6.55158746708424e-40,0.426829268292683,11,0.507987220447284,7
"IQGAP2",3.22773263255827e-44,0.583250839471791,0.491,0.161,8.54864987733058e-40,0.52561669829222,12,0.41304347826087,6
"SPEF2",3.59626469646e-44,0.463893434067523,0.436,0.115,9.5247070485743e-40,0.61965811965812,9,0.393939393939394,5
"FAM166B",4.15766999409716e-44,0.877707538814915,0.316,0.021,1.10115889793663e-39,0.92330383480826,7,0.583333333333333,4
