"";"p_val";"avg_logFC";"pct.1";"pct.2";"p_val_adj"
"DAPP1";7,95542971470822e-201;-0,531365156678923;0,098;0,739;2,10699555994047e-196
"LCN2";3,58433038652822e-200;-2,6948175884067;0,248;0,728;9,49309902872e-196
"LY6K";6,27235876697736e-199;-0,520650547101021;0,208;0,847;1,66123421943395e-194
"SERPINE1";7,17115621873709e-198;-1,33469198830627;0,028;0,658;1,89928072453252e-193
"TSPAN1";1,95520232830709e-197;-1,45486565668688;0,395;0,848;5,17835336652132e-193
"MXRA5";6,30587386107982e-196;-1,12788393225339;0,024;0,505;1,67011069210699e-191
"VWA5A";7,99341967551948e-196;-1,22199502701517;0,198;0,585;2,11705720106133e-191
"LDHA";2,93826360697654e-195;-1,71550038604834;0,923;0,984;7,78199116307735e-191
"SCGB3A1";3,67431613556581e-195;2,51644332219176;0,792;0,194;9,73142628504605e-191
"AK1";3,83403416482685e-194;1,2946435541194;0,9;0,607;1,01544394855439e-189
"JUNB";1,91240715166027e-193;1,13933165967984;0,921;0,885;5,06501034117223e-189
"SLCO4A1";3,7899632041715e-193;-0,958937678306149;0,105;0,601;1,00377175462482e-188
"ADGRF5";1,90721151945835e-191;0,856134055385072;0,787;0,168;5,05124970928543e-187
"NAPSA";1,32402367338884e-190;0,619867150865598;0,878;0,232;3,50667669897034e-186
"ATP13A4";7,39601378952582e-190;1,4201183730977;0,867;0,422;1,95883425215591e-185
"GPX8";2,28654991302795e-188;-0,534408242593425;0,052;0,567;6,05592744465453e-184
"CRISP3";2,3559187867526e-188;-0,541519812829917;0,01;0,399;6,23965090671426e-184
"MYLIP";1,02948412867651e-187;1,2239767125898;0,851;0,639;2,72658871479975e-183
"CRISP2";5,07345010696314e-187;-0,766865810208124;0,01;0,415;1,34370326082919e-182
"DSP";5,44976294782367e-187;-0,811611025128267;0,306;0,9;1,4433697167311e-182
"RHOV";6,90889842670463e-187;-0,970932102046637;0,08;0,691;1,82982174831272e-182
"ERO1A";6,46346630423418e-186;-2,18596269256307;0,573;0,92;1,71184905067642e-181
"INPP4B";5,4873297416526e-185;-0,425249888687072;0,065;0,701;1,45331928207669e-180
"TMEM176A";3,82211503912908e-184;-1,08141502220883;0,136;0,546;1,01228716811334e-179
"PGK1";2,28805217638929e-183;-1,68741357798476;0,853;0,963;6,05990618916704e-179
"CYBRD1";5,37075580592871e-183;0,710240553394181;0,666;0,09;1,42244467520022e-178
"LAMB3";5,10799853537166e-181;-0,8223995403377;0,4;0,892;1,35285341209318e-176
"NFIX";1,72254562979016e-180;0,539724324571944;0,726;0,147;4,56216210049924e-176
"PDLIM5";2,54093992086356e-180;-0,602595893652689;0,378;0,918;6,72967938040714e-176
"SLC2A1";6,98280724451213e-180;-1,27749249176789;0,362;0,88;1,84939649870904e-175
"SFTA2";2,91057584704256e-179;1,04789233221759;0,904;0,642;7,70866013089223e-175
"CPE";5,70406229075456e-179;-0,848211773113884;0,098;0,632;1,51072089770634e-174
"PLAUR";2,3229258977844e-178;-1,41399525156481;0,243;0,85;6,15226924028198e-174
"ADTRP";3,18990103541927e-178;-0,446468374140772;0,017;0,418;8,44845289230792e-174
"PYCARD";6,25597770791623e-178;-0,723236778061034;0,332;0,893;1,65689569594161e-173
"GJB2";1,48956314647029e-177;-0,679782602064404;0,061;0,633;3,94510799342657e-173
"CHST4";1,59031687265944e-177;-0,358698062535483;0,002;0,383;4,21195423723851e-173
"ARPC3";2,2146961094805e-177;-0,669012691486999;0,855;0,984;5,8656226459591e-173
"HN1";3,91064612171608e-177;-0,968652615353547;0,673;0,967;1,0357346253365e-172
"TMEM125";4,89538857296317e-177;1,17068024186098;0,862;0,594;1,2965436635493e-172
"PGD";1,06312607805931e-176;-1,41553594820635;0,696;0,953;2,81568941774008e-172
"SRRM2";4,50971034075022e-176;1,08273944252343;0,97;0,95;1,1943967837477e-171
"FOXA2";5,20488847361321e-176;0,772749897707034;0,677;0,107;1,37851471223646e-171
"CLIC6";1,08363287534726e-175;0,897433658686315;0,76;0,237;2,87000167035723e-171
"FAM3C";3,69099877772308e-175;-0,732524280117189;0,469;0,927;9,77561026279958e-171
"FAM83A";3,69281940234603e-175;-0,627262781786139;0,178;0,798;9,78043218711345e-171
