"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","naive pt.occupancy","naive n.nonzero.pts","grouped_pd pt.occupancy","grouped_pd n.nonzero.pts"
"CBR1",2.62736359770725e-290,-1.64932591064453,0.657,0.933,6.95857248852764e-286,0.336170212765957,12,0.469242501270971,11
"TMSB10",2.46233238001633e-286,-1.11002050637689,0.986,0.999,6.52148730847326e-282,0.348771266540643,13,0.454890788224122,11
"PSMB9",5.68263139995712e-284,-1.03942314410762,0.602,0.951,1.50504492627864e-279,0.408668730650155,12,0.476071784646062,11
"RAP2B",2.83181284583142e-275,-1.2444668287187,0.56,0.925,7.5000563221845e-271,0.346089850249584,12,0.483076923076923,11
"CAPG",8.69908590825139e-273,-1.45906121269656,0.434,0.939,2.30395290280038e-268,0.439914163090129,11,0.482828282828283,10
"CRABP2",4.01833485317228e-270,-1.6034752119348,0.116,0.861,1.06425598586268e-265,0.290322580645161,11,0.512396694214876,9
"KRT5",4.48435100660799e-261,-1.26300951237256,0.017,0.297,1.18768036410013e-256,0.833333333333333,2,0.979233226837061,5
"GPR87",1.11750802835384e-257,-0.861022359235848,0.043,0.765,2.95972001309514e-253,0.326086956521739,9,0.550805452292441,8
"LY6K",1.01506717313856e-256,-0.594455674005337,0.092,0.847,2.68840540805747e-252,0.515151515151515,9,0.530498041410185,8
"ARPC2",2.68750302437672e-253,-0.927957276001377,0.8,0.99,7.11785176006175e-249,0.333333333333333,13,0.459032103497844,11
"CALML3",1.56547022427617e-248,-1.5663129031143,0.012,0.289,4.14614788899544e-244,0.692307692307692,4,0.980327868852459,2
"IDO1",1.37356936105241e-245,-1.98461803725661,0.107,0.743,3.63789845274732e-241,0.478260869565217,7,0.476068921506063,8
"PGD",1.48371499084837e-245,-1.56726033015727,0.669,0.953,3.9296191532619e-241,0.286908077994429,12,0.475858636137382,10
"HLA-F",2.42191525316365e-243,-1.08417526153214,0.616,0.941,6.41444254800393e-239,0.376701966717095,12,0.477822580645161,11
"PSME2",1.82852180803118e-240,-0.934222791498429,0.876,0.982,4.84284000857058e-236,0.332978723404255,13,0.462095605987446,11
"KRT13",4.0310086298439e-236,-3.25544003452355,0.024,0.324,1.06761263561416e-231,0.576923076923077,5,0.858187134502924,7
"UBD",6.14035678069925e-234,-1.99668742474058,0.113,0.777,1.6262734933682e-229,0.487603305785124,8,0.569859670530811,8
"KRT6A",4.85298356173772e-231,-2.9135885628153,0.032,0.341,1.28531269632623e-226,0.323529411764706,6,0.852777777777778,9
"CTAG2",2.61803072410913e-230,-0.344243915872909,0,0.257,6.93385437280302e-226,NA,0,0.99815157116451,2
"SNCG",6.8489103586806e-228,-0.427071716262924,0.031,0.406,1.81393390849656e-223,0.545454545454545,5,0.665110851808635,6
"KRT15",3.8461044718813e-227,-1.20988800678341,0.197,0.7,1.01864076937776e-222,0.450236966824645,10,0.450914014895058,10
"ALDOA",5.43986239608767e-226,-1.44979034957838,0.948,0.998,1.44074755560382e-221,0.323500491642085,13,0.45532319391635,11
"S100A2",9.67891041236999e-225,-1.66860877608285,0.291,0.448,2.56345942271619e-220,0.394230769230769,11,0.645502645502645,9
"LGALS7",1.2456421407726e-222,-0.374772793868631,0.034,0.293,3.29908320983622e-218,0.416666666666667,5,0.948220064724919,7
"PGAM1",3.13155747053553e-221,-0.651770566854539,0.595,0.955,8.29392996071336e-217,0.321316614420063,12,0.47394540942928,11
"UBE2L6",3.86223463417178e-216,-0.826086217360849,0.636,0.947,1.0229128428604e-211,0.382697947214076,13,0.473209814722083,11
"HSPB1",1.94327539851703e-215,-0.928265695057152,0.92,0.994,5.14676489297236e-211,0.349544072948328,13,0.45706106870229,11
"AIM2",8.86266519203856e-212,-0.611734959983249,0.025,0.336,2.34727687611141e-207,0.296296296296296,6,0.755649717514124,7
"FXYD3",1.46972513953996e-208,-1.31733300960155,0.763,0.978,3.89256703207158e-204,0.396825396825397,12,0.464112512124151,11
"DKK1",4.71288122309024e-206,-1.56162579185497,0.051,0.669,1.24820659193545e-201,0.327272727272727,7,0.581560283687943,7
"S100A16",1.27157751243126e-204,-0.836933848441394,0.565,0.956,3.36777304167419e-200,0.471947194719472,11,0.47172619047619,10
"FXYD5",9.06530918403113e-204,-1.09823725507478,0.33,0.911,2.40094713739065e-199,0.392655367231638,12,0.49687825182102,11
"LYPD3",2.32308300268148e-203,-1.66313781624483,0.103,0.595,6.15268533260189e-199,0.261261261261261,10,0.47808764940239,7
"LY6D",2.40884407367971e-203,-1.51144775752664,0.051,0.555,6.37982352914072e-199,0.290909090909091,8,0.481196581196581,7
"DSG3",1.18902070520195e-202,-0.403230942860404,0.028,0.273,3.14912133772735e-198,0.5,6,0.968695652173913,7
"TYMP",1.38873807758751e-202,-1.05932546140767,0.78,0.935,3.67807279849052e-198,0.345280764635603,12,0.485294117647059,11
"TFF3",2.09842290325311e-202,1.01709977324941,0.637,0.133,5.55767305926587e-198,0.437774524158126,11,0.523131672597865,8
"PPIA",8.59702161831839e-201,-0.87421888189176,0.966,0.996,2.27692117561162e-196,0.336872586872587,13,0.455497382198953,11
"NGFRAP1",5.10164025268415e-199,-0.732911492241579,0.459,0.944,1.3511694209234e-194,0.419878296146045,13,0.474371859296482,10
"HMGA1",1.94048084174636e-198,-0.527499932531175,0.468,0.947,5.13936350936523e-194,0.366533864541833,12,0.475475475475475,11
"AGR3",1.81815187044208e-197,0.868134750582473,0.87,0.609,4.81537522886585e-193,0.338329764453961,12,0.744747081712062,9
"MDK",7.55274592144506e-196,-1.17996523939299,0.729,0.977,2.00034475729473e-191,0.40920716112532,12,0.464077669902913,11
"AVPI1",7.75017113032137e-196,-1.19326468129697,0.294,0.835,2.05263282386561e-191,0.444444444444444,10,0.53946621237933,9
"KRT19",1.35550024166526e-194,-1.02907992864334,0.959,0.987,3.59004239005043e-190,0.34402332361516,13,0.459875060067275,11
"PSMB10",5.27733793471762e-194,-0.876898902983898,0.659,0.945,1.39770295200996e-189,0.418670438472419,12,0.479678876066232,11
"FYB",1.24746325458589e-193,-0.440366132270475,0.028,0.333,3.30390642977074e-189,0.233333333333333,9,0.732574679943101,7
"MIR205HG",2.44084370561363e-192,-0.639077371706464,0.281,0.413,6.46457455431769e-188,0.681063122923588,8,0.709195402298851,6
"ASS1",3.58671138291192e-192,-2.00634363863405,0.387,0.91,9.49940509764223e-188,0.383132530120482,11,0.498958333333333,11
"ETFB",4.0182950674952e-190,-0.774203239120076,0.625,0.902,1.0642454486261e-185,0.30849478390462,12,0.433526011560694,11
"TALDO1",3.71875990171721e-186,-0.948969048746457,0.856,0.972,9.84913559969804e-182,0.32244008714597,13,0.466601657727938,11
"C20orf24",7.92725948516657e-185,-0.661196213422032,0.675,0.94,2.09953467464637e-180,0.316298342541436,13,0.479818365287588,11
"FAM183A",3.88432629206337e-184,1.58388432294624,0.324,0.112,1.02876381845298e-179,0.916666666666667,7,0.546610169491525,7
"TAP1",2.51782786120797e-180,-1.19025152577672,0.491,0.912,6.66846709040931e-176,0.318785578747628,11,0.494802494802495,11
"AKR1B10",3.58931385104848e-178,-1.65654566224421,0.164,0.319,9.50629773450191e-174,0.857954545454545,6,0.854383358098068,7
"CHL1",4.62203341725559e-178,0.424406748846589,0.546,0.029,1.22414555056014e-173,0.387372013651877,9,0.580645161290323,9
"CLDN1",8.79789031036015e-176,-0.721611385306962,0.564,0.855,2.33012124869888e-171,0.352066115702479,12,0.511924570160843,9
"RAB10",2.85894553407343e-173,-0.655736153773099,0.71,0.954,7.57191724699347e-169,0.31496062992126,12,0.473422752111277,10
"MAGEA6",7.71130969039018e-172,-0.340761309220251,0.001,0.21,2.04234037149984e-167,1,1,1,1
"VDAC2",1.34884309199157e-171,-0.707128821952494,0.73,0.96,3.57241092913966e-167,0.34610472541507,12,0.471604938271605,10
"DMKN",2.26043877653029e-171,0.896867849672892,0.812,0.248,5.98677209964047e-167,0.354764638346728,12,0.442748091603053,11
"PHLDA3",6.12353428039472e-170,-0.563182390026296,0.312,0.832,1.62181805416254e-165,0.405970149253731,10,0.498289623717218,10
"TMC5",1.58588720557704e-169,0.349052388053932,0.884,0.689,4.20022226397079e-165,0.342465753424658,12,0.65818431911967,11
"SDC1",2.25619135683275e-169,-0.587452399102344,0.62,0.961,5.97552280857155e-165,0.455639097744361,12,0.469397828232971,11
"KYNU",2.82275731132628e-169,-0.840970905109043,0.135,0.805,7.47607273904766e-165,0.558620689655172,8,0.560659599528857,10
"PSMB8",9.58684151224151e-169,-0.793659333121613,0.712,0.947,2.53907497451716e-164,0.37565445026178,13,0.478217325988983,11
"AKR1C2",4.71091251984568e-165,-1.31500022915304,0.319,0.339,1.24768518088113e-160,0.60233918128655,10,0.865734265734266,9
"EIF4EBP1",7.89429591789093e-165,-0.512996893112608,0.367,0.83,2.09080427385341e-160,0.289340101522843,13,0.468571428571429,11
"FABP5",1.15931326792574e-164,-0.604729736196716,0.201,0.397,3.07044119010131e-160,0.462962962962963,11,0.690561529271207,9
