"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","naive pt.occupancy","naive n.nonzero.pts","grouped_pd pt.occupancy","grouped_pd n.nonzero.pts"
"SLPI",3.17894038411684e-164,0.903237794197027,0.935,0.901,8.41942360733346e-160,0.3419740777667,12,0.503157894736842,10
"ANXA8",5.00114477280871e-164,-0.278414014176926,0.059,0.28,1.32455319307839e-159,0.53968253968254,8,0.935702199661591,7
"CAV2",1.29860967378708e-163,-0.542013748626658,0.319,0.883,3.43936772102508e-159,0.578947368421053,12,0.512614063338701,9
"PSMB2",1.45793203759171e-161,-0.607608892968256,0.719,0.965,3.86133300156163e-157,0.325129533678756,13,0.46977886977887,11
"SPP1",2.83461921793673e-161,-1.57024200950406,0.078,0.302,7.50748899870544e-157,0.55952380952381,6,0.886792452830189,6
"RSPH1",6.30816720123416e-161,2.07548157862414,0.361,0.27,1.67071808324687e-156,0.821705426356589,10,0.880701754385965,8
"HMGN3",1.11260264129371e-160,0.91640346793741,0.896,0.865,2.94672809546638e-156,0.337148803329865,13,0.513424657534247,11
"C9orf116",3.78132583767627e-160,1.11650219024218,0.385,0.313,1.00148414810856e-155,0.76271186440678,11,0.81969696969697,10
"C5orf49",6.59994843328796e-160,1.44660321912226,0.457,0.049,1.74799634255632e-155,0.648979591836735,8,0.543689320388349,8
"CIRBP",1.03793490792083e-159,0.970868989425181,0.894,0.775,2.74897060362833e-155,0.330552659019812,12,0.510091743119266,10
"COMTD1",1.10088525311201e-159,-0.368998394390807,0.267,0.833,2.91569459286717e-155,0.369337979094077,9,0.523348519362187,10
"CCDC146",1.75554096611128e-159,1.06982980515368,0.373,0.311,4.64955024874574e-155,0.795,11,0.814024390243902,8
"ANXA10",4.52984175093767e-159,-0.560961281235783,0.07,0.289,1.19972858773584e-154,0.693333333333333,6,0.888341543513957,5
"SERPINB5",1.53680267835713e-158,-0.606678938194177,0.077,0.314,4.07022189362885e-154,0.759036144578313,5,0.862745098039216,6
"WARS",5.32714162123294e-158,-0.89422363095151,0.718,0.868,1.41089345838354e-153,0.328571428571429,11,0.459858001092299,11
"WDR72",5.9272589888141e-158,-0.251063471740397,0.048,0.335,1.56983454318741e-153,0.384615384615385,6,0.771954674220963,7
"TAX1BP3",6.59505375712858e-158,-0.277551978573655,0.421,0.888,1.7466999875755e-153,0.371681415929204,11,0.506944444444444,10
"MORN2",3.34040400129269e-157,1.23763854275163,0.577,0.609,8.84705999742369e-153,0.516962843295638,13,0.637071651090343,11
"NENF",1.27458038571311e-156,-0.737551986365983,0.758,0.947,3.37572615156117e-152,0.341943419434194,12,0.479218828242364,10
"NR0B1",4.1173571360876e-156,-0.29030287644043,0.005,0.226,1.0904820374928e-151,0.6,3,0.878406708595388,4
"PYCARD",6.54031447408198e-156,-0.578906461615555,0.453,0.893,1.73220228846061e-151,0.329218106995885,11,0.505307855626327,10
"C9orf24",1.62809972543364e-155,1.95177928396081,0.322,0.059,4.31202212281098e-151,0.921739130434783,6,0.701612903225806,7
"TACSTD2",1.87389710796633e-155,-1.35067981585234,0.937,0.972,4.96301649044881e-151,0.332338308457711,12,0.46754514397267,10
"CYP4F11",2.71930683170856e-155,-0.31428054191951,0.02,0.263,7.20208414378012e-151,0.285714285714286,5,0.821621621621622,6
"LOC344887",1.12430055162259e-154,-0.349975336123531,0.04,0.325,2.97771001097243e-150,0.418604651162791,7,0.722627737226277,7
"MUC5B",4.67973146789031e-154,3.0996517920292,0.624,0.229,1.23942687927075e-149,0.537313432835821,10,0.5,7
"IGFBP3",5.50541815825345e-154,-1.78495635108006,0.238,0.806,1.45810999921343e-149,0.549019607843137,10,0.562095350206004,8
"ADIRF",8.03447137009123e-154,-0.645900822970581,0.387,0.772,2.12792974236866e-149,0.43855421686747,10,0.43707796193984,10
"FHL2",1.35910845103464e-153,-0.969159282000297,0.216,0.83,3.59959873256525e-149,0.620689655172414,11,0.53912050256996,9
"CAPS",1.44089086965354e-153,2.14928726788937,0.589,0.32,3.81619946827741e-149,0.507911392405063,12,0.640949554896142,9
"HN1",1.28089570596363e-152,-0.77365797521208,0.746,0.967,3.39245227724467e-148,0.305,13,0.466895537027955,10
"S100A9",6.06842363299798e-152,-0.736404436660658,0.545,0.925,1.60722199919951e-147,0.605128205128205,11,0.468717948717949,10
"TXN",4.92200900560273e-151,-0.731896911609536,0.902,0.995,1.30359408513388e-146,0.333677685950413,13,0.456625357483317,11
"ODF3B",6.6164418314849e-151,1.05476188138766,0.624,0.697,1.75236461906877e-146,0.477611940298507,12,0.642420122365738,10
"S100A14",4.4705069395814e-150,-0.66649943972373,0.484,0.934,1.18401376294813e-145,0.441233140655106,13,0.485017775520569,10
"HLA-B",1.14880426820885e-149,-0.673084287373575,0.971,0.996,3.04260810435114e-145,0.332053742802303,12,0.456190476190476,11
"G6PD",1.3463713679333e-149,-0.446742318697025,0.452,0.89,3.56586456797134e-145,0.348453608247423,12,0.500532481363152,10
"LAD1",1.39793609957959e-148,-0.579043593822077,0.43,0.865,3.70243375973654e-144,0.40997830802603,11,0.512061403508772,8
"SFN",2.34155795202536e-147,-0.529663421317382,0.606,0.799,6.20161623593917e-143,0.356923076923077,12,0.394658753709199,10
"HLA-E",1.79005725600401e-146,-0.752519791584864,0.897,0.99,4.74096664252662e-142,0.330218068535826,12,0.458333333333333,11
"GJB3",2.93761170425632e-146,-0.729147154641242,0.116,0.656,7.78026459872286e-142,0.467741935483871,9,0.526734104046243,9
"UPK1B",4.31878994049873e-146,-0.86127340524308,0.02,0.263,1.14383151574109e-141,0.666666666666667,4,0.834234234234234,3
"CKB",1.20429792835974e-145,1.26936396832146,0.571,0.513,3.18958306326077e-141,0.526916802610114,12,0.604995374653099,10
"LDLRAD1",1.67788085773828e-145,1.54749002369018,0.315,0.06,4.44386745171984e-141,0.931952662721893,7,0.571428571428571,7
"AP2M1",3.27120563128624e-145,-0.534591245411099,0.7,0.956,8.6637881144616e-141,0.318242343541944,13,0.472222222222222,11
"ACTG1",1.60507326554169e-144,-0.604195231047941,0.965,0.999,4.25103654378716e-140,0.33719806763285,13,0.454890788224122,11
"CRIP1",5.6722069050642e-144,0.776389112208147,0.877,0.772,1.50228399880625e-139,0.349628055260361,11,0.586863106200123,11
"GPC1",7.53611898982952e-144,-0.300725255274847,0.206,0.759,1.99594111445635e-139,0.447963800904977,11,0.55527795128045,10
"IFT27",5.18009577971132e-142,0.699822040462388,0.692,0.659,1.37194836725654e-137,0.425302826379542,12,0.649640287769784,10
"NLRP7",9.4311583436689e-142,-0.3593125111261,0.005,0.19,2.49784228732071e-137,0.6,2,0.987531172069825,4
"SNTN",4.70873674699731e-141,1.99992871648053,0.362,0.02,1.24710892744224e-136,0.81701030927835,7,0.30952380952381,7
"TUBA1A",1.96733688669849e-140,2.01014731131665,0.664,0.293,5.21049174442095e-136,0.449438202247191,11,0.348460291734198,10
"ADH7",2.82651331748329e-140,-0.257096375887492,0.039,0.232,7.48602052135448e-136,0.904761904761905,4,0.979591836734694,4
"WDR86-AS1",3.86167113891127e-140,1.01416300262715,0.417,0.062,1.02276360114065e-135,0.693512304250559,9,0.630769230769231,6
"PSCA",1.84103957149762e-139,1.50150686525774,0.334,0.48,4.87599330511143e-135,0.879888268156425,8,0.885488647581441,8
"VIM",6.65361828425056e-139,1.37509021055227,0.726,0.184,1.76221080258376e-134,0.424903722721438,12,0.259640102827764,11
"SAMD9",3.04242491154054e-138,-0.506541136896209,0.158,0.674,8.05786237821511e-134,0.396449704142012,8,0.532348804500703,10
"TSPAN19",5.9109733125587e-138,1.02299540168705,0.308,0.007,1.56552128183117e-133,0.939393939393939,7,0.642857142857143,3
"DNALI1",4.42006182922515e-137,1.07921438987327,0.488,0.2,1.17065337547028e-132,0.603053435114504,10,0.636579572446556,10
"WFDC2",6.63412245084383e-137,-0.287334997952674,0.968,0.931,1.75704733110599e-132,0.352261790182868,12,0.487519103413143,11
"CBLC",7.61430040123617e-137,-0.454375864047207,0.153,0.716,2.0166474612674e-132,0.408536585365854,8,0.56887417218543,9
"ZFP36L1",2.7910289775115e-136,1.23785111159024,0.959,0.905,7.39204024693922e-132,0.361516034985423,13,0.486642221058146,11
"CXCL11",4.30830547487531e-136,-0.5394910183329,0.002,0.299,1.14105470502073e-131,0.5,2,0.565079365079365,7
"FAM166B",5.91798686056903e-136,0.897659669619411,0.316,0.015,1.56737882002171e-131,0.92330383480826,7,0.34375,7
"GCLC",4.89758855716433e-135,-0.532653862148746,0.266,0.71,1.29712632936497e-130,0.505263157894737,10,0.458611481975968,11
"LRRC23",5.63612233897591e-135,1.15825448414468,0.466,0.366,1.49272700147777e-130,0.616,12,0.782101167315175,9
"APOL2",2.68268482670355e-134,-0.487251070508424,0.39,0.874,7.10509076352435e-130,0.35799522673031,11,0.50732501356484,10
"FAM83A",4.21641127785077e-134,-0.505782895220688,0.249,0.798,1.11671652693878e-129,0.52059925093633,11,0.489311163895487,10
"DNAH12",7.97289504599107e-134,0.907003378044592,0.339,0.028,2.11162125293073e-129,0.862637362637363,9,0.3,8
"WDR38",7.97639045891368e-134,1.3597224273614,0.309,0.032,2.11254701304329e-129,0.936746987951807,6,0.676470588235294,5
"CDH3",1.09511807798276e-133,-0.448202274835531,0.328,0.663,2.90042022953733e-129,0.386363636363636,12,0.399571122230164,11
"MAGEA1",1.95724932708869e-133,-0.326660326319814,0.014,0.193,5.1837748427944e-129,0.866666666666667,3,1,1
"C20orf85",5.08780760931264e-133,2.3833805166163,0.319,0.009,1.34750584532645e-128,0.926900584795322,6,0.65,2
"BLVRB",5.70105677045642e-133,-0.810244164872334,0.793,0.952,1.50992488565538e-128,0.340775558166863,13,0.476831091180867,11
"FAM81B",6.72033804156757e-133,0.922683373855271,0.327,0.035,1.77988153030917e-128,0.886039886039886,7,0.73972602739726,6
"FANK1",6.84084493264404e-133,1.28894242269637,0.412,0.3,1.81179778041077e-128,0.708144796380091,11,0.746835443037975,8
"DYNLRB2",1.57858644854202e-132,1.03295645001815,0.343,0.046,4.18088620896354e-128,0.861413043478261,7,0.34020618556701,7
"HLA-H",3.06024865810315e-132,-0.431068692338426,0.801,0.956,8.1050685709862e-128,0.315116279069767,12,0.474206349206349,11
"ROPN1L",5.97979367624083e-132,1.45861813606066,0.322,0.012,1.58374835515238e-127,0.904624277456647,7,0.5,6
"TINAGL1",7.07178959386314e-132,-0.50763278119577,0.265,0.679,1.87296347393465e-127,0.51056338028169,12,0.434357541899441,9
"NCK1",9.6961417285771e-132,-0.532339912605059,0.292,0.826,2.56802313681365e-127,0.277955271565495,9,0.533562822719449,11
"FAM92B",1.23238873817285e-131,1.6139231789991,0.314,0.009,3.2639815730508e-127,0.931750741839763,6,0.578947368421053,3
"SLC34A2",5.03447774432329e-131,0.428355814249993,0.864,0.612,1.33338143058402e-126,0.347357065803668,12,0.666150271107668,10
"UQCRFS1",5.38568467139583e-131,-0.686282475575697,0.694,0.953,1.42639858521918e-126,0.34496644295302,12,0.475124378109453,11
"LOC401585",9.130190754343e-131,-0.304411179682293,0.11,0.467,2.41813102128774e-126,0.508474576271186,8,0.542131979695431,9
"C1orf194",1.54038943422761e-130,1.62506284630603,0.323,0.01,4.07972141655182e-126,0.913544668587896,7,0.619047619047619,3
"FOXJ1",1.66649875375308e-130,0.626700983573495,0.541,0.094,4.41372194931504e-126,0.546551724137931,11,0.21105527638191,10
"PLAU",2.58814273176973e-130,-0.69956154089277,0.367,0.825,6.85469602509213e-126,0.451776649746193,10,0.469810235767683,10
"C11orf88",5.46976297550754e-130,1.40979555606762,0.319,0.009,1.44866672406317e-125,0.923976608187134,8,0.6,3
"C6orf118",9.55402342741554e-130,0.995775673310781,0.305,0.008,2.53038310475101e-125,0.929663608562691,7,0.5625,2
"AGR2",1.83143416581675e-129,0.957736412176399,0.912,0.743,4.85055338816566e-125,0.365679264555669,12,0.606892150606254,11
"EFCAB1",2.03051657829314e-129,0.870292857373073,0.308,0.023,5.37782315760938e-125,0.939577039274924,6,0.354166666666667,8
"KIF9",2.12281108602269e-129,0.714824466363732,0.595,0.501,5.62226516133108e-125,0.493730407523511,11,0.678977272727273,9
"TMEM190",2.26018620395926e-129,2.22659247386703,0.322,0.013,5.98610316118609e-125,0.918840579710145,6,0.428571428571429,7
"HLA-C",2.28582520314825e-129,-0.782502723847135,0.958,0.997,6.05400805053815e-125,0.327821011673152,12,0.455539705183072,11
"ARHGAP18",3.40644403893675e-129,0.820772451039474,0.539,0.452,9.02196703712398e-125,0.543252595155709,11,0.740041928721174,9
"CAPSL",2.36440024805202e-128,1.50075867891941,0.318,0.01,6.26211405696578e-124,0.929618768328446,6,0.545454545454545,4
"TEKT1",2.38800272602702e-128,1.52942651318242,0.311,0.009,6.32462521988257e-124,0.937125748502994,7,0.631578947368421,2
"MORN5",2.45380223815262e-128,1.15448914616846,0.314,0.009,6.49889522774722e-124,0.934718100890208,7,0.6,3
"RSPH9",2.59871885592021e-128,1.41266695635139,0.343,0.034,6.88270688990468e-124,0.861413043478261,9,0.305555555555556,7
"TTC29",3.53920917233697e-128,0.504485886884498,0.3,0.009,9.37359549293447e-124,0.925465838509317,7,0.35,4
"HCP5",3.58217232529082e-128,-0.537043400586292,0.235,0.718,9.48738340353273e-124,0.373015873015873,10,0.512211221122112,10
"CFAP126",4.03158746225097e-128,1.05858125437707,0.332,0.071,1.06776593937717e-123,0.887640449438202,7,0.74496644295302,7
"DYDC2",4.23461902717666e-128,0.879137996876529,0.313,0.015,1.12153884934774e-123,0.94047619047619,8,0.387096774193548,6
"ARNTL2",5.12792976993586e-128,-0.429973409405696,0.153,0.721,1.35813219956751e-123,0.378048780487805,8,0.575936883629191,8
"C14orf142",6.39970750900625e-128,0.737300028076989,0.522,0.469,1.6949625337603e-123,0.553571428571429,10,0.549039433771486,10
"ATP5G3",8.67202892081559e-128,-0.529195810037646,0.817,0.976,2.29678685967801e-123,0.339794754846066,13,0.464788732394366,11
"C11orf97",2.04573929192892e-127,0.664476969746152,0.304,0.008,5.41814051467374e-123,0.938650306748466,6,0.588235294117647,2
"MRPS12",2.48611979292096e-127,-0.502912201242591,0.54,0.902,6.58448827155116e-123,0.300518134715026,13,0.490010515247108,11
"S100A8",4.8129921497393e-127,-0.468990116518482,0.101,0.393,1.27472097085845e-122,0.490740740740741,8,0.6256038647343,8
"RRAD",6.11025374495376e-127,1.98234485493884,0.614,0.14,1.618300704351e-122,0.477996965098634,12,0.257627118644068,9
"SPA17",8.19855778633935e-127,0.805862616600542,0.447,0.38,2.17138802971198e-122,0.654166666666667,12,0.598503740648379,10
"ZMYND10",9.3588145586428e-127,1.69088782475197,0.332,0.015,2.47868203585655e-122,0.884831460674157,8,0.5,7
"AKAP14",1.00364681707046e-126,0.918211066473268,0.304,0.024,2.65815859501111e-122,0.932515337423313,7,0.26,9
"TRAF3IP1",1.72197366867974e-126,0.686429772179913,0.546,0.596,4.56064726149829e-122,0.52901023890785,13,0.612877583465819,11
"JUND",1.77573306506779e-126,0.819092078903605,0.886,0.854,4.70302902283205e-122,0.330178759200841,12,0.511382565241532,10
"RAB7A",4.45566137845769e-126,-0.446709304422354,0.76,0.966,1.18008191608452e-121,0.350490196078431,13,0.467844869906726,11
"C2orf40",5.2315478043117e-126,1.32803371044243,0.308,0.012,1.38557543597195e-121,0.936555891238671,6,0.52,3
"MS4A8",8.86945625840013e-126,1.58042654081158,0.32,0.012,2.34907549003728e-121,0.924198250728863,6,0.56,4
"FAM216B",1.11964485178056e-125,0.874499640811197,0.31,0.009,2.9653793899408e-121,0.93993993993994,6,0.65,2
"CA12",3.75389336638068e-125,-0.540226363072131,0.126,0.458,9.94218658085922e-121,0.392592592592593,10,0.522279792746114,7
"IQGAP2",4.41321991163139e-125,0.680448031502025,0.491,0.042,1.16884129359557e-120,0.52561669829222,12,0.393258426966292,8
"TSPAN3",6.54778213781775e-125,0.365461400454838,0.937,0.912,1.73418009920103e-120,0.336318407960199,12,0.496619864794592,11
"DAW1",7.0593725707995e-125,0.681264334885964,0.31,0.018,1.86967482537625e-120,0.891891891891892,11,0.27027027027027,8
"ARHGDIB",8.98401415337266e-125,0.629997351919705,0.637,0.803,2.37941614852075e-120,0.506588579795022,12,0.562315416420555,10
"TEKT2",1.17409545439634e-124,1.28959316073817,0.332,0.012,3.10959181096872e-120,0.865168539325843,7,0.576923076923077,5
"ENKUR",2.18689720814127e-124,0.851090968002577,0.347,0.045,5.79199725576214e-120,0.841397849462366,10,0.478723404255319,7
"STOML3",2.8152449557833e-124,0.779291415334077,0.303,0.009,7.45617626539208e-120,0.941538461538462,6,0.5,4
"CFAP45",7.42111109392245e-124,1.13307246423638,0.337,0.044,1.96548127322536e-119,0.859116022099447,9,0.565217391304348,7
"FAM162A",8.3198158766841e-124,-0.405821649773739,0.482,0.823,2.20350323493978e-119,0.307543520309478,11,0.415898617511521,11
"C9orf135",1.10830565137987e-123,0.897465074005817,0.31,0.027,2.93534751767959e-119,0.921921921921922,8,0.571428571428571,5
"FOSL1",1.3040571829763e-123,-0.795267760281824,0.323,0.433,3.45379544911272e-119,0.538904899135447,9,0.660831509846827,8
"PPIL6",4.12370952304702e-123,1.00095242455408,0.402,0.204,1.092164467179e-118,0.723897911832947,11,0.734883720930233,10
"CCDC17",5.64573868157223e-123,0.895947914934589,0.333,0.023,1.49527388981441e-118,0.871148459383754,7,0.3125,7
"CALML4",5.72973737142467e-123,0.622966236281531,0.39,0.366,1.51752094282182e-118,0.741626794258373,11,0.760362694300518,8
"PROM2",7.5084345709284e-123,-0.293117087193448,0.149,0.726,1.98860889611039e-118,0.46875,11,0.569562377531025,10
"LRRIQ1",1.01966017896808e-122,0.765743761267936,0.321,0.021,2.70056998399696e-118,0.901162790697674,7,0.386363636363636,7
"TPD52L1",4.44000196773058e-122,-0.349387457173375,0.104,0.582,1.17593452115344e-117,0.455357142857143,8,0.47758761206194,8
"HLA-A",4.83414528494786e-122,-0.738034041481747,0.981,0.993,1.28032337871844e-117,0.339981006647673,12,0.45727923627685,11
"LRRC46",6.82971897514117e-122,1.16120853453084,0.327,0.069,1.80885107056614e-117,0.894586894586895,8,0.527397260273973,8
"C22orf15",8.39936714026401e-122,0.947517401072074,0.301,0.009,2.22457238709892e-117,0.928792569659443,6,0.65,3
"CDHR4",1.62882772052066e-121,0.762261865995147,0.307,0.011,4.31395021779896e-117,0.936170212765957,7,0.583333333333333,5
"ASPH",1.77917447182381e-121,-0.745559764178064,0.654,0.969,4.71214358862535e-117,0.35042735042735,11,0.464774951076321,11
"ERICH3",3.38633186279375e-121,0.82120435637541,0.309,0.012,8.96869993860925e-117,0.94578313253012,6,0.5,5
"ACTB",3.77124090638197e-121,-0.490050498159886,0.993,1,9.98813154055264e-117,0.348968105065666,13,0.454459203036053,11
