"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","naive.pt.occupancy","naive.n.nonzero.pts","grouped_pd.pt.occupancy","grouped_pd.n.nonzero.pts","gene","sig"
"ASS1",3.58671138291192e-192,2.00634363863405,0.387,0.91,9.49940509764223e-188,0.383132530120482,11,0.498958333333333,11,"ASS1","p_val_adj<0.05"
"UBD",6.14035678069925e-234,1.99668742474058,0.113,0.777,1.6262734933682e-229,0.487603305785124,8,0.569859670530811,8,"UBD","p_val_adj<0.05"
"IDO1",1.37356936105241e-245,1.98461803725661,0.107,0.743,3.63789845274732e-241,0.478260869565217,7,0.476068921506063,8,"IDO1","p_val_adj<0.05"
"S100P",3.37284213794468e-54,1.93537127250261,0.293,0.626,8.93297240234649e-50,0.703821656050955,11,0.725208175624527,10,"S100P","p_val_adj<0.05"
"ERO1A",4.53045519607461e-41,1.87963822517454,0.678,0.92,1.19989105868036e-36,0.381868131868132,12,0.493814432989691,11,"ERO1A","p_val_adj<0.05"
"ALDH3A1",2.46740319718148e-114,1.86910050557413,0.381,0.34,6.53491736773514e-110,0.518337408312958,9,0.817548746518106,8,"ALDH3A1","p_val_adj<0.05"
"MSLN",8.93996138643283e-32,1.78672999949897,0.18,0.532,2.36774877319674e-27,0.507772020725389,9,0.85204991087344,7,"MSLN","p_val_adj<0.05"
"IGFBP3",5.50541815825345e-154,1.78495635108006,0.238,0.806,1.45810999921343e-149,0.549019607843137,10,0.562095350206004,8,"IGFBP3","p_val_adj<0.05"
"S100A2",9.67891041236999e-225,1.66860877608285,0.291,0.448,2.56345942271619e-220,0.394230769230769,11,0.645502645502645,9,"S100A2","p_val_adj<0.05"
"LYPD3",2.32308300268148e-203,1.66313781624483,0.103,0.595,6.15268533260189e-199,0.261261261261261,10,0.47808764940239,7,"LYPD3","p_val_adj<0.05"
"CBR1",2.62736359770725e-290,1.64932591064453,0.657,0.933,6.95857248852764e-286,0.336170212765957,12,0.469242501270971,11,"CBR1","p_val_adj<0.05"
"LDHA",8.58284200695708e-98,1.61549275608793,0.795,0.984,2.27316570554258e-93,0.392731535756155,13,0.460982658959538,11,"LDHA","p_val_adj<0.05"
"SCCPDH",9.63435981123876e-17,1.6117612146986,0.621,0.705,2.55166019600658e-12,0.408408408408408,12,0.644683714670256,11,"SCCPDH","p_val_adj<0.05"
"CRABP2",4.01833485317228e-270,1.6034752119348,0.116,0.861,1.06425598586268e-265,0.290322580645161,11,0.512396694214876,9,"CRABP2","p_val_adj<0.05"
"PGD",1.48371499084837e-245,1.56726033015727,0.669,0.953,3.9296191532619e-241,0.286908077994429,12,0.475858636137382,10,"PGD","p_val_adj<0.05"
"DKK1",4.71288122309024e-206,1.56162579185497,0.051,0.669,1.24820659193545e-201,0.327272727272727,7,0.581560283687943,7,"DKK1","p_val_adj<0.05"
"LY6D",2.40884407367971e-203,1.51144775752664,0.051,0.555,6.37982352914072e-199,0.290909090909091,8,0.481196581196581,7,"LY6D","p_val_adj<0.05"
"PFKP",1.57263863616088e-17,1.49776855198163,0.638,0.85,4.16513342787209e-13,0.322627737226277,12,0.533742331288344,11,"PFKP","p_val_adj<0.05"
"MUC20",1.49991199042702e-26,1.47223426934363,0.674,0.893,3.97251690664595e-22,0.424619640387275,12,0.508492569002123,10,"MUC20","p_val_adj<0.05"
