"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","naive.pt.occupancy","naive.n.nonzero.pts","grouped_pd.pt.occupancy","grouped_pd.n.nonzero.pts","gene","sig"
"CAPG",8.69908590825139e-273,1.45906121269656,0.434,0.939,2.30395290280038e-268,0.439914163090129,11,0.482828282828283,10,"CAPG","p_val_adj<0.05"
"ALOX5",2.88092961145361e-64,1.45079122229803,0.047,0.574,7.63014207593489e-60,0.3,7,0.788429752066116,8,"ALOX5","p_val_adj<0.05"
"ALDOA",5.43986239608767e-226,1.44979034957838,0.948,0.998,1.44074755560382e-221,0.323500491642085,13,0.45532319391635,11,"ALDOA","p_val_adj<0.05"
"BACE2",1.23973851546282e-10,1.4493056936002,0.521,0.773,3.28344745820327e-06,0.289803220035778,12,0.586503067484663,10,"BACE2","p_val_adj<0.05"
"TACSTD2",1.87389710796633e-155,1.35067981585234,0.937,0.972,4.96301649044881e-151,0.332338308457711,12,0.46754514397267,10,"TACSTD2","p_val_adj<0.05"
"TMEM176B",2.71740589710839e-16,1.35004121787804,0.24,0.571,7.19704951849156e-12,0.461240310077519,7,0.784053156146179,8,"TMEM176B","p_val_adj<0.05"
"C3",1.40070798456125e-36,1.33939845104933,0.401,0.623,3.70977509711046e-32,0.434883720930233,12,0.729071537290715,10,"C3","p_val_adj<0.05"
"GALNT12",4.69939772560459e-26,1.33743452006399,0.228,0.629,1.24463548762637e-21,0.338775510204082,9,0.718914845516202,9,"GALNT12","p_val_adj<0.05"
"FXYD3",1.46972513953996e-208,1.31733300960155,0.763,0.978,3.89256703207158e-204,0.396825396825397,12,0.464112512124151,11,"FXYD3","p_val_adj<0.05"
"AKR1C2",4.71091251984568e-165,1.31500022915304,0.319,0.339,1.24768518088113e-160,0.60233918128655,10,0.865734265734266,9,"AKR1C2","p_val_adj<0.05"
"C15orf48",3.92728706357852e-09,1.30373145919432,0.573,0.788,0.000104014197878877,0.47479674796748,10,0.575556893437688,10,"C15orf48","p_val_adj<0.05"
"KRT7",0.087295067918264,1.30273687937031,0.7,0.829,1,0.439414114513981,13,0.547741566609491,10,"KRT7","NS"
"PGK1",1.77842861630099e-25,1.29552088030225,0.89,0.963,4.71016819027318e-21,0.349738219895288,13,0.471456692913386,11,"PGK1","p_val_adj<0.05"
"RAP2B",2.83181284583142e-275,1.2444668287187,0.56,0.925,7.5000563221845e-271,0.346089850249584,12,0.483076923076923,11,"RAP2B","p_val_adj<0.05"
"KRT15",3.8461044718813e-227,1.20988800678341,0.197,0.7,1.01864076937776e-222,0.450236966824645,10,0.450914014895058,10,"KRT15","p_val_adj<0.05"
"ST14",5.29645086140971e-40,1.20741011533523,0.782,0.953,1.40276501064436e-35,0.33253873659118,12,0.476356396217023,11,"ST14","p_val_adj<0.05"
"GOLM1",3.38556943816548e-09,1.20404711296608,0.742,0.843,8.96668065698127e-05,0.314070351758794,11,0.538807649043869,11,"GOLM1","p_val_adj<0.05"
"AVPI1",7.75017113032137e-196,1.19326468129697,0.294,0.835,2.05263282386561e-191,0.444444444444444,10,0.53946621237933,9,"AVPI1","p_val_adj<0.05"
"TAP1",2.51782786120797e-180,1.19025152577672,0.491,0.912,6.66846709040931e-176,0.318785578747628,11,0.494802494802495,11,"TAP1","p_val_adj<0.05"
"MDK",7.55274592144506e-196,1.17996523939299,0.729,0.977,2.00034475729473e-191,0.40920716112532,12,0.464077669902913,11,"MDK","p_val_adj<0.05"
"ADAM15",2.60547984993959e-41,1.17609858108959,0.47,0.828,6.900613382565e-37,0.293650793650794,12,0.546651402404121,11,"ADAM15","p_val_adj<0.05"
"PTGES",3.76445036154039e-22,1.16954300646069,0.279,0.686,9.97014678253971e-18,0.45819397993311,10,0.661825726141079,9,"PTGES","p_val_adj<0.05"
"GPRC5A",7.02542063921182e-48,1.15294530822577,0.626,0.902,1.86068265629525e-43,0.452380952380952,12,0.503154574132492,10,"GPRC5A","p_val_adj<0.05"
"BPGM",3.94214243063309e-18,1.1340282276645,0.406,0.698,1.04407642275317e-13,0.36697247706422,12,0.644701086956522,10,"BPGM","p_val_adj<0.05"
"CAPN2",4.96583012598156e-24,1.11561421766375,0.853,0.958,1.31520010886622e-19,0.324590163934426,13,0.474022761009401,11,"CAPN2","p_val_adj<0.05"
"TMSB10",2.46233238001633e-286,1.11002050637689,0.986,0.999,6.52148730847326e-282,0.348771266540643,13,0.454890788224122,11,"TMSB10","p_val_adj<0.05"
"VWA5A",4.43090837721143e-12,1.10219531605112,0.349,0.585,1.17352608370445e-07,0.526737967914438,10,0.772911597729116,9,"VWA5A","p_val_adj<0.05"
"FXYD5",9.06530918403113e-204,1.09823725507478,0.33,0.911,2.40094713739065e-199,0.392655367231638,12,0.49687825182102,11,"FXYD5","p_val_adj<0.05"
"QSOX1",1.89631110899214e-13,1.08484637702868,0.482,0.711,5.02237997216568e-09,0.311411992263056,12,0.638425617078052,11,"QSOX1","p_val_adj<0.05"
"HLA-F",2.42191525316365e-243,1.08417526153214,0.616,0.941,6.41444254800393e-239,0.376701966717095,12,0.477822580645161,11,"HLA-F","p_val_adj<0.05"
"AKR1C3",2.25278440032696e-104,1.08092506807917,0.535,0.425,5.96649948426596e-100,0.376306620209059,11,0.678571428571429,10,"AKR1C3","p_val_adj<0.05"
"TYMP",1.38873807758751e-202,1.05932546140767,0.78,0.935,3.67807279849052e-198,0.345280764635603,12,0.485294117647059,11,"TYMP","p_val_adj<0.05"
"ARPC1B",2.30827789686336e-42,1.05501355990143,0.813,0.94,6.11347400984262e-38,0.338302752293578,13,0.48284561049445,11,"ARPC1B","p_val_adj<0.05"
"ARPC5",2.05539498765753e-52,1.05340081405304,0.64,0.925,5.44371362481096e-48,0.333333333333333,13,0.490517683239364,10,"ARPC5","p_val_adj<0.05"
"MUC1",1.55251464326085e-07,1.04649795501049,0.815,0.859,0.00411183503267637,0.345142857142857,12,0.528989508558807,11,"MUC1","p_val_adj<0.05"
"HSPA7",6.13529509991411e-43,1.04352842687215,0.226,0.248,1.62493290721225e-38,0.489711934156379,10,0.505725190839695,9,"HSPA7","p_val_adj<0.05"
"PLBD1",1.96488788667786e-06,1.04352604202319,0.497,0.704,0.0520400556786631,0.416510318949343,10,0.644204851752022,10,"PLBD1","NS"
"PSMB9",5.68263139995712e-284,1.03942314410762,0.602,0.951,1.50504492627864e-279,0.408668730650155,12,0.476071784646062,11,"PSMB9","p_val_adj<0.05"
"PLA2G16",1.93478699136078e-32,1.03543326716612,0.822,0.765,5.12428334661903e-28,0.342403628117914,13,0.593924364538128,11,"PLA2G16","p_val_adj<0.05"
"KRT19",1.35550024166526e-194,1.02907992864334,0.959,0.987,3.59004239005043e-190,0.34402332361516,13,0.459875060067275,11,"KRT19","p_val_adj<0.05"
"IDH1",8.15979016038071e-13,1.02720681815288,0.501,0.78,2.16112042397683e-08,0.351301115241636,12,0.580547112462006,11,"IDH1","p_val_adj<0.05"
"PLIN2",2.33881365718743e-115,1.02638624192428,0.191,0.771,6.1943479710609e-111,0.531707317073171,10,0.559926244622004,10,"PLIN2","p_val_adj<0.05"
"GSTK1",3.55852989479077e-62,1.02425551387088,0.76,0.941,9.42476642635335e-58,0.32843137254902,13,0.482862903225806,11,"GSTK1","p_val_adj<0.05"
"PTP4A2",3.48188326667086e-69,1.01943372432367,0.811,0.973,9.22176783177777e-65,0.304597701149425,13,0.46663419386264,11,"PTP4A2","p_val_adj<0.05"
"LITAF",3.17197237939164e-66,1.00733884538986,0.74,0.958,8.40096884681877e-62,0.353904282115869,11,0.473527956457199,10,"LITAF","p_val_adj<0.05"
"CXCL16",5.7494738057928e-70,0.999442100044747,0.517,0.877,1.52274813746422e-65,0.313513513513514,12,0.516495402920498,11,"CXCL16","p_val_adj<0.05"
"RAC1",2.66643335923652e-30,0.993989815830822,0.969,0.993,7.06204875193792e-26,0.346153846153846,13,0.45727923627685,11,"RAC1","p_val_adj<0.05"
"BIRC3",2.84281032729718e-61,0.981672246666909,0.429,0.829,7.52918315184658e-57,0.41304347826087,10,0.546910755148741,10,"BIRC3","p_val_adj<0.05"
"FHL2",1.35910845103464e-153,0.969159282000297,0.216,0.83,3.59959873256525e-149,0.620689655172414,11,0.53912050256996,9,"FHL2","p_val_adj<0.05"
"SPINT2",5.51841959902612e-75,0.96873520925712,0.94,0.991,1.46155343080207e-70,0.32804757185332,13,0.458113930110101,11,"SPINT2","p_val_adj<0.05"
"HTATIP2",1.53371766140241e-80,0.958387522506561,0.508,0.888,4.06205122622428e-76,0.335779816513761,12,0.510683760683761,11,"HTATIP2","p_val_adj<0.05"
"RAB9A",6.89457846350813e-24,0.949683432121232,0.471,0.776,1.82602910606013e-19,0.396039603960396,10,0.582773365913256,10,"RAB9A","p_val_adj<0.05"
"TALDO1",3.71875990171721e-186,0.948969048746457,0.856,0.972,9.84913559969804e-182,0.32244008714597,13,0.466601657727938,11,"TALDO1","p_val_adj<0.05"
"CTSB",2.0610682146794e-47,0.936946796443784,0.885,0.974,5.45873916657839e-43,0.328421052631579,12,0.465693430656934,11,"CTSB","p_val_adj<0.05"
"PSME2",1.82852180803118e-240,0.934222791498429,0.876,0.982,4.84284000857058e-236,0.332978723404255,13,0.462095605987446,11,"PSME2","p_val_adj<0.05"
"CD47",6.52752424121508e-73,0.93161811236746,0.822,0.973,1.72881479528581e-68,0.335600907029478,12,0.46663419386264,11,"CD47","p_val_adj<0.05"
"HSPB1",1.94327539851703e-215,0.928265695057152,0.92,0.994,5.14676489297236e-211,0.349544072948328,13,0.45706106870229,11,"HSPB1","p_val_adj<0.05"
"ARPC2",2.68750302437672e-253,0.927957276001377,0.8,0.99,7.11785176006175e-249,0.333333333333333,13,0.459032103497844,11,"ARPC2","p_val_adj<0.05"
"LCN2",1.35327157005747e-15,0.917535105339019,0.617,0.728,3.5841397532972e-11,0.466767371601208,11,0.623452768729642,9,"LCN2","p_val_adj<0.05"
"SLCO4A1",2.67682066154114e-22,0.90595876948897,0.139,0.601,7.08955952209172e-18,0.348993288590604,8,0.744277821625888,8,"SLCO4A1","p_val_adj<0.05"
"SMS",0.000571146726378615,0.903988856886086,0.719,0.873,1,0.356217616580311,11,0.520086862106406,10,"SMS","NS"
"WARS",5.32714162123294e-158,0.89422363095151,0.718,0.868,1.41089345838354e-153,0.328571428571429,11,0.459858001092299,11,"WARS","p_val_adj<0.05"
"GDE1",0.040300697389099,0.893634133826371,0.649,0.771,1,0.290229885057471,12,0.587584511370621,11,"GDE1","NS"
"MPZL2",7.67569175911747e-49,0.892312724463292,0.622,0.901,2.03290696240226e-44,0.446776611694153,12,0.501315097317201,10,"MPZL2","p_val_adj<0.05"
"FTL",2.62600765530494e-108,0.88576369859191,0.979,0.998,6.95498127507514e-104,0.34,13,0.454847908745247,11,"FTL","p_val_adj<0.05"
"LAPTM4B",7.41844035211506e-72,0.880984936591229,0.578,0.905,1.96477392725767e-67,0.401612903225806,12,0.501572327044025,11,"LAPTM4B","p_val_adj<0.05"
"PAM",9.52066478521915e-06,0.87690471527932,0.35,0.683,0.252154806836529,0.382978723404255,9,0.661346287300486,11,"PAM","NS"
"PSMB10",5.27733793471762e-194,0.876898902983898,0.659,0.945,1.39770295200996e-189,0.418670438472419,12,0.479678876066232,11,"PSMB10","p_val_adj<0.05"
"KRT16",7.71139839664738e-69,0.875997432158675,0.063,0.47,2.04236386535206e-64,0.338235294117647,9,0.678427419354839,8,"KRT16","p_val_adj<0.05"
"PPIA",8.59702161831839e-201,0.87421888189176,0.966,0.996,2.27692117561162e-196,0.336872586872587,13,0.455497382198953,11,"PPIA","p_val_adj<0.05"
"PARM1",1.692010503239e-24,0.870903678207216,0.349,0.567,4.48128981782849e-20,0.336,12,0.798326359832636,9,"PARM1","p_val_adj<0.05"
"LAMB3",3.48898677915936e-75,0.870532206874368,0.501,0.892,9.24058148460356e-71,0.410780669144981,11,0.505844845908608,10,"LAMB3","p_val_adj<0.05"
"TK1",8.27013724386106e-103,0.869265464298891,0.176,0.721,2.1903458490366e-98,0.46031746031746,11,0.619329388560158,10,"TK1","p_val_adj<0.05"
"PPT1",8.01410719087819e-09,0.867093752512809,0.528,0.781,0.000212253628950409,0.303350970017637,12,0.578883495145631,10,"PPT1","p_val_adj<0.05"
"TMBIM1",1.18126112332592e-105,0.866054515050316,0.505,0.91,3.1285700851287e-101,0.306273062730627,12,0.497655028660761,11,"TMBIM1","p_val_adj<0.05"
"GPR87",1.11750802835384e-257,0.861022359235848,0.043,0.765,2.95972001309514e-253,0.326086956521739,9,0.550805452292441,8,"GPR87","p_val_adj<0.05"
"SERPINE1",1.62471482262279e-104,0.852682668429462,0.177,0.658,4.30305720771645e-100,0.789473684210526,9,0.614996395097332,8,"SERPINE1","p_val_adj<0.05"
"SYPL1",1.42904529216316e-24,0.851447179711642,0.677,0.871,3.78482645629412e-20,0.325068870523416,12,0.520697167755991,11,"SYPL1","p_val_adj<0.05"
"HEXB",5.46894878219869e-08,0.851298202766275,0.645,0.845,0.00144845108496532,0.359826589595376,11,0.535614133482894,10,"HEXB","p_val_adj<0.05"
"ITGB1",3.94280671085246e-65,0.847563626214424,0.626,0.929,1.04425235736928e-60,0.328869047619048,11,0.488514548238897,10,"ITGB1","p_val_adj<0.05"
"TP53I11",1.37185424084608e-19,0.847050943416297,0.422,0.745,3.63335595688084e-15,0.295805739514349,11,0.607506361323155,10,"TP53I11","p_val_adj<0.05"
"KYNU",2.82275731132628e-169,0.840970905109043,0.135,0.805,7.47607273904766e-165,0.558620689655172,8,0.560659599528857,10,"KYNU","p_val_adj<0.05"
"SGSM3",1.1491134460361e-11,0.838076000432798,0.49,0.624,3.04342696182661e-07,0.397338403041825,11,0.722433460076046,10,"SGSM3","p_val_adj<0.05"
"DLD",5.84898324604828e-31,0.837307054585618,0.385,0.745,1.54910321271589e-26,0.324455205811138,10,0.605346912794398,10,"DLD","p_val_adj<0.05"
"ARPC1A",4.74392934204995e-38,0.837062401349477,0.76,0.936,1.25642968624193e-33,0.330061349693252,13,0.484050632911392,11,"ARPC1A","p_val_adj<0.05"
"S100A16",1.27157751243126e-204,0.836933848441394,0.565,0.956,3.36777304167419e-200,0.471947194719472,11,0.47172619047619,10,"S100A16","p_val_adj<0.05"
"STEAP4",2.39874210200639e-29,0.835759410161429,0.527,0.554,6.35306845716393e-25,0.506194690265487,10,0.818648417450813,11,"STEAP4","p_val_adj<0.05"
"UBE2L6",3.86223463417178e-216,0.826086217360849,0.636,0.947,1.0229128428604e-211,0.382697947214076,13,0.473209814722083,11,"UBE2L6","p_val_adj<0.05"
"SH3KBP1",0.08801093899504,0.825365630480867,0.411,0.649,1,0.426303854875283,12,0.696637426900585,10,"SH3KBP1","NS"
"BLVRB",5.70105677045642e-133,0.810244164872334,0.793,0.952,1.50992488565538e-128,0.340775558166863,13,0.476831091180867,11,"BLVRB","p_val_adj<0.05"
"CD24",6.63758353202189e-50,0.807504469027431,0.759,0.824,1.757963998456e-45,0.405405405405405,13,0.551208285385501,11,"CD24","p_val_adj<0.05"
"FOSL1",1.3040571829763e-123,0.795267760281824,0.323,0.433,3.45379544911272e-119,0.538904899135447,9,0.660831509846827,8,"FOSL1","p_val_adj<0.05"
"PSMB8",9.58684151224151e-169,0.793659333121613,0.712,0.947,2.53907497451716e-164,0.37565445026178,13,0.478217325988983,11,"PSMB8","p_val_adj<0.05"
"CFB",1.88655233362511e-12,0.793109314448587,0.568,0.805,4.99653385560612e-08,0.414754098360656,9,0.559222156747201,10,"CFB","p_val_adj<0.05"
"TXNRD1",3.39667874887063e-108,0.786639620412499,0.659,0.941,8.99610366638386e-104,0.2998585572843,12,0.481108312342569,11,"TXNRD1","p_val_adj<0.05"
"TMEM176A",8.26413241795083e-06,0.786429849230414,0.216,0.546,0.218875547089428,0.431034482758621,7,0.808159722222222,8,"TMEM176A","NS"
"HLA-C",2.28582520314825e-129,0.782502723847135,0.958,0.997,6.05400805053815e-125,0.327821011673152,12,0.455539705183072,11,"HLA-C","p_val_adj<0.05"
"VMO1",0.0775164554355139,0.782059471295482,0.127,0.44,1,0.823529411764706,8,0.973060344827586,7,"VMO1","NS"
"GPI",4.16374303109417e-75,0.775343837170683,0.788,0.971,1.10276734178529e-70,0.3451536643026,12,0.4677734375,11,"GPI","p_val_adj<0.05"
"ETFB",4.0182950674952e-190,0.774203239120076,0.625,0.902,1.0642454486261e-185,0.30849478390462,12,0.433526011560694,11,"ETFB","p_val_adj<0.05"
"HN1",1.28089570596363e-152,0.77365797521208,0.746,0.967,3.39245227724467e-148,0.305,13,0.466895537027955,10,"HN1","p_val_adj<0.05"
"RCN1",1.02095728595142e-40,0.770130019777017,0.593,0.895,2.70400537184235e-36,0.39622641509434,11,0.50635593220339,11,"RCN1","p_val_adj<0.05"
"CTTN",1.4968208557049e-32,0.764429888207656,0.909,0.988,3.96433003633443e-28,0.326153846153846,13,0.459913586173788,11,"CTTN","p_val_adj<0.05"
"OCLN",1.17891043657218e-22,0.757515041449437,0.631,0.863,3.12234429126142e-18,0.389955686853767,11,0.525824175824176,11,"OCLN","p_val_adj<0.05"
"MVP",4.30900714919091e-05,0.754775771015072,0.797,0.91,1,0.325146198830409,12,0.498697238144867,11,"MVP","NS"
"SLC2A1",2.43390136016019e-73,0.752730084619555,0.665,0.88,6.44618775238427e-69,0.373949579831933,11,0.514008620689655,10,"SLC2A1","p_val_adj<0.05"
"HLA-E",1.79005725600401e-146,0.752519791584864,0.897,0.99,4.74096664252662e-142,0.330218068535826,12,0.458333333333333,11,"HLA-E","p_val_adj<0.05"
"QPRT",1.21706958930683e-31,0.745683523744279,0.056,0.55,3.22340880727914e-27,0.266666666666667,11,0.81190681622088,9,"QPRT","p_val_adj<0.05"
"ASPH",1.77917447182381e-121,0.745559764178064,0.654,0.969,4.71214358862535e-117,0.35042735042735,11,0.464774951076321,11,"ASPH","p_val_adj<0.05"
"STK24",3.35145369504445e-16,0.742511752099354,0.563,0.815,8.87632511132521e-12,0.299668874172185,12,0.556137289121582,11,"STK24","p_val_adj<0.05"
"HLA-A",4.83414528494786e-122,0.738034041481747,0.981,0.993,1.28032337871844e-117,0.339981006647673,12,0.45727923627685,11,"HLA-A","p_val_adj<0.05"
"NENF",1.27458038571311e-156,0.737551986365983,0.758,0.947,3.37572615156117e-152,0.341943419434194,12,0.479218828242364,10,"NENF","p_val_adj<0.05"
"HADHB",2.27721867844853e-66,0.736772597197965,0.613,0.911,6.03121366987092e-62,0.322188449848024,11,0.496357960457856,11,"HADHB","p_val_adj<0.05"
"TAPBP",1.89228061544535e-39,0.736656008519594,0.884,0.963,5.01170521000701e-35,0.347734457323498,12,0.471688823239783,11,"TAPBP","p_val_adj<0.05"
"S100A9",6.06842363299798e-152,0.736404436660658,0.545,0.925,1.60722199919951e-147,0.605128205128205,11,0.468717948717949,10,"S100A9","p_val_adj<0.05"
"IL32",8.43503975818007e-07,0.733950234227305,0.461,0.737,0.0223402027995399,0.555555555555556,11,0.613899613899614,10,"IL32","p_val_adj<0.05"
"NGFRAP1",5.10164025268415e-199,0.732911492241579,0.459,0.944,1.3511694209234e-194,0.419878296146045,13,0.474371859296482,10,"NGFRAP1","p_val_adj<0.05"
"TXN",4.92200900560273e-151,0.731896911609536,0.902,0.995,1.30359408513388e-146,0.333677685950413,13,0.456625357483317,11,"TXN","p_val_adj<0.05"
"GJB3",2.93761170425632e-146,0.729147154641242,0.116,0.656,7.78026459872286e-142,0.467741935483871,9,0.526734104046243,9,"GJB3","p_val_adj<0.05"
"APOL1",2.1019365968591e-89,0.724397921882493,0.5,0.851,5.56697907678133e-85,0.394785847299814,11,0.506963788300836,11,"APOL1","p_val_adj<0.05"
"SLC25A5",5.01441461442692e-106,0.723661184937206,0.866,0.978,1.32806771063097e-101,0.316469321851453,13,0.463627546071775,11,"SLC25A5","p_val_adj<0.05"
"MDH2",1.35121810085922e-84,0.722877316461957,0.807,0.964,3.57870114012564e-80,0.331408775981524,13,0.470241023118544,11,"MDH2","p_val_adj<0.05"
"MYD88",2.1212061869775e-10,0.721852521011329,0.354,0.686,5.6180145862099e-06,0.363157894736842,12,0.659295093296476,10,"MYD88","p_val_adj<0.05"
"CLDN1",8.79789031036015e-176,0.721611385306962,0.564,0.855,2.33012124869888e-171,0.352066115702479,12,0.511924570160843,9,"CLDN1","p_val_adj<0.05"
"ANXA6",3.86255649167326e-12,0.71701880183061,0.098,0.484,1.02299808681966e-07,0.333333333333333,10,0.910871694417238,9,"ANXA6","p_val_adj<0.05"
"ADGRF1",2.68893257254387e-06,0.714152957334723,0.539,0.752,0.0712163791838245,0.384083044982699,10,0.600630914826498,11,"ADGRF1","NS"
"TRIM31",4.25190810556618e-26,0.707559429106366,0.198,0.615,1.1261178617592e-21,0.665094339622642,8,0.731688511950655,8,"TRIM31","p_val_adj<0.05"
"VDAC2",1.34884309199157e-171,0.707128821952494,0.73,0.96,3.57241092913966e-167,0.34610472541507,12,0.471604938271605,10,"VDAC2","p_val_adj<0.05"
"TPM2",3.72305996869179e-114,0.705155355497692,0.075,0.298,9.86052432708021e-110,0.5,8,0.660828025477707,8,"TPM2","p_val_adj<0.05"
"PDIA4",1.83256086689493e-11,0.704075467145208,0.826,0.94,4.85353745597123e-07,0.355530474040632,11,0.48284561049445,11,"PDIA4","p_val_adj<0.05"
"YWHAZ",9.95931396796923e-107,0.701484394853162,0.915,0.994,2.63772430441665e-102,0.316700610997963,13,0.45588936576061,11,"YWHAZ","p_val_adj<0.05"
"PLAU",2.58814273176973e-130,0.69956154089277,0.367,0.825,6.85469602509213e-126,0.451776649746193,10,0.469810235767683,10,"PLAU","p_val_adj<0.05"
"ADM",1.08441624483703e-60,0.693448674683816,0.337,0.6,2.87207642445088e-56,0.370165745856354,10,0.468404423380727,10,"ADM","p_val_adj<0.05"
"CPM",5.35800658345304e-15,0.691818897887196,0.303,0.687,1.41906804362754e-10,0.516923076923077,12,0.659075224292616,9,"CPM","p_val_adj<0.05"
"UQCRFS1",5.38568467139583e-131,0.686282475575697,0.694,0.953,1.42639858521918e-126,0.34496644295302,12,0.475124378109453,11,"UQCRFS1","p_val_adj<0.05"
"CACUL1",1.82046690237144e-34,0.683709985846084,0.574,0.869,4.82150659093075e-30,0.344155844155844,12,0.519650655021834,10,"CACUL1","p_val_adj<0.05"
"MAL2",1.64895653821833e-52,0.683503665605814,0.693,0.947,4.36726139147124e-48,0.330645161290323,12,0.479218828242364,11,"MAL2","p_val_adj<0.05"
"F11R",2.24605424992965e-57,0.683303458558977,0.83,0.951,5.94867468093867e-53,0.32996632996633,12,0.477567298105683,10,"F11R","p_val_adj<0.05"
"SQRDL",9.73763509527625e-117,0.679473731541074,0.596,0.915,2.57901265498391e-112,0.314553990610329,12,0.493519958527735,10,"SQRDL","p_val_adj<0.05"
"METTL9",6.93975626853664e-92,0.679240386860544,0.573,0.91,1.83799444772193e-87,0.338211382113821,11,0.497655028660761,10,"METTL9","p_val_adj<0.05"
"C6orf62",3.25042980815433e-15,0.677563567585923,0.789,0.936,8.60876334689675e-11,0.324675324675325,13,0.484034465281298,11,"C6orf62","p_val_adj<0.05"
"SLC50A1",1.87882464726686e-12,0.676478985114332,0.562,0.822,4.97606707828627e-08,0.303482587064677,11,0.552221581073283,11,"SLC50A1","p_val_adj<0.05"
"TMEM33",3.12355302665069e-07,0.67524037760793,0.555,0.805,0.00827273019108435,0.292436974789916,12,0.562168532704773,11,"TMEM33","p_val_adj<0.05"
"CAPZA2",1.56025043270012e-49,0.673908277789018,0.611,0.901,4.13232327100628e-45,0.329268292682927,12,0.501578947368421,10,"CAPZA2","p_val_adj<0.05"
"HLA-B",1.14880426820885e-149,0.673084287373575,0.971,0.996,3.04260810435114e-145,0.332053742802303,12,0.456190476190476,11,"HLA-B","p_val_adj<0.05"
"TSPO",2.53092063767912e-28,0.672600478158959,0.844,0.955,6.70314330889315e-24,0.322295805739514,13,0.475173783515392,11,"TSPO","p_val_adj<0.05"
"S100A14",4.4705069395814e-150,0.66649943972373,0.484,0.934,1.18401376294813e-145,0.441233140655106,13,0.485017775520569,10,"S100A14","p_val_adj<0.05"
"HSPA5",1.07587105939959e-19,0.66221136474303,0.911,0.974,2.84944450081982e-15,0.331627430910952,12,0.465433300876339,11,"HSPA5","p_val_adj<0.05"
"C20orf24",7.92725948516657e-185,0.661196213422032,0.675,0.94,2.09953467464637e-180,0.316298342541436,13,0.479818365287588,11,"C20orf24","p_val_adj<0.05"
