"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","grouped_pr pt.occupancy","grouped_pr n.nonzero.pts","grouped_pd pt.occupancy","grouped_pd n.nonzero.pts","gene","sig"
"GADD45G",4.74575214562617e-48,0.668776819764989,0.507,0.257,1.25691245576909e-43,0.43448275862069,8,0.584870848708487,10,"GADD45G","p_val_adj<0.05"
"NINJ2",5.02197716769343e-49,0.662247673248394,0.407,0.17,1.33007065286361e-44,0.562231759656652,7,0.545961002785515,8,"NINJ2","p_val_adj<0.05"
"ABCA3",4.04850501924175e-122,0.660267838928458,0.503,0.086,1.07224655434618e-117,0.34375,8,0.521978021978022,11,"ABCA3","p_val_adj<0.05"
"VEGFA",1.75891613746574e-53,0.65741804559337,0.724,0.51,4.65848939007801e-49,0.405797101449275,8,0.534386617100372,10,"VEGFA","p_val_adj<0.05"
"UNC50",5.51115086975291e-05,0.645077818915748,0.558,0.766,1,0.366771159874608,9,0.576113861386139,11,"UNC50","NS"
"NECAB3",4.68785414415729e-63,0.640697810413663,0.589,0.29,1.24157817008006e-58,0.489614243323442,8,0.392798690671031,10,"NECAB3","p_val_adj<0.05"
"ID4",1.47223078593102e-78,0.637329386529777,0.531,0.169,3.89920323653831e-74,0.463815789473684,9,0.688202247191011,9,"ID4","p_val_adj<0.05"
"HLA-DRB5",3.16073777493116e-19,0.635139251458999,0.907,0.936,8.37121399690518e-15,0.33140655105973,10,0.467341772151899,10,"HLA-DRB5","p_val_adj<0.05"
"CD81",2.11013059903988e-33,0.634112185805091,0.857,0.827,5.58868089155713e-29,0.326530612244898,9,0.491690544412607,10,"CD81","p_val_adj<0.05"
"SEPP1",3.40110210785331e-54,0.631147254818424,0.797,0.729,9.0078189326495e-50,0.348684210526316,8,0.56111833550065,11,"SEPP1","p_val_adj<0.05"
"HLA-DMB",3.78743643557107e-27,0.629719118854859,0.708,0.559,1.003102539961e-22,0.348148148148148,9,0.446988973706531,10,"HLA-DMB","p_val_adj<0.05"
"HERPUD1",1.08505322349299e-39,0.629138845341987,0.867,0.831,2.87376346242117e-35,0.352822580645161,10,0.515981735159817,10,"HERPUD1","p_val_adj<0.05"
"LPCAT1",6.06060353781755e-82,0.625798898379198,0.729,0.336,1.60515084699098e-77,0.407673860911271,8,0.501412429378531,11,"LPCAT1","p_val_adj<0.05"
"ZBTB20",8.15042160744798e-24,0.625783591774198,0.795,0.728,2.1586391627326e-19,0.382417582417582,10,0.486979166666667,10,"ZBTB20","p_val_adj<0.05"
"NHSL1",6.2856282402791e-37,0.624057191048832,0.607,0.456,1.66474863943792e-32,0.420749279538905,10,0.448491155046826,10,"NHSL1","p_val_adj<0.05"
"ITPR2",1.84592275463736e-119,0.622819017013211,0.547,0.127,4.88892641565706e-115,0.507987220447284,7,0.363295880149813,11,"ITPR2","p_val_adj<0.05"
"IFITM2",5.90145573758874e-56,0.620586797791255,0.862,0.695,1.56300055210038e-51,0.348884381338742,9,0.449146757679181,11,"IFITM2","p_val_adj<0.05"
"NAPSA",3.2809846238412e-137,0.619867150865598,0.878,0.232,8.68968777624343e-133,0.348605577689243,9,0.359918200408998,8,"NAPSA","p_val_adj<0.05"
"MBIP",1.54866127445703e-79,0.618640423710983,0.76,0.476,4.10162938539945e-75,0.402298850574713,9,0.5,11,"MBIP","p_val_adj<0.05"
"DSTN",3.58685693050173e-65,0.616526974559461,0.967,0.963,9.49979058043382e-61,0.343580470162749,10,0.46998031496063,11,"DSTN","p_val_adj<0.05"
"LMO3",8.15459231804379e-51,0.615459081870561,0.706,0.468,2.1597437754339e-46,0.356435643564356,10,0.621073961499493,10,"LMO3","p_val_adj<0.05"
"TMEM205",6.64112725079152e-32,0.615140592993605,0.813,0.804,1.75890255237213e-27,0.365591397849462,8,0.545722713864307,11,"TMEM205","p_val_adj<0.05"
