"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","grouped_pr pt.occupancy","grouped_pr n.nonzero.pts","grouped_pd pt.occupancy","grouped_pd n.nonzero.pts","gene","sig"
"TIMP3",1.05688706356576e-114,1.14298243057735,0.64,0.197,2.79916538785393e-110,0.494535519125683,9,0.367788461538462,10,"TIMP3","p_val_adj<0.05"
"JUNB",1.27496235104458e-95,1.13933165967984,0.921,0.885,3.37673778674158e-91,0.35673624288425,10,0.487412961971077,11,"JUNB","p_val_adj<0.05"
"EFNA1",1.19579158171613e-60,1.12851335205251,0.946,0.864,3.16705400417516e-56,0.353049907578558,9,0.524149286498353,10,"EFNA1","p_val_adj<0.05"
"NKX2-1",4.02332409786091e-232,1.12420251213219,0.836,0.192,1.06557738731846e-227,0.361924686192469,8,0.281481481481481,11,"NKX2-1","p_val_adj<0.05"
"RRBP1",7.8677140973153e-125,1.12216222996138,0.92,0.833,2.08376407867396e-120,0.347908745247148,8,0.523348519362187,10,"RRBP1","p_val_adj<0.05"
"DLC1",7.7808458527803e-262,1.11713630098844,0.64,0.04,2.06075702410886e-257,0.409836065573771,8,0.714285714285714,8,"DLC1","p_val_adj<0.05"
"HOPX",6.83306600717778e-95,1.10841715344344,0.813,0.523,1.80973753200104e-90,0.382795698924731,8,0.607985480943739,10,"HOPX","p_val_adj<0.05"
"CAV1",1.17597533711103e-17,1.08889902511898,0.556,0.49,3.11457068033856e-13,0.518867924528302,8,0.433268858800774,10,"CAV1","p_val_adj<0.05"
"TNS1",5.30050628173875e-219,1.08535747315156,0.788,0.169,1.40383908871851e-214,0.407982261640798,8,0.375350140056022,9,"TNS1","p_val_adj<0.05"
"SRRM2",1.90597570780633e-101,1.08273944252343,0.97,0.95,5.04797666212508e-97,0.338738738738739,9,0.474787818272591,11,"SRRM2","p_val_adj<0.05"
"VIM",2.21449213077179e-83,1.08057152788475,0.552,0.184,5.86508240834908e-79,0.370253164556962,10,0.259640102827764,11,"VIM","p_val_adj<0.05"
"HLA-DPB1",5.50056413641412e-56,1.07742300895801,0.858,0.833,1.45682441152928e-51,0.34826883910387,8,0.476082004555809,11,"HLA-DPB1","p_val_adj<0.05"
"PPP1R10",1.25296123026745e-93,1.06563702973164,0.86,0.651,3.31846781836333e-89,0.371951219512195,9,0.599854227405248,10,"PPP1R10","p_val_adj<0.05"
