"";"p_val";"avg_logFC";"pct.1";"pct.2";"p_val_adj"
"MS4A15";3,44489126125455e-195;-1,01097033742798;0,013;0,675;9,12379450543267e-191
"SUSD2";2,29551871415737e-193;-1,61064971988607;0,108;0,823;6,07968131444579e-189
"C1orf116";4,07379897620084e-187;-1,64970974181031;0,384;0,92;1,07894565884679e-182
"RGS16";4,88957292487488e-187;-1,84355973451905;0,327;0,815;1,29500338915311e-182
"AQP4";5,57790459186951e-175;-2,56433749570054;0,138;0,729;1,47730803115664e-170
"CADM1";7,70784178845035e-158;-1,37895235286323;0,159;0,766;2,04142189767108e-153
"FLRT3";2,22790415673989e-132;-0,96482110903738;0,062;0,684;5,9006041591256e-128
"MUC16";6,17279455958493e-129;1,86538047349745;0,719;0,066;1,63486463910607e-124
"TSPAN1";7,03228810782169e-124;2,35516597559147;0,86;0,395;1,86250150535658e-119
"CLDN18";1,40234639213077e-123;-2,09028523826941;0,026;0,43;3,71411441955833e-119
"ATP13A4";1,7163054849602e-122;-1,24626281178509;0,375;0,867;4,54563507691709e-118
"EFNA1";2,78545547238415e-121;-1,38557861260792;0,747;0,946;7,37727881860942e-117
"TIMP1";6,72621405621357e-111;1,3998630319654;0,814;0,346;1,78143779278816e-106
"SFTPD";2,83156904927597e-110;-2,17010834599248;0,194;0,747;7,49941062700742e-106
"PGC";2,2029976516783e-109;-2,09309943119113;0,023;0,476;5,83463928046998e-105
"CAV1";2,27413474304807e-109;-1,43119116190645;0,116;0,556;6,02304586696281e-105
"CPM";1,44862014806187e-108;-1,41841148799995;0,303;0,858;3,83667046214188e-104
"ANKRD29";3,60513160614072e-108;-0,545936244589538;0,072;0,493;9,5481910588637e-104
"AGER";1,10469871343776e-106;-1,78054151246306;0,066;0,465;2,9257945425399e-102
"TNS1";1,38317191445266e-104;-0,799674967094467;0,281;0,788;3,66333081542788e-100
"PEBP4";4,93189371303531e-100;-0,710284232410188;0,022;0,43;1,3062120498974e-95
"TMPRSS4";1,61669787734976e-99;0,48594760719734;0,796;0,357;4,28182432816083e-95
"FOLR1";5,01244085833896e-97;-1,11664490388687;0,377;0,892;1,32754496133107e-92
"CIB1";1,03578662617077e-95;1,22074266388335;0,942;0,766;2,74328087941329e-91
"SFTPB";4,95926355437143e-95;-0,856465174053962;0,416;0,858;1,31346095237527e-90
"HSPB1";1,09849465511717e-94;-0,645260320682348;0,92;0,983;2,90936309407783e-90
"GATA6";3,43446269890618e-93;-0,605349459548325;0,162;0,628;9,09617445805302e-89
"TFCP2L1";5,97710377649863e-92;-0,624271826130749;0,174;0,636;1,58303593520566e-87
"AQP1";7,27446847648468e-92;-0,85642124566578;0,147;0,61;1,92664297599697e-87
"SCGB3A1";4,35168266244231e-91;-1,4657403897749;0,281;0,792;1,15254315314785e-86
"CHL1";1,08655482931725e-90;0,429380189699554;0,546;0,019;2,87774046544674e-86
"SELENBP1";1,15740497614947e-90;-1,16613941311813;0,698;0,907;3,06538707933188e-86
"MUC1";1,36420224148148e-90;-1,13677943273974;0,815;0,981;3,61308963656369e-86
"NDNF";9,40186747040889e-90;-0,743889305097851;0,212;0,467;2,49008459953779e-85
"EMP2";1,22682754949467e-89;-1,26695770304174;0,83;0,976;3,24925276483664e-85
"LDHB";8,35994198075091e-89;1,54303671120856;0,93;0,713;2,21413063360188e-84
"TGM2";8,22045835398042e-88;1,39609639535452;0,679;0,101;2,17718839505171e-83
"CACNA2D2";3,39403964698197e-87;-0,428160666112648;0,097;0,559;8,98911400503175e-83
